時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
89年	 56 	 2 	 23 	 37 	 96 	 1,431 	0	0	 28 
89年 1月	 1 	 1 	 1 	 2 	 11 	 169 	0	0	 4 
89年 2月	 3 	0	 1 	 1 	 5 	 249 	0	0	 3 
89年 3月	 1 	0	0	 2 	 3 	 106 	0	0	0
89年 4月	 2 	0	 3 	 3 	 7 	 117 	0	0	 1 
89年 5月	0	0	0	 5 	 4 	 107 	0	0	 4 
89年 6月	0	0	 1 	 3 	 7 	 90 	0	0	 3 
89年 7月	 29 	0	 4 	 4 	 9 	 126 	0	0	 3 
89年 8月	 3 	0	 3 	 4 	 11 	 149 	0	0	 3 
89年 9月	 6 	 1 	 2 	 6 	 9 	 93 	0	0	 2 
89年 10月	 6 	0	 4 	 5 	 13 	 95 	0	0	 1 
89年 11月	 4 	0	 3 	 1 	 11 	 75 	0	0	 3 
89年 12月	 1 	0	 1 	 1 	 6 	 55 	0	0	 1 
90年	 16 	 1 	 45 	 38 	 224 	 734 	0	0	 252 
90年 1月	 1 	0	 2 	 2 	 4 	 48 	0	0	 2 
90年 2月	0	0	 1 	 5 	 8 	 55 	0	0	 3 
90年 3月	 1 	 1 	 4 	 4 	 14 	 64 	0	0	 5 
90年 4月	 2 	0	0	 6 	 13 	 80 	0	0	 2 
90年 5月	 1 	0	 10 	 3 	 26 	 85 	0	0	 1 
90年 6月	 3 	0	 2 	 3 	 12 	 113 	0	0	 7 
90年 7月	 1 	0	 3 	 5 	 30 	 55 	0	0	 85 
90年 8月	0	0	 3 	 2 	 22 	 58 	0	0	 62 
90年 9月	 3 	0	 5 	 4 	 19 	 42 	0	0	 26 
90年 10月	 2 	0	 4 	 1 	 33 	 57 	0	0	 22 
90年 11月	 1 	0	 5 	 1 	 26 	 49 	0	0	 22 
90年 12月	 1 	0	 6 	 2 	 17 	 28 	0	0	 15 
91年	 42 	 2 	 24 	 39 	 245 	 360 	0	0	 123 
91年 1月	 2 	0	 1 	 5 	 12 	 13 	0	0	 6 
91年 2月	 3 	0	 1 	 5 	 12 	 38 	0	0	 23 
91年 3月	 2 	 1 	 1 	 4 	 24 	 36 	0	0	 9 
91年 4月	 5 	0	 2 	 4 	 25 	 38 	0	0	 11 
91年 5月	 9 	0	 4 	 1 	 11 	 26 	0	0	 10 
91年 6月	 10 	0	 1 	 2 	 24 	 27 	0	0	 11 
91年 7月	 1 	0	 3 	 3 	 25 	 17 	0	0	 6 
91年 8月	 2 	 1 	 2 	 1 	 20 	 24 	0	0	 8 
91年 9月	0	0	0	 2 	 19 	 29 	0	0	 5 
91年 10月	 3 	0	 3 	 2 	 28 	 38 	0	0	 14 
91年 11月	 2 	0	 3 	 4 	 27 	 37 	0	0	 8 
91年 12月	 3 	0	 3 	 6 	 18 	 37 	0	0	 12 
92年	 50 	0	 21 	 50 	 231 	 336 	0	0	 97 
92年 1月	 8 	0	 1 	 5 	 27 	 51 	0	0	 11 
92年 2月	0	0	0	 1 	 26 	 30 	0	0	 7 
92年 3月	0	0	 3 	 9 	 30 	 22 	0	0	 5 
92年 4月	 2 	0	 3 	 6 	 11 	 17 	0	0	 6 
92年 5月	 2 	0	0	 4 	 6 	 11 	0	0	 10 
92年 6月	0	0	 1 	 3 	 20 	 21 	0	0	 3 
92年 7月	 4 	0	 4 	 5 	 14 	 18 	0	0	 14 
92年 8月	 1 	0	 2 	 2 	 15 	 26 	0	0	 8 
92年 9月	 1 	0	0	 5 	 9 	 30 	0	0	 8 
92年 10月	 10 	0	 1 	 4 	 25 	 42 	0	0	 7 
92年 11月	 17 	0	 5 	 4 	 32 	 35 	0	0	 6 
92年 12月	 5 	0	 1 	 2 	 16 	 33 	0	0	 12 
93年	 42 	 2 	 29 	 22 	 419 	 597 	0	0	 197 
93年 1月	 1 	0	 5 	 7 	 24 	 43 	0	0	 10 
93年 2月	 7 	0	 4 	0	 31 	 38 	0	0	 15 
93年 3月	 3 	0	 2 	0	 26 	 28 	0	0	 24 
93年 4月	 5 	0	 1 	0	 25 	 40 	0	0	 11 
