,時間,縣市,一般及機車竊盜,汽車竊盜,贓物,賭博,重傷害,一般傷害,詐欺背信,妨害自由,故意殺人,過失致死,駕駛過失,妨害家庭及婚姻,妨害風化,強制性交,共同強制性交,對幼性交,性交猥褻,重大恐嚇取財,一般恐嚇取財,擄人勒贖,侵占,偽造文書印文,第一級毒品,第二級毒品,第三級毒品,第四級毒品,毀棄損壞,妨害公務,妨害電腦使用,強盜,搶奪,內亂,重利,竊佔,偽造有價證券,妨害秩序,違反藥事法,違反國家總動員法,違反森林法,違反著作權法,違反專利法,違反商標法,公共危險,侵害墳墓屍體,妨害名譽,違反就業服務法,違反選罷法,妨害秘密,遺棄,違反貪污治罪條例,瀆職,懲治走私條例,妨害兵役,偽造貨幣,偽造度量衡,偽證,誣告,湮滅證據,藏匿頂替,脫逃,違反槍砲彈藥刀械管制條例,其他_x,其他_y
0,89年,臺北縣," 14,071 "," 3,694 ",125, 928 ,12, 347 , 130 , 76 ,141,6, 93 ,82,272,145,8,41,43,3,286,13,80,243, 473 ," 2,112 ",1,0,81,58,0,321,257,0, 71 ,12,21,12,2,0,0,221,8,26, 765 ,1,2,41,0,1,3,0,1,9,0,44,0,1,9,0,2,0,208,59, 573 
1,89年 1月,臺北縣," 1,163 ", 374 ,14, 94 ,0, 20 , 7 , 5 ,11,0, 10 ,5,10,18,2,5,3,1,12,1,11,16, 70 , 552 ,0,0,9,4,0,33,24,0, 9 ,1,3,1,0,0,0,6,0,2, 59 ,1,2,15,0,0,0,0,0,1,0,4,0,0,1,0,0,0,36,15, 27 
2,89年 2月,臺北縣, 842 , 210 ,5, 102 ,0, 20 , 5 , 3 ,11,0, 2 ,6,32,13,0,8,3,0,15,3,5,12, 53 , 343 ,1,0,2,4,0,36,10,0, 8 ,1,0,0,0,0,0,0,0,1, 38 ,0,0,6,0,0,0,0,0,1,0,5,0,0,0,0,0,0,25,13, 33 
3,89年 3月,臺北縣, 973 , 297 ,11, 85 ,1, 20 , 7 , 4 ,11,0, 6 ,10,26,7,2,2,1,0,12,0,5,15, 26 , 114 ,0,0,5,2,0,42,8,0, 6 ,3,0,0,1,0,0,10,1,2, 42 ,0,0,2,0,0,1,0,0,0,0,0,0,1,3,0,0,0,20,6, 23 
4,89年 4月,臺北縣," 1,108 ", 260 ,9, 75 ,0, 22 , 7 , 3 ,11,0, 5 ,2,34,9,0,1,3,0,12,2,5,19, 22 , 145 ,0,0,9,3,0,17,12,0, 4 ,0,5,3,0,0,0,11,0,3, 50 ,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,6, 31 
5,89年 5月,臺北縣," 1,461 ", 339 ,13, 93 ,0, 24 , 13 , 4 ,10,0, 5 ,11,24,15,0,3,5,0,19,1,6,22, 45 , 142 ,0,0,11,3,0,33,13,0, 1 ,2,3,2,0,0,0,6,1,2, 57 ,0,0,3,0,0,1,0,0,1,0,4,0,0,0,0,0,0,20,6, 59 
6,89年 6月,臺北縣," 1,060 ", 248 ,5, 69 ,1, 29 , 16 , 3 ,17,2, 10 ,6,25,16,1,4,4,0,33,0,5,20, 26 , 87 ,0,0,2,7,0,17,29,0, 5 ,0,0,0,0,0,0,11,2,1, 66 ,0,0,1,0,1,0,0,0,2,0,4,0,0,2,0,1,0,12,3, 41 
7,89年 7月,臺北縣," 1,270 ", 347 ,11, 75 ,2, 39 , 10 , 7 ,20,0, 12 ,10,30,12,1,8,7,1,25,1,8,20, 36 , 132 ,0,0,7,5,0,33,23,0, 9 ,1,0,1,1,0,0,17,0,3, 72 ,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,5, 81 
8,89年 8月,臺北縣," 1,368 ", 344 ,15, 83 ,2, 38 , 13 , 10 ,15,0, 11 ,7,35,13,0,2,4,0,15,1,6,27, 41 , 137 ,0,0,11,9,0,26,39,0, 9 ,1,2,0,0,0,0,33,1,5, 77 ,0,0,3,0,0,0,0,0,1,0,5,0,0,0,0,1,0,9,1, 64 
9,89年 9月,臺北縣," 1,233 ", 281 ,7, 63 ,0, 29 , 9 , 11 ,8,0, 8 ,6,13,10,0,2,1,0,16,3,7,20, 39 , 133 ,0,0,7,10,0,26,27,0, 1 ,0,1,1,0,0,0,29,1,1, 73 ,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,15,0, 61 
10,89年 10月,臺北縣," 1,378 ", 328 ,9, 79 ,0, 43 , 17 , 5 ,16,2, 7 ,9,13,10,2,0,4,1,88,0,7,31, 45 , 115 ,0,0,2,5,0,20,17,0, 10 ,0,0,1,0,0,0,29,0,1, 94 ,0,0,3,0,0,1,0,0,1,0,4,0,0,1,0,0,0,23,2, 54 
11,89年 11月,臺北縣," 1,153 ", 326 ,11, 63 ,2, 35 , 5 , 10 ,5,2, 9 ,5,14,13,0,1,4,0,26,0,5,19, 36 , 124 ,0,0,7,5,0,20,41,0, 5 ,0,2,1,0,0,0,34,2,3, 60 ,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,13,1, 56 
12,89年 12月,臺北縣," 1,062 ", 340 ,15, 47 ,4, 28 , 21 , 11 ,6,0, 8 ,5,16,9,0,5,4,0,13,1,10,22, 34 , 88 ,0,0,9,1,0,18,14,0, 4 ,3,5,2,0,0,0,35,0,2, 77 ,0,0,2,0,0,0,0,1,1,0,3,0,0,1,0,0,0,10,1, 43 
13,90年,臺北縣," 14,141 "," 3,916 ",114, 585 ,4, 535 , 189 , 78 ,158,11, 79 ,58,258,244,5,58,66,3,418,11,85,210, 421 , 772 ,2,0,107,65,0,308,536,0, 48 ,12,6,36,1,0,1,473,20,24," 1,027 ",0,18,28,1,5,2,0,1,6,0,92,0,0,18,0,2,0,118,206, 702 
14,90年 1月,臺北縣," 1,387 ", 342 ,20, 79 ,0, 35 , 8 , 6 ,12,1, 6 ,5,9,21,0,2,3,0,50,0,7,36, 48 , 169 ,0,0,7,5,0,40,127,0, 2 ,0,1,3,0,0,0,25,2,3, 81 ,0,0,2,0,0,0,0,0,0,0,7,0,0,2,0,0,0,12,5, 49 
