,時間,縣市,一般及機車竊盜,汽車竊盜,贓物,賭博,重傷害,一般傷害,詐欺背信,妨害自由,故意殺人,過失致死,駕駛過失,妨害家庭及婚姻,妨害風化,強制性交,共同強制性交,對幼性交,性交猥褻,重大恐嚇取財,一般恐嚇取財,擄人勒贖,侵占,偽造文書印文,第一級毒品,第二級毒品,第三級毒品,第四級毒品,毀棄損壞,妨害公務,妨害電腦使用,強盜,搶奪,內亂,重利,竊佔,偽造有價證券,妨害秩序,違反藥事法,違反國家總動員法,違反森林法,違反著作權法,違反專利法,違反商標法,公共危險,侵害墳墓屍體,妨害名譽,違反就業服務法,違反選罷法,妨害秘密,遺棄,違反貪污治罪條例,瀆職,懲治走私條例,妨害兵役,偽造貨幣,偽造度量衡,偽證,誣告,湮滅證據,藏匿頂替,脫逃,違反槍砲彈藥刀械管制條例,其他_x,其他_y
0,89年,新北市," 14,071 "," 3,694 ",125, 928 ,12, 347 , 130 , 76 ,141,6, 93 ,82,272,145,8,41,43,3,286,13,80,243, 473 ," 2,112 ",1,0,81,58,0,321,257,0, 71 ,12,21,12,2,0,0,221,8,26, 765 ,1,2,41,0,1,3,0,1,9,0,44,0,1,9,0,2,0,208,59, 573 
13,90年,新北市," 14,141 "," 3,916 ",114, 585 ,4, 535 , 189 , 78 ,158,11, 79 ,58,258,244,5,58,66,3,418,11,85,210, 421 , 772 ,2,0,107,65,0,308,536,0, 48 ,12,6,36,1,0,1,473,20,24," 1,027 ",0,18,28,1,5,2,0,1,6,0,92,0,0,18,0,2,0,118,206, 702 
26,91年,新北市," 18,911 "," 4,326 ",124, 337 ,5, 468 , 528 , 92 ,125,14, 67 ,46,358,243,7,69,57,1,253,9,101,165, 647 , 432 ,6,0,84,42,0,394,529,0, 48 ,17,11,6,1,0,1,264,20,32, 945 ,0,15,9,226,3,4,0,0,2,0,54,0,0,24,1,0,0,134,474," 1,019 "
39,92年,新北市," 20,161 "," 5,341 ",103, 300 ,6, 336 , 670 , 72 ,124,9, 98 ,25,198,242,12,67,63,6,373,7,116,131, 757 , 520 ,10,0,68,20,0,290,567,0, 79 ,16,7,1,1,0,1,156,2,68, 535 ,0,21,0,0,2,2,0,0,2,7,57,0,0,33,1,0,1,162,357, 888 
52,93年,新北市," 21,545 "," 6,507 ",85, 388 ,9, 169 ," 1,457 ", 61 ,141,11, 61 ,18,193,230,5,53,57,5,308,10,67,116," 1,164 ", 837 ,20,0,44,20,0,254,376,0, 53 ,17,2,3,0,0,0,98,0,39, 486 ,0,17,2,25,5,3,0,0,0,0,50,0,1,24,2,1,1,362,567, 824 
65,94年,新北市," 26,127 "," 7,293 ",95, 570 ,3, 186 ," 2,359 ", 84 ,123,7, 51 ,18,200,240,4,50,89,1,174,7,57,93," 2,123 "," 1,640 ",14,1,44,27,121,347,469,0, 68 ,38,1,2,0,0,3,186,0,67, 645 ,0,26,2,71,3,1,0,0,0,1,39,0,0,5,0,0,2,390,469, 528 
78,95年,新北市," 24,669 "," 5,505 ",165," 1,264 ",11," 1,123 "," 2,982 ", 226 ,166,36, 689 ,56,284,304,9,64,125,1,273,8,274,297," 2,864 "," 1,991 ",32,1,245,57,96,321,303,0, 292 ,43,6,4,1,0,3,318,0,110," 2,700 ",0,105,5,68,10,21,0,3,3,4,34,0,2,113,0,7,2,326,26," 1,079 "
91,96年,新北市," 22,558 "," 4,151 ",241," 1,296 ",9," 2,293 "," 5,263 ", 597 ,209,33," 1,445 ",115,359,413,8,81,166,15,627,9,593,572," 3,539 "," 3,655 ",77,0,503,158,148,277,398,0, 589 ,52,17,11,2,0,5,368,0,514," 6,581 ",2,296,3,63,21,42,6,1,1,23,32,0,2,179,2,7,9,309,2," 1,851 "
104,97年,新北市," 21,746 "," 3,892 ",299," 1,580 ",10," 2,394 "," 6,705 ", 726 ,172,34," 1,789 ",126,849,320,11,83,177,1,345,5,670,691," 4,077 "," 3,461 ",107,1,578,166,219,237,392,0," 1,013 ",106,17,15,4,0,4,385,0,700," 9,681 ",1,380,1,53,22,24,3,2,3,18,14,0,1,156,3,4,1,223,5," 1,457 "
117,98年,新北市," 16,250 "," 2,502 ",226," 2,101 ",6," 2,502 "," 7,809 ", 829 ,203,25," 1,902 ",120,754,335,17,38,188,0,399,2,699,836," 3,192 "," 4,881 ",132,3,573,172,295,209,286,0," 1,417 ",137,6,8,5,0,5,282,0,345," 11,173 ",0,462,2,0,56,35,0,5,1,14,13,0,3,125,2,4,3,190,3, 847 
130,99年,新北市," 12,623 "," 1,541 ",203," 1,904 ",3," 2,615 "," 6,335 "," 1,178 ",193,15," 2,243 ",133,454,275,3,56,202,0,255,2,842,706," 2,405 "," 6,036 ",154,5,611,277,167,147,194,0, 830 ,101,9,12,33,0,1,184,0,215," 11,359 ",2,678,1,153,42,43,3,4,4,4,16,0,7,130,1,4,2,184,0, 736 
143,100年,新北市," 11,799 "," 1,126 ",177," 2,020 ",0," 2,717 "," 4,303 "," 1,355 ",181,13," 2,563 ",158,330,282,1,72,224,1,262,0,835,464," 1,861 "," 5,880 ",184,7,744,347,159,126,147,0, 606 ,105,6,3,22,0,5,206,0,126," 11,852 ",0,846,3,20,46,30,0,2,0,0,11,0,4,122,1,8,2,205,1, 787 
156,101年,新北市," 11,465 "," 1,039 ",155," 2,140 ",5," 2,634 "," 4,184 "," 1,570 ",181,22," 2,586 ",172,285,269,7,94,262,0,214,2,910,502," 1,629 "," 5,632 ",498,1,644,389,190,123,117,0, 430 ,127,14,7,14,0,2,241,0,148," 10,956 ",2,786,1,15,45,44,0,2,0,0,9,1,2,108,5,4,6,202,2, 948 
169,102年,新北市," 10,254 ", 798 ,170," 1,477 ",8," 2,227 "," 2,727 "," 1,351 ",55,25," 2,475 ",140,379,163,6,20,364,0,132,0,786,469," 1,546 "," 5,546 ",505,4,610,313,187,81,90,0, 261 ,94,8,8,9,0,3,485,0,278," 12,553 ",1,771,2,0,69,34,1,2,0,0,9,0,4,94,5,5,4,198,2, 890 
