時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
89年	 1 	 68 	 23 	 13 	 23 	 1 	 10 	 14 	0
89年 1月	0	 6 	 4 	 1 	 2 	0	 1 	 1 	0
89年 2月	0	 2 	0	0	0	0	 1 	 2 	0
89年 3月	0	 11 	 1 	 1 	 2 	0	0	 1 	0
89年 4月	0	 7 	0	0	 2 	0	 1 	 3 	0
89年 5月	0	 9 	0	 1 	 1 	0	0	0	0
89年 6月	 1 	 4 	0	0	 3 	0	 2 	0	0
89年 7月	0	 5 	 4 	 2 	 3 	0	 1 	 1 	0
89年 8月	0	 7 	 4 	 6 	 6 	0	 1 	0	0
89年 9月	0	 4 	 2 	 2 	0	0	0	0	0
89年 10月	0	 3 	 4 	0	 1 	0	 1 	 2 	0
89年 11月	0	 2 	 3 	0	 1 	 1 	 1 	 1 	0
89年 12月	0	 8 	 1 	0	 2 	0	 1 	 3 	0
90年	 2 	 92 	 16 	 78 	 32 	 1 	 17 	 15 	0
90年 1月	0	 5 	 1 	0	0	0	 3 	0	0
90年 2月	0	 7 	0	0	0	0	0	0	0
90年 3月	0	 4 	 1 	0	 5 	0	 1 	 2 	0
90年 4月	0	 12 	 2 	0	 1 	0	 2 	 2 	0
90年 5月	0	 6 	 1 	 3 	 4 	0	 2 	 2 	0
90年 6月	0	 5 	 1 	 2 	 4 	0	 1 	0	0
90年 7月	 1 	 4 	 1 	 4 	 2 	0	0	 1 	0
90年 8月	0	 8 	 2 	 17 	 2 	 1 	 2 	 2 	0
90年 9月	0	 5 	 2 	 3 	 2 	0	0	 2 	0
90年 10月	0	 11 	 1 	 2 	 1 	0	 2 	 1 	0
90年 11月	0	 10 	 2 	 44 	 7 	0	 3 	 2 	0
90年 12月	 1 	 15 	 2 	 3 	 4 	0	 1 	 1 	0
91年	 4 	 119 	 18 	 46 	 40 	 4 	 22 	 12 	 3 
91年 1月	0	 9 	0	0	 3 	0	 1 	 2 	0
91年 2月	0	 6 	 3 	 1 	 1 	0	 1 	 2 	0
91年 3月	0	 12 	 2 	 3 	 1 	 1 	 2 	0	0
91年 4月	 1 	 13 	 1 	 1 	 1 	 1 	 1 	0	0
91年 5月	 1 	 8 	 1 	 1 	 6 	0	 2 	 2 	0
91年 6月	0	 10 	 1 	 8 	 3 	 1 	0	 1 	0
91年 7月	0	 10 	 2 	 18 	 5 	 1 	 3 	 2 	 2 
91年 8月	0	 5 	 2 	 9 	 2 	0	 6 	 1 	0
91年 9月	 1 	 11 	 2 	 1 	 1 	0	0	0	0
91年 10月	 1 	 13 	 2 	0	 8 	0	 1 	0	 1 
91年 11月	0	 8 	 1 	 2 	 6 	0	 3 	 2 	0
91年 12月	0	 14 	 1 	 2 	 3 	0	 2 	0	0
92年	 2 	 108 	 18 	 31 	 51 	 2 	 16 	 6 	 2 
92年 1月	0	 7 	0	 6 	 3 	0	0	0	0
92年 2月	0	 12 	0	 1 	 6 	 1 	 1 	0	0
92年 3月	0	 4 	 3 	0	 4 	0	 2 	0	0
92年 4月	0	 7 	 1 	0	 6 	0	0	0	0
92年 5月	0	 15 	 3 	 1 	 6 	0	 4 	 2 	0
92年 6月	0	 14 	0	0	 2 	0	 2 	0	 1 
92年 7月	0	 9 	 2 	 11 	 4 	0	0	0	0
92年 8月	 1 	 6 	 1 	 11 	 8 	0	 1 	 1 	0
92年 9月	0	 6 	0	 1 	 5 	0	 3 	 2 	0
92年 10月	0	 10 	0	0	 2 	 1 	0	 1 	0
92年 11月	 1 	 11 	 4 	0	 2 	0	 1 	0	 1 
92年 12月	0	 7 	 4 	0	 3 	0	 2 	0	0
93年	 1 	 117 	 7 	 41 	 42 	 2 	 12 	 12 	 3 
93年 1月	0	 6 	 2 	0	 4 	0	 3 	 1 	0
93年 2月	0	 6 	0	 1 	0	0	0	 2 	0
93年 3月	0	 14 	0	 1 	 1 	0	0	0	0
93年 4月	0	 8 	 1 	0	 3 	0	0	 1 	0
93年 5月	0	 9 	 2 	 9 	 4 	 2 	 1 	 2 	0
93年 6月	0	 8 	 1 	 2 	 2 	0	 6 	0	0
93年 7月	0	 8 	0	 11 	 4 	0	0	 3 	 1 
93年 8月	0	 10 	0	 8 	 2 	0	0	0	 2 
93年 9月	 1 	 11 	0	 1 	 5 	0	 1 	 1 	0
93年 10月	0	 8 	0	 3 	 3 	0	0	0	0
93年 11月	0	 12 	 1 	 1 	 7 	0	 1 	0	0
93年 12月	0	 17 	0	 4 	 7 	0	0	 2 	0
94年	0	 132 	 12 	 18 	 40 	 3 	 7 	 9 	0
94年 1月	0	 14 	0	 5 	 3 	0	 1 	0	0
94年 2月	0	 5 	0	 3 	 2 	0	 1 	 1 	0
94年 3月	0	 11 	0	0	 1 	0	0	0	0
94年 4月	0	 9 	 3 	 2 	 6 	0	 1 	0	0
94年 5月	0	 6 	 1 	0	 5 	0	 2 	 1 	0
94年 6月	0	 11 	 1 	 2 	 1 	0	0	0	0
94年 7月	0	 11 	 1 	 1 	 4 	0	0	 1 	0
94年 8月	0	 11 	 1 	 4 	 2 	 1 	0	 3 	0
94年 9月	0	 16 	0	 1 	 5 	 2 	0	 1 	0
94年 10月	0	 14 	 1 	0	 4 	0	0	 1 	0
94年 11月	0	 13 	 2 	0	 5 	0	 2 	 1 	0
94年 12月	0	 11 	 2 	0	 2 	0	0	0	0
95年	 2 	 136 	 6 	 45 	 36 	 1 	 13 	 9 	0
95年 1月	0	 7 	 1 	 1 	 5 	0	 1 	0	0
95年 2月	 1 	 9 	0	 1 	 4 	0	 3 	0	0
95年 3月	0	 16 	0	0	 1 	 1 	 1 	 1 	0
95年 4月	0	 14 	0	 2 	0	0	 2 	 1 	0
95年 5月	0	 13 	 1 	 10 	 3 	0	 1 	 1 	0
95年 6月	0	 15 	 1 	 4 	 1 	0	0	 1 	0
95年 7月	0	 7 	 1 	0	 7 	0	 2 	 1 	0
95年 8月	0	 6 	0	 1 	 4 	0	0	 1 	0
