時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 1,485 	 274 	 22 	 78 	 1 	 171 	 42 	 28 	 20 
89年 1月	 123 	 20 	 3 	 13 	0	 12 	 1 	 1 	0
89年 2月	 98 	 16 	 6 	 7 	0	 9 	0	 4 	 1 
89年 3月	 106 	 18 	 1 	 7 	0	 6 	 4 	 1 	0
89年 4月	 94 	 17 	 3 	 10 	0	 9 	 4 	 2 	 5 
89年 5月	 137 	 26 	 1 	 6 	0	 12 	 3 	 2 	 3 
89年 6月	 98 	 8 	 1 	 7 	0	 7 	 2 	 2 	0
89年 7月	 145 	 17 	 1 	 5 	0	 31 	 2 	 5 	 2 
89年 8月	 132 	 36 	 2 	 5 	0	 13 	 6 	 2 	 2 
89年 9月	 160 	 36 	0	 5 	 1 	 18 	 1 	 3 	 4 
89年 10月	 156 	 22 	 3 	 4 	0	 24 	 6 	 1 	 1 
89年 11月	 137 	 21 	0	 5 	0	 17 	 6 	 2 	 1 
89年 12月	 99 	 37 	 1 	 4 	0	 13 	 7 	 3 	 1 
90年	 1,739 	 428 	 28 	 59 	0	 188 	 54 	 32 	 17 
90年 1月	 180 	 42 	 3 	 7 	0	 16 	 5 	 1 	0
90年 2月	 119 	 39 	 5 	 7 	0	 17 	 4 	 1 	 2 
90年 3月	 192 	 51 	 3 	 7 	0	 17 	 9 	 4 	 3 
90年 4月	 134 	 40 	 4 	 10 	0	 26 	 5 	 1 	 4 
90年 5月	 187 	 32 	0	 7 	0	 20 	 16 	 2 	 1 
90年 6月	 152 	 40 	 2 	 3 	0	 22 	 8 	 3 	 1 
90年 7月	 171 	 30 	0	 3 	0	 12 	 2 	 1 	 2 
90年 8月	 132 	 24 	0	 2 	0	 9 	 1 	0	 2 
90年 9月	 96 	 20 	 3 	 2 	0	 13 	 2 	 3 	0
90年 10月	 120 	 33 	 3 	 3 	0	 14 	 2 	 4 	 2 
90年 11月	 115 	 50 	 3 	 2 	0	 15 	0	 8 	0
90年 12月	 141 	 27 	 2 	 6 	0	 7 	0	 4 	0
91年	 1,897 	 519 	 14 	 49 	0	 220 	 95 	 37 	 12 
91年 1月	 105 	 59 	 2 	 3 	0	 8 	 5 	 1 	 1 
91年 2月	 155 	 35 	 3 	 8 	0	 13 	 2 	 2 	 2 
91年 3月	 121 	 40 	 2 	 3 	0	 10 	 1 	0	 1 
91年 4月	 168 	 69 	0	 8 	0	 20 	 6 	 1 	0
91年 5月	 164 	 36 	 2 	 2 	0	 16 	 5 	 4 	 1 
91年 6月	 147 	 36 	 1 	 3 	0	 17 	 6 	 7 	0
91年 7月	 209 	 84 	 2 	 7 	0	 37 	 34 	 4 	0
91年 8月	 145 	 21 	0	 1 	0	 20 	 6 	0	 1 
91年 9月	 134 	 17 	0	 5 	0	 19 	 3 	 8 	0
91年 10月	 206 	 46 	0	 3 	0	 26 	 2 	 4 	 5 
91年 11月	 194 	 45 	 2 	 2 	0	 22 	 14 	 2 	0
91年 12月	 149 	 31 	0	 4 	0	 12 	 11 	 4 	 1 
92年	 2,477 	 576 	 11 	 46 	0	 219 	 164 	 36 	 29 
92年 1月	 173 	 55 	0	 7 	0	 22 	 25 	 3 	 5 
92年 2月	 158 	 32 	 2 	 16 	0	 27 	 3 	 4 	 1 
92年 3月	 197 	 49 	0	 3 	0	 13 	 16 	 5 	 2 
92年 4月	 216 	 39 	 1 	 2 	0	 15 	 7 	 3 	 2 
92年 5月	 300 	 41 	 2 	 3 	0	 11 	 10 	 2 	 1 
92年 6月	 148 	 44 	 1 	 3 	0	 19 	 13 	 2 	 8 
92年 7月	 251 	 66 	0	 2 	0	 18 	 9 	 4 	 2 
