時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
89年	 3 	 168 	 12 	 54 	 18 	0	 2 	 8 	0
89年 1月	0	 6 	 3 	 2 	0	0	 1 	0	0
89年 2月	0	 5 	0	 2 	0	0	0	0	0
89年 3月	 1 	 7 	 1 	 3 	 1 	0	0	0	0
89年 4月	0	 12 	 1 	 3 	 1 	0	0	 1 	0
89年 5月	0	 11 	 3 	 4 	0	0	 1 	 2 	0
89年 6月	 1 	 10 	0	 4 	 2 	0	0	0	0
89年 7月	0	 32 	0	 12 	 2 	0	0	 1 	0
89年 8月	0	 8 	0	 5 	 2 	0	0	 1 	0
89年 9月	0	 22 	0	 4 	 1 	0	0	 1 	0
89年 10月	 1 	 22 	 1 	 7 	 4 	0	0	 1 	0
89年 11月	0	 14 	 1 	 4 	 4 	0	0	 1 	0
89年 12月	0	 19 	 2 	 4 	 1 	0	0	0	0
90年	 3 	 189 	 15 	 74 	 28 	0	 5 	 8 	0
90年 1月	 1 	 19 	 2 	 1 	 5 	0	 1 	0	0
90年 2月	0	 17 	 1 	 5 	 2 	0	0	0	0
90年 3月	0	 20 	 1 	 6 	 1 	0	0	 3 	0
90年 4月	0	 24 	0	 6 	 4 	0	0	0	0
90年 5月	0	 26 	 2 	 9 	 5 	0	0	 1 	0
90年 6月	0	 19 	0	 5 	 5 	0	 1 	 2 	0
90年 7月	0	 14 	 1 	 9 	0	0	0	 1 	0
90年 8月	0	 7 	 2 	 1 	0	0	 1 	0	0
90年 9月	0	 14 	 1 	 1 	 1 	0	0	0	0
90年 10月	 2 	 8 	 4 	 1 	 3 	0	 1 	0	0
90年 11月	0	 10 	 1 	 29 	 2 	0	 1 	 1 	0
90年 12月	0	 11 	0	 1 	0	0	0	0	0
91年	0	 147 	 13 	 69 	 28 	 1 	 9 	 5 	0
91年 1月	0	 10 	0	 7 	 1 	0	0	0	0
91年 2月	0	 5 	0	 2 	 3 	0	0	0	0
91年 3月	0	 9 	0	0	 6 	0	0	0	0
91年 4月	0	 16 	 2 	 5 	 1 	0	0	0	0
91年 5月	0	 18 	 2 	 3 	 4 	0	 3 	0	0
91年 6月	0	 22 	0	 6 	 4 	0	0	 1 	0
91年 7月	0	 32 	 3 	 11 	 2 	 1 	0	 1 	0
91年 8月	0	 4 	0	 15 	 3 	0	 3 	0	0
91年 9月	0	 12 	 2 	 6 	 1 	0	0	0	0
91年 10月	0	 9 	 1 	 7 	 2 	0	 3 	 2 	0
91年 11月	0	 6 	 1 	 3 	0	0	0	 1 	0
91年 12月	0	 4 	 2 	 4 	 1 	0	0	0	0
92年	0	 76 	 5 	 77 	 40 	0	 8 	 7 	0
92年 1月	0	 9 	0	0	 2 	0	 1 	0	0
92年 2月	0	 4 	0	 4 	 4 	0	 2 	 4 	0
92年 3月	0	 4 	0	 12 	 4 	0	 2 	 1 	0
92年 4月	0	 7 	0	 4 	 2 	0	 1 	0	0
92年 5月	0	 4 	0	 1 	 3 	0	0	0	0
92年 6月	0	 6 	0	 4 	 11 	0	0	0	0
92年 7月	0	 8 	 1 	 19 	 1 	0	 1 	0	0
92年 8月	0	 6 	0	 22 	 6 	0	0	0	0
92年 9月	0	 12 	 1 	 5 	 2 	0	 1 	 1 	0
92年 10月	0	 7 	 1 	 1 	 3 	0	0	0	0
92年 11月	0	 6 	 1 	 2 	 2 	0	0	0	0
92年 12月	0	 3 	 1 	 3 	0	0	0	 1 	0
93年	 2 	 85 	 10 	 74 	 22 	 1 	 5 	 9 	0
93年 1月	0	 2 	 3 	 4 	 3 	0	 1 	 2 	0
93年 2月	0	 7 	0	 6 	 2 	0	 1 	0	0
93年 3月	 1 	 9 	0	 4 	 2 	0	0	 1 	0
93年 4月	0	 5 	0	 8 	 3 	0	 1 	0	0
93年 5月	0	 5 	 2 	 4 	0	0	0	 2 	0
93年 6月	0	 8 	0	 4 	0	0	 1 	0	0
93年 7月	 1 	 8 	 2 	 23 	 2 	0	0	0	0
93年 8月	0	 14 	0	 12 	 4 	0	0	0	0
93年 9月	0	 8 	 2 	 1 	0	 1 	0	 1 	0
93年 10月	0	 7 	0	 4 	 1 	0	0	 1 	0
93年 11月	0	 7 	0	 2 	 1 	0	 1 	 1 	0
93年 12月	0	 5 	 1 	 2 	 4 	0	0	 1 	0
94年	 7 	 78 	 7 	 52 	 32 	 1 	 9 	 12 	 1 
94年 1月	0	 4 	 1 	 3 	 4 	0	0	0	0
94年 2月	 1 	 1 	 1 	 1 	 3 	0	0	 1 	0
94年 3月	0	 7 	 1 	 7 	 2 	0	 1 	0	0
94年 4月	 1 	 9 	0	 3 	0	0	 2 	 1 	0
94年 5月	 1 	 8 	0	 3 	 4 	0	0	0	0
94年 6月	0	 8 	0	 2 	 1 	 1 	0	 1 	0
94年 7月	0	 5 	 2 	 20 	 1 	0	0	 1 	0
94年 8月	 1 	 8 	 1 	 6 	 4 	0	 1 	 3 	0
94年 9月	0	 4 	0	0	 3 	0	 1 	 2 	 1 
94年 10月	 1 	 4 	 1 	 3 	 2 	0	 1 	 2 	0
94年 11月	 2 	 8 	0	 1 	 2 	0	 3 	 1 	0
94年 12月	0	 12 	0	 3 	 6 	0	0	0	0
95年	 9 	 90 	 8 	 80 	 36 	 2 	 6 	 9 	0
95年 1月	 2 	 6 	0	 13 	 5 	0	0	0	0
95年 2月	0	 9 	0	 4 	 2 	0	0	0	0
95年 3月	0	 5 	 1 	0	 6 	0	 1 	 1 	0
95年 4月	 2 	 10 	0	 4 	 2 	0	0	0	0
95年 5月	0	 9 	 2 	 9 	 4 	 1 	 1 	 1 	0
95年 6月	 1 	 7 	0	 6 	 4 	0	 1 	 1 	0
95年 7月	0	 8 	 1 	 11 	 3 	0	0	0	0
95年 8月	0	 6 	0	 21 	 2 	0	0	 1 	0
95年 9月	0	 7 	 1 	 6 	 3 	0	0	 1 	0
95年 10月	0	 8 	 1 	 3 	0	0	 2 	 2 	0
95年 11月	 2 	 10 	 1 	 1 	 2 	 1 	 1 	 1 	0
95年 12月	 2 	 5 	 1 	 2 	 3 	0	0	 1 	0
96年	 3 	 94 	 12 	 84 	 28 	 1 	 8 	 23 	0
96年 1月	0	 4 	0	 10 	0	0	0	0	0
96年 2月	 1 	 2 	0	 5 	 4 	0	 2 	 2 	0
96年 3月	0	 7 	 1 	 12 	 4 	0	 1 	0	0
96年 4月	 2 	 9 	 2 	 6 	 2 	0	0	 2 	0
96年 5月	0	 9 	 1 	 5 	 3 	0	 3 	 1 	0
96年 6月	0	 7 	0	 10 	 3 	0	 1 	 2 	0
96年 7月	0	 9 	0	 6 	 3 	 1 	0	 4 	0
96年 8月	0	 9 	 2 	 2 	 2 	0	0	 1 	0
96年 9月	0	 8 	 1 	 7 	 1 	0	 1 	 4 	0
96年 10月	0	 12 	 1 	 5 	 1 	0	0	 5 	0
96年 11月	0	 13 	 1 	 5 	 1 	0	0	 2 	0
96年 12月	0	 5 	 3 	 11 	 4 	0	0	0	0
97年	 1 	 112 	 6 	 96 	 20 	0	 4 	 10 	0
97年 1月	0	 16 	 1 	 1 	 2 	0	0	0	0
97年 2月	0	 5 	 1 	 9 	 2 	0	0	 1 	0
97年 3月	0	 16 	 3 	 8 	0	0	 1 	 3 	0
97年 4月	 1 	 5 	0	 6 	 4 	0	0	0	0
97年 5月	0	 4 	0	 10 	 3 	0	 1 	 2 	0
97年 6月	0	 8 	0	 9 	 2 	0	0	0	0
97年 7月	0	 9 	0	 9 	0	0	0	0	0
97年 8月	0	 4 	 1 	 14 	 1 	0	0	 2 	0
97年 9月	0	 13 	0	 10 	 1 	0	 1 	 1 	0
97年 10月	0	 12 	0	 4 	 2 	0	 1 	 1 	0
97年 11月	0	 10 	0	 7 	 1 	0	0	0	0
