時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
89年	 56 	 2 	 18 	 30 	 84 	 266 	 3 	0	 33 
89年 1月	 4 	0	0	 6 	 12 	 29 	0	0	 12 
89年 2月	 5 	0	 1 	 1 	 7 	 23 	0	0	 3 
89年 3月	 1 	0	 1 	0	 4 	 19 	0	0	 2 
89年 4月	 9 	 1 	 1 	 2 	 8 	 29 	0	0	 2 
89年 5月	0	0	 3 	 5 	 4 	 25 	0	0	 1 
89年 6月	 8 	 1 	 1 	 1 	 12 	 25 	0	0	 1 
89年 7月	 3 	0	 1 	 2 	 8 	 23 	0	0	 2 
89年 8月	 11 	0	 2 	 1 	 7 	 15 	0	0	 2 
89年 9月	 3 	0	 3 	 4 	 5 	 15 	0	0	 2 
89年 10月	 2 	0	 3 	 4 	 6 	 22 	 2 	0	0
89年 11月	 4 	0	 1 	 2 	 9 	 25 	 1 	0	 6 
89年 12月	 6 	0	 1 	 2 	 2 	 16 	0	0	0
90年	 114 	 2 	 31 	 80 	 107 	 220 	0	0	 88 
90年 1月	 2 	0	0	 7 	 6 	 22 	0	0	 1 
90年 2月	 1 	0	 1 	 4 	 2 	 6 	0	0	0
90年 3月	 4 	0	 5 	 9 	 8 	 12 	0	0	0
90年 4月	 9 	0	 4 	 13 	 6 	 18 	0	0	0
90年 5月	 30 	0	 5 	 5 	 2 	 12 	0	0	0
90年 6月	 4 	0	 2 	 2 	 11 	 25 	0	0	 1 
90年 7月	 2 	 1 	 3 	 7 	 12 	 28 	0	0	 7 
90年 8月	 2 	0	 1 	 5 	 25 	 46 	0	0	 14 
90年 9月	 54 	0	0	 8 	 7 	 15 	0	0	 20 
90年 10月	0	0	 1 	 5 	 10 	 18 	0	0	 18 
90年 11月	 2 	0	 5 	 8 	 12 	 12 	0	0	 11 
90年 12月	 4 	 1 	 4 	 7 	 6 	 6 	0	0	 16 
91年	 69 	 1 	 33 	 50 	 111 	 91 	 4 	0	 123 
91年 1月	 1 	0	 2 	 3 	 3 	 1 	0	0	 2 
91年 2月	 1 	 1 	 1 	 2 	 8 	 5 	0	0	 2 
91年 3月	 1 	0	 1 	 4 	 10 	 1 	0	0	 1 
91年 4月	 4 	0	 6 	 6 	 6 	 8 	0	0	 6 
