時間	毀棄損壞	妨害公務	妨害電腦使用	強盜	搶奪	內亂	重利	竊佔	偽造有價證券
89年	 21 	 14 	0	 31 	 33 	0	 22 	 1 	 1 
89年 1月	 1 	 1 	0	 7 	 2 	0	 2 	0	0
89年 2月	 1 	 1 	0	 8 	 5 	0	 6 	0	0
89年 3月	 2 	 1 	0	0	 1 	0	 1 	0	0
89年 4月	 2 	0	0	 1 	 3 	0	0	 1 	0
89年 5月	 2 	0	0	 2 	 1 	0	 2 	0	0
89年 6月	0	0	0	0	 2 	0	 1 	0	0
89年 7月	 5 	 2 	0	 5 	 2 	0	0	0	0
89年 8月	 3 	 1 	0	 2 	 4 	0	 6 	0	0
89年 9月	0	 1 	0	 1 	0	0	0	0	0
89年 10月	 1 	 3 	0	 3 	0	0	 1 	0	0
89年 11月	 1 	 1 	0	 2 	 13 	0	 2 	0	 1 
89年 12月	 3 	 3 	0	0	0	0	 1 	0	0
90年	 31 	 6 	0	 27 	 49 	0	 8 	0	0
90年 1月	 2 	 1 	0	 5 	 9 	0	 1 	0	0
90年 2月	 2 	0	0	 1 	 1 	0	0	0	0
90年 3月	 2 	0	0	 1 	0	0	 1 	0	0
90年 4月	 3 	0	0	 4 	 2 	0	0	0	0
90年 5月	 4 	0	0	0	 2 	0	 2 	0	0
90年 6月	 3 	 1 	0	 2 	 1 	0	 1 	0	0
90年 7月	 1 	0	0	 6 	 4 	0	 2 	0	0
90年 8月	 3 	 1 	0	 2 	 9 	0	0	0	0
90年 9月	 2 	0	0	 3 	 17 	0	0	0	0
90年 10月	 3 	0	0	 1 	0	0	 1 	0	0
90年 11月	 4 	0	0	 2 	 3 	0	0	0	0
90年 12月	 2 	 3 	0	0	 1 	0	0	0	0
91年	 26 	 8 	0	 30 	 55 	0	 11 	 3 	 3 
91年 1月	0	 1 	0	0	0	0	 1 	0	0
91年 2月	 2 	0	0	 1 	 4 	0	 1 	 2 	0
91年 3月	0	0	0	 5 	 11 	0	0	0	0
91年 4月	 4 	0	0	 7 	 3 	0	0	 1 	0
91年 5月	 4 	0	0	 1 	0	0	0	0	0
91年 6月	 3 	 1 	0	 1 	 4 	0	0	0	0
91年 7月	 4 	0	0	 4 	 7 	0	0	0	0
91年 8月	 2 	0	0	 2 	 8 	0	0	0	 1 
91年 9月	0	 1 	0	0	 2 	0	 1 	0	 2 
91年 10月	 2 	 3 	0	 3 	 10 	0	 3 	0	0
91年 11月	 3 	 2 	0	 1 	 1 	0	0	0	0
91年 12月	 2 	0	0	 5 	 5 	0	 5 	0	0
92年	 32 	 5 	0	 53 	 16 	0	 45 	0	 2 
92年 1月	 1 	 2 	0	 2 	 1 	0	 4 	0	0
92年 2月	 4 	0	0	 3 	 1 	0	 3 	0	0
92年 3月	 2 	 2 	0	 7 	0	0	 3 	0	0
92年 4月	 1 	0	0	 4 	 2 	0	 2 	0	0
92年 5月	 5 	0	0	0	0	0	0	0	 1 
92年 6月	 2 	 1 	0	 3 	 1 	0	 2 	0	0
92年 7月	 4 	0	0	 5 	0	0	0	0	 1 
92年 8月	 2 	0	0	 2 	 1 	0	 1 	0	0
92年 9月	 2 	0	0	 5 	 9 	0	0	0	0
92年 10月	 2 	0	0	 14 	0	0	 17 	0	0
92年 11月	 3 	0	0	 7 	0	0	0	0	0
92年 12月	 4 	0	0	 1 	 1 	0	 13 	0	0
93年	 28 	0	0	 19 	 58 	0	 32 	 2 	 1 
93年 1月	 2 	0	0	0	0	0	 4 	0	0
93年 2月	 3 	0	0	 1 	 3 	0	0	 1 	0
93年 3月	 2 	0	0	0	 2 	0	 1 	0	0
93年 4月	 5 	0	0	 1 	 9 	0	 1 	0	0
93年 5月	 3 	0	0	 1 	 8 	0	 3 	0	0
93年 6月	 1 	0	0	0	 4 	0	 2 	0	0
93年 7月	 1 	0	0	 3 	0	0	 5 	0	0
93年 8月	 1 	0	0	 2 	0	0	0	 1 	0
93年 9月	 1 	0	0	 6 	 8 	0	 9 	0	0
93年 10月	 3 	0	0	0	 2 	0	 1 	0	 1 
93年 11月	 3 	0	0	 4 	 2 	0	 5 	0	0
93年 12月	 3 	0	0	 1 	 20 	0	 1 	0	0
94年	 35 	 4 	 18 	 49 	 10 	0	 54 	 4 	0
94年 1月	 1 	0	 1 	 3 	0	0	0	0	0
94年 2月	 1 	0	0	 2 	 1 	0	 1 	0	0
94年 3月	 3 	0	 2 	 6 	 1 	0	 1 	 3 	0
94年 4月	 4 	 1 	 1 	 3 	0	0	 6 	0	0
94年 5月	 4 	 1 	 3 	 11 	 2 	0	0	0	0
94年 6月	 1 	0	 2 	 3 	0	0	 3 	0	0
94年 7月	 1 	0	0	0	 2 	0	0	0	0
94年 8月	 5 	0	 2 	 8 	 2 	0	 9 	 1 	0
94年 9月	 3 	0	 1 	 5 	0	0	 2 	0	0
94年 10月	 4 	 1 	 2 	 4 	 2 	0	 10 	0	0
94年 11月	 3 	 1 	 2 	 1 	0	0	 7 	0	0
94年 12月	 5 	0	 2 	 3 	0	0	 15 	0	0
95年	 47 	 3 	 8 	 20 	 92 	0	 158 	 8 	 3 
95年 1月	 4 	0	0	 2 	 5 	0	 9 	 2 	0
95年 2月	 10 	0	 1 	0	0	0	 3 	 1 	0
