時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 1,149 	 478 	 17 	 142 	 4 	 434 	 23 	 80 	 19 
89年 1月	 100 	 43 	0	 25 	0	 32 	 1 	 10 	 1 
89年 2月	 68 	 33 	 2 	 23 	0	 29 	 1 	 5 	0
89年 3月	 80 	 35 	 1 	 11 	 1 	 35 	 1 	 4 	 1 
89年 4月	 84 	 60 	 2 	 10 	0	 31 	 2 	 8 	 2 
89年 5月	 116 	 40 	 1 	 14 	0	 35 	 1 	 6 	 3 
89年 6月	 100 	 39 	0	 12 	0	 28 	 3 	 5 	0
89年 7月	 116 	 38 	0	 6 	0	 41 	0	 4 	 2 
89年 8月	 126 	 35 	 1 	 9 	0	 44 	 2 	 5 	 2 
89年 9月	 100 	 49 	 4 	 8 	0	 56 	0	 11 	 2 
89年 10月	 94 	 34 	 2 	 12 	 1 	 40 	 7 	 8 	 2 
89年 11月	 91 	 29 	 1 	 4 	 1 	 27 	 1 	 9 	 1 
89年 12月	 74 	 43 	 3 	 8 	 1 	 36 	 4 	 5 	 3 
90年	 1,258 	 463 	 16 	 76 	 3 	 527 	 60 	 81 	 36 
90年 1月	 108 	 35 	 2 	 15 	0	 32 	 4 	 3 	 1 
90年 2月	 87 	 32 	 1 	 10 	0	 34 	 2 	 4 	 3 
90年 3月	 84 	 46 	 4 	 10 	 1 	 51 	0	 7 	 4 
90年 4月	 108 	 37 	 1 	 8 	 1 	 35 	 1 	 9 	 3 
90年 5月	 112 	 31 	 1 	 6 	0	 44 	 6 	 6 	 4 
90年 6月	 93 	 50 	 1 	 6 	0	 39 	 4 	 6 	 3 
90年 7月	 120 	 27 	 2 	 2 	0	 46 	 1 	 7 	 2 
90年 8月	 120 	 35 	0	 2 	 1 	 53 	 7 	 6 	 1 
90年 9月	 88 	 40 	 2 	 2 	0	 50 	 8 	 6 	 7 
90年 10月	 118 	 39 	 1 	 7 	0	 56 	 1 	 10 	 2 
90年 11月	 121 	 39 	0	 2 	0	 36 	 17 	 9 	 2 
90年 12月	 99 	 52 	 1 	 6 	0	 51 	 9 	 8 	 4 
91年	 1,365 	 576 	 14 	 50 	 1 	 511 	 67 	 98 	 23 
91年 1月	 69 	 39 	0	 5 	0	 27 	 6 	 2 	 3 
91年 2月	 123 	 44 	 1 	 10 	0	 32 	 4 	 5 	 6 
91年 3月	 116 	 62 	 1 	 7 	 1 	 53 	 3 	 10 	 2 
91年 4月	 103 	 64 	0	 5 	0	 46 	 6 	 14 	0
91年 5月	 95 	 44 	0	 1 	0	 46 	 7 	 7 	0
91年 6月	 124 	 50 	 1 	 3 	0	 56 	 4 	 10 	 1 
91年 7月	 122 	 43 	0	 1 	0	 46 	 4 	 10 	0
91年 8月	 115 	 44 	 1 	 3 	0	 55 	 8 	 11 	 6 
91年 9月	 144 	 40 	0	 5 	0	 45 	 7 	 11 	 1 
91年 10月	 126 	 49 	 2 	 4 	0	 40 	 8 	 9 	 2 
91年 11月	 132 	 46 	 7 	 2 	0	 33 	 8 	 1 	 1 
91年 12月	 96 	 51 	 1 	 4 	0	 32 	 2 	 8 	 1 
92年	 1,527 	 480 	 17 	 57 	 3 	 469 	 112 	 109 	 16 
92年 1月	 161 	 58 	 1 	 8 	0	 40 	 10 	 11 	 4 
92年 2月	 111 	 25 	 3 	 8 	0	 40 	 3 	 5 	0
92年 3月	 136 	 31 	0	 5 	 2 	 41 	 7 	 12 	 3 
92年 4月	 122 	 34 	0	 2 	0	 32 	 4 	 5 	 3 
92年 5月	 137 	 44 	 4 	 11 	0	 45 	 7 	 5 	0
92年 6月	 155 	 42 	0	 4 	0	 37 	 5 	 8 	 1 
92年 7月	 94 	 50 	 2 	 3 	 1 	 44 	 13 	 11 	 1 
92年 8月	 105 	 53 	 1 	 3 	0	 53 	 8 	 19 	0
