時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
89年	 47 	0	 15 	 58 	 136 	 693 	0	0	 19 
89年 1月	 5 	0	 1 	 3 	 12 	 84 	0	0	 2 
89年 2月	 1 	0	 1 	 2 	 18 	 72 	0	0	 3 
89年 3月	0	0	 1 	 2 	 6 	 50 	0	0	 4 
89年 4月	 1 	0	 1 	 2 	 14 	 65 	0	0	0
89年 5月	 2 	0	 1 	 3 	 6 	 61 	0	0	 4 
89年 6月	 3 	0	0	 6 	 6 	 48 	0	0	 1 
89年 7月	 1 	0	 1 	0	 12 	 50 	0	0	 1 
89年 8月	 10 	0	 3 	 7 	 18 	 59 	0	0	0
89年 9月	 2 	0	 1 	 3 	 14 	 60 	0	0	0
89年 10月	 3 	0	 2 	 11 	 11 	 44 	0	0	 1 
89年 11月	 13 	0	 1 	 10 	 8 	 64 	0	0	 2 
89年 12月	 6 	0	 2 	 9 	 11 	 36 	0	0	 1 
90年	 74 	 2 	 39 	 86 	 204 	 358 	0	0	 26 
90年 1月	 1 	0	0	 10 	 21 	 37 	0	0	 1 
90年 2月	 5 	0	 4 	 5 	 8 	 31 	0	0	0
90年 3月	 13 	0	 3 	 11 	 10 	 31 	0	0	0
90年 4月	 5 	0	 1 	 6 	 13 	 41 	0	0	 1 
90年 5月	0	0	 4 	 6 	 16 	 26 	0	0	 2 
90年 6月	 4 	0	 1 	 7 	 14 	 45 	0	0	 1 
90年 7月	 2 	0	 7 	 6 	 19 	 28 	0	0	 5 
90年 8月	 3 	0	 2 	 8 	 16 	 41 	0	0	 3 
90年 9月	 11 	0	 2 	 3 	 16 	 22 	0	0	 3 
90年 10月	 28 	0	 4 	 14 	 17 	 23 	0	0	 2 
90年 11月	 1 	 2 	 9 	 7 	 28 	 23 	0	0	 6 
90年 12月	 1 	0	 2 	 3 	 26 	 10 	0	0	 2 
91年	 121 	 2 	 44 	 50 	 335 	 152 	0	0	 43 
91年 1月	 2 	0	 2 	 5 	 7 	 5 	0	0	0
91年 2月	 1 	0	 2 	 2 	 32 	 23 	0	0	 8 
91年 3月	 2 	0	 8 	 10 	 37 	 19 	0	0	 5 
91年 4月	 3 	0	 2 	 3 	 31 	 21 	0	0	 3 
91年 5月	 1 	0	 5 	 4 	 29 	 11 	0	0	 3 
91年 6月	 42 	0	 3 	 2 	 38 	 11 	0	0	 2 
91年 7月	 1 	 1 	 3 	 6 	 22 	 8 	0	0	 1 
91年 8月	 7 	0	 3 	 2 	 25 	 14 	0	0	 4 
91年 9月	 3 	0	 2 	 7 	 33 	 19 	0	0	 10 
