時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
89年	 1 	0	0	 14 	 22 	 3 	 2 	 746 	0
89年 1月	0	0	0	 2 	0	 2 	0	 71 	0
89年 2月	0	0	0	0	0	0	0	 68 	0
89年 3月	0	0	0	0	0	0	0	 55 	0
89年 4月	0	0	0	 1 	 3 	0	 1 	 39 	0
89年 5月	0	0	0	 1 	 2 	 1 	0	 57 	0
89年 6月	 1 	0	0	 3 	 2 	0	0	 29 	0
89年 7月	0	0	0	0	 1 	0	 1 	 56 	0
89年 8月	0	0	0	 2 	 6 	0	0	 79 	0
89年 9月	0	0	0	 2 	 1 	0	0	 81 	0
89年 10月	0	0	0	 3 	 1 	0	0	 74 	0
89年 11月	0	0	0	0	 4 	0	0	 67 	0
89年 12月	0	0	0	0	 2 	0	0	 70 	0
90年	 1 	0	0	 12 	 41 	 1 	 1 	 1,144 	0
90年 1月	0	0	0	 1 	 4 	0	0	 119 	0
90年 2月	0	0	0	0	 2 	0	0	 89 	0
90年 3月	0	0	0	 2 	 5 	0	0	 93 	0
90年 4月	 1 	0	0	0	 3 	0	0	 113 	0
90年 5月	0	0	0	0	 6 	 1 	0	 109 	0
90年 6月	0	0	0	0	 3 	0	0	 100 	0
90年 7月	0	0	0	0	 3 	0	0	 95 	0
90年 8月	0	0	0	 1 	 5 	0	0	 110 	0
90年 9月	0	0	0	0	 4 	0	0	 79 	0
90年 10月	0	0	0	 3 	 3 	0	0	 83 	0
90年 11月	0	0	0	 5 	 2 	0	0	 83 	0
90年 12月	0	0	0	0	 1 	0	 1 	 71 	0
91年	 1 	0	0	 10 	 45 	 2 	0	 1,055 	0
91年 1月	 1 	0	0	 1 	 5 	0	0	 64 	0
91年 2月	0	0	0	0	 8 	0	0	 105 	0
91年 3月	0	0	0	0	 9 	0	0	 106 	0
91年 4月	0	0	0	 2 	 1 	0	0	 86 	0
91年 5月	0	0	0	0	 4 	0	0	 89 	0
91年 6月	0	0	0	0	0	0	0	 79 	0
91年 7月	0	0	0	 1 	 3 	0	0	 89 	0
91年 8月	0	0	0	 1 	 2 	 1 	0	 114 	0
91年 9月	0	0	0	 1 	 2 	0	0	 114 	0
91年 10月	0	0	0	 1 	 2 	0	0	 77 	0
91年 11月	0	0	0	 3 	 1 	0	0	 78 	0
91年 12月	0	0	0	0	 8 	 1 	0	 54 	0
92年	 1 	 1 	0	 14 	 23 	 1 	 13 	 722 	0
92年 1月	0	0	0	0	 9 	0	0	 96 	0
92年 2月	0	0	0	0	 2 	0	 1 	 62 	0
92年 3月	0	0	0	 1 	 3 	0	0	 57 	0
92年 4月	 1 	0	0	 1 	 1 	 1 	0	 61 	0
92年 5月	0	0	0	 4 	 1 	0	 4 	 63 	0
92年 6月	0	0	0	 1 	 2 	0	0	 61 	0
92年 7月	0	 1 	0	 3 	 1 	0	 8 	 52 	0
92年 8月	0	0	0	0	 3 	0	0	 54 	0
