時間	毀棄損壞	妨害公務	妨害電腦使用	強盜	搶奪	內亂	重利	竊佔	偽造有價證券
89年	 24 	 21 	0	 78 	 34 	0	 14 	 18 	 1 
89年 1月	 3 	 1 	0	 10 	 2 	0	 1 	 1 	0
89年 2月	0	0	0	 14 	 2 	0	 1 	 1 	0
89年 3月	 1 	 3 	0	 1 	0	0	 1 	 1 	0
89年 4月	 2 	 1 	0	 2 	 1 	0	 5 	 2 	0
89年 5月	 2 	 3 	0	 8 	 2 	0	0	0	0
89年 6月	 2 	0	0	 10 	 3 	0	 1 	 2 	 1 
89年 7月	 2 	 1 	0	 7 	 6 	0	 1 	 3 	0
89年 8月	 2 	 3 	0	 5 	 5 	0	 1 	 3 	0
89年 9月	 1 	 2 	0	 1 	 2 	0	 1 	0	0
89年 10月	 4 	0	0	 9 	 7 	0	0	 3 	0
89年 11月	 2 	 3 	0	 7 	 3 	0	 1 	 1 	0
89年 12月	 3 	 4 	0	 4 	 1 	0	 1 	 1 	0
90年	 27 	 22 	0	 106 	 91 	0	 1 	 13 	0
90年 1月	 2 	 1 	0	 28 	 10 	0	0	 1 	0
90年 2月	 1 	 2 	0	 19 	 12 	0	0	 2 	0
90年 3月	 2 	0	0	 11 	 5 	0	0	 2 	0
90年 4月	0	 1 	0	 8 	 6 	0	0	 1 	0
90年 5月	 3 	 2 	0	 4 	 3 	0	0	0	0
90年 6月	 1 	 3 	0	 8 	 1 	0	0	 1 	0
90年 7月	 7 	 1 	0	 5 	 1 	0	0	 3 	0
90年 8月	 6 	 1 	0	 5 	 2 	0	0	0	0
90年 9月	0	 5 	0	 4 	 2 	0	0	 1 	0
90年 10月	 1 	 1 	0	 11 	 10 	0	0	 1 	0
90年 11月	 2 	 4 	0	 3 	 36 	0	 1 	 1 	0
90年 12月	 2 	 1 	0	0	 3 	0	0	0	0
91年	 15 	 13 	0	 97 	 79 	0	 5 	 11 	 8 
91年 1月	 1 	 2 	0	 1 	 1 	0	 1 	0	0
91年 2月	 2 	0	0	 31 	 11 	0	 1 	 2 	0
91年 3月	0	0	0	 6 	 1 	0	0	0	0
91年 4月	 2 	 3 	0	 3 	 1 	0	0	 2 	0
91年 5月	 2 	 1 	0	 10 	 2 	0	0	0	0
91年 6月	 1 	 3 	0	 6 	 4 	0	0	 1 	0
91年 7月	 2 	 2 	0	 3 	 10 	0	 1 	 2 	0
91年 8月	 2 	 1 	0	 14 	 8 	0	0	0	0
91年 9月	 1 	0	0	 5 	 15 	0	0	 1 	0
91年 10月	0	 1 	0	 8 	 19 	0	0	 3 	 1 
91年 11月	 2 	0	0	 3 	 4 	0	0	0	0
91年 12月	0	0	0	 7 	 3 	0	 2 	0	 7 
92年	 10 	 14 	0	 90 	 75 	0	 20 	 8 	 1 
92年 1月	 2 	 4 	0	 13 	 9 	0	0	0	0
92年 2月	 1 	0	0	 10 	 8 	0	0	 2 	0
92年 3月	0	 1 	0	 11 	 4 	0	0	 1 	 1 
92年 4月	0	0	0	 21 	 8 	0	0	 1 	0
92年 5月	 2 	 1 	0	 4 	 13 	0	0	 1 	0
92年 6月	0	0	0	 9 	 6 	0	0	 2 	0
92年 7月	0	 2 	0	 8 	 5 	0	0	0	0
92年 8月	 1 	 2 	0	 6 	 2 	0	 7 	0	0
92年 9月	0	 1 	0	 3 	 7 	0	0	0	0
92年 10月	 3 	 2 	0	 1 	0	0	 12 	0	0
92年 11月	 1 	 1 	0	 3 	 7 	0	 1 	 1 	0
92年 12月	0	0	0	 1 	 6 	0	0	0	0
93年	 18 	 7 	0	 63 	 73 	0	 7 	 8 	 1 
93年 1月	 2 	 2 	0	 13 	 15 	0	0	 1 	0
93年 2月	0	 1 	0	 13 	 9 	0	0	 2 	0
93年 3月	 5 	0	0	 2 	 6 	0	 1 	0	0
93年 4月	 2 	0	0	 5 	0	0	0	0	0
93年 5月	 1 	 2 	0	 6 	 4 	0	0	0	0
93年 6月	 1 	0	0	 2 	 2 	0	0	 2 	0
93年 7月	 1 	0	0	 4 	 5 	0	 2 	0	0
93年 8月	 1 	 1 	0	0	 6 	0	0	 1 	0
93年 9月	 1 	0	0	 5 	 15 	0	 4 	 1 	0
93年 10月	 3 	0	0	 5 	 7 	0	0	 1 	0
93年 11月	0	 1 	0	 5 	 1 	0	0	0	 1 
93年 12月	 1 	0	0	 3 	 3 	0	0	0	0
94年	 16 	 9 	 6 	 54 	 62 	0	 9 	 8 	0
94年 1月	 2 	0	0	 6 	0	0	 3 	0	0
94年 2月	0	 1 	0	 1 	 8 	0	 2 	0	0
94年 3月	 3 	0	 1 	 1 	 4 	0	 1 	0	0
94年 4月	0	0	 1 	 5 	0	0	 1 	0	0
94年 5月	 1 	0	 1 	 3 	 1 	0	 1 	 2 	0
94年 6月	0	 3 	 2 	 3 	 11 	0	0	 3 	0
94年 7月	 2 	0	0	 15 	 3 	0	0	0	0
94年 8月	 2 	 1 	0	 5 	 9 	0	0	0	0
94年 9月	 3 	 1 	0	 2 	 12 	0	0	0	0
94年 10月	 1 	 2 	 1 	 5 	 6 	0	0	 2 	0
94年 11月	 1 	0	0	 6 	 1 	0	 1 	0	0
94年 12月	 1 	 1 	0	 2 	 7 	0	0	 1 	0
95年	 35 	 8 	 9 	 29 	 52 	0	 32 	 13 	0
95年 1月	 2 	0	0	 6 	 2 	0	0	 6 	0
95年 2月	 2 	0	0	 3 	 4 	0	0	 3 	0
95年 3月	 5 	 3 	0	 3 	 2 	0	0	 2 	0
95年 4月	 2 	0	 2 	 1 	 4 	0	0	 1 	0
95年 5月	 4 	 2 	 2 	 3 	 3 	0	 3 	0	0
95年 6月	 2 	 1 	0	0	 4 	0	 2 	0	0
95年 7月	 5 	0	 1 	 1 	 2 	0	 10 	0	0
95年 8月	 2 	0	0	0	 3 	0	 8 	 1 	0
95年 9月	 4 	 1 	 3 	 6 	 5 	0	 2 	0	0
95年 10月	 1 	 1 	0	 3 	 6 	0	 1 	0	0
95年 11月	 2 	0	 1 	 1 	 5 	0	 3 	0	0
95年 12月	 4 	0	0	 2 	 12 	0	 3 	0	0
96年	 20 	 15 	 17 	 33 	 39 	0	 53 	 11 	0
96年 1月	 2 	 1 	0	 1 	 1 	0	 5 	0	0
96年 2月	 1 	 2 	 2 	 3 	 4 	0	 5 	 2 	0
96年 3月	 1 	 1 	 3 	 1 	 3 	0	 8 	 1 	0
96年 4月	 5 	 1 	 2 	 6 	 2 	0	 3 	 1 	0
