時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
89年	0	0	0	 1 	 16 	0	 5 	 300 	0
89年 1月	0	0	0	0	 1 	0	0	 27 	0
89年 2月	0	0	0	0	0	0	0	 11 	0
89年 3月	0	0	0	0	0	0	0	 12 	0
89年 4月	0	0	0	0	 1 	0	 1 	 14 	0
89年 5月	0	0	0	0	0	0	0	 16 	0
89年 6月	0	0	0	0	0	0	 1 	 20 	0
89年 7月	0	0	0	 1 	 1 	0	0	 23 	0
89年 8月	0	0	0	0	 1 	0	0	 34 	0
89年 9月	0	0	0	0	 6 	0	 2 	 34 	0
89年 10月	0	0	0	0	 2 	0	 1 	 36 	0
89年 11月	0	0	0	0	 1 	0	0	 38 	0
89年 12月	0	0	0	0	 3 	0	0	 35 	0
90年	0	0	0	 1 	 61 	0	 3 	 523 	0
90年 1月	0	0	0	0	 5 	0	0	 37 	0
90年 2月	0	0	0	0	 4 	0	0	 45 	0
90年 3月	0	0	0	0	 6 	0	0	 43 	0
90年 4月	0	0	0	0	 6 	0	0	 47 	0
90年 5月	0	0	0	0	 6 	0	 1 	 43 	0
90年 6月	0	0	0	 1 	 6 	0	0	 37 	0
90年 7月	0	0	0	0	 6 	0	0	 38 	0
90年 8月	0	0	0	0	 3 	0	 2 	 38 	0
90年 9月	0	0	0	0	 6 	0	0	 34 	0
90年 10月	0	0	0	0	 3 	0	0	 56 	0
90年 11月	0	0	0	0	 4 	0	0	 55 	0
90年 12月	0	0	0	0	 6 	0	0	 50 	0
91年	0	0	0	0	 24 	0	 1 	 424 	0
91年 1月	0	0	0	0	 8 	0	0	 35 	0
91年 2月	0	0	0	0	 3 	0	0	 39 	0
91年 3月	0	0	0	0	 6 	0	 1 	 35 	0
91年 4月	0	0	0	0	0	0	0	 38 	0
91年 5月	0	0	0	0	0	0	0	 33 	0
91年 6月	0	0	0	0	 1 	0	0	 30 	0
91年 7月	0	0	0	0	 1 	0	0	 42 	0
91年 8月	0	0	0	0	 3 	0	0	 39 	0
91年 9月	0	0	0	0	 1 	0	0	 38 	0
91年 10月	0	0	0	0	 1 	0	0	 30 	0
91年 11月	0	0	0	0	0	0	0	 30 	0
91年 12月	0	0	0	0	0	0	0	 35 	0
92年	0	 1 	0	0	 26 	0	 20 	 309 	0
92年 1月	0	0	0	0	 6 	0	 1 	 27 	0
92年 2月	0	 1 	0	0	 1 	0	0	 24 	0
92年 3月	0	0	0	0	 1 	0	 2 	 17 	0
92年 4月	0	0	0	0	 6 	0	 3 	 18 	0
92年 5月	0	0	0	0	 2 	0	 1 	 19 	0
92年 6月	0	0	0	0	0	0	 1 	 15 	0
92年 7月	0	0	0	0	 1 	0	 2 	 25 	0
92年 8月	0	0	0	0	0	0	 1 	 21 	0
92年 9月	0	0	0	0	0	0	0	 30 	0
92年 10月	0	0	0	0	 7 	0	0	 23 	0
92年 11月	0	0	0	0	0	0	 4 	 40 	0
92年 12月	0	0	0	0	 2 	0	 5 	 50 	0
93年	0	 1 	0	0	 11 	0	 9 	 635 	 2 
93年 1月	0	0	0	0	0	0	0	 55 	0
93年 2月	0	0	0	0	 1 	0	0	 60 	0
93年 3月	0	 1 	0	0	 1 	0	0	 42 	0
93年 4月	0	0	0	0	0	0	0	 26 	0
93年 5月	0	0	0	0	 4 	0	0	 75 	0
93年 6月	0	0	0	0	0	0	0	 84 	0
93年 7月	0	0	0	0	 2 	0	 3 	 53 	 1 
93年 8月	0	0	0	0	0	0	 5 	 51 	0
93年 9月	0	0	0	0	0	0	0	 47 	0
93年 10月	0	0	0	0	0	0	0	 55 	0
93年 11月	0	0	0	0	 2 	0	0	 44 	 1 
93年 12月	0	0	0	0	 1 	0	 1 	 43 	0
94年	0	0	0	0	 12 	0	 6 	 416 	0
94年 1月	0	0	0	0	 1 	0	 3 	 74 	0
94年 2月	0	0	0	0	0	0	 1 	 25 	0
94年 3月	0	0	0	0	0	0	0	 49 	0
94年 4月	0	0	0	0	0	0	0	 32 	0
94年 5月	0	0	0	0	 6 	0	 1 	 36 	0
94年 6月	0	0	0	0	0	0	0	 19 	0
94年 7月	0	0	0	0	 1 	0	0	 28 	0
94年 8月	0	0	0	0	 1 	0	0	 21 	0
94年 9月	0	0	0	0	0	0	0	 28 	0
94年 10月	0	0	0	0	 2 	0	 1 	 44 	0
94年 11月	0	0	0	0	 1 	0	0	 29 	0
94年 12月	0	0	0	0	0	0	0	 31 	0
95年	0	0	0	0	 27 	0	 4 	 424 	0
95年 1月	0	0	0	0	0	0	 2 	 36 	0
95年 2月	0	0	0	0	0	0	0	 40 	0
95年 3月	0	0	0	0	0	0	0	 32 	0
95年 4月	0	0	0	0	 7 	0	0	 41 	0
95年 5月	0	0	0	0	 3 	0	0	 32 	0
95年 6月	0	0	0	0	 1 	0	0	 22 	0
95年 7月	0	0	0	0	0	0	0	 37 	0
95年 8月	0	0	0	0	 4 	0	 1 	 44 	0
95年 9月	0	0	0	0	 2 	0	0	 33 	0
95年 10月	0	0	0	0	 3 	0	0	 35 	0
95年 11月	0	0	0	0	 4 	0	0	 38 	0
95年 12月	0	0	0	0	 3 	0	 1 	 34 	0
96年	0	0	0	0	 45 	0	 3 	 353 	0
96年 1月	0	0	0	0	0	0	0	 35 	0
96年 2月	0	0	0	0	 2 	0	0	 35 	0
96年 3月	0	0	0	0	 4 	0	0	 27 	0
96年 4月	0	0	0	0	 2 	0	 1 	 36 	0
96年 5月	0	0	0	0	 4 	0	0	 19 	0
96年 6月	0	0	0	0	 6 	0	0	 23 	0
96年 7月	0	0	0	0	 9 	0	 1 	 35 	0
96年 8月	0	0	0	0	 3 	0	 1 	 20 	0
96年 9月	0	0	0	0	 1 	0	0	 31 	0
96年 10月	0	0	0	0	 8 	0	0	 23 	0
96年 11月	0	0	0	0	 4 	0	0	 34 	0
96年 12月	0	0	0	0	 2 	0	0	 35 	0
97年	0	0	0	0	 27 	0	 3 	 351 	0
97年 1月	0	0	0	0	 4 	0	0	 31 	0
97年 2月	0	0	0	0	 1 	0	0	 20 	0
97年 3月	0	0	0	0	 3 	0	0	 20 	0
97年 4月	0	0	0	0	 1 	0	 2 	 28 	0
97年 5月	0	0	0	0	0	0	0	 21 	0
97年 6月	0	0	0	0	 4 	0	 1 	 20 	0
97年 7月	0	0	0	0	 2 	0	0	 20 	0
97年 8月	0	0	0	0	0	0	0	 48 	0
97年 9月	0	0	0	0	 7 	0	0	 32 	0
97年 10月	0	0	0	0	 1 	0	0	 29 	0
97年 11月	0	0	0	0	 1 	0	0	 37 	0
97年 12月	0	0	0	0	 3 	0	0	 45 	0
98年	0	0	0	0	 33 	0	 1 	 485 	0
98年 1月	0	0	0	0	0	0	0	 57 	0
98年 2月	0	0	0	0	 6 	0	0	 37 	0
