時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
89年	 7 	0	0	 18 	 1 	 2 	0	 49 	 121 
89年 1月	0	0	0	0	0	 1 	0	 2 	 34 
89年 2月	 1 	0	0	 1 	0	0	0	 11 	 30 
89年 3月	0	0	0	 5 	0	0	0	 7 	 3 
89年 4月	0	0	0	 2 	0	0	0	 4 	 3 
89年 5月	 3 	0	0	 2 	0	0	0	0	 2 
89年 6月	0	0	0	 1 	0	0	0	 3 	 3 
89年 7月	 1 	0	0	0	0	0	0	 8 	 9 
89年 8月	0	0	0	 1 	 1 	0	0	 3 	 4 
89年 9月	0	0	0	 3 	0	 1 	0	 4 	 10 
89年 10月	 2 	0	0	 1 	0	0	0	 4 	 8 
89年 11月	0	0	0	0	0	0	0	 3 	 5 
89年 12月	0	0	0	 2 	0	0	0	0	 10 
90年	 12 	0	0	 12 	0	 5 	0	 27 	 79 
90年 1月	 1 	0	0	 1 	0	0	0	 4 	 8 
90年 2月	 1 	0	0	 1 	0	0	0	 5 	 9 
90年 3月	 1 	0	0	 1 	0	0	0	 1 	 7 
90年 4月	 1 	0	0	0	0	0	0	 1 	 5 
90年 5月	 4 	0	0	 1 	0	0	0	0	 1 
90年 6月	0	0	0	 4 	0	 2 	0	 3 	 6 
90年 7月	 2 	0	0	0	0	0	0	 5 	 7 
90年 8月	0	0	0	 2 	0	 1 	0	0	 8 
90年 9月	 1 	0	0	0	0	 1 	0	 3 	 6 
90年 10月	 1 	0	0	 1 	0	 1 	0	 1 	 9 
90年 11月	0	0	0	0	0	0	0	 1 	 8 
90年 12月	0	0	0	 1 	0	0	0	 3 	 5 
91年	 6 	0	0	 7 	0	0	 1 	 29 	 66 
91年 1月	0	0	0	 1 	0	0	0	0	 11 
91年 2月	0	0	0	 1 	0	0	0	 10 	 4 
91年 3月	 2 	0	0	 2 	0	0	0	 3 	 4 
91年 4月	0	0	0	0	0	0	0	 7 	 2 
91年 5月	0	0	0	0	0	0	0	0	 3 
91年 6月	0	0	0	0	0	0	0	 4 	 4 
91年 7月	0	0	0	 2 	0	0	 1 	 2 	 5 
91年 8月	0	0	0	 1 	0	0	0	 1 	 11 
91年 9月	0	0	0	0	0	0	0	0	 7 
91年 10月	 1 	0	0	0	0	0	0	0	 1 
91年 11月	0	0	0	0	0	0	0	 2 	 7 
91年 12月	 3 	0	0	0	0	0	0	0	 7 
92年	 11 	0	0	 4 	0	0	0	 24 	 94 
92年 1月	 1 	0	0	0	0	0	0	 1 	 7 
92年 2月	 1 	0	0	0	0	0	0	 1 	 3 
92年 3月	 1 	0	0	 1 	0	0	0	 1 	 4 
92年 4月	 1 	0	0	0	0	0	0	 2 	 7 
92年 5月	 1 	0	0	0	0	0	0	 2 	 4 
92年 6月	0	0	0	0	0	0	0	0	 15 
92年 7月	0	0	0	0	0	0	0	 2 	 9 
92年 8月	0	0	0	 2 	0	0	0	 4 	 14 
92年 9月	 1 	0	0	0	0	0	0	 1 	 5 
92年 10月	 1 	0	0	0	0	0	0	 6 	 9 
92年 11月	 1 	0	0	0	0	0	0	 1 	 7 
92年 12月	 3 	0	0	 1 	0	0	0	 3 	 10 
93年	 2 	0	0	 2 	0	 2 	0	 46 	 115 
93年 1月	0	0	0	0	0	0	0	 3 	 19 
93年 2月	0	0	0	0	0	0	0	0	 9 
93年 3月	0	0	0	 1 	0	0	0	 1 	 6 
93年 4月	0	0	0	 1 	0	0	0	 1 	 10 
93年 5月	0	0	0	0	0	0	0	 2 	 11 
93年 6月	0	0	0	0	0	 2 	0	 4 	 3 
93年 7月	 1 	0	0	0	0	0	0	 18 	 12 
93年 8月	0	0	0	0	0	0	0	 5 	 13 
93年 9月	0	0	0	0	0	0	0	 3 	 16 
93年 10月	0	0	0	0	0	0	0	 3 	 8 
93年 11月	 1 	0	0	0	0	0	0	 3 	 3 
93年 12月	0	0	0	0	0	0	0	 3 	 5 
94年	 3 	0	0	 3 	0	0	0	 43 	 95 
94年 1月	0	0	0	0	0	0	0	 11 	 15 
94年 2月	 1 	0	0	0	0	0	0	 8 	 6 
94年 3月	0	0	0	0	0	0	0	 1 	 7 
94年 4月	0	0	0	0	0	0	0	 1 	 2 
94年 5月	 1 	0	0	0	0	0	0	 2 	 5 
94年 6月	0	0	0	0	0	0	0	 1 	 4 
94年 7月	 1 	0	0	 1 	0	0	0	 4 	 3 
94年 8月	0	0	0	0	0	0	0	 1 	 9 
94年 9月	0	0	0	0	0	0	0	 4 	 18 
94年 10月	0	0	0	 2 	0	0	0	 2 	 12 
94年 11月	0	0	0	0	0	0	0	 2 	 9 
94年 12月	0	0	0	0	0	0	0	 6 	 5 
95年	 2 	0	0	 5 	 1 	0	0	 33 	 85 
95年 1月	0	0	0	0	0	0	0	 4 	 5 
95年 2月	0	0	0	0	0	0	0	 2 	 8 
95年 3月	0	0	0	 1 	0	0	0	 1 	 9 
95年 4月	0	0	0	 1 	 1 	0	0	0	 12 
95年 5月	0	0	0	0	0	0	0	 4 	 1 
95年 6月	0	0	0	0	0	0	0	 3 	 3 
95年 7月	 1 	0	0	0	0	0	0	 5 	 9 
95年 8月	0	0	0	0	0	0	0	 5 	 9 
95年 9月	0	0	0	 2 	0	0	0	 5 	 5 
95年 10月	 1 	0	0	0	0	0	0	 2 	 8 
95年 11月	0	0	0	0	0	0	0	 2 	 7 
95年 12月	0	0	0	 1 	0	0	0	0	 9 
96年	 2 	0	0	 7 	0	 1 	0	 25 	 68 
96年 1月	0	0	0	0	0	0	0	 1 	 3 
96年 2月	 1 	0	0	0	0	0	0	 4 	 6 
96年 3月	0	0	0	0	0	0	0	 2 	 2 
96年 4月	0	0	0	0	0	0	0	0	 1 
96年 5月	0	0	0	 2 	0	0	0	0	 7 
96年 6月	0	0	0	0	0	0	0	 3 	 5 
96年 7月	0	0	0	0	0	0	0	 2 	 8 
96年 8月	0	0	0	 1 	0	 1 	0	 3 	 15 
96年 9月	0	0	0	 1 	0	0	0	 1 	 3 
96年 10月	 1 	0	0	0	0	0	0	 1 	 9 
96年 11月	0	0	0	 2 	0	0	0	 6 	 2 
96年 12月	0	0	0	 1 	0	0	0	 2 	 7 
97年	 2 	0	0	 6 	0	 1 	 1 	 17 	 40 
97年 1月	0	0	0	0	0	0	0	 3 	 4 
97年 2月	 1 	0	0	 1 	0	0	 1 	 3 	 6 
97年 3月	0	0	0	 1 	0	0	0	0	 3 
97年 4月	0	0	0	 1 	0	0	0	 1 	 5 
97年 5月	0	0	0	0	0	0	0	 4 	 1 
