時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 1,666 	 246 	 12 	 120 	 1 	 102 	 10 	 22 	 30 
89年 1月	 174 	 22 	 2 	 12 	0	 8 	 1 	 2 	 3 
89年 2月	 92 	 19 	 3 	 22 	 1 	 7 	0	 1 	 4 
89年 3月	 74 	 26 	 1 	 9 	0	 5 	 1 	 1 	0
89年 4月	 94 	 20 	0	 5 	0	 7 	 2 	0	 3 
89年 5月	 139 	 24 	 1 	 4 	0	 6 	0	0	 1 
89年 6月	 98 	 13 	0	 10 	0	 8 	0	0	 6 
89年 7月	 169 	 15 	0	 8 	0	 10 	 1 	 3 	 2 
89年 8月	 156 	 9 	0	 7 	0	 7 	 3 	 2 	 3 
89年 9月	 145 	 14 	 2 	 8 	0	 11 	0	 3 	 2 
89年 10月	 187 	 27 	 1 	 12 	0	 12 	0	 2 	 1 
89年 11月	 209 	 31 	 2 	 12 	0	 10 	0	 2 	 1 
89年 12月	 129 	 26 	0	 11 	0	 11 	 2 	 6 	 4 
90年	 2,275 	 275 	 10 	 98 	0	 113 	 24 	 26 	 18 
90年 1月	 254 	 32 	 1 	 10 	0	 7 	 4 	 1 	 1 
90年 2月	 170 	 22 	 1 	 31 	0	 13 	0	 3 	 3 
90年 3月	 166 	 34 	 1 	 16 	0	 9 	 4 	 3 	 1 
90年 4月	 326 	 29 	 4 	 10 	0	 6 	 1 	 2 	0
90年 5月	 202 	 27 	 1 	 9 	0	 15 	 1 	 3 	0
90年 6月	 151 	 24 	0	 2 	0	 10 	 4 	 3 	 1 
90年 7月	 246 	 17 	0	 7 	0	 15 	 1 	0	 3 
90年 8月	 184 	 17 	0	 2 	0	 6 	 3 	 1 	 1 
90年 9月	 102 	 16 	 1 	 2 	0	 10 	 1 	 4 	 1 
90年 10月	 179 	 15 	 1 	 5 	0	 6 	0	 1 	 2 
90年 11月	 175 	 15 	0	 1 	0	 5 	 2 	 3 	 3 
90年 12月	 120 	 27 	0	 3 	0	 11 	 3 	 2 	 2 
91年	 2,533 	 206 	 20 	 107 	 1 	 157 	 57 	 23 	 19 
91年 1月	 138 	 20 	0	 1 	0	 11 	0	0	0
91年 2月	 236 	 10 	 1 	 25 	0	 12 	0	 1 	 4 
91年 3月	 172 	 18 	 1 	 4 	0	 22 	 4 	 1 	 1 
91年 4月	 197 	 16 	 1 	 8 	0	 16 	 5 	 1 	 2 
91年 5月	 176 	 16 	 3 	 9 	0	 12 	 6 	0	 1 
91年 6月	 223 	 12 	0	 6 	 1 	 12 	 5 	 4 	0
91年 7月	 203 	 13 	 1 	 4 	0	 17 	 2 	 3 	 2 
91年 8月	 239 	 24 	 1 	 10 	0	 11 	 10 	 1 	 2 
91年 9月	 236 	 19 	 4 	 7 	0	 9 	 4 	 7 	 1 
91年 10月	 264 	 24 	 3 	 14 	0	 13 	 7 	 2 	 1 
91年 11月	 184 	 20 	 2 	 13 	0	 10 	 8 	 2 	 2 
91年 12月	 265 	 14 	 3 	 6 	0	 12 	 6 	 1 	 3 
92年	 2,400 	 331 	 12 	 93 	 2 	 134 	 86 	 35 	 26 
92年 1月	 296 	 17 	0	 13 	0	 6 	 6 	0	 1 
92年 2月	 169 	 14 	0	 12 	0	 6 	 5 	 5 	0
92年 3月	 223 	 24 	 1 	 8 	 1 	 12 	 14 	 3 	 4 
92年 4月	 188 	 22 	 5 	 10 	0	 9 	 6 	 2 	 1 
92年 5月	 192 	 26 	0	 8 	0	 8 	 3 	 8 	 2 
92年 6月	 350 	 27 	 1 	 8 	0	 17 	 3 	 2 	 1 
92年 7月	 126 	 46 	 2 	 10 	0	 21 	 9 	 5 	 4 
92年 8月	 141 	 44 	 1 	 6 	0	 12 	 7 	 1 	 5 
92年 9月	 167 	 31 	0	 10 	0	 11 	 7 	 3 	 4 
92年 10月	 178 	 19 	 1 	 3 	 1 	 10 	 5 	 2 	 2 
92年 11月	 204 	 34 	0	 4 	0	 11 	 9 	0	 2 
92年 12月	 166 	 27 	 1 	 1 	0	 11 	 12 	 4 	0
93年	 1,829 	 335 	 13 	 102 	0	 121 	 152 	 32 	 14 
93年 1月	 140 	 25 	 3 	 19 	0	 6 	 4 	 1 	 1 
93年 2月	 142 	 31 	0	 9 	0	 7 	 13 	 2 	 2 
93年 3月	 161 	 27 	 1 	 18 	0	 11 	 10 	 1 	 1 
93年 4月	 197 	 34 	0	 9 	0	 8 	 27 	 1 	0
93年 5月	 111 	 21 	0	 8 	0	 5 	 7 	 4 	 1 
93年 6月	 143 	 36 	 2 	 19 	0	 14 	 13 	 4 	 1 
93年 7月	 133 	 34 	0	 2 	0	 15 	 6 	 5 	 1 
93年 8月	 142 	 29 	 2 	 4 	0	 10 	 7 	 6 	 1 
93年 9月	 160 	 26 	 1 	 4 	0	 10 	 18 	0	 2 
93年 10月	 177 	 16 	 2 	 7 	0	 12 	 28 	 1 	 3 
93年 11月	 156 	 27 	0	 2 	0	 10 	 9 	 3 	 1 
93年 12月	 167 	 29 	 2 	 1 	0	 13 	 10 	 4 	0
94年	 2,294 	 244 	 21 	 36 	0	 170 	 312 	 62 	 16 
94年 1月	 155 	 16 	 1 	 3 	0	 9 	 6 	 3 	 1 
