時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
89年	0	 65 	 11 	 25 	 31 	0	 13 	 12 	0
89年 1月	0	 5 	0	 6 	 2 	0	0	 2 	0
89年 2月	0	 1 	0	 1 	 3 	0	 4 	0	0
89年 3月	0	 7 	0	 1 	0	0	 3 	0	0
89年 4月	0	 3 	 1 	0	 3 	0	 1 	0	0
89年 5月	0	 6 	0	 3 	 2 	0	 1 	 2 	0
89年 6月	0	 7 	 1 	0	 5 	0	0	0	0
89年 7月	0	 3 	 1 	 1 	 5 	0	 1 	 3 	0
89年 8月	0	 7 	 2 	 6 	 1 	0	0	0	0
89年 9月	0	 5 	 4 	 2 	 2 	0	 2 	0	0
89年 10月	0	 5 	 1 	 4 	 3 	0	 1 	 4 	0
89年 11月	0	 6 	0	0	 2 	0	0	 1 	0
89年 12月	0	 10 	 1 	 1 	 3 	0	0	0	0
90年	 1 	 62 	 15 	 21 	 41 	0	 4 	 16 	 3 
90年 1月	0	 2 	 1 	 1 	 3 	0	 1 	 1 	0
90年 2月	0	 11 	0	 1 	 3 	0	0	0	0
90年 3月	 1 	 11 	 2 	 1 	 3 	0	 1 	 1 	0
90年 4月	0	 10 	 2 	0	 4 	0	0	 2 	0
90年 5月	0	0	 2 	0	 1 	0	 1 	 3 	0
90年 6月	0	 3 	 1 	0	 3 	0	0	 1 	0
90年 7月	0	 7 	 2 	 3 	 4 	0	0	 1 	0
90年 8月	0	 1 	 1 	 4 	 5 	0	 1 	 1 	 2 
90年 9月	0	 2 	 1 	 1 	 4 	0	0	 2 	0
90年 10月	0	 3 	 1 	 3 	 4 	0	0	 2 	0
90年 11月	0	 9 	 2 	 4 	 2 	0	0	 1 	 1 
90年 12月	0	 3 	0	 3 	 5 	0	0	 1 	0
91年	 2 	 106 	 15 	 44 	 52 	 4 	 10 	 18 	 3 
91年 1月	0	 7 	 1 	 2 	 2 	0	 2 	0	0
91年 2月	0	 6 	 1 	 2 	 5 	0	0	 3 	 1 
91年 3月	0	 10 	 1 	 4 	 1 	 2 	0	 2 	0
91年 4月	 2 	 6 	 2 	 1 	 6 	0	 1 	 2 	0
91年 5月	0	 7 	0	 7 	 5 	0	0	 1 	0
91年 6月	0	 7 	0	 2 	 4 	0	0	0	0
91年 7月	0	 12 	 1 	 9 	 4 	0	 1 	 1 	0
91年 8月	0	 9 	 4 	 9 	 3 	 1 	 1 	 2 	0
91年 9月	0	 13 	 1 	 1 	 3 	0	 1 	 3 	 2 
91年 10月	0	 10 	 4 	 4 	 10 	0	 2 	 3 	0
91年 11月	0	 8 	0	 1 	 3 	0	 2 	0	0
91年 12月	0	 11 	0	 2 	 6 	 1 	0	 1 	0
92年	0	 127 	 13 	 21 	 56 	 3 	 13 	 24 	 1 
92年 1月	0	 7 	0	 3 	 6 	0	 1 	 1 	0
92年 2月	0	 8 	0	0	 1 	0	 2 	0	0
92年 3月	0	 16 	0	 1 	 7 	0	 3 	 1 	0
92年 4月	0	 9 	0	 3 	 3 	0	 2 	 1 	 1 
92年 5月	0	 13 	 2 	 2 	 5 	 1 	 1 	 1 	0
92年 6月	0	 10 	 2 	 1 	 16 	 2 	 2 	 2 	0
92年 7月	0	 13 	 2 	 6 	 1 	0	0	0	0
92年 8月	0	 5 	0	 3 	 4 	0	0	 5 	0
