時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
89年	 30 	 4 	 10 	 43 	 296 	 1,139 	0	0	 13 
89年 1月	 1 	0	0	 5 	 25 	 169 	0	0	 3 
89年 2月	0	0	 1 	 5 	 29 	 159 	0	0	 3 
89年 3月	 2 	0	0	 4 	 2 	 33 	0	0	 1 
89年 4月	 1 	 1 	0	0	 14 	 92 	0	0	0
89年 5月	 3 	0	0	 4 	 15 	 103 	0	0	 1 
89年 6月	 2 	 1 	0	 3 	 18 	 82 	0	0	 3 
89年 7月	 3 	0	 1 	 2 	 20 	 83 	0	0	 1 
89年 8月	 1 	0	0	 6 	 30 	 96 	0	0	0
89年 9月	 4 	0	 2 	 5 	 28 	 57 	0	0	0
89年 10月	 4 	0	 2 	 3 	 45 	 104 	0	0	0
89年 11月	 4 	 1 	 1 	 3 	 35 	 88 	0	0	0
89年 12月	 5 	 1 	 3 	 3 	 35 	 73 	0	0	 1 
90年	 41 	 3 	 8 	 33 	 495 	 619 	0	0	 50 
90年 1月	 2 	0	0	 3 	 40 	 106 	0	0	 17 
90年 2月	 4 	 1 	0	 2 	 37 	 74 	0	0	 10 
90年 3月	 2 	0	 1 	 1 	 54 	 74 	0	0	 2 
90年 4月	 3 	0	 1 	 3 	 48 	 93 	0	0	 2 
90年 5月	 14 	0	 1 	 6 	 44 	 69 	0	0	 1 
90年 6月	 6 	0	0	 4 	 47 	 37 	0	0	0
90年 7月	0	0	 1 	 5 	 38 	 48 	0	0	 13 
90年 8月	 2 	 1 	0	 1 	 42 	 39 	0	0	 4 
90年 9月	 3 	 1 	 1 	 1 	 37 	 28 	0	0	0
90年 10月	 4 	0	0	 4 	 45 	 22 	0	0	0
90年 11月	 1 	0	 1 	 2 	 38 	 15 	0	0	 1 
90年 12月	0	0	 2 	 1 	 25 	 14 	0	0	0
91年	 28 	0	 32 	 30 	 639 	 300 	 3 	0	 24 
91年 1月	 1 	0	0	 2 	 39 	 22 	0	0	0
91年 2月	 1 	0	 1 	 1 	 39 	 19 	0	0	 2 
91年 3月	 2 	0	 5 	 1 	 47 	 30 	0	0	0
91年 4月	 1 	0	 4 	 4 	 42 	 30 	0	0	0
91年 5月	0	0	 1 	 8 	 59 	 21 	0	0	 2 
91年 6月	 1 	0	 7 	 3 	 66 	 39 	 1 	0	 8 
91年 7月	 2 	0	 3 	0	 44 	 15 	0	0	0
91年 8月	 1 	0	 1 	 3 	 85 	 27 	0	0	 3 
91年 9月	 10 	0	 3 	 3 	 48 	 28 	0	0	 3 
91年 10月	 2 	0	 1 	 3 	 67 	 20 	 2 	0	 2 
91年 11月	 1 	0	 4 	 1 	 54 	 26 	0	0	 3 
91年 12月	 6 	0	 2 	 1 	 49 	 23 	0	0	 1 
92年	 94 	0	 31 	 54 	 609 	 313 	 8 	0	 16 
92年 1月	 3 	0	0	 4 	 63 	 29 	0	0	 1 
92年 2月	 2 	0	0	 4 	 32 	 14 	0	0	 1 
92年 3月	 1 	0	 4 	 8 	 64 	 19 	 4 	0	0
92年 4月	 1 	0	 2 	 11 	 51 	 18 	 3 	0	0
92年 5月	 2 	0	 5 	 7 	 53 	 22 	0	0	0
92年 6月	 6 	0	 5 	 3 	 44 	 14 	0	0	0
92年 7月	 2 	0	 4 	 2 	 43 	 16 	0	0	 2 
92年 8月	 26 	0	 1 	 4 	 73 	 55 	 1 	0	0
92年 9月	 8 	0	0	 3 	 46 	 17 	0	0	 4 
92年 10月	 14 	0	 5 	 6 	 51 	 43 	0	0	 1 
