時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
89年	 9 	0	0	 11 	0	0	0	 88 	 238 
89年 1月	 1 	0	0	0	0	0	0	 17 	 32 
89年 2月	 1 	0	0	0	0	0	0	 6 	 70 
89年 3月	 3 	0	0	 1 	0	0	0	 15 	 19 
89年 4月	0	0	0	0	0	0	0	 7 	 10 
89年 5月	0	0	0	 1 	0	0	0	 6 	 5 
89年 6月	0	0	0	 2 	0	0	0	 5 	 7 
89年 7月	0	0	0	 1 	0	0	0	 7 	 12 
89年 8月	0	0	0	 1 	0	0	0	 6 	 16 
89年 9月	 1 	0	0	 2 	0	0	0	 3 	 20 
89年 10月	0	0	0	 3 	0	0	0	 10 	 24 
89年 11月	 1 	0	0	0	0	0	0	 5 	 14 
89年 12月	 2 	0	0	0	0	0	0	 1 	 9 
90年	 21 	0	 1 	 4 	 1 	 2 	 1 	 70 	 236 
90年 1月	 1 	0	0	0	0	 1 	0	 1 	 12 
90年 2月	 2 	0	0	0	0	0	0	 8 	 16 
90年 3月	 1 	0	0	0	0	0	0	 4 	 15 
90年 4月	0	0	0	0	0	0	0	 8 	 7 
90年 5月	 4 	0	0	0	0	 1 	 1 	 1 	 18 
90年 6月	 1 	0	0	0	0	0	0	 4 	 24 
90年 7月	 4 	0	 1 	0	0	0	0	 9 	 25 
90年 8月	 5 	0	0	0	0	0	0	 11 	 26 
90年 9月	 2 	0	0	 1 	 1 	0	0	 6 	 27 
90年 10月	 1 	0	0	 1 	0	0	0	 6 	 31 
90年 11月	0	0	0	 2 	0	0	0	 7 	 20 
90年 12月	0	0	0	0	0	0	0	 5 	 15 
91年	 7 	0	0	 14 	 1 	0	 1 	 87 	 315 
91年 1月	 1 	0	0	 2 	0	0	 1 	 2 	 12 
91年 2月	 1 	0	0	0	0	0	0	 17 	 17 
91年 3月	 1 	0	0	 2 	0	0	0	 6 	 27 
91年 4月	0	0	0	0	 1 	0	0	 3 	 17 
91年 5月	 1 	0	0	 1 	0	0	0	 6 	 23 
91年 6月	0	0	0	 1 	0	0	0	 1 	 23 
91年 7月	 1 	0	0	 2 	0	0	0	 10 	 20 
