時間	毀棄損壞	妨害公務	妨害電腦使用	強盜	搶奪	內亂	重利	竊佔	偽造有價證券
89年	 50 	 26 	0	 110 	 78 	0	 34 	 60 	 3 
89年 1月	 4 	 2 	0	 10 	 4 	0	 1 	0	 1 
89年 2月	0	 1 	0	 11 	 2 	0	0	0	0
89年 3月	 3 	0	0	 10 	 3 	0	0	 17 	0
89年 4月	 3 	 2 	0	 9 	 4 	0	 4 	 2 	0
89年 5月	 3 	 1 	0	 9 	 12 	0	 4 	 3 	0
89年 6月	 6 	 5 	0	 6 	 9 	0	 2 	 3 	 1 
89年 7月	 6 	 2 	0	 11 	 11 	0	 2 	0	 1 
89年 8月	 4 	 3 	0	 10 	 3 	0	 2 	 6 	0
89年 9月	 7 	 3 	0	 6 	 5 	0	 5 	 13 	0
89年 10月	 2 	 2 	0	 20 	 10 	0	 3 	 1 	0
89年 11月	 6 	 2 	0	 3 	 13 	0	 6 	 14 	0
89年 12月	 6 	 3 	0	 5 	 2 	0	 5 	 1 	0
90年	 46 	 26 	0	 194 	 183 	0	 19 	 20 	 3 
90年 1月	 2 	 3 	0	 29 	 20 	0	 5 	 4 	0
90年 2月	 4 	0	0	 17 	 11 	0	0	 1 	0
90年 3月	 5 	 3 	0	 11 	 14 	0	 1 	 2 	 1 
90年 4月	 5 	 3 	0	 11 	 8 	0	 1 	 3 	0
90年 5月	 5 	 2 	0	 11 	 20 	0	 1 	 1 	0
90年 6月	 5 	 1 	0	 11 	 8 	0	 1 	 1 	0
90年 7月	 3 	 1 	0	 36 	 37 	0	 2 	 4 	0
90年 8月	 5 	 1 	0	 14 	 12 	0	 2 	 2 	0
90年 9月	 3 	 4 	0	 15 	 11 	0	 1 	0	0
90年 10月	 3 	 1 	0	 17 	 14 	0	 1 	0	0
90年 11月	 2 	 3 	0	 7 	 15 	0	 3 	0	 2 
90年 12月	 4 	 4 	0	 15 	 13 	0	 1 	 2 	0
91年	 59 	 18 	0	 163 	 281 	0	 133 	 88 	 3 
91年 1月	 4 	0	0	 3 	 3 	0	0	0	0
91年 2月	 4 	 1 	0	 59 	 47 	0	0	 41 	0
91年 3月	 4 	 1 	0	 25 	 8 	0	0	 2 	0
91年 4月	 7 	0	0	 13 	 9 	0	 2 	 1 	0
91年 5月	 3 	0	0	 4 	 11 	0	 11 	 1 	0
91年 6月	 4 	 1 	0	 1 	 20 	0	0	0	0
91年 7月	 4 	 4 	0	 7 	 51 	0	 3 	 3 	0
91年 8月	 12 	 2 	0	 20 	 23 	0	 7 	 12 	0
91年 9月	 8 	 2 	0	 6 	 13 	0	 7 	 7 	0
91年 10月	0	 4 	0	 9 	 68 	0	 28 	 3 	 2 
91年 11月	 4 	 1 	0	 8 	 15 	0	 39 	 6 	 1 
91年 12月	 5 	 2 	0	 8 	 13 	0	 36 	 12 	0
92年	 39 	 18 	0	 126 	 247 	0	 148 	 41 	 5 
92年 1月	 1 	 1 	0	 15 	 47 	0	 20 	 7 	 2 
92年 2月	 6 	 1 	0	 4 	 6 	0	 8 	 4 	 1 
92年 3月	 3 	 1 	0	 12 	 16 	0	 6 	 14 	0
92年 4月	 1 	 4 	0	 11 	 30 	0	 3 	 2 	0
92年 5月	 2 	 1 	0	 12 	 17 	0	 14 	0	0
92年 6月	 7 	 2 	0	 16 	 51 	0	 7 	 2 	0
92年 7月	0	 1 	0	 14 	 16 	0	 7 	 4 	0
92年 8月	 6 	 1 	0	 15 	 20 	0	 2 	0	0
92年 9月	 5 	 1 	0	 10 	 21 	0	 13 	 3 	 1 
92年 10月	 1 	 3 	0	 4 	 10 	0	 61 	 1 	0
92年 11月	 2 	 1 	0	 9 	 6 	0	 3 	 4 	 1 
92年 12月	 5 	 1 	0	 4 	 7 	0	 4 	0	0
93年	 49 	 24 	0	 99 	 146 	0	 103 	 14 	 3 
93年 1月	 5 	 2 	0	 4 	 10 	0	 2 	 1 	0
93年 2月	 5 	 3 	0	 8 	 9 	0	 10 	 2 	0
93年 3月	 2 	 1 	0	 6 	 7 	0	 13 	 3 	 1 
93年 4月	 5 	 4 	0	 9 	 12 	0	 12 	 1 	 1 
93年 5月	 5 	 4 	0	 6 	 13 	0	 7 	 2 	0
93年 6月	 5 	0	0	 10 	 6 	0	 10 	 1 	0
93年 7月	 7 	 1 	0	 5 	 17 	0	 10 	 1 	 1 
93年 8月	 4 	 2 	0	 8 	 14 	0	 5 	0	0
93年 9月	 6 	0	0	 12 	 6 	0	 16 	 1 	0
93年 10月	 3 	 1 	0	 8 	 18 	0	 9 	 1 	0
93年 11月	0	 4 	0	 10 	 11 	0	 5 	0	0
93年 12月	 2 	 2 	0	 13 	 23 	0	 4 	 1 	0
94年	 66 	 17 	 30 	 154 	 203 	0	 200 	 16 	0
