時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
89年	 13 	0	0	0	 126 	 23 	 26 	 564 	0
89年 1月	0	0	0	0	 19 	 1 	 3 	 58 	0
89年 2月	0	0	0	0	 4 	 1 	 1 	 35 	0
89年 3月	 2 	0	0	0	 5 	 2 	 3 	 43 	0
89年 4月	 3 	0	0	0	 1 	 1 	 6 	 34 	0
89年 5月	 4 	0	0	0	 9 	 1 	 1 	 50 	0
89年 6月	0	0	0	0	 3 	 1 	0	 41 	0
89年 7月	0	0	0	0	 4 	 4 	 2 	 39 	0
89年 8月	 2 	0	0	0	 10 	 2 	 4 	 37 	0
89年 9月	 1 	0	0	0	 19 	 2 	 3 	 59 	0
89年 10月	 1 	0	0	0	 19 	 3 	0	 57 	0
89年 11月	0	0	0	0	 12 	 3 	 1 	 57 	0
89年 12月	0	0	0	0	 21 	 2 	 2 	 54 	0
90年	 24 	 1 	0	 1 	 219 	 13 	 14 	 665 	0
90年 1月	0	0	0	0	 15 	0	 1 	 68 	0
90年 2月	 1 	0	0	0	 7 	 2 	0	 59 	0
90年 3月	0	0	0	0	 24 	0	 1 	 60 	0
90年 4月	0	0	0	 1 	 17 	0	 1 	 47 	0
90年 5月	0	0	0	0	 19 	 3 	 1 	 57 	0
90年 6月	0	0	0	0	 18 	0	0	 53 	0
90年 7月	 2 	0	0	0	 21 	 2 	 1 	 51 	0
90年 8月	0	0	0	0	 15 	 2 	 4 	 55 	0
90年 9月	0	0	0	0	 11 	0	 1 	 63 	0
90年 10月	0	0	0	0	 30 	 2 	 3 	 52 	0
90年 11月	 21 	0	0	0	 23 	 1 	 1 	 47 	0
90年 12月	0	 1 	0	0	 19 	 1 	0	 53 	0
91年	 1 	0	0	0	 171 	 11 	 32 	 716 	 1 
91年 1月	0	0	0	0	 20 	 2 	0	 45 	0
91年 2月	0	0	0	0	 17 	 1 	 3 	 63 	0
91年 3月	0	0	0	0	 7 	0	 4 	 49 	0
91年 4月	0	0	0	0	 21 	0	 7 	 64 	0
91年 5月	0	0	0	0	 14 	 1 	 7 	 52 	0
