時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 3,431 	 617 	 15 	 32 	 1 	 93 	 26 	 14 	 29 
89年 1月	 246 	 47 	 3 	0	0	 11 	 1 	0	 3 
89年 2月	 175 	 32 	 2 	 8 	0	 2 	 1 	0	 1 
89年 3月	 272 	 41 	 2 	 2 	0	 6 	 2 	 1 	0
89年 4月	 296 	 35 	 2 	 1 	0	 8 	 5 	 1 	 5 
89年 5月	 287 	 46 	 1 	 1 	0	 7 	 4 	0	 4 
89年 6月	 319 	 51 	0	 2 	0	 9 	 1 	 2 	 3 
89年 7月	 379 	 49 	 1 	 3 	0	 7 	 3 	0	 6 
89年 8月	 289 	 83 	 2 	 2 	0	 13 	 5 	 3 	 3 
89年 9月	 259 	 63 	 1 	 3 	 1 	 5 	0	 2 	 1 
89年 10月	 335 	 57 	0	 7 	0	 5 	 3 	 2 	 1 
89年 11月	 339 	 41 	 1 	 1 	0	 9 	 1 	 1 	 1 
89年 12月	 235 	 72 	0	 2 	0	 11 	0	 2 	 1 
90年	 4,067 	 752 	 15 	 40 	 1 	 126 	 37 	 26 	 35 
90年 1月	 399 	 56 	0	 12 	0	 12 	 4 	 1 	 3 
90年 2月	 268 	 44 	0	 3 	0	 7 	 1 	 1 	 3 
90年 3月	 323 	 55 	 2 	 4 	0	 11 	 12 	 2 	 2 
90年 4月	 337 	 77 	 1 	 2 	 1 	 11 	 4 	 3 	 3 
90年 5月	 354 	 64 	 1 	 2 	0	 19 	 3 	 1 	 3 
90年 6月	 359 	 46 	0	 2 	0	 12 	 4 	 1 	 2 
90年 7月	 362 	 43 	 1 	0	0	 6 	 1 	 1 	 4 
90年 8月	 305 	 66 	 1 	 2 	0	 11 	 3 	 7 	 3 
90年 9月	 311 	 71 	 1 	 7 	0	 6 	 1 	 2 	 3 
90年 10月	 366 	 70 	 2 	 2 	0	 11 	 1 	0	 2 
90年 11月	 371 	 64 	 4 	 2 	0	 13 	 1 	 5 	 3 
90年 12月	 312 	 96 	 2 	 2 	0	 7 	 2 	 2 	 4 
91年	 5,043 	 861 	 15 	 35 	 1 	 143 	 46 	 14 	 21 
91年 1月	 403 	 54 	0	0	0	 9 	 2 	 3 	 1 
91年 2月	 386 	 76 	 1 	 12 	0	 7 	 3 	 2 	 3 
91年 3月	 331 	 95 	 1 	 3 	0	 5 	 1 	 2 	 2 
91年 4月	 351 	 71 	0	 4 	0	 11 	0	 1 	 4 
91年 5月	 421 	 103 	 2 	 3 	0	 25 	 4 	 3 	 2 
91年 6月	 427 	 67 	 1 	 2 	0	 5 	 1 	0	 1 
91年 7月	 470 	 92 	 2 	 2 	0	 22 	 2 	0	 2 
91年 8月	 449 	 70 	0	0	0	 16 	 2 	 1 	0
91年 9月	 489 	 70 	 3 	 2 	0	 12 	 16 	0	 1 
91年 10月	 483 	 49 	 2 	 1 	 1 	 8 	 4 	 1 	 4 
91年 11月	 401 	 49 	 1 	 3 	0	 16 	 3 	 1 	 1 
91年 12月	 432 	 65 	 2 	 3 	0	 7 	 8 	0	0
