時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
89年	 1 	0	0	0	 30 	 1 	 4 	 240 	0
89年 1月	0	0	0	0	0	0	0	 24 	0
89年 2月	0	0	0	0	0	0	0	 22 	0
89年 3月	0	0	0	0	0	0	0	 13 	0
89年 4月	0	0	0	0	 1 	0	0	 15 	0
89年 5月	 1 	0	0	0	0	0	 2 	 19 	0
89年 6月	0	0	0	0	 2 	 1 	 1 	 12 	0
89年 7月	0	0	0	0	 3 	0	 1 	 16 	0
89年 8月	0	0	0	0	 4 	0	0	 18 	0
89年 9月	0	0	0	0	 2 	0	0	 23 	0
89年 10月	0	0	0	0	 1 	0	0	 25 	0
89年 11月	0	0	0	0	 11 	0	0	 28 	0
89年 12月	0	0	0	0	 6 	0	0	 25 	0
90年	 2 	0	0	0	 53 	 2 	 2 	 434 	0
90年 1月	0	0	0	0	 6 	0	0	 54 	0
90年 2月	0	0	0	0	 3 	0	0	 40 	0
90年 3月	0	0	0	0	 1 	0	 1 	 47 	0
90年 4月	0	0	0	0	 2 	0	0	 43 	0
90年 5月	0	0	0	0	 1 	0	0	 29 	0
90年 6月	 1 	0	0	0	 7 	 1 	0	 41 	0
90年 7月	0	0	0	0	 5 	0	0	 24 	0
90年 8月	0	0	0	0	 7 	0	0	 28 	0
90年 9月	0	0	0	0	 10 	 1 	0	 29 	0
90年 10月	0	0	0	0	 2 	0	0	 35 	0
90年 11月	0	0	0	0	 3 	0	 1 	 38 	0
90年 12月	 1 	0	0	0	 6 	0	0	 26 	0
91年	0	0	0	0	 47 	 1 	 7 	 415 	0
91年 1月	0	0	0	0	 1 	0	0	 31 	0
91年 2月	0	0	0	0	 3 	0	0	 46 	0
91年 3月	0	0	0	0	 5 	0	 1 	 42 	0
91年 4月	0	0	0	0	 1 	 1 	0	 20 	0
91年 5月	0	0	0	0	 10 	0	 6 	 32 	0
91年 6月	0	0	0	0	 2 	0	0	 29 	0
91年 7月	0	0	0	0	 13 	0	0	 38 	0
91年 8月	0	0	0	0	 3 	0	0	 59 	0
91年 9月	0	0	0	0	0	0	0	 41 	0
91年 10月	0	0	0	0	 2 	0	0	 24 	0
91年 11月	0	0	0	0	 4 	0	0	 29 	0
91年 12月	0	0	0	0	 3 	0	0	 24 	0
92年	 2 	0	0	0	 42 	0	 28 	 356 	0
92年 1月	0	0	0	0	 15 	0	0	 65 	0
92年 2月	0	0	0	0	 6 	0	 4 	 36 	0
92年 3月	0	0	0	0	 3 	0	0	 28 	0
92年 4月	 2 	0	0	0	 2 	0	0	 16 	0
92年 5月	0	0	0	0	0	0	0	 12 	0
92年 6月	0	0	0	0	 2 	0	 1 	 26 	0
92年 7月	0	0	0	0	 5 	0	 2 	 21 	0
92年 8月	0	0	0	0	 4 	0	0	 24 	0
92年 9月	0	0	0	0	0	0	0	 21 	0
92年 10月	0	0	0	0	 2 	0	0	 52 	0
92年 11月	0	0	0	0	 1 	0	 1 	 37 	0
92年 12月	0	0	0	0	 2 	0	 20 	 18 	0
93年	0	0	0	0	 34 	0	 13 	 534 	0
93年 1月	0	0	0	0	 1 	0	0	 69 	0
93年 2月	0	0	0	0	 3 	0	0	 67 	0
93年 3月	0	0	0	0	 2 	0	0	 27 	0
93年 4月	0	0	0	0	 1 	0	 2 	 24 	0
93年 5月	0	0	0	0	 1 	0	0	 52 	0
93年 6月	0	0	0	0	 3 	0	 2 	 38 	0
93年 7月	0	0	0	0	 4 	0	0	 53 	0
93年 8月	0	0	0	0	 1 	0	 1 	 45 	0
93年 9月	0	0	0	0	 4 	0	0	 40 	0
93年 10月	0	0	0	0	 6 	0	 2 	 42 	0
93年 11月	0	0	0	0	 3 	0	 1 	 35 	0
93年 12月	0	0	0	0	 5 	0	 5 	 42 	0
94年	0	0	0	0	 23 	0	 4 	 649 	0
94年 1月	0	0	0	0	 1 	0	0	 157 	0
94年 2月	0	0	0	0	 2 	0	 1 	 54 	0
94年 3月	0	0	0	0	0	0	0	 51 	0
94年 4月	0	0	0	0	 4 	0	 1 	 49 	0
94年 5月	0	0	0	0	 2 	0	0	 40 	0
94年 6月	0	0	0	0	 5 	0	0	 26 	0
94年 7月	0	0	0	0	 2 	0	0	 43 	0
94年 8月	0	0	0	0	 3 	0	0	 52 	0
94年 9月	0	0	0	0	 1 	0	0	 42 	0
94年 10月	0	0	0	0	 1 	0	0	 51 	0
94年 11月	0	0	0	0	 2 	0	 1 	 54 	0
94年 12月	0	0	0	0	0	0	 1 	 30 	0
95年	0	0	0	0	 30 	0	 10 	 704 	0
95年 1月	0	0	0	0	 3 	0	0	 113 	0
95年 2月	0	0	0	0	 1 	0	0	 88 	0
95年 3月	0	0	0	0	0	0	 1 	 33 	0
95年 4月	0	0	0	0	0	0	0	 24 	0
95年 5月	0	0	0	0	0	0	0	 33 	0
95年 6月	0	0	0	0	 3 	0	0	 35 	0
95年 7月	0	0	0	0	 9 	0	0	 27 	0
95年 8月	0	0	0	0	 5 	0	 1 	 41 	0
