時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 1,524 	 888 	 19 	 34 	 5 	 123 	 9 	 19 	 32 
89年 1月	 111 	 60 	 3 	 3 	0	 3 	0	 1 	 4 
89年 2月	 89 	 47 	 2 	 5 	0	 4 	 1 	0	 2 
89年 3月	 70 	 49 	0	 1 	0	 5 	 1 	 1 	 2 
89年 4月	 105 	 74 	 3 	 3 	0	 8 	 2 	 1 	 1 
89年 5月	 116 	 93 	 2 	 7 	0	 10 	 1 	 3 	 4 
89年 6月	 118 	 83 	0	0	0	 7 	0	0	 1 
89年 7月	 155 	 94 	 2 	 2 	0	 13 	0	 1 	 2 
89年 8月	 182 	 84 	 3 	 5 	 1 	 14 	 2 	 2 	 7 
89年 9月	 144 	 89 	 2 	 1 	 2 	 13 	 1 	 2 	 3 
89年 10月	 171 	 81 	 1 	 3 	 1 	 9 	0	 3 	 1 
89年 11月	 156 	 61 	 1 	 2 	 1 	 15 	 1 	 1 	 2 
89年 12月	 107 	 73 	0	 2 	0	 22 	0	 4 	 3 
90年	 1,933 	 1,009 	 19 	 12 	0	 152 	 26 	 27 	 11 
90年 1月	 192 	 75 	 4 	0	0	 5 	 2 	 3 	 1 
90年 2月	 176 	 71 	 3 	 1 	0	 11 	 11 	 1 	 1 
90年 3月	 111 	 74 	 3 	0	0	 8 	0	 2 	 2 
90年 4月	 127 	 73 	 4 	 2 	0	 7 	 1 	 1 	 1 
90年 5月	 157 	 114 	 1 	 5 	0	 8 	 2 	 3 	 1 
90年 6月	 175 	 73 	 1 	 1 	0	 16 	 1 	0	0
90年 7月	 167 	 100 	 1 	0	0	 20 	 3 	 6 	 2 
90年 8月	 186 	 102 	 1 	 1 	0	 21 	 2 	 4 	0
90年 9月	 152 	 67 	 1 	0	0	 13 	 2 	 3 	 1 
90年 10月	 207 	 109 	0	 1 	0	 17 	0	 2 	0
90年 11月	 165 	 75 	0	0	0	 14 	 1 	 2 	 2 
90年 12月	 118 	 76 	0	 1 	0	 12 	 1 	0	0
91年	 2,363 	 1,046 	 18 	 6 	 1 	 215 	 36 	 26 	 31 
91年 1月	 103 	 88 	 1 	 1 	0	 13 	0	 2 	 4 
91年 2月	 175 	 103 	 4 	0	0	 6 	0	 1 	 1 
91年 3月	 137 	 60 	 2 	 1 	0	 8 	0	 1 	0
91年 4月	 157 	 66 	0	0	0	 21 	 2 	 2 	 4 
91年 5月	 122 	 65 	 1 	0	0	 15 	 2 	 2 	 6 
91年 6月	 194 	 87 	 1 	0	0	 14 	 2 	 3 	0
91年 7月	 480 	 187 	 1 	 1 	0	 20 	 5 	 1 	 4 
91年 8月	 181 	 78 	 2 	0	0	 25 	 9 	 3 	 1 
91年 9月	 71 	 47 	 1 	0	0	 28 	 2 	 2 	 3 
91年 10月	 264 	 105 	0	0	 1 	 29 	 4 	 5 	 3 
91年 11月	 213 	 61 	 2 	0	0	 25 	 6 	 3 	 3 
91年 12月	 266 	 99 	 3 	 3 	0	 11 	 4 	 1 	 2 
92年	 2,715 	 1,199 	 14 	 12 	0	 137 	 128 	 37 	 18 
92年 1月	 260 	 93 	0	 3 	0	 15 	 7 	 2 	 2 
92年 2月	 384 	 110 	 3 	0	0	 11 	 2 	 2 	 1 
92年 3月	 95 	 56 	 1 	0	0	 10 	 5 	 6 	 2 
92年 4月	 169 	 112 	 1 	0	0	 9 	 8 	 1 	 1 
92年 5月	 285 	 73 	0	 1 	0	 9 	 5 	 7 	 2 
92年 6月	 252 	 79 	0	 2 	0	 13 	 4 	 3 	 1 
92年 7月	 311 	 76 	 2 	 2 	0	 11 	 7 	 4 	 3 
92年 8月	 183 	 106 	 3 	 2 	0	 10 	 14 	 5 	 1 
92年 9月	 186 	 104 	0	 1 	0	 8 	 4 	 2 	 2 
92年 10月	 195 	 144 	 1 	0	0	 16 	 3 	0	 2 
92年 11月	 149 	 142 	 1 	0	0	 10 	 8 	0	 1 
92年 12月	 246 	 104 	 2 	 1 	0	 15 	 61 	 5 	0
93年	 2,336 	 1,720 	 10 	 7 	 3 	 114 	 291 	 21 	 18 
93年 1月	 230 	 126 	 4 	0	 1 	 8 	 5 	0	0
93年 2月	 183 	 139 	 1 	0	0	 2 	 54 	 3 	 2 
93年 3月	 165 	 160 	0	 3 	0	 4 	 33 	 2 	 1 
93年 4月	 193 	 150 	0	 1 	0	 11 	 51 	 1 	 1 
93年 5月	 157 	 137 	0	0	0	 11 	 17 	 2 	 1 
93年 6月	 191 	 145 	 1 	0	0	 8 	 55 	 2 	0
93年 7月	 197 	 200 	0	 1 	0	 14 	 15 	0	 2 
93年 8月	 190 	 137 	0	0	0	 10 	 10 	 2 	 1 
93年 9月	 192 	 145 	 2 	0	0	 10 	 33 	 4 	 3 
93年 10月	 243 	 134 	 1 	0	0	 15 	 5 	 2 	 1 
93年 11月	 217 	 132 	 1 	 1 	 2 	 13 	 10 	0	 5 
93年 12月	 178 	 115 	0	 1 	0	 8 	 3 	 3 	 1 
94年	 2,477 	 1,226 	 9 	 15 	0	 135 	 282 	 23 	 26 
94年 1月	 238 	 130 	 1 	 2 	0	 5 	 5 	 1 	 2 
94年 2月	 164 	 86 	0	0	0	 9 	 6 	 3 	 2 
94年 3月	 191 	 120 	 1 	 2 	0	 11 	 16 	0	0
94年 4月	 243 	 119 	 1 	 1 	0	 12 	 76 	 2 	 2 
94年 5月	 222 	 140 	0	 3 	0	 13 	 28 	 2 	 3 
94年 6月	 223 	 92 	0	 1 	0	 19 	 27 	 5 	 4 
94年 7月	 183 	 103 	0	0	0	 13 	 46 	0	 3 
94年 8月	 339 	 117 	0	0	0	 9 	 50 	0	0
94年 9月	 177 	 110 	0	 2 	0	 11 	 9 	 2 	 3 
94年 10月	 212 	 87 	 4 	0	0	 15 	 4 	 2 	 3 
94年 11月	 156 	 60 	 1 	0	0	 9 	 4 	 2 	 3 
94年 12月	 129 	 62 	 1 	 4 	0	 9 	 11 	 4 	 1 
95年	 2,610 	 874 	 5 	 96 	 1 	 166 	 415 	 24 	 17 
95年 1月	 196 	 98 	 1 	 4 	0	 10 	 22 	0	 1 
95年 2月	 173 	 98 	0	 20 	0	 20 	 107 	0	0
95年 3月	 146 	 90 	0	 9 	0	 10 	 7 	 3 	 2 
95年 4月	 213 	 93 	 1 	 4 	0	 9 	 8 	 3 	 2 
95年 5月	 176 	 84 	 2 	 2 	0	 18 	 7 	 3 	 3 
95年 6月	 159 	 74 	0	 3 	0	 9 	 13 	 1 	0
95年 7月	 354 	 78 	0	 8 	0	 20 	 72 	 2 	 2 
95年 8月	 354 	 66 	 1 	 19 	0	 14 	 86 	 4 	 2 
95年 9月	 316 	 67 	0	 6 	0	 20 	 25 	 2 	0
95年 10月	 243 	 44 	0	 3 	 1 	 9 	 50 	 1 	 3 
95年 11月	 149 	 51 	0	 15 	0	 18 	 10 	 4 	 1 
95年 12月	 131 	 31 	0	 3 	0	 9 	 8 	 1 	 1 
96年	 2,651 	 1,095 	 18 	 105 	0	 190 	 496 	 50 	 18 
96年 1月	 105 	 38 	 2 	 11 	0	 13 	 6 	 5 	 1 
96年 2月	 207 	 50 	0	 23 	0	 5 	 20 	 3 	 2 
96年 3月	 242 	 58 	 3 	 16 	0	 19 	 44 	 1 	 2 
96年 4月	 215 	 76 	 1 	 4 	0	 15 	 58 	 5 	0
96年 5月	 217 	 89 	 3 	 15 	0	 17 	 24 	 2 	0
96年 6月	 236 	 97 	 1 	 10 	0	 11 	 48 	 2 	 1 
96年 7月	 229 	 91 	 1 	 4 	0	 21 	 35 	 11 	 1 
96年 8月	 205 	 77 	0	 5 	0	 20 	 4 	 2 	 1 
96年 9月	 230 	 117 	0	 4 	0	 13 	 70 	 2 	 2 
96年 10月	 245 	 133 	 1 	 7 	0	 16 	 26 	 5 	 2 
96年 11月	 308 	 147 	 1 	 2 	0	 16 	 38 	 5 	 4 
96年 12月	 212 	 122 	 5 	 4 	0	 24 	 123 	 7 	 2 
97年	 2,359 	 876 	 73 	 62 	0	 204 	 678 	 61 	 25 
97年 1月	 289 	 151 	 2 	 8 	0	 22 	 23 	 5 	 3 
97年 2月	 244 	 120 	 49 	 17 	0	 11 	 28 	 2 	 3 
97年 3月	 173 	 122 	 4 	 7 	0	 15 	 21 	 6 	 2 
97年 4月	 182 	 76 	 2 	 2 	0	 15 	 171 	 7 	 1 
97年 5月	 193 	 98 	 7 	 5 	0	 16 	 47 	 2 	 4 
97年 6月	 184 	 68 	 1 	 2 	0	 17 	 23 	 7 	 1 
97年 7月	 210 	 47 	0	 3 	0	 16 	 19 	 3 	 1 
97年 8月	 218 	 65 	 4 	 6 	0	 18 	 90 	 4 	 4 
97年 9月	 194 	 45 	 2 	 3 	0	 16 	 82 	 6 	 3 
97年 10月	 199 	 37 	 1 	 6 	0	 17 	 64 	 4 	0
97年 11月	 161 	 23 	0	 1 	0	 22 	 52 	 9 	 2 
97年 12月	 112 	 24 	 1 	 2 	0	 19 	 58 	 6 	 1 
98年	 2,033 	 579 	 14 	 86 	 1 	 190 	 572 	 81 	 20 
98年 1月	 231 	 28 	 4 	 24 	0	 12 	 20 	 6 	 4 
98年 2月	 154 	 23 	 1 	 19 	0	 23 	 53 	 9 	 2 
98年 3月	 197 	 34 	 3 	 4 	0	 10 	 56 	 9 	 1 
98年 4月	 163 	 61 	0	 10 	0	 19 	 49 	 5 	0
98年 5月	 226 	 25 	 1 	 3 	0	 26 	 81 	 3 	 3 
98年 6月	 114 	 46 	0	 5 	0	 18 	 60 	 5 	 2 
98年 7月	 153 	 45 	0	 3 	 1 	 23 	 65 	 9 	0
98年 8月	 199 	 103 	 3 	 4 	0	 14 	 82 	 9 	0
98年 9月	 175 	 41 	 1 	 4 	0	 21 	 33 	 11 	 2 
98年 10月	 156 	 59 	 1 	 6 	0	 12 	 28 	 9 	 3 
98年 11月	 138 	 52 	0	 2 	0	 8 	 19 	 3 	 1 
98年 12月	 127 	 62 	0	 2 	0	 4 	 26 	 3 	 2 
99年	 1,725 	 633 	 8 	 94 	0	 220 	 416 	 84 	 25 
99年 1月	 96 	 26 	0	0	0	 6 	 45 	 7 	0
99年 2月	 304 	 75 	 2 	 36 	0	 4 	 25 	 7 	 1 
99年 3月	 134 	 55 	 1 	 7 	0	 24 	 28 	 9 	 4 
99年 4月	 159 	 84 	0	 11 	0	 17 	 23 	 6 	 4 
99年 5月	 153 	 58 	 1 	 10 	0	 19 	 46 	 4 	0
99年 6月	 115 	 31 	 1 	 2 	0	 12 	 61 	 4 	 1 
99年 7月	 149 	 50 	0	 8 	0	 16 	 37 	 14 	 1 
99年 8月	 107 	 50 	 1 	 7 	0	 32 	 40 	 9 	 5 
99年 9月	 138 	 51 	0	 2 	0	 35 	 28 	 12 	 3 
99年 10月	 172 	 67 	 2 	 5 	0	 22 	 27 	 4 	 3 
99年 11月	 126 	 55 	0	 3 	0	 20 	 31 	 6 	 3 
99年 12月	 72 	 31 	0	 3 	0	 13 	 25 	 2 	0
100年	 1,510 	 411 	 26 	 69 	0	 240 	 342 	 114 	 25 
100年 1月	 208 	 53 	 5 	 12 	0	 20 	 27 	 5 	 2 
100年 2月	 156 	 42 	 3 	 22 	0	 11 	 30 	 4 	 2 
100年 3月	 111 	 29 	 5 	 1 	0	 30 	 44 	 5 	 2 
100年 4月	 129 	 28 	 2 	 4 	0	 22 	 23 	 11 	 2 
100年 5月	 127 	 34 	 2 	 11 	0	 19 	 35 	 11 	 3 
100年 6月	 120 	 31 	 1 	 3 	0	 12 	 29 	 13 	 2 
100年 7月	 125 	 35 	 2 	 3 	0	 17 	 28 	 5 	 1 
100年 8月	 139 	 35 	 1 	 1 	0	 28 	 26 	 18 	 3 
100年 9月	 140 	 37 	 2 	 6 	0	 33 	 28 	 20 	 4 
100年 10月	 99 	 38 	 1 	 4 	0	 16 	 30 	 6 	 2 
100年 11月	 98 	 24 	0	 2 	0	 21 	 25 	 11 	 1 
100年 12月	 58 	 25 	 2 	0	0	 11 	 17 	 5 	 1 
101年	 1,573 	 309 	 40 	 83 	 1 	 264 	 236 	 131 	 19 
101年 1月	 259 	 41 	 5 	 28 	0	 25 	 16 	 12 	 1 
101年 2月	 164 	 25 	 7 	 22 	 1 	 21 	 19 	 11 	 2 
101年 3月	 136 	 32 	 1 	 2 	0	 33 	 16 	 13 	 3 
101年 4月	 138 	 35 	 6 	 7 	0	 26 	 18 	 9 	 3 
101年 5月	 146 	 23 	 3 	 3 	0	 22 	 25 	 15 	0
101年 6月	 101 	 16 	0	 1 	0	 17 	 8 	 6 	 1 
101年 7月	 139 	 16 	 2 	 3 	0	 29 	 22 	 9 	 1 
101年 8月	 116 	 16 	 3 	 2 	0	 21 	 24 	 13 	 1 
101年 9月	 103 	 23 	 2 	 6 	0	 13 	 27 	 8 	 3 
101年 10月	 109 	 47 	0	 6 	0	 20 	 23 	 18 	 2 
101年 11月	 104 	 16 	 4 	 2 	0	 25 	 18 	 12 	 1 
101年 12月	 58 	 19 	 7 	 1 	0	 12 	 20 	 5 	 1 
102年	 1,555 	 269 	 35 	 61 	0	 263 	 187 	 146 	 10 
102年 1月	 44 	 7 	 2 	 5 	0	 10 	 16 	 8 	 1 
102年 2月	 430 	 26 	 13 	 39 	0	 23 	 20 	 16 	 2 
102年 3月	 114 	 16 	 2 	 3 	0	 19 	 14 	 26 	 1 
102年 4月	 147 	 29 	 3 	 1 	0	 21 	 15 	 11 	 1 
102年 5月	 137 	 38 	 4 	 4 	0	 28 	 13 	 11 	 1 
102年 6月	 121 	 19 	 3 	 2 	0	 23 	 21 	 11 	0
102年 7月	 106 	 21 	0	 2 	0	 28 	 18 	 8 	 1 
102年 8月	 105 	 27 	 3 	 1 	0	 29 	 5 	 12 	 2 
102年 9月	 113 	 31 	0	0	0	 20 	 9 	 10 	0
102年 10月	 92 	 32 	 5 	 3 	0	 25 	 23 	 9 	 1 
102年 11月	 77 	 10 	0	 1 	0	 14 	 14 	 11 	0
102年 12月	 69 	 13 	0	0	0	 23 	 19 	 13 	0
103年	 1,482 	 309 	 28 	 54 	 1 	 257 	 320 	 125 	 18 
103年 1月	 342 	 38 	 13 	 29 	0	 18 	 15 	 12 	 1 
103年 2月	 154 	 18 	 4 	 6 	0	 21 	 27 	 9 	 2 
103年 3月	 74 	 15 	 1 	0	0	 20 	 13 	 10 	 1 
103年 4月	 82 	 23 	0	 2 	0	 19 	 22 	 10 	0
103年 5月	 117 	 22 	 1 	0	0	 23 	 38 	 5 	 3 
103年 6月	 136 	 17 	 1 	 1 	0	 26 	 58 	 16 	0
103年 7月	 103 	 33 	 3 	0	0	 24 	 21 	 8 	 3 
103年 8月	 96 	 37 	0	 3 	0	 29 	 30 	 11 	 1 
