時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
89年	 54 	 1 	 13 	 34 	 97 	 1,203 	0	0	 6 
89年 1月	 8 	0	 1 	 6 	 12 	 195 	0	0	 1 
89年 2月	 1 	0	 2 	 5 	 11 	 176 	0	0	 2 
89年 3月	0	0	0	 1 	 4 	 48 	0	0	0
89年 4月	 1 	0	0	 1 	 9 	 104 	0	0	0
89年 5月	0	0	0	 2 	 6 	 98 	0	0	 1 
89年 6月	0	0	 2 	 4 	 10 	 98 	0	0	 1 
89年 7月	 3 	0	 1 	 1 	 10 	 140 	0	0	 1 
89年 8月	 1 	0	 2 	 1 	 7 	 96 	0	0	0
89年 9月	 6 	 1 	 2 	 3 	 8 	 82 	0	0	0
89年 10月	0	0	 2 	 5 	 13 	 94 	0	0	0
89年 11月	 3 	0	 1 	 3 	 3 	 45 	0	0	0
89年 12月	 31 	0	0	 2 	 4 	 27 	0	0	0
90年	 79 	 2 	 16 	 24 	 114 	 490 	0	0	 86 
90年 1月	 3 	0	 2 	 3 	 11 	 67 	0	0	 1 
90年 2月	 15 	0	 1 	0	 9 	 37 	0	0	0
90年 3月	 3 	0	 1 	 1 	 3 	 51 	0	0	0
90年 4月	 41 	0	 1 	0	 4 	 31 	0	0	0
90年 5月	 1 	 1 	 3 	0	 8 	 61 	0	0	 2 
90年 6月	 1 	0	0	 2 	 15 	 43 	0	0	 1 
90年 7月	0	 1 	 1 	 8 	 12 	 36 	0	0	 2 
90年 8月	 3 	0	 2 	 3 	 14 	 39 	0	0	 21 
90年 9月	 1 	0	 1 	 1 	 12 	 22 	0	0	 15 
90年 10月	 1 	0	 2 	 2 	 7 	 30 	0	0	 11 
90年 11月	 1 	0	 1 	 3 	 10 	 58 	0	0	 25 
90年 12月	 9 	0	 1 	 1 	 9 	 15 	0	0	 8 
91年	 58 	0	 21 	 19 	 143 	 266 	0	0	 72 
91年 1月	0	0	0	 1 	 3 	 5 	0	0	0
91年 2月	 4 	0	 1 	 3 	 13 	 25 	0	0	 20 
91年 3月	 2 	0	 1 	0	 6 	 9 	0	0	 5 
91年 4月	 5 	0	 4 	0	 3 	 10 	0	0	 8 
91年 5月	 5 	0	 5 	0	 10 	 16 	0	0	 9 
91年 6月	 2 	0	 2 	0	 11 	 9 	0	0	0
91年 7月	 6 	0	0	 2 	 10 	 29 	0	0	 12 
91年 8月	 7 	0	 4 	 1 	 12 	 11 	0	0	 11 
91年 9月	 8 	0	 2 	 2 	 12 	 38 	0	0	 3 
91年 10月	 4 	0	 1 	 3 	 26 	 33 	0	0	 1 
91年 11月	 2 	0	 1 	 2 	 12 	 40 	0	0	 3 
91年 12月	 13 	0	0	 5 	 25 	 41 	0	0	0
92年	 45 	 2 	 25 	 57 	 138 	 232 	 1 	0	 62 
92年 1月	 5 	0	 2 	 2 	 20 	 52 	0	0	 13 
92年 2月	 10 	0	0	0	 14 	 16 	0	0	 14 
92年 3月	0	0	 2 	 2 	 12 	 20 	0	0	 1 
92年 4月	 2 	0	 2 	 2 	 15 	 30 	0	0	 9 
92年 5月	 6 	0	 2 	 8 	 8 	 26 	0	0	0
92年 6月	 7 	0	 2 	 3 	 9 	 5 	0	0	 2 
92年 7月	 6 	 1 	 3 	 6 	 9 	 23 	 1 	0	 7 
92年 8月	0	0	 2 	 4 	 18 	 20 	0	0	 4 
92年 9月	 7 	 1 	 1 	 3 	 6 	 4 	0	0	 3 
92年 10月	 2 	0	 1 	 16 	 10 	 7 	0	0	 2 
92年 11月	0	0	 3 	 7 	 12 	 20 	0	0	 1 
92年 12月	0	0	 5 	 4 	 5 	 9 	0	0	 6 
93年	 35 	0	 20 	 43 	 188 	 234 	0	0	 50 
93年 1月	 1 	0	 1 	0	 4 	 11 	0	0	 9 
93年 2月	 5 	0	 1 	 3 	 7 	 15 	0	0	 2 
93年 3月	 2 	0	 3 	 1 	 5 	 4 	0	0	 4 
93年 4月	 1 	0	 2 	 1 	 4 	 11 	0	0	 1 
93年 5月	 3 	0	 3 	 2 	 10 	 14 	0	0	0
93年 6月	 8 	0	 1 	 5 	 6 	 15 	0	0	 6 
93年 7月	 3 	0	 2 	 7 	 29 	 23 	0	0	 9 
93年 8月	0	0	 3 	 2 	 43 	 32 	0	0	 7 
93年 9月	 4 	0	 2 	 4 	 18 	 25 	0	0	 3 
93年 10月	 1 	0	0	 3 	 23 	 34 	0	0	 2 
93年 11月	 1 	0	 1 	 10 	 30 	 35 	0	0	 5 
93年 12月	 6 	0	 1 	 5 	 9 	 15 	0	0	 2 
94年	 22 	 1 	 30 	 71 	 281 	 416 	 1 	0	 28 
94年 1月	0	0	 2 	 7 	 25 	 34 	0	0	 2 
94年 2月	0	0	 1 	 3 	 23 	 40 	0	0	 1 
94年 3月	0	0	 3 	 16 	 20 	 30 	0	0	 3 
94年 4月	 1 	0	 1 	 21 	 24 	 38 	0	0	 3 
94年 5月	 2 	0	 1 	 5 	 27 	 30 	 1 	0	0
94年 6月	0	0	 2 	 2 	 29 	 24 	0	0	 2 
94年 7月	 3 	 1 	 2 	 5 	 26 	 46 	0	0	 3 
94年 8月	 2 	0	 5 	 2 	 25 	 52 	0	0	 2 
94年 9月	 10 	0	 4 	 3 	 26 	 40 	0	0	 2 
94年 10月	0	0	 6 	 2 	 25 	 41 	0	0	 2 
94年 11月	 2 	0	 1 	 2 	 15 	 12 	0	0	0
94年 12月	 2 	0	 2 	 3 	 16 	 29 	0	0	 8 
95年	 115 	0	 24 	 37 	 338 	 333 	 1 	0	 1 
