時間	毀棄損壞	妨害公務	妨害電腦使用	強盜	搶奪	內亂	重利	竊佔	偽造有價證券
89年	 22 	 15 	0	 39 	 19 	0	 3 	 2 	0
89年 1月	 1 	 2 	0	 3 	 1 	0	0	 1 	0
89年 2月	0	 2 	0	 2 	 3 	0	0	0	0
89年 3月	0	0	0	 5 	0	0	0	 1 	0
89年 4月	 1 	 1 	0	 2 	 5 	0	0	0	0
89年 5月	 2 	0	0	 2 	 2 	0	0	0	0
89年 6月	 2 	 1 	0	 1 	0	0	 1 	0	0
89年 7月	 2 	 1 	0	 2 	 2 	0	0	0	0
89年 8月	 3 	0	0	 8 	 1 	0	 1 	0	0
89年 9月	 1 	 2 	0	 1 	0	0	 1 	0	0
89年 10月	 4 	 2 	0	 3 	0	0	0	0	0
89年 11月	 3 	0	0	 5 	 5 	0	0	0	0
89年 12月	 3 	 4 	0	 5 	0	0	0	0	0
90年	 25 	 15 	0	 52 	 19 	0	 7 	 1 	 2 
90年 1月	 2 	 1 	0	 3 	 3 	0	0	0	0
90年 2月	 1 	 1 	0	 8 	 5 	0	0	0	0
90年 3月	0	 2 	0	 2 	0	0	0	0	0
90年 4月	 3 	 2 	0	 1 	0	0	 1 	0	 1 
90年 5月	 3 	 3 	0	 3 	 1 	0	 4 	0	0
90年 6月	 6 	 2 	0	 5 	 5 	0	0	 1 	 1 
90年 7月	0	0	0	 11 	 2 	0	0	0	0
90年 8月	 3 	 1 	0	 8 	 1 	0	 1 	0	0
90年 9月	0	 1 	0	 6 	 1 	0	0	0	0
90年 10月	 1 	0	0	 1 	 1 	0	0	0	0
90年 11月	 3 	 2 	0	 2 	0	0	0	0	0
90年 12月	 3 	0	0	 2 	0	0	 1 	0	0
91年	 37 	 13 	0	 45 	 29 	0	 6 	 5 	0
91年 1月	 4 	0	0	 1 	0	0	0	 2 	0
91年 2月	 2 	0	0	 11 	 5 	0	0	0	0
91年 3月	 1 	0	0	0	0	0	0	0	0
91年 4月	 2 	0	0	 2 	 1 	0	0	0	0
91年 5月	 2 	 1 	0	 6 	0	0	0	0	0
91年 6月	 1 	 1 	0	 5 	0	0	0	0	0
91年 7月	 4 	 4 	0	 6 	 7 	0	0	 1 	0
91年 8月	 3 	 2 	0	 2 	 2 	0	0	0	0
91年 9月	 5 	 1 	0	 1 	 2 	0	0	0	0
91年 10月	 9 	 2 	0	 7 	 6 	0	 1 	 1 	0
91年 11月	 3 	0	0	 1 	0	0	 1 	0	0
91年 12月	 1 	 2 	0	 3 	 6 	0	 4 	 1 	0
92年	 30 	 9 	0	 35 	 26 	0	 9 	 2 	0
92年 1月	 2 	 1 	0	 11 	 5 	0	 1 	0	0
92年 2月	 3 	 2 	0	 1 	0	0	0	0	0
92年 3月	 3 	 1 	0	 3 	 2 	0	 1 	0	0
92年 4月	 4 	0	0	 1 	 4 	0	0	0	0
92年 5月	 2 	0	0	 3 	 7 	0	0	0	0
92年 6月	 1 	 1 	0	 7 	 1 	0	0	0	0
92年 7月	 3 	0	0	 2 	0	0	 1 	0	0
92年 8月	 4 	0	0	 1 	 1 	0	 1 	0	0
92年 9月	0	0	0	 2 	 4 	0	0	 1 	0
92年 10月	 4 	 3 	0	 2 	0	0	 4 	 1 	0
92年 11月	 3 	0	0	 1 	0	0	 1 	0	0
92年 12月	 1 	 1 	0	 1 	 2 	0	0	0	0
93年	 25 	 8 	0	 27 	 28 	0	 7 	 7 	 1 
93年 1月	 4 	0	0	 3 	0	0	 3 	0	0
93年 2月	0	0	0	 3 	0	0	 1 	0	0
93年 3月	 1 	0	0	0	0	0	0	0	0
93年 4月	 2 	 2 	0	0	0	0	0	 1 	0
93年 5月	0	0	0	 2 	0	0	 1 	0	0
93年 6月	 1 	0	0	 2 	 1 	0	0	0	0
93年 7月	 2 	0	0	 2 	 1 	0	 2 	 2 	0
93年 8月	 1 	 1 	0	 1 	 3 	0	0	0	 1 
93年 9月	 5 	 1 	0	 1 	 2 	0	0	 1 	0
93年 10月	 2 	 1 	0	 6 	 7 	0	0	 1 	0
93年 11月	 4 	 3 	0	 2 	 12 	0	0	 1 	0
93年 12月	 3 	0	0	 5 	 2 	0	0	 1 	0
94年	 22 	 15 	 10 	 38 	 34 	0	 15 	 6 	 2 
94年 1月	 1 	 2 	0	 4 	0	0	0	0	0
94年 2月	 1 	0	0	 2 	 5 	0	0	0	0
94年 3月	 2 	0	0	 2 	 1 	0	0	0	 1 
94年 4月	 2 	 1 	 2 	0	0	0	 2 	0	0
94年 5月	 5 	 1 	 1 	 5 	0	0	 4 	 2 	 1 
94年 6月	 1 	 2 	 4 	 6 	 2 	0	 2 	0	0
94年 7月	 3 	 2 	0	 6 	 12 	0	 4 	 3 	0
94年 8月	 3 	 3 	 1 	0	 2 	0	 1 	 1 	0
94年 9月	 1 	0	0	 1 	0	0	0	0	0
94年 10月	 2 	 1 	0	 1 	 7 	0	0	0	0
94年 11月	 1 	 1 	 1 	 6 	0	0	0	0	0
94年 12月	0	 2 	 1 	 5 	 5 	0	 2 	0	0
95年	 49 	 15 	 12 	 35 	 34 	0	 52 	 8 	 1 
95年 1月	0	 1 	0	 2 	0	0	0	0	0
95年 2月	 3 	 1 	 1 	 2 	0	0	0	 2 	0
95年 3月	 4 	 1 	 1 	 1 	 3 	0	0	0	0
95年 4月	 2 	0	 2 	 1 	 2 	0	0	 3 	0
95年 5月	 3 	 3 	 1 	 5 	 3 	0	 17 	0	0
95年 6月	 2 	 3 	 1 	 13 	 5 	0	 15 	 1 	 1 
95年 7月	 5 	 2 	 3 	 2 	 1 	0	 7 	0	0
95年 8月	 6 	0	 1 	 3 	 3 	0	 1 	 1 	0
95年 9月	 4 	 2 	0	 1 	 9 	0	 2 	 1 	0
95年 10月	 14 	 1 	0	 2 	 4 	0	 1 	0	0
95年 11月	 3 	 1 	 2 	 1 	0	0	 1 	0	0
95年 12月	 3 	0	0	 2 	 4 	0	 8 	0	0
96年	 48 	 24 	 11 	 41 	 33 	0	 80 	 13 	0
96年 1月	 1 	0	 1 	 1 	 1 	0	 5 	0	0
96年 2月	 4 	 3 	 2 	 5 	 2 	0	 1 	0	0
96年 3月	 3 	 1 	 5 	 5 	 3 	0	 6 	 2 	0
96年 4月	 6 	 5 	0	 2 	0	0	 3 	 2 	0
96年 5月	 5 	 2 	0	 2 	0	0	 4 	 1 	0
96年 6月	 6 	 1 	0	 2 	 3 	0	 6 	0	0
96年 7月	 4 	 1 	0	 2 	 6 	0	 5 	 3 	0
96年 8月	 3 	 1 	0	0	 2 	0	 33 	0	0
96年 9月	 2 	 3 	 1 	 7 	 1 	0	 4 	 3 	0
96年 10月	 6 	 2 	 2 	 1 	 12 	0	 8 	0	0
96年 11月	 6 	 1 	0	 12 	 1 	0	 1 	 1 	0
96年 12月	 2 	 4 	0	 2 	 2 	0	 4 	 1 	0
97年	 76 	 20 	 15 	 42 	 40 	0	 75 	 5 	0
97年 1月	 7 	 1 	 1 	 4 	 2 	0	 3 	0	0
97年 2月	 1 	 1 	 3 	 4 	 5 	0	 44 	0	0
97年 3月	 5 	 1 	0	 9 	 1 	0	 13 	0	0
97年 4月	 5 	 1 	 1 	 2 	 8 	0	 2 	0	0
97年 5月	 2 	 3 	0	0	 3 	0	 2 	 1 	0
97年 6月	 1 	 3 	 1 	 4 	 3 	0	0	0	0
97年 7月	 31 	 1 	 1 	 5 	 1 	0	 5 	0	0
97年 8月	 4 	 1 	 2 	 3 	 1 	0	 1 	0	0
97年 9月	 7 	0	 1 	 1 	 7 	0	0	0	0
97年 10月	 6 	 3 	 4 	 3 	 2 	0	 2 	 1 	0
97年 11月	 5 	 2 	0	 5 	 5 	0	 1 	 1 	0
97年 12月	 2 	 3 	 1 	 2 	 2 	0	 2 	 2 	0
98年	 55 	 16 	 15 	 21 	 30 	0	 44 	 6 	0
98年 1月	 5 	0	0	 2 	 2 	0	 10 	0	0
98年 2月	 11 	 1 	 2 	 2 	 3 	0	 2 	0	0
98年 3月	 8 	 4 	 2 	 5 	 1 	0	 3 	0	0
98年 4月	 6 	 2 	 1 	0	 4 	0	 6 	 1 	0
98年 5月	 3 	0	0	0	 3 	0	 2 	0	0
98年 6月	 5 	 1 	 1 	 2 	0	0	 4 	 1 	0
98年 7月	 2 	 1 	 1 	 1 	 2 	0	 5 	 3 	0
98年 8月	 4 	 1 	 6 	 1 	 5 	0	 4 	0	0
98年 9月	 6 	 1 	0	 1 	 7 	0	 3 	0	0
98年 10月	 1 	 3 	 1 	 2 	 1 	0	 4 	0	0
98年 11月	 3 	 2 	 1 	 3 	 2 	0	 1 	 1 	0
98年 12月	 1 	0	0	 2 	0	0	0	0	0
99年	 73 	 31 	 12 	 25 	 54 	0	 33 	 24 	 1 
99年 1月	 2 	 3 	0	0	0	0	 1 	0	0
99年 2月	 6 	 3 	 1 	 5 	0	0	 3 	 5 	0
99年 3月	 6 	0	0	 1 	 1 	0	 6 	 2 	0
99年 4月	 12 	 1 	 1 	 3 	 8 	0	 2 	0	0
99年 5月	 7 	 2 	 1 	 1 	 1 	0	0	 1 	0
99年 6月	 5 	 2 	0	 1 	 9 	0	 4 	 5 	 1 
99年 7月	 5 	 5 	 1 	 5 	 2 	0	 2 	 1 	0
99年 8月	 10 	 3 	 5 	 3 	 26 	0	 2 	 1 	0
99年 9月	 8 	 4 	0	 3 	 2 	0	 5 	 2 	0
