時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
89年	 4 	0	0	 3 	0	 1 	0	 62 	 133 
89年 1月	0	0	0	0	0	0	0	 4 	 11 
89年 2月	 1 	0	0	 1 	0	0	0	 11 	 16 
89年 3月	0	0	0	0	0	0	0	 6 	 3 
89年 4月	0	0	0	0	0	0	0	 5 	 6 
89年 5月	0	0	0	0	0	0	0	 4 	 15 
89年 6月	0	0	0	0	0	0	0	 5 	 4 
89年 7月	 1 	0	0	0	0	0	0	 6 	 17 
89年 8月	 1 	0	0	 1 	0	0	0	 3 	 17 
89年 9月	0	0	0	0	0	0	0	 6 	 9 
89年 10月	0	0	0	 1 	0	 1 	0	 5 	 15 
89年 11月	0	0	0	0	0	0	0	 3 	 9 
89年 12月	 1 	0	0	0	0	0	0	 4 	 11 
90年	 13 	0	0	 6 	0	 3 	0	 39 	 125 
90年 1月	0	0	0	0	0	 1 	0	 12 	 24 
90年 2月	0	0	0	0	0	0	0	 5 	 9 
90年 3月	0	0	0	0	0	 1 	0	0	0
90年 4月	0	0	0	0	0	0	0	 1 	 4 
90年 5月	 1 	0	0	0	0	 1 	0	 2 	 12 
90年 6月	 2 	0	0	 1 	0	0	0	 1 	 11 
90年 7月	 4 	0	0	0	0	0	0	 4 	 11 
90年 8月	 1 	0	0	 1 	0	0	0	 5 	 6 
90年 9月	 1 	0	0	0	0	0	0	 1 	 6 
90年 10月	 2 	0	0	 2 	0	0	0	 4 	 18 
90年 11月	0	0	0	 1 	0	0	0	 2 	 9 
90年 12月	 2 	0	0	 1 	0	0	0	 2 	 15 
91年	 1 	0	0	 12 	0	0	0	 29 	 170 
91年 1月	0	0	0	0	0	0	0	 1 	 4 
91年 2月	0	0	0	 1 	0	0	0	 2 	 9 
91年 3月	0	0	0	0	0	0	0	 3 	 4 
91年 4月	0	0	0	0	0	0	0	 1 	 7 
91年 5月	0	0	0	0	0	0	0	 4 	 11 
91年 6月	0	0	0	0	0	0	0	 1 	 7 
91年 7月	0	0	0	 4 	0	0	0	0	 24 
91年 8月	0	0	0	 1 	0	0	0	 6 	 15 
91年 9月	0	0	0	 2 	0	0	0	 4 	 15 
91年 10月	0	0	0	0	0	0	0	 3 	 25 
91年 11月	 1 	0	0	 2 	0	0	0	 1 	 31 
91年 12月	0	0	0	 2 	0	0	0	 3 	 18 
92年	 7 	0	0	 6 	 1 	0	0	 35 	 173 
92年 1月	 1 	0	0	 2 	0	0	0	 7 	 29 
92年 2月	 1 	0	0	0	0	0	0	 1 	 8 
92年 3月	0	0	0	 2 	0	0	0	0	 8 
92年 4月	 1 	0	0	0	0	0	0	 4 	 16 
92年 5月	 2 	0	0	0	0	0	0	 1 	 20 
92年 6月	0	0	0	0	0	0	0	 4 	 16 
92年 7月	0	0	0	 1 	0	0	0	 2 	 10 
92年 8月	0	0	0	 1 	0	0	0	 3 	 11 
92年 9月	0	0	0	0	0	0	0	 4 	 7 
92年 10月	 2 	0	0	0	0	0	0	 3 	 19 
92年 11月	0	0	0	0	 1 	0	0	 3 	 16 
92年 12月	0	0	0	0	0	0	0	 3 	 13 
93年	 6 	0	 2 	 8 	0	0	 1 	 54 	 200 
93年 1月	 1 	0	0	 1 	0	0	0	 1 	 23 
93年 2月	0	0	0	0	0	0	0	 7 	 20 
93年 3月	 1 	0	0	 1 	0	0	 1 	 4 	 9 
93年 4月	0	0	 2 	0	0	0	0	 6 	 14 
93年 5月	0	0	0	 1 	0	0	0	0	 11 
93年 6月	0	0	0	 1 	0	0	0	0	 20 
93年 7月	0	0	0	0	0	0	0	 10 	 14 
93年 8月	 1 	0	0	 2 	0	0	0	 9 	 20 
93年 9月	0	0	0	0	0	0	0	 4 	 17 
93年 10月	0	0	0	 1 	0	0	0	 4 	 24 
93年 11月	0	0	0	 1 	0	0	0	 7 	 17 
93年 12月	 3 	0	0	0	0	0	0	 2 	 11 
94年	 4 	0	0	 3 	 1 	 1 	0	 69 	 198 
94年 1月	0	0	0	0	0	0	0	 7 	 6 
94年 2月	0	0	0	0	0	0	0	 1 	 12 
94年 3月	 1 	0	0	 1 	0	0	0	 6 	 7 
94年 4月	 1 	0	0	0	0	0	0	 6 	 12 
94年 5月	 1 	0	0	0	0	 1 	0	 8 	 18 
94年 6月	0	0	0	0	0	0	0	 5 	 17 
94年 7月	 1 	0	0	0	0	0	0	 5 	 18 
94年 8月	0	0	0	 1 	0	0	0	 8 	 19 
94年 9月	0	0	0	0	 1 	0	0	 7 	 21 
94年 10月	0	0	0	0	0	0	0	 5 	 22 
94年 11月	0	0	0	0	0	0	0	 8 	 19 
94年 12月	0	0	0	 1 	0	0	0	 3 	 27 
95年	 4 	0	0	 4 	0	0	0	 32 	 148 
95年 1月	0	0	0	0	0	0	0	0	 20 
95年 2月	0	0	0	0	0	0	0	 8 	 24 
95年 3月	0	0	0	0	0	0	0	 3 	 11 
95年 4月	0	0	0	0	0	0	0	 3 	 8 
95年 5月	0	0	0	 1 	0	0	0	 7 	 9 
95年 6月	 3 	0	0	 1 	0	0	0	0	 7 
95年 7月	0	0	0	0	0	0	0	 1 	 17 
95年 8月	0	0	0	0	0	0	0	 2 	 5 
95年 9月	 1 	0	0	 1 	0	0	0	 3 	 14 
95年 10月	0	0	0	0	0	0	0	 2 	 7 
95年 11月	0	0	0	0	0	0	0	 1 	 15 
95年 12月	0	0	0	 1 	0	0	0	 2 	 11 
96年	0	0	0	 2 	 1 	0	0	 32 	 97 
96年 1月	0	0	0	0	0	0	0	 3 	 13 
96年 2月	0	0	0	0	0	0	0	 4 	 8 
96年 3月	0	0	0	0	0	0	0	 3 	 8 
96年 4月	0	0	0	0	0	0	0	 2 	 2 
96年 5月	0	0	0	0	0	0	0	 1 	 15 
96年 6月	0	0	0	0	0	0	0	0	 6 
96年 7月	0	0	0	 1 	 1 	0	0	 2 	 6 
96年 8月	0	0	0	0	0	0	0	 5 	 15 
96年 9月	0	0	0	 1 	0	0	0	 4 	 7 
96年 10月	0	0	0	0	0	0	0	 3 	 6 
96年 11月	0	0	0	0	0	0	0	 4 	 6 
96年 12月	0	0	0	0	0	0	0	 1 	 5 
97年	 3 	0	0	 7 	 1 	0	0	 39 	 89 
97年 1月	0	0	0	0	0	0	0	 1 	 6 
97年 2月	0	0	0	0	0	0	0	 2 	 7 
97年 3月	0	0	0	 1 	0	0	0	 3 	 11 
97年 4月	0	0	0	 2 	0	0	0	 3 	 9 
97年 5月	0	0	0	 1 	0	0	0	 6 	 9 
97年 6月	 1 	0	0	 1 	0	0	0	 6 	 5 
97年 7月	 1 	0	0	0	 1 	0	0	 2 	 5 
97年 8月	0	0	0	 1 	0	0	0	 2 	 7 
97年 9月	0	0	0	 1 	0	0	0	 4 	 7 
97年 10月	0	0	0	0	0	0	0	 6 	 6 
97年 11月	0	0	0	0	0	0	0	 4 	 11 
97年 12月	 1 	0	0	0	0	0	0	0	 6 
98年	 2 	0	0	 4 	0	 1 	0	 23 	 86 
98年 1月	0	0	0	0	0	0	0	0	 1 
98年 2月	0	0	0	0	0	 1 	0	 2 	 6 
98年 3月	0	0	0	 1 	0	0	0	 3 	 6 
98年 4月	 1 	0	0	 1 	0	0	0	 2 	 9 
98年 5月	0	0	0	0	0	0	0	0	 8 
98年 6月	0	0	0	0	0	0	0	 2 	 10 
98年 7月	0	0	0	 1 	0	0	0	 1 	 11 
98年 8月	0	0	0	0	0	0	0	 2 	 9 
98年 9月	0	0	0	 1 	0	0	0	 5 	 12 
98年 10月	0	0	0	0	0	0	0	 1 	 4 
98年 11月	0	0	0	0	0	0	0	 4 	 5 
98年 12月	 1 	0	0	0	0	0	0	 1 	 5 
99年	 6 	0	0	 2 	0	0	 1 	 29 	 96 
99年 1月	0	0	0	0	0	0	0	 2 	 5 
99年 2月	0	0	0	0	0	0	 1 	 2 	 3 
99年 3月	0	0	0	0	0	0	0	 5 	 5 
99年 4月	0	0	0	0	0	0	0	 2 	 8 
99年 5月	0	0	0	 1 	0	0	0	 2 	 8 
99年 6月	 1 	0	0	0	0	0	0	 1 	 8 
99年 7月	0	0	0	0	0	0	0	 1 	 14 
99年 8月	0	0	0	 1 	0	0	0	 1 	 9 
99年 9月	0	0	0	0	0	0	0	 2 	 9 
99年 10月	0	0	0	0	0	0	0	 5 	 13 
99年 11月	0	0	0	0	0	0	0	 5 	 9 
99年 12月	 5 	0	0	0	0	0	0	 1 	 5 
100年	 1 	0	0	 9 	 1 	0	0	 53 	 130 
100年 1月	0	0	0	 2 	0	0	0	 7 	 10 
100年 2月	0	0	0	0	0	0	0	 6 	 7 
100年 3月	 1 	0	0	 1 	0	0	0	 1 	 9 
100年 4月	0	0	0	0	0	0	0	0	 7 
