時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
89年	 1 	 33 	 50 	 183 	 71 	 2 	 26 	 31 	 3 
89年 1月	0	 2 	 5 	 3 	 2 	0	 1 	 4 	0
89年 2月	0	0	 1 	 7 	 3 	0	 6 	 4 	0
89年 3月	0	0	 6 	 8 	 2 	0	 3 	 2 	0
89年 4月	0	0	 4 	 11 	 4 	0	 2 	 4 	0
89年 5月	0	 3 	 4 	 10 	 6 	0	 1 	 1 	0
89年 6月	0	 1 	 3 	 26 	 4 	0	 2 	 3 	0
89年 7月	0	 5 	 7 	 34 	 7 	0	0	 1 	0
89年 8月	0	 3 	 4 	 28 	 8 	0	 1 	 2 	 2 
89年 9月	0	 3 	 3 	 15 	 7 	0	 4 	 2 	0
89年 10月	0	 4 	 5 	 18 	 8 	 1 	 4 	 3 	0
89年 11月	0	 3 	 3 	 11 	 9 	 1 	 1 	 3 	 1 
89年 12月	 1 	 9 	 5 	 12 	 11 	0	 1 	 2 	0
90年	 2 	 61 	 54 	 303 	 109 	 4 	 21 	 61 	 3 
90年 1月	0	 6 	 3 	 10 	 12 	 1 	 3 	 4 	0
90年 2月	0	 5 	 8 	 9 	 7 	0	0	 2 	0
90年 3月	0	 5 	 6 	 10 	 11 	0	 2 	 4 	0
90年 4月	0	 9 	 5 	 7 	 16 	 1 	 3 	 7 	 1 
90年 5月	0	 9 	 4 	 32 	 13 	0	 2 	 5 	0
90年 6月	0	 9 	 3 	 34 	 7 	0	 1 	 5 	0
90年 7月	0	 1 	 4 	 34 	 6 	 1 	 1 	 5 	0
90年 8月	0	 5 	 6 	 41 	 7 	0	 2 	 8 	0
90年 9月	 1 	 4 	 6 	 19 	 5 	0	 1 	 7 	 1 
90年 10月	0	0	0	 37 	 7 	 1 	 2 	 4 	0
90年 11月	 1 	 3 	 7 	 57 	 13 	0	 2 	 7 	 1 
90年 12月	0	 5 	 2 	 13 	 5 	0	 2 	 3 	0
91年	 3 	 9 	 33 	 263 	 104 	 6 	 22 	 36 	 2 
91年 1月	0	0	 1 	 16 	 9 	0	 2 	 1 	0
91年 2月	 1 	 2 	 3 	 5 	 3 	0	0	 1 	0
91年 3月	0	 2 	 3 	 16 	 9 	 1 	 3 	 2 	0
91年 4月	0	0	 5 	 17 	 7 	0	 3 	 2 	0
91年 5月	0	 2 	 5 	 21 	 1 	0	 2 	 1 	0
91年 6月	 1 	 2 	 4 	 17 	 5 	 1 	 2 	 2 	0
91年 7月	0	0	 3 	 41 	 14 	 2 	 3 	 4 	0
91年 8月	0	0	 2 	 24 	 8 	 1 	0	 5 	 2 
91年 9月	0	0	0	 23 	 1 	 1 	 1 	 2 	0
91年 10月	0	 1 	 1 	 21 	 15 	0	 3 	 9 	0
91年 11月	0	0	 5 	 41 	 15 	0	 2 	 6 	0
91年 12月	 1 	0	 1 	 21 	 17 	0	 1 	 1 	0
92年	 1 	 26 	 24 	 232 	 138 	 5 	 50 	 41 	 5 
92年 1月	0	0	 4 	 13 	 19 	0	 2 	 1 	0
