時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 9,512 	 3,317 	 38 	 264 	 5 	 175 	 191 	 74 	 86 
89年 1月	 706 	 289 	 1 	 26 	0	 14 	 21 	 6 	 12 
89年 2月	 507 	 196 	 5 	 24 	0	 6 	 8 	 6 	 5 
89年 3月	 572 	 288 	 5 	 33 	0	 6 	 13 	 4 	 4 
89年 4月	 697 	 265 	 3 	 20 	0	 10 	 11 	 3 	 2 
89年 5月	 832 	 298 	 2 	 24 	0	 22 	 22 	 1 	 5 
89年 6月	 729 	 240 	 6 	 27 	0	 14 	 4 	 4 	 5 
89年 7月	 899 	 293 	 5 	 34 	 2 	 12 	 6 	 7 	 8 
89年 8月	 925 	 278 	 1 	 18 	0	 17 	 5 	 7 	 7 
89年 9月	 880 	 201 	 2 	 20 	0	 16 	 52 	 5 	 15 
89年 10月	 951 	 334 	 5 	 24 	0	 21 	 31 	 9 	 9 
89年 11月	 964 	 320 	0	 6 	 1 	 16 	 9 	 12 	 7 
89年 12月	 850 	 315 	 3 	 8 	 2 	 21 	 9 	 10 	 7 
90年	 10,875 	 3,753 	 54 	 130 	 1 	 321 	 111 	 85 	 88 
90年 1月	 1,175 	 419 	 6 	 10 	0	 19 	 17 	 12 	 7 
90年 2月	 749 	 239 	 5 	 16 	0	 18 	 5 	 5 	 6 
90年 3月	 741 	 240 	 5 	 16 	0	 31 	 5 	 7 	 8 
90年 4月	 733 	 327 	 2 	 11 	0	 33 	 12 	 5 	 8 
90年 5月	 943 	 365 	 4 	 6 	0	 37 	 4 	 4 	 11 
90年 6月	 819 	 200 	 6 	 5 	 1 	 34 	 4 	 9 	 6 
90年 7月	 1,005 	 300 	 6 	 7 	0	 17 	 10 	 5 	 7 
90年 8月	 1,012 	 303 	 3 	 7 	0	 24 	 11 	 5 	 6 
90年 9月	 720 	 225 	 3 	 14 	0	 14 	 8 	 7 	 4 
90年 10月	 1,085 	 283 	 4 	 15 	0	 29 	 11 	 10 	 11 
90年 11月	 1,130 	 488 	 6 	 17 	0	 42 	 12 	 7 	 8 
90年 12月	 763 	 364 	 4 	 6 	0	 23 	 12 	 9 	 6 
91年	 13,439 	 4,737 	 48 	 177 	 5 	 233 	 124 	 66 	 122 
91年 1月	 1,003 	 406 	 3 	 7 	0	 27 	 10 	 2 	 6 
91年 2月	 1,804 	 396 	 8 	 5 	0	 20 	 4 	 2 	 8 
91年 3月	 947 	 355 	 6 	 8 	 1 	 21 	 15 	 5 	 12 
91年 4月	 1,056 	 312 	 3 	 11 	0	 17 	 10 	 3 	 6 
91年 5月	 1,060 	 439 	 1 	 19 	0	 20 	 8 	 8 	 10 
91年 6月	 859 	 304 	 5 	 9 	0	 23 	 5 	 4 	 11 
91年 7月	 1,217 	 367 	 5 	 10 	 1 	 25 	 10 	 7 	 12 
91年 8月	 1,140 	 409 	 4 	 19 	0	 19 	 11 	 4 	 6 
91年 9月	 1,096 	 366 	 1 	 18 	0	 18 	 10 	 9 	 11 
91年 10月	 1,306 	 418 	 5 	 5 	 1 	 14 	 10 	 9 	 22 
91年 11月	 1,149 	 501 	 4 	 26 	 1 	 15 	 13 	 9 	 8 
91年 12月	 802 	 464 	 3 	 40 	 1 	 14 	 18 	 4 	 10 
92年	 12,544 	 6,302 	 26 	 167 	 4 	 139 	 168 	 48 	 98 
92年 1月	 1,233 	 582 	 2 	 18 	0	 22 	 24 	 9 	 15 
92年 2月	 892 	 395 	0	 13 	0	 11 	 9 	 6 	 12 
92年 3月	 1,014 	 575 	0	 22 	 1 	 10 	 14 	 2 	 5 
