時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
89年	 119 	 8 	 73 	 163 	 699 	 2,071 	 1 	0	 22 
89年 1月	 5 	 2 	 6 	 11 	 65 	 338 	0	0	 7 
89年 2月	 2 	 1 	 4 	 9 	 49 	 238 	0	0	 1 
89年 3月	 3 	0	 4 	 10 	 44 	 139 	0	0	 2 
89年 4月	 1 	0	 11 	 20 	 50 	 178 	0	0	 3 
89年 5月	 10 	0	 7 	 9 	 58 	 169 	0	0	 3 
89年 6月	 14 	 1 	 11 	 14 	 51 	 158 	0	0	 2 
89年 7月	0	0	 3 	 24 	 79 	 157 	0	0	 2 
89年 8月	 14 	0	 3 	 15 	 66 	 166 	0	0	 1 
89年 9月	 18 	0	 7 	 9 	 49 	 119 	0	0	 1 
89年 10月	 41 	 1 	 7 	 16 	 58 	 141 	0	0	0
89年 11月	 4 	 2 	 5 	 11 	 81 	 146 	 1 	0	0
89年 12月	 7 	 1 	 5 	 15 	 49 	 122 	0	0	0
90年	 156 	 8 	 80 	 155 	 786 	 962 	 3 	0	 168 
90年 1月	 31 	0	 5 	 21 	 55 	 124 	0	0	0
90年 2月	 11 	0	 9 	 28 	 29 	 59 	0	0	0
90年 3月	 8 	0	 5 	 16 	 53 	 71 	0	0	0
90年 4月	 2 	0	 14 	 13 	 46 	 90 	0	0	 3 
90年 5月	 25 	 2 	 9 	 20 	 65 	 94 	0	0	 1 
90年 6月	 35 	0	 8 	 11 	 64 	 68 	0	0	 4 
90年 7月	 7 	 1 	 6 	 10 	 65 	 77 	0	0	 25 
90年 8月	 7 	 1 	 6 	 9 	 100 	 105 	0	0	 37 
90年 9月	 5 	 2 	 1 	 4 	 83 	 66 	 1 	0	 27 
90年 10月	 11 	 1 	 4 	 5 	 92 	 73 	 1 	0	 17 
90年 11月	 9 	 1 	 9 	 12 	 71 	 78 	0	0	 29 
90年 12月	 5 	0	 4 	 6 	 63 	 57 	 1 	0	 25 
91年	 90 	 6 	 48 	 104 	 829 	 541 	 3 	0	 235 
91年 1月	 12 	0	 4 	 11 	 39 	 38 	0	0	 14 
91年 2月	 7 	 1 	 6 	 9 	 46 	 37 	0	0	 18 
91年 3月	 3 	0	 8 	 7 	 51 	 38 	0	0	 29 
91年 4月	 10 	0	 4 	 7 	 64 	 36 	0	0	 27 
91年 5月	 3 	0	 4 	 7 	 54 	 36 	0	0	 18 
91年 6月	 4 	 1 	 4 	 6 	 54 	 23 	0	0	 22 
91年 7月	 5 	 1 	 5 	 12 	 101 	 55 	0	0	 25 
91年 8月	 8 	 2 	 3 	 12 	 85 	 55 	 1 	0	 32 
91年 9月	 13 	0	 2 	 10 	 75 	 44 	0	0	 17 
91年 10月	 6 	0	 4 	 4 	 89 	 44 	 1 	0	 12 
91年 11月	 6 	0	 2 	 11 	 84 	 53 	0	0	 5 
91年 12月	 13 	 1 	 2 	 8 	 87 	 82 	 1 	0	 16 
92年	 126 	 8 	 51 	 103 	 1,133 	 619 	 4 	0	 223 
92年 1月	 29 	0	 12 	 6 	 108 	 75 	0	0	 26 
92年 2月	 2 	 1 	 2 	 6 	 67 	 38 	0	0	 19 
92年 3月	 4 	0	0	 10 	 74 	 42 	 1 	0	 18 
92年 4月	 4 	0	 3 	 13 	 100 	 56 	0	0	 31 
92年 5月	 18 	 2 	 3 	 7 	 120 	 26 	0	0	 31 
92年 6月	 24 	0	 11 	 12 	 99 	 56 	0	0	 11 
92年 7月	 13 	 1 	 10 	 15 	 96 	 61 	 1 	0	 14 
92年 8月	 17 	 3 	 2 	 9 	 113 	 70 	 1 	0	 13 
92年 9月	 5 	 1 	 4 	 9 	 79 	 38 	0	0	 18 
92年 10月	 2 	0	 2 	 8 	 87 	 65 	0	0	 13 
92年 11月	 2 	0	 1 	 6 	 99 	 44 	0	0	 12 
92年 12月	 6 	0	 1 	 2 	 91 	 48 	 1 	0	 17 
93年	 83 	 3 	 46 	 78 	 1,491 	 1,203 	 17 	0	 175 
93年 1月	 14 	0	 1 	 5 	 103 	 84 	0	0	 18 
93年 2月	 10 	0	 5 	 9 	 107 	 76 	 1 	0	 15 
93年 3月	 1 	0	 4 	 10 	 84 	 53 	0	0	 6 
93年 4月	 4 	0	 10 	 6 	 117 	 65 	 1 	0	 12 
93年 5月	 12 	0	0	 5 	 102 	 83 	 5 	0	 10 
93年 6月	 8 	0	 3 	 4 	 103 	 94 	 3 	0	 10 
93年 7月	 8 	0	 3 	 8 	 151 	 134 	0	0	 27 
93年 8月	 2 	 1 	 2 	 5 	 123 	 126 	 2 	0	 36 
93年 9月	 5 	 1 	 3 	 5 	 143 	 140 	 1 	0	 8 
93年 10月	 5 	0	 2 	 6 	 121 	 110 	 2 	0	 9 
93年 11月	 8 	 1 	 6 	 3 	 185 	 134 	 1 	0	 10 
93年 12月	 6 	0	 7 	 12 	 152 	 104 	 1 	0	 14 
94年	 94 	 7 	 64 	 95 	 2,339 	 1,608 	 19 	0	 164 
94年 1月	 12 	 2 	 6 	 9 	 332 	 212 	 5 	0	 29 
94年 2月	 3 	 1 	 3 	 9 	 106 	 82 	 1 	0	 9 
94年 3月	 7 	 1 	 6 	 16 	 177 	 156 	0	0	 10 
94年 4月	 13 	0	 4 	 7 	 192 	 144 	 2 	0	 22 
94年 5月	 10 	0	 4 	 2 	 196 	 139 	 1 	0	 20 
94年 6月	 6 	0	 7 	 10 	 165 	 146 	 3 	0	 38 
94年 7月	 5 	0	 7 	 11 	 203 	 144 	 2 	0	 8 
94年 8月	 12 	0	 6 	 6 	 173 	 143 	 1 	0	 5 
94年 9月	 8 	0	 8 	 6 	 233 	 127 	 2 	0	 5 
94年 10月	 11 	0	 3 	 3 	 217 	 125 	 1 	0	 17 
94年 11月	 3 	 1 	 4 	 6 	 217 	 114 	 1 	0	 1 
94年 12月	 4 	 2 	 6 	 10 	 128 	 76 	0	0	0
95年	 119 	 1 	 60 	 124 	 2,461 	 1,584 	 18 	0	 5 
95年 1月	 6 	0	 3 	 12 	 216 	 112 	 2 	0	0
95年 2月	 9 	 1 	 2 	 10 	 155 	 102 	 1 	0	0
95年 3月	 13 	0	 3 	 9 	 191 	 125 	 1 	0	0
95年 4月	 7 	0	 2 	 13 	 232 	 159 	 1 	0	 1 
95年 5月	 9 	0	 3 	 10 	 151 	 150 	0	0	 1 
95年 6月	 9 	0	 10 	 8 	 150 	 152 	 1 	0	0
95年 7月	 5 	0	 5 	 7 	 240 	 132 	 2 	0	 1 
95年 8月	 11 	0	 6 	 14 	 232 	 160 	 3 	0	0
95年 9月	 15 	0	 5 	 7 	 198 	 115 	 1 	0	0
95年 10月	 12 	0	 7 	 18 	 254 	 107 	 3 	0	 1 
95年 11月	 13 	0	 5 	 9 	 256 	 146 	 1 	0	0
95年 12月	 10 	0	 9 	 7 	 186 	 124 	 2 	0	 1 
96年	 104 	 4 	 66 	 123 	 2,357 	 1,938 	 51 	 1 	0
96年 1月	 10 	 1 	 3 	 6 	 193 	 112 	0	0	0
96年 2月	 8 	 1 	 4 	 4 	 231 	 158 	 1 	0	0
96年 3月	 9 	 2 	 4 	 8 	 175 	 128 	 2 	0	0
96年 4月	 13 	0	 2 	 7 	 185 	 126 	 3 	0	0
96年 5月	 12 	0	 6 	 12 	 202 	 154 	 5 	0	0
96年 6月	 9 	0	 5 	 13 	 171 	 143 	 8 	0	0
96年 7月	 15 	0	 8 	 6 	 305 	 280 	 4 	0	0
96年 8月	 4 	0	 6 	 18 	 237 	 242 	 9 	0	0
96年 9月	 10 	0	 2 	 11 	 211 	 158 	 3 	0	0
96年 10月	 4 	0	 10 	 14 	 172 	 165 	 4 	0	0
96年 11月	 6 	0	 5 	 10 	 143 	 160 	 3 	 1 	0
96年 12月	 4 	0	 11 	 14 	 132 	 112 	 9 	0	0
97年	 49 	 4 	 34 	 87 	 2,322 	 2,035 	 106 	0	0
97年 1月	 6 	 1 	 5 	 9 	 146 	 150 	 5 	0	0
