時間	毀棄損壞	妨害公務	妨害電腦使用	強盜	搶奪	內亂	重利	竊佔	偽造有價證券
89年	 38 	 18 	0	 154 	 99 	0	 22 	 11 	 3 
89年 1月	 2 	 2 	0	 24 	 5 	0	 4 	 1 	0
89年 2月	 2 	 1 	0	 14 	 6 	0	 2 	 1 	 1 
89年 3月	 3 	 2 	0	 11 	 8 	0	 4 	0	0
89年 4月	0	0	0	 11 	 11 	0	0	0	0
89年 5月	 3 	 2 	0	 10 	 8 	0	0	 2 	0
89年 6月	 1 	 3 	0	 12 	 6 	0	 2 	0	 1 
89年 7月	 5 	 3 	0	 8 	 8 	0	 3 	 1 	0
89年 8月	 5 	 1 	0	 9 	 5 	0	0	0	0
89年 9月	 4 	 2 	0	 19 	 22 	0	 1 	 3 	0
89年 10月	 8 	 1 	0	 14 	 7 	0	 5 	 2 	 1 
89年 11月	0	 1 	0	 12 	 12 	0	 1 	0	0
89年 12月	 5 	0	0	 10 	 1 	0	0	 1 	0
90年	 58 	 56 	0	 323 	 214 	0	 33 	 12 	 3 
90年 1月	 8 	 6 	0	 32 	 23 	0	 2 	 1 	 1 
90年 2月	 3 	 3 	0	 23 	 9 	0	 2 	0	 1 
90年 3月	 2 	 1 	0	 29 	 7 	0	 11 	 3 	0
90年 4月	 7 	 10 	0	 17 	 17 	0	 2 	0	0
90年 5月	 8 	 1 	0	 15 	 12 	0	 4 	0	0
90年 6月	 4 	 5 	0	 26 	 11 	0	 3 	 1 	0
90年 7月	 4 	 6 	0	 30 	 34 	0	0	 1 	0
90年 8月	 4 	 5 	0	 41 	 16 	0	 6 	 2 	0
90年 9月	 5 	 6 	0	 30 	 11 	0	 1 	 2 	0
90年 10月	 4 	 4 	0	 30 	 17 	0	 1 	0	0
90年 11月	 4 	 3 	0	 24 	 44 	0	 1 	 1 	 1 
90年 12月	 5 	 6 	0	 26 	 13 	0	0	 1 	0
91年	 29 	 49 	0	 340 	 355 	0	 32 	 5 	 1 
91年 1月	 1 	 3 	0	 17 	 4 	0	 1 	0	0
91年 2月	 3 	 2 	0	 84 	 55 	0	0	 1 	0
91年 3月	 5 	 3 	0	 17 	 17 	0	0	0	0
91年 4月	 3 	 5 	0	 22 	 30 	0	 1 	0	 1 
91年 5月	 3 	 4 	0	 13 	 22 	0	 7 	0	0
91年 6月	0	 5 	0	 14 	 11 	0	 1 	0	0
91年 7月	 1 	 1 	0	 41 	 65 	0	0	 1 	0
91年 8月	 2 	 4 	0	 42 	 41 	0	0	0	0
91年 9月	 2 	 6 	0	 12 	 16 	0	 7 	0	0
91年 10月	 2 	 11 	0	 33 	 45 	0	 6 	 1 	0
91年 11月	 4 	 2 	0	 20 	 18 	0	0	 2 	0
91年 12月	 3 	 3 	0	 25 	 31 	0	 9 	0	0
92年	 28 	 25 	0	 281 	 316 	0	 28 	 6 	 1 
92年 1月	 4 	 2 	0	 27 	 40 	0	 3 	0	0
92年 2月	0	 4 	0	 16 	 18 	0	 9 	 3 	0
92年 3月	 3 	 1 	0	 18 	 17 	0	 2 	 1 	0
92年 4月	 3 	 2 	0	 25 	 34 	0	 4 	0	0
92年 5月	 4 	 2 	0	 23 	 19 	0	 1 	0	 1 
92年 6月	 4 	 3 	0	 62 	 63 	0	 2 	 1 	0
92年 7月	 2 	 5 	0	 21 	 25 	0	 2 	0	0
92年 8月	 2 	 2 	0	 21 	 24 	0	 1 	0	0
92年 9月	 3 	 1 	0	 35 	 39 	0	0	0	0
92年 10月	 1 	 1 	0	 16 	 14 	0	 3 	 1 	0
92年 11月	 2 	0	0	 9 	 11 	0	0	0	0
92年 12月	0	 2 	0	 8 	 12 	0	 1 	0	0
93年	 27 	 19 	0	 214 	 319 	0	 36 	 4 	 1 
93年 1月	 1 	 1 	0	 28 	 45 	0	 2 	0	0
93年 2月	 3 	 2 	0	 16 	 16 	0	 1 	 1 	0
93年 3月	 2 	 1 	0	 16 	 15 	0	0	0	0
93年 4月	 1 	0	0	 12 	 14 	0	 2 	0	0
93年 5月	 1 	 2 	0	 20 	 9 	0	 1 	0	0
93年 6月	 1 	 2 	0	 14 	 13 	0	 1 	0	0
93年 7月	 1 	 4 	0	 14 	 16 	0	 1 	0	0
93年 8月	 4 	0	0	 16 	 24 	0	 1 	0	0
93年 9月	0	 2 	0	 20 	 20 	0	 3 	0	0
93年 10月	 2 	0	0	 16 	 53 	0	 6 	 2 	0
93年 11月	 9 	 2 	0	 29 	 63 	0	0	 1 	0
93年 12月	 2 	 3 	0	 13 	 31 	0	 18 	0	 1 
94年	 61 	 41 	 31 	 235 	 266 	0	 62 	 13 	 1 
94年 1月	 2 	 6 	 1 	 21 	 19 	0	 3 	 2 	0
94年 2月	 1 	0	 1 	 11 	 18 	0	 9 	0	0
94年 3月	 6 	 2 	 1 	 25 	 10 	0	0	 1 	0
94年 4月	 2 	 4 	 5 	 10 	 18 	0	 5 	0	0
