時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 126 	 2 	 4 	 23 	0	 48 	 5 	 6 	 6 
89年 1月	 12 	 1 	0	 5 	0	 4 	0	 1 	0
89年 2月	 11 	0	 1 	 3 	0	 2 	 1 	0	 2 
89年 3月	 5 	0	0	 1 	0	 2 	0	 1 	0
89年 4月	 16 	0	0	0	0	 2 	0	 1 	0
89年 5月	 13 	0	0	 2 	0	 8 	0	0	0
89年 6月	 7 	0	0	0	0	 4 	 2 	0	0
89年 7月	 10 	 1 	0	0	0	 5 	0	0	 1 
89年 8月	 10 	0	0	 2 	0	 4 	0	0	 1 
89年 9月	 11 	0	0	0	0	 5 	 1 	0	0
89年 10月	 12 	0	 2 	 3 	0	 4 	 1 	 2 	0
89年 11月	 7 	0	 1 	 2 	0	 6 	0	 1 	 1 
89年 12月	 12 	0	0	 5 	0	 2 	0	0	 1 
90年	 231 	 1 	 3 	 26 	0	 75 	 11 	 8 	 6 
90年 1月	 19 	0	0	 6 	0	 5 	0	0	0
90年 2月	 17 	 1 	0	 7 	0	 5 	0	 1 	0
90年 3月	 7 	0	0	 7 	0	 6 	 1 	0	 1 
90年 4月	 13 	0	0	 1 	0	 5 	0	 1 	 2 
90年 5月	 8 	0	0	 1 	0	 11 	 1 	 2 	0
90年 6月	 26 	0	0	 1 	0	 2 	 1 	 2 	 1 
90年 7月	 29 	0	 1 	 1 	0	 8 	 1 	 1 	0
90年 8月	 20 	0	0	 1 	0	 14 	 2 	0	0
90年 9月	 22 	0	0	0	0	 4 	0	0	0
90年 10月	 25 	0	 1 	0	0	 3 	 1 	 1 	 2 
90年 11月	 24 	0	 1 	0	0	 5 	 3 	0	0
90年 12月	 21 	0	0	 1 	0	 7 	 1 	0	0
91年	 219 	0	 9 	 16 	0	 79 	 32 	 11 	 5 
91年 1月	 13 	0	0	 2 	0	 5 	0	 1 	0
91年 2月	 35 	0	 2 	 2 	0	 1 	 1 	0	 1 
91年 3月	 15 	0	0	 3 	0	 7 	 2 	 1 	 1 
91年 4月	 11 	0	0	0	0	 7 	 1 	0	 1 
91年 5月	 13 	0	0	0	0	 7 	 1 	 1 	0
91年 6月	 21 	0	0	0	0	 6 	 9 	0	 1 
91年 7月	 16 	0	0	0	0	 12 	 2 	0	 1 
91年 8月	 13 	0	 3 	0	0	 3 	 1 	 1 	0
91年 9月	 17 	0	 1 	 2 	0	 9 	0	 2 	0
91年 10月	 16 	0	0	 3 	0	 5 	 2 	 1 	0
91年 11月	 18 	0	0	0	0	 7 	 8 	 1 	0
91年 12月	 31 	0	 3 	 4 	0	 10 	 5 	 3 	0
92年	 205 	 3 	 3 	 16 	0	 86 	 28 	 7 	 7 
92年 1月	 18 	0	0	 1 	0	 5 	 2 	 2 	0
92年 2月	 10 	 2 	0	 3 	0	 3 	 1 	 1 	0
92年 3月	 15 	 1 	 1 	 1 	0	 7 	 1 	0	0
92年 4月	 20 	0	0	0	0	 6 	 2 	0	0
92年 5月	 16 	0	0	0	0	 7 	 2 	0	0
92年 6月	 29 	0	0	 1 	0	 6 	 3 	 4 	0
92年 7月	 9 	0	0	 2 	0	 8 	 2 	0	0
