時間	毀棄損壞	妨害公務	妨害電腦使用	強盜	搶奪	內亂	重利	竊佔	偽造有價證券
89年	 18 	 13 	0	 157 	 123 	0	 41 	 1 	 2 
89年 1月	 2 	0	0	 17 	 3 	0	 7 	 1 	0
89年 2月	0	0	0	 19 	 10 	0	 3 	0	0
89年 3月	 1 	 1 	0	 11 	 1 	0	 2 	0	 1 
89年 4月	0	 1 	0	 6 	 5 	0	 2 	0	0
89年 5月	 2 	 1 	0	 8 	 3 	0	 2 	0	0
89年 6月	 1 	 1 	0	 5 	0	0	 2 	0	0
89年 7月	0	 2 	0	 16 	 20 	0	 4 	0	0
89年 8月	 2 	 2 	0	 22 	 29 	0	 2 	0	 1 
89年 9月	 3 	 2 	0	 5 	 7 	0	0	0	0
89年 10月	 2 	0	0	 15 	 17 	0	 8 	0	0
89年 11月	 2 	 2 	0	 10 	 13 	0	 4 	0	0
89年 12月	 3 	 1 	0	 23 	 15 	0	 5 	0	0
90年	 34 	 25 	0	 149 	 328 	0	 26 	 9 	 3 
90年 1月	 4 	 2 	0	 35 	 42 	0	 1 	 1 	0
90年 2月	 3 	 2 	0	 9 	 28 	0	 1 	 1 	0
90年 3月	 1 	0	0	 6 	 35 	0	0	0	0
90年 4月	 5 	 2 	0	 16 	 13 	0	0	0	 1 
90年 5月	 3 	 2 	0	 12 	 13 	0	 4 	 4 	 1 
90年 6月	 5 	 2 	0	 9 	 36 	0	 4 	0	0
90年 7月	 3 	 3 	0	 10 	 43 	0	 3 	0	 1 
90年 8月	 1 	 3 	0	 10 	 7 	0	 3 	0	0
90年 9月	 3 	 2 	0	 10 	 16 	0	 4 	0	0
90年 10月	 2 	 5 	0	 12 	 55 	0	 2 	 1 	0
90年 11月	 3 	 2 	0	 11 	 6 	0	 2 	 1 	0
90年 12月	 1 	0	0	 9 	 34 	0	 2 	 1 	0
91年	 39 	 29 	0	 187 	 423 	0	 39 	 9 	 6 
91年 1月	 4 	 3 	0	 4 	 8 	0	 2 	 1 	0
91年 2月	 1 	 2 	0	 15 	 90 	0	 1 	0	 1 
91年 3月	 3 	 2 	0	 23 	 53 	0	 1 	0	0
91年 4月	 2 	 2 	0	 3 	 11 	0	 3 	 1 	 1 
91年 5月	 4 	 3 	0	 9 	 12 	0	 7 	0	0
91年 6月	 1 	 4 	0	 10 	 12 	0	 7 	0	 1 
91年 7月	 6 	 2 	0	 13 	 34 	0	 4 	 2 	 1 
91年 8月	 4 	0	0	 27 	 76 	0	 4 	 3 	 1 
91年 9月	 4 	 4 	0	 12 	 14 	0	 2 	0	0
91年 10月	 3 	 4 	0	 36 	 69 	0	 2 	 1 	0
91年 11月	 6 	 1 	0	 20 	 24 	0	 1 	 1 	0
91年 12月	 1 	 2 	0	 15 	 20 	0	 5 	0	 1 
