時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
89年	 13 	 1 	0	0	 208 	 5 	 26 	 724 	0
89年 1月	0	0	0	0	 4 	0	 1 	 40 	0
89年 2月	0	0	0	0	 1 	0	 2 	 25 	0
89年 3月	 1 	0	0	0	 17 	0	 2 	 17 	0
89年 4月	 1 	0	0	0	 18 	 1 	 2 	 28 	0
89年 5月	 7 	0	0	0	 21 	0	 2 	 33 	0
89年 6月	 1 	0	0	0	 12 	 1 	0	 36 	0
89年 7月	 2 	0	0	0	 17 	0	 2 	 89 	0
89年 8月	 1 	 1 	0	0	 9 	0	 1 	 81 	0
89年 9月	0	0	0	0	 13 	 1 	0	 108 	0
89年 10月	0	0	0	0	 46 	 1 	 7 	 75 	0
89年 11月	0	0	0	0	 19 	0	 7 	 88 	0
89年 12月	0	0	0	0	 31 	 1 	0	 104 	0
90年	 20 	 1 	0	0	 294 	0	 19 	 1,509 	0
90年 1月	0	0	0	0	 21 	0	 1 	 120 	0
90年 2月	0	0	0	0	 16 	0	0	 99 	0
90年 3月	0	0	0	0	 16 	0	 3 	 127 	0
90年 4月	0	0	0	0	 23 	0	 3 	 118 	0
90年 5月	 1 	0	0	0	 29 	0	 1 	 111 	0
90年 6月	0	 1 	0	0	 42 	0	 2 	 75 	0
90年 7月	 2 	0	0	0	 17 	0	 3 	 158 	0
90年 8月	 4 	0	0	0	 40 	0	 1 	 134 	0
90年 9月	 3 	0	0	0	 20 	0	 2 	 153 	0
90年 10月	 4 	0	0	0	 23 	0	0	 141 	0
90年 11月	 3 	0	0	0	 28 	0	0	 132 	0
90年 12月	 3 	0	0	0	 19 	0	 3 	 141 	0
91年	 10 	0	0	0	 385 	 9 	 40 	 1,844 	 4 
91年 1月	 1 	0	0	0	 40 	 1 	 2 	 177 	0
91年 2月	 1 	0	0	0	 23 	0	 2 	 147 	0
91年 3月	0	0	0	0	 46 	 2 	 3 	 185 	0
91年 4月	0	0	0	0	 26 	 1 	 6 	 167 	0
91年 5月	 1 	0	0	0	 32 	 2 	 1 	 170 	0
91年 6月	0	0	0	0	 13 	0	 4 	 139 	0
91年 7月	 1 	0	0	0	 31 	 1 	 2 	 145 	0
91年 8月	 3 	0	0	0	 40 	0	 4 	 148 	0
91年 9月	 1 	0	0	0	 41 	0	 4 	 151 	0
91年 10月	 1 	0	0	0	 32 	0	 8 	 135 	0
91年 11月	 1 	0	0	0	 30 	0	0	 159 	 4 
91年 12月	0	0	0	0	 31 	 2 	 4 	 121 	0
92年	 8 	0	0	0	 184 	 6 	 130 	 1,981 	0
92年 1月	 3 	0	0	0	 49 	 1 	 6 	 151 	0
92年 2月	0	0	0	0	 29 	 1 	 14 	 110 	0
92年 3月	 1 	0	0	0	 20 	 3 	 25 	 135 	0
92年 4月	0	0	0	0	 15 	 1 	 6 	 167 	0
92年 5月	 1 	0	0	0	 18 	0	 6 	 152 	0
92年 6月	 1 	0	0	0	 10 	0	 20 	 190 	0
92年 7月	 2 	0	0	0	 8 	0	 12 	 197 	0
92年 8月	0	0	0	0	 12 	0	 6 	 199 	0
92年 9月	0	0	0	0	 10 	0	 7 	 175 	0
92年 10月	0	0	0	0	 4 	0	 8 	 169 	0
92年 11月	0	0	0	0	 4 	0	 10 	 167 	0
92年 12月	0	0	0	0	 5 	0	 10 	 169 	0
93年	 4 	 4 	0	 1 	 38 	0	 54 	 2,545 	0
93年 1月	 1 	0	0	0	 2 	0	 5 	 191 	0
93年 2月	 1 	0	0	0	 6 	0	 7 	 193 	0
93年 3月	 1 	0	0	0	 1 	0	 5 	 179 	0
93年 4月	0	0	0	0	 1 	0	 5 	 198 	0
93年 5月	0	 1 	0	0	 3 	0	 5 	 221 	0
93年 6月	0	 1 	0	0	 3 	0	 2 	 212 	0
93年 7月	0	0	0	0	 3 	0	 6 	 165 	0
93年 8月	 1 	0	0	0	 4 	0	 2 	 219 	0
93年 9月	0	 1 	0	0	 3 	0	 1 	 257 	0
93年 10月	0	0	0	 1 	 3 	0	 7 	 217 	0
93年 11月	0	 1 	0	0	 8 	0	 4 	 255 	0
93年 12月	0	0	0	0	 1 	0	 5 	 238 	0
94年	 2 	 2 	0	0	 83 	0	 47 	 2,786 	0
94年 1月	0	0	0	0	 5 	0	 4 	 300 	0
94年 2月	0	0	0	0	 8 	0	 3 	 247 	0
94年 3月	0	0	0	0	 9 	0	 6 	 231 	0
94年 4月	0	0	0	0	 4 	0	 1 	 234 	0
94年 5月	 1 	 1 	0	0	 11 	0	 1 	 283 	0
94年 6月	0	 1 	0	0	 13 	0	 7 	 239 	0
94年 7月	0	0	0	0	 11 	0	 2 	 234 	0
94年 8月	 1 	0	0	0	 3 	0	 6 	 222 	0
94年 9月	0	0	0	0	 3 	0	 3 	 202 	0
94年 10月	0	0	0	0	 2 	0	 8 	 213 	0
94年 11月	0	0	0	0	 8 	0	 4 	 197 	0
94年 12月	0	0	0	0	 6 	0	 2 	 184 	0
