時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 19,915 	 7,323 	 73 	 404 	 3 	 324 	 117 	 70 	 59 
89年 1月	 1,819 	 539 	 1 	 43 	 1 	 20 	 5 	 5 	 4 
89年 2月	 1,487 	 406 	 1 	 51 	0	 14 	 6 	 6 	 6 
89年 3月	 1,245 	 558 	 5 	 47 	0	 19 	 6 	 4 	 3 
89年 4月	 1,335 	 519 	 9 	 30 	 1 	 21 	 4 	 1 	 3 
89年 5月	 1,643 	 581 	 3 	 30 	0	 21 	 5 	 5 	 10 
89年 6月	 1,406 	 572 	 4 	 21 	0	 19 	 5 	 7 	 7 
89年 7月	 2,047 	 808 	 7 	 32 	0	 31 	 4 	 4 	 8 
89年 8月	 1,825 	 746 	 9 	 44 	0	 35 	 13 	 7 	 5 
89年 9月	 2,120 	 708 	 9 	 24 	0	 36 	 11 	 9 	 2 
89年 10月	 1,979 	 571 	 14 	 26 	 1 	 41 	 12 	 11 	 3 
89年 11月	 1,691 	 616 	 5 	 21 	0	 33 	 27 	 5 	 5 
89年 12月	 1,318 	 699 	 6 	 35 	0	 34 	 19 	 6 	 3 
90年	 18,888 	 8,412 	 67 	 276 	 3 	 535 	 188 	 115 	 74 
90年 1月	 2,068 	 681 	 19 	 24 	 1 	 44 	 16 	 10 	 5 
90年 2月	 1,384 	 449 	 4 	 35 	0	 34 	 13 	 5 	 9 
90年 3月	 1,481 	 535 	 7 	 43 	0	 44 	 14 	 12 	 6 
90年 4月	 1,483 	 763 	 8 	 20 	0	 47 	 18 	 11 	 2 
90年 5月	 1,577 	 708 	 2 	 23 	0	 63 	 16 	 9 	 8 
90年 6月	 1,443 	 678 	 5 	 24 	0	 46 	 8 	 11 	 6 
90年 7月	 1,706 	 897 	 6 	 17 	0	 35 	 23 	 11 	 7 
90年 8月	 1,695 	 860 	 2 	 23 	0	 41 	 16 	 9 	 4 
90年 9月	 1,449 	 631 	 6 	 6 	 1 	 47 	 13 	 6 	 7 
90年 10月	 1,743 	 670 	 1 	 23 	0	 41 	 13 	 7 	 6 
90年 11月	 1,567 	 699 	 3 	 15 	 1 	 49 	 19 	 11 	 6 
90年 12月	 1,292 	 841 	 4 	 23 	0	 44 	 19 	 13 	 8 
91年	 23,369 	 7,350 	 50 	 319 	 8 	 749 	 712 	 166 	 76 
91年 1月	 1,455 	 876 	 3 	 12 	0	 45 	 12 	 8 	 5 
91年 2月	 2,694 	 715 	 6 	 45 	0	 33 	 30 	 12 	 4 
91年 3月	 1,372 	 689 	 3 	 32 	0	 77 	 33 	 6 	 5 
