時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
89年	0	 101 	 69 	 165 	 83 	 3 	 29 	 43 	0
89年 1月	0	 10 	 4 	 8 	 6 	0	 4 	 4 	0
89年 2月	0	 7 	 2 	 2 	 7 	0	 2 	 1 	0
89年 3月	0	 6 	 4 	 13 	 11 	0	 1 	 2 	0
89年 4月	0	 9 	 4 	 8 	 15 	0	 1 	 1 	0
89年 5月	0	 7 	 11 	 9 	 4 	0	 3 	 3 	0
89年 6月	0	 6 	 4 	 14 	 7 	 1 	 4 	 2 	0
89年 7月	0	 3 	 11 	 21 	 6 	 1 	 2 	 2 	0
89年 8月	0	 7 	 8 	 21 	 3 	0	 4 	 1 	0
89年 9月	0	 9 	 7 	 15 	 6 	0	 3 	 4 	0
89年 10月	0	 15 	 5 	 10 	 5 	0	 2 	 6 	0
89年 11月	0	 11 	 4 	 13 	 7 	0	 1 	 9 	0
89年 12月	0	 11 	 5 	 31 	 6 	 1 	 2 	 8 	0
90年	 2 	 146 	 60 	 473 	 84 	 5 	 38 	 59 	 5 
90年 1月	0	 8 	 2 	 7 	 6 	0	 4 	 6 	0
90年 2月	0	 12 	 5 	 15 	 3 	0	 1 	 7 	0
90年 3月	0	 24 	 8 	 16 	 4 	0	0	 4 	 1 
90年 4月	0	 15 	 5 	 24 	 5 	 2 	 6 	 1 	 1 
90年 5月	0	 13 	 4 	 17 	 8 	0	 7 	 5 	 3 
90年 6月	0	 10 	 6 	 38 	 12 	 1 	0	 4 	0
90年 7月	0	 11 	0	 43 	 8 	 1 	 3 	 1 	0
90年 8月	0	 13 	 6 	 122 	 9 	0	 4 	 5 	0
90年 9月	 1 	 11 	 6 	 29 	 7 	0	 3 	 5 	0
90年 10月	0	 10 	 3 	 49 	 4 	0	 5 	 8 	0
90年 11月	 1 	 5 	 10 	 63 	 8 	0	0	 9 	0
90年 12月	0	 14 	 5 	 50 	 10 	 1 	 5 	 4 	0
91年	 1 	 231 	 68 	 529 	 150 	 4 	 17 	 71 	 1 
91年 1月	0	 3 	 4 	 36 	 7 	 1 	0	 7 	0
91年 2月	0	 7 	 4 	 17 	 12 	0	 1 	 5 	0
91年 3月	0	 27 	 9 	 37 	 10 	0	 3 	 7 	0
91年 4月	0	 20 	 5 	 73 	 10 	0	 2 	 5 	0
91年 5月	0	 11 	 6 	 34 	 16 	0	 1 	 9 	0
91年 6月	 1 	 16 	 6 	 26 	 13 	0	0	 5 	0
91年 7月	0	 16 	 6 	 88 	 13 	 2 	 2 	 6 	0
91年 8月	0	 31 	 4 	 79 	 10 	0	 3 	 5 	0
91年 9月	0	 26 	 6 	 28 	 10 	0	 1 	 4 	0
91年 10月	0	 29 	 7 	 34 	 23 	0	 3 	 6 	 1 
91年 11月	0	 24 	 5 	 45 	 17 	0	0	 6 	0
91年 12月	0	 21 	 6 	 32 	 9 	 1 	 1 	 6 	0
92年	 2 	 279 	 61 	 487 	 179 	 12 	 44 	 59 	 5 
92年 1月	 1 	 18 	 4 	 47 	 22 	0	 1 	 5 	0
92年 2月	0	 17 	 6 	 16 	 10 	 3 	 6 	 8 	0
92年 3月	0	 17 	 3 	 44 	 15 	 1 	 2 	 4 	0
92年 4月	0	 15 	 4 	 51 	 24 	0	 3 	 1 	 4 
92年 5月	0	 13 	 8 	 31 	 19 	 1 	 2 	 2 	0
92年 6月	0	 27 	 9 	 18 	 16 	 1 	 4 	 3 	0
92年 7月	0	 29 	 4 	 106 	 17 	0	 1 	 5 	 1 
92年 8月	0	 21 	 5 	 85 	 11 	 2 	0	 7 	0
92年 9月	0	 26 	 5 	 20 	 12 	 1 	 3 	 10 	0
92年 10月	 1 	 30 	 6 	 27 	 20 	 1 	 17 	 6 	0
92年 11月	0	 32 	 4 	 37 	 6 	 2 	 3 	 6 	0
92年 12月	0	 34 	 3 	 5 	 7 	0	 2 	 2 	0
93年	 6 	 329 	 55 	 407 	 142 	 9 	 53 	 74 	 1 
93年 1月	0	 22 	 3 	 11 	 12 	0	 2 	 7 	0
93年 2月	0	 16 	 5 	 21 	 16 	0	 5 	 4 	0
93年 3月	 1 	 23 	 8 	 18 	 11 	 3 	 5 	 4 	0
93年 4月	0	 36 	 3 	 34 	 10 	 1 	 4 	 8 	0
93年 5月	 1 	 46 	 2 	 41 	 9 	0	 4 	 4 	0
93年 6月	0	 34 	 9 	 37 	 8 	0	 9 	 8 	0
93年 7月	 1 	 20 	 4 	 86 	 12 	 1 	 2 	 4 	0
93年 8月	0	 18 	 4 	 50 	 10 	 1 	 6 	 4 	0
93年 9月	 1 	 21 	 4 	 12 	 11 	 1 	 2 	 9 	0
93年 10月	 2 	 23 	 4 	 30 	 15 	 2 	 7 	 8 	0
93年 11月	0	 28 	 3 	 31 	 13 	0	 3 	 7 	0
93年 12月	0	 42 	 6 	 36 	 15 	0	 4 	 7 	 1 
