時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 8,132 	 3,562 	 33 	 225 	0	 212 	 33 	 43 	 28 
89年 1月	 575 	 220 	0	 19 	0	 14 	 2 	 3 	 2 
89年 2月	 459 	 199 	0	 32 	0	 10 	 2 	 4 	 2 
89年 3月	 476 	 240 	 4 	 30 	0	 16 	 2 	 3 	 2 
89年 4月	 589 	 245 	 2 	 18 	0	 16 	0	 1 	 1 
89年 5月	 707 	 289 	 3 	 14 	0	 16 	 2 	 3 	 7 
89年 6月	 576 	 296 	 2 	 14 	0	 11 	 1 	 4 	 3 
89年 7月	 878 	 373 	 1 	 14 	0	 17 	0	 2 	 2 
89年 8月	 845 	 420 	 8 	 21 	0	 26 	 5 	 5 	 2 
89年 9月	 840 	 344 	 7 	 11 	0	 25 	 4 	 6 	 1 
89年 10月	 888 	 282 	 2 	 15 	0	 22 	 4 	 7 	 1 
89年 11月	 771 	 314 	 2 	 11 	0	 18 	 4 	 1 	 2 
89年 12月	 528 	 340 	 2 	 26 	0	 21 	 7 	 4 	 3 
90年	 8,249 	 3,772 	 21 	 162 	 1 	 300 	 82 	 56 	 38 
90年 1月	 804 	 328 	 3 	 10 	0	 29 	 6 	 5 	 3 
90年 2月	 589 	 230 	 1 	 20 	0	 15 	 7 	 3 	 4 
90年 3月	 727 	 279 	 2 	 23 	0	 30 	 7 	 8 	 5 
90年 4月	 669 	 368 	 3 	 11 	0	 31 	 11 	 5 	 1 
90年 5月	 742 	 294 	0	 17 	0	 32 	 6 	 3 	 2 
90年 6月	 642 	 303 	0	 12 	0	 27 	 4 	 5 	 4 
90年 7月	 811 	 397 	 2 	 8 	0	 11 	 8 	 6 	 5 
90年 8月	 769 	 420 	 1 	 16 	0	 22 	 6 	 2 	 2 
90年 9月	 656 	 317 	 4 	 3 	0	 26 	 5 	 4 	 5 
90年 10月	 728 	 261 	 1 	 16 	0	 21 	 7 	 5 	 4 
90年 11月	 644 	 277 	 3 	 10 	 1 	 29 	 10 	 7 	 2 
90年 12月	 468 	 298 	 1 	 16 	0	 27 	 5 	 3 	 1 
91年	 9,853 	 3,030 	 15 	 254 	 5 	 418 	 373 	 79 	 42 
91年 1月	 634 	 324 	 1 	 10 	0	 25 	 4 	 4 	 3 
