時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
89年	0	 87 	 29 	 32 	 60 	 3 	 17 	 29 	0
89年 1月	0	 8 	 2 	0	 3 	0	 2 	 3 	0
89年 2月	0	 7 	0	0	 4 	0	 1 	 1 	0
89年 3月	0	 6 	 2 	 4 	 10 	0	 1 	 1 	0
89年 4月	0	 8 	 2 	 2 	 12 	0	 1 	0	0
89年 5月	0	 7 	 3 	0	 1 	0	 3 	 3 	0
89年 6月	0	 5 	 2 	 2 	 7 	 1 	 2 	 2 	0
89年 7月	0	 3 	 5 	 7 	 3 	 1 	 1 	 1 	0
89年 8月	0	 6 	 3 	 9 	 3 	0	 2 	 1 	0
89年 9月	0	 8 	 2 	 1 	 4 	0	 2 	 1 	0
89年 10月	0	 13 	 1 	0	 3 	0	0	 2 	0
89年 11月	0	 7 	 4 	 2 	 6 	0	 1 	 7 	0
89年 12月	0	 9 	 3 	 5 	 4 	 1 	 1 	 7 	0
90年	 1 	 78 	 22 	 124 	 56 	 5 	 21 	 36 	 1 
90年 1月	0	 7 	 2 	 1 	 2 	0	 3 	 4 	0
90年 2月	0	 8 	 2 	 2 	 1 	0	 1 	 6 	0
90年 3月	0	 13 	 3 	 2 	 2 	0	0	 2 	 1 
90年 4月	0	 11 	0	 3 	 4 	 2 	 4 	0	0
90年 5月	0	 4 	 2 	0	 6 	0	 3 	 2 	0
90年 6月	0	 5 	 2 	 6 	 8 	 1 	0	 1 	0
90年 7月	0	 7 	0	 22 	 6 	 1 	 2 	0	0
90年 8月	0	 7 	 3 	 55 	 6 	0	 3 	 1 	0
90年 9月	 1 	 6 	 3 	 11 	 5 	0	 1 	 4 	0
90年 10月	0	 6 	 1 	 4 	 4 	0	 2 	 7 	0
90年 11月	0	 1 	 4 	 10 	 7 	0	0	 7 	0
90年 12月	0	 3 	0	 8 	 5 	 1 	 2 	 2 	0
91年	0	 123 	 32 	 115 	 104 	 3 	 9 	 36 	0
91年 1月	0	0	 2 	 4 	 5 	 1 	0	 4 	0
91年 2月	0	 3 	 1 	 5 	 8 	0	 1 	 2 	0
91年 3月	0	 12 	 2 	 12 	 6 	0	 1 	 3 	0
91年 4月	0	 10 	 4 	 18 	 7 	0	 1 	 3 	0
91年 5月	0	 3 	 3 	 4 	 10 	0	 1 	 5 	0
