時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
89年	 190 	 9 	 18 	 62 	 983 	 1,607 	0	0	 18 
89年 1月	 3 	 1 	0	 9 	 125 	 275 	0	0	 1 
89年 2月	 5 	 4 	0	 2 	 120 	 278 	0	0	 4 
89年 3月	 4 	 1 	 2 	 5 	 73 	 142 	0	0	 2 
89年 4月	 11 	 1 	 3 	 7 	 103 	 101 	0	0	 1 
89年 5月	 22 	0	 1 	 5 	 82 	 144 	0	0	 1 
89年 6月	 4 	 1 	0	 6 	 48 	 82 	0	0	 1 
89年 7月	 18 	0	0	 4 	 65 	 92 	0	0	 2 
89年 8月	 11 	0	 1 	 4 	 86 	 104 	0	0	 2 
89年 9月	 12 	0	 3 	 4 	 64 	 111 	0	0	 1 
89年 10月	 15 	0	 2 	 5 	 88 	 113 	0	0	0
89年 11月	 60 	 1 	 3 	 5 	 71 	 100 	0	0	 3 
89年 12月	 25 	0	 3 	 6 	 58 	 65 	0	0	0
90年	 82 	 3 	 43 	 90 	 752 	 699 	 1 	0	 46 
90年 1月	 12 	0	 2 	 7 	 77 	 111 	 1 	0	 1 
90年 2月	 14 	0	 3 	 6 	 47 	 83 	0	0	 1 
90年 3月	 4 	0	 5 	 11 	 65 	 90 	0	0	0
90年 4月	 7 	0	 2 	 5 	 46 	 58 	0	0	 3 
90年 5月	 3 	0	 3 	 6 	 74 	 90 	0	0	 1 
90年 6月	 2 	 1 	 3 	 2 	 53 	 64 	0	0	 2 
90年 7月	 3 	0	 3 	 6 	 54 	 45 	0	0	 21 
90年 8月	 10 	 1 	 3 	 11 	 83 	 49 	0	0	 12 
90年 9月	 3 	0	 1 	 4 	 55 	 39 	0	0	 2 
90年 10月	 4 	 1 	 6 	 13 	 80 	 25 	0	0	0
90年 11月	 5 	0	 8 	 8 	 61 	 23 	0	0	 1 
90年 12月	 15 	0	 4 	 11 	 57 	 22 	0	0	 2 
91年	 94 	 4 	 80 	 102 	 991 	 242 	 1 	0	 80 
91年 1月	 5 	0	 2 	 8 	 53 	 15 	0	0	 2 
91年 2月	 20 	0	 5 	 5 	 106 	 26 	0	0	 8 
91年 3月	 4 	0	 2 	 9 	 74 	 18 	0	0	 8 
91年 4月	 2 	0	 8 	 4 	 86 	 39 	0	0	 6 
