時間	毀棄損壞	妨害公務	妨害電腦使用	強盜	搶奪	內亂	重利	竊佔	偽造有價證券
89年	 39 	 25 	0	 147 	 49 	0	 22 	 6 	 6 
89年 1月	 7 	 3 	0	 5 	 4 	0	 2 	 1 	 1 
89年 2月	 2 	 1 	0	 5 	 4 	0	 1 	0	0
89年 3月	 3 	 2 	0	 4 	 1 	0	 2 	 1 	 2 
89年 4月	 2 	 2 	0	 12 	 1 	0	 5 	0	0
89年 5月	 3 	 3 	0	 4 	 1 	0	0	0	0
89年 6月	 1 	 1 	0	 11 	 5 	0	 3 	0	0
89年 7月	 3 	 3 	0	 57 	 9 	0	 2 	0	 2 
89年 8月	 5 	 1 	0	 15 	 8 	0	0	 4 	0
89年 9月	 2 	0	0	 13 	 3 	0	 1 	0	0
89年 10月	 3 	 3 	0	 10 	 6 	0	 1 	0	 1 
89年 11月	 6 	 3 	0	 6 	 6 	0	 1 	0	0
89年 12月	 2 	 3 	0	 5 	 1 	0	 4 	0	0
90年	 41 	 26 	0	 90 	 118 	0	 21 	 10 	 4 
90年 1月	 1 	 1 	0	 8 	 17 	0	 3 	 1 	0
90年 2月	 9 	 2 	0	 7 	 6 	0	 3 	 2 	0
90年 3月	 4 	 1 	0	 7 	 2 	0	 3 	 1 	 2 
90年 4月	 3 	 3 	0	 4 	 7 	0	0	 3 	0
90年 5月	 5 	 3 	0	 8 	 13 	0	 2 	 1 	0
90年 6月	 3 	 3 	0	 2 	 16 	0	0	0	 2 
90年 7月	 1 	 1 	0	 10 	 24 	0	 3 	0	0
90年 8月	 2 	 3 	0	 12 	 10 	0	 1 	 1 	0
90年 9月	 4 	 2 	0	 4 	 7 	0	 1 	 1 	0
90年 10月	 2 	 2 	0	 9 	 3 	0	 3 	0	0
90年 11月	 4 	 2 	0	 5 	 6 	0	 2 	0	0
90年 12月	 3 	 3 	0	 14 	 7 	0	0	0	0
91年	 44 	 20 	0	 143 	 171 	0	 32 	 27 	 3 
91年 1月	 9 	 2 	0	 10 	 6 	0	 1 	 2 	0
91年 2月	 3 	 2 	0	 43 	 19 	0	 4 	 1 	0
91年 3月	 2 	 2 	0	 4 	 8 	0	 2 	0	 1 
91年 4月	 3 	 2 	0	 8 	 16 	0	0	 1 	 1 
91年 5月	 2 	 1 	0	 6 	 6 	0	 5 	 2 	 1 
91年 6月	 4 	 2 	0	 10 	 18 	0	 8 	0	0
91年 7月	 2 	0	0	 7 	 27 	0	 5 	0	0
91年 8月	 5 	0	0	 19 	 19 	0	 3 	 1 	0
91年 9月	 3 	 1 	0	 4 	 13 	0	 1 	 5 	0
91年 10月	 6 	 3 	0	 13 	 18 	0	 1 	 7 	0
91年 11月	 3 	 3 	0	 7 	 11 	0	0	 5 	0
91年 12月	 2 	 2 	0	 12 	 10 	0	 2 	 3 	0
92年	 49 	 20 	0	 103 	 130 	0	 38 	 19 	 10 
92年 1月	 7 	 3 	0	 29 	 8 	0	 1 	 2 	0
92年 2月	 2 	 1 	0	 3 	 10 	0	0	 2 	0
92年 3月	 3 	 2 	0	 9 	 18 	0	 3 	0	0
92年 4月	 4 	 2 	0	 11 	 16 	0	 3 	 2 	0
92年 5月	 3 	0	0	 4 	 19 	0	 6 	0	0
92年 6月	 3 	 4 	0	 6 	 18 	0	 8 	 4 	 1 
92年 7月	 5 	 3 	0	 6 	 7 	0	 4 	 5 	0
92年 8月	 3 	0	0	 8 	 9 	0	 4 	 1 	 1 
92年 9月	 5 	 3 	0	 10 	 19 	0	 1 	 1 	0
92年 10月	 9 	 1 	0	 5 	 3 	0	 4 	 1 	0
92年 11月	 4 	0	0	 6 	 3 	0	 2 	 1 	 7 
92年 12月	 1 	 1 	0	 6 	0	0	 2 	0	 1 
93年	 47 	 15 	0	 87 	 134 	0	 83 	 6 	 2 
93年 1月	 1 	 1 	0	 4 	 1 	0	 4 	0	0
93年 2月	 2 	0	0	 5 	 6 	0	 1 	 1 	0
93年 3月	 5 	 3 	0	 6 	 2 	0	 5 	 1 	0
93年 4月	 4 	 1 	0	 5 	 12 	0	 8 	 1 	 2 
93年 5月	 8 	 3 	0	 5 	 12 	0	 8 	 1 	0
93年 6月	 7 	 2 	0	 5 	 8 	0	 3 	0	0
93年 7月	0	 1 	0	 1 	 7 	0	 3 	0	0
93年 8月	 6 	0	0	 11 	 8 	0	 1 	 2 	0
93年 9月	 3 	 2 	0	 14 	 17 	0	 9 	0	0
93年 10月	 4 	0	0	 7 	 25 	0	 3 	0	0
93年 11月	 3 	 1 	0	 9 	 21 	0	 35 	0	0
93年 12月	 4 	 1 	0	 15 	 15 	0	 3 	0	0
94年	 61 	 18 	 29 	 87 	 161 	0	 95 	 30 	 4 
94年 1月	 4 	0	 3 	 8 	 10 	0	 14 	 1 	 1 
94年 2月	 1 	 1 	 2 	 14 	 5 	0	 12 	0	0
94年 3月	 8 	 1 	 2 	 3 	 3 	0	 13 	 1 	0
94年 4月	 4 	 2 	 3 	 8 	 4 	0	 14 	 5 	 1 
94年 5月	 3 	 1 	 4 	 6 	 18 	0	 6 	 2 	 1 
94年 6月	 6 	0	 4 	 7 	 7 	0	 9 	 1 	0
94年 7月	 10 	 3 	 3 	 11 	 8 	0	 6 	 7 	0
94年 8月	 2 	 1 	0	 12 	 12 	0	 1 	 2 	0
94年 9月	 3 	 1 	 1 	 4 	 15 	0	 2 	 1 	0
94年 10月	 8 	 3 	 3 	 5 	 36 	0	 5 	 5 	0
94年 11月	 10 	 2 	 2 	 5 	 33 	0	 2 	 2 	 1 
94年 12月	 2 	 3 	 2 	 4 	 10 	0	 11 	 3 	0
95年	 83 	 21 	 25 	 119 	 179 	0	 135 	 47 	 1 
95年 1月	 9 	0	 1 	 9 	 11 	0	 3 	 4 	0
95年 2月	 3 	0	 1 	 14 	 14 	0	 1 	 18 	0
95年 3月	 7 	 1 	 3 	 5 	 17 	0	 4 	 4 	0
95年 4月	 7 	 2 	 2 	 9 	 18 	0	 5 	 4 	0
95年 5月	 6 	 3 	0	 10 	 27 	0	 12 	0	0
95年 6月	 4 	 1 	 3 	 12 	 19 	0	 15 	 7 	0
95年 7月	 11 	 5 	 3 	 12 	 7 	0	 17 	 1 	0
95年 8月	 10 	 3 	 2 	 11 	 7 	0	 33 	 5 	0
95年 9月	 11 	 3 	 5 	 17 	 19 	0	 8 	0	0
95年 10月	 5 	0	 3 	 8 	 4 	0	 13 	 1 	 1 
95年 11月	 4 	 2 	 1 	 5 	 28 	0	 13 	 1 	0
95年 12月	 6 	 1 	 1 	 7 	 8 	0	 11 	 2 	0
96年	 121 	 30 	 34 	 103 	 149 	0	 146 	 33 	 3 
96年 1月	 11 	 1 	 3 	 6 	 5 	0	 14 	 2 	0
96年 2月	 6 	 2 	0	 9 	 11 	0	 8 	0	0
96年 3月	 12 	 2 	 6 	 8 	 7 	0	 16 	 2 	0
96年 4月	 9 	 4 	0	 7 	 10 	0	 19 	 3 	0
96年 5月	 12 	 1 	 4 	 4 	 12 	0	 15 	 7 	0
96年 6月	 5 	 3 	 2 	 8 	 6 	0	 10 	 3 	0
96年 7月	 15 	0	 1 	 6 	 18 	0	 11 	 6 	 1 
96年 8月	 7 	 4 	 2 	 5 	 31 	0	 6 	0	 2 
96年 9月	 7 	 2 	 4 	 17 	 17 	0	 10 	 1 	0
96年 10月	 10 	 2 	 6 	 13 	 9 	0	 15 	 1 	0
96年 11月	 15 	 5 	 2 	 10 	 11 	0	 13 	 8 	0
96年 12月	 12 	 4 	 4 	 10 	 12 	0	 9 	0	0
97年	 103 	 45 	 36 	 78 	 104 	0	 104 	 44 	0
97年 1月	 9 	 2 	 5 	 12 	 8 	0	 12 	 2 	0
97年 2月	 10 	 4 	 1 	 1 	 9 	0	 15 	 4 	0
97年 3月	 9 	0	 2 	 9 	 8 	0	 6 	 3 	0
97年 4月	 7 	 4 	 3 	 8 	 5 	0	 7 	 4 	0
97年 5月	 6 	 3 	 1 	 7 	 4 	0	 15 	 3 	0
97年 6月	 8 	 2 	 2 	 9 	 10 	0	 13 	 3 	0
97年 7月	 11 	 4 	 2 	 7 	 14 	0	 7 	 1 	0
97年 8月	 11 	 7 	 3 	 5 	 10 	0	 13 	 8 	0
97年 9月	 15 	 5 	0	 7 	 20 	0	 3 	 5 	0
97年 10月	 5 	 2 	 5 	 6 	 4 	0	 4 	 4 	0
