時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
89年	0	 1 	0	 4 	 41 	 4 	 3 	 455 	0
89年 1月	0	0	0	 1 	 2 	0	 1 	 38 	0
89年 2月	0	0	0	 1 	 1 	0	0	 33 	0
89年 3月	0	0	0	0	 3 	0	 1 	 23 	0
89年 4月	0	0	0	0	 1 	0	0	 21 	0
89年 5月	0	0	0	0	 2 	0	0	 23 	0
89年 6月	0	 1 	0	0	 2 	0	0	 33 	0
89年 7月	0	0	0	0	 1 	 1 	0	 28 	0
89年 8月	0	0	0	0	 1 	 1 	0	 39 	0
89年 9月	0	0	0	0	 5 	0	0	 41 	0
89年 10月	0	0	0	 1 	 8 	0	0	 47 	0
89年 11月	0	0	0	 1 	 1 	 1 	0	 59 	0
89年 12月	0	0	0	0	 14 	 1 	 1 	 70 	0
90年	 1 	 2 	0	 9 	 89 	 4 	 8 	 947 	0
90年 1月	0	0	0	 3 	 5 	 1 	0	 74 	0
90年 2月	0	0	0	0	 13 	0	 1 	 59 	0
90年 3月	0	0	0	0	 10 	0	 1 	 64 	0
90年 4月	0	0	0	0	 7 	0	 1 	 95 	0
90年 5月	0	0	0	 1 	 14 	 1 	0	 81 	0
90年 6月	0	0	0	0	 5 	0	0	 75 	0
90年 7月	0	0	0	 2 	 6 	0	0	 60 	0
90年 8月	0	0	0	0	 7 	0	 2 	 72 	0
90年 9月	0	0	0	 2 	 4 	0	 1 	 89 	0
90年 10月	0	0	0	0	 6 	 1 	 1 	 100 	0
90年 11月	 1 	 1 	0	0	 8 	 1 	0	 83 	0
90年 12月	0	 1 	0	 1 	 4 	0	 1 	 95 	0
91年	 3 	 1 	0	 1 	 83 	 9 	 16 	 1,386 	0
91年 1月	0	0	0	0	 10 	0	0	 84 	0
91年 2月	0	0	0	0	 9 	0	0	 100 	0
91年 3月	0	0	0	0	 6 	 2 	0	 112 	0
91年 4月	0	0	0	0	 8 	0	 2 	 121 	0
91年 5月	0	0	0	0	 12 	 2 	 2 	 115 	0
91年 6月	 1 	0	0	0	 5 	0	 2 	 98 	0
91年 7月	0	0	0	0	 4 	0	 3 	 113 	0
91年 8月	 1 	0	0	0	 7 	 2 	 2 	 137 	0
91年 9月	 1 	0	0	0	 9 	 2 	 1 	 120 	0
91年 10月	0	0	0	0	 7 	0	 2 	 131 	0
91年 11月	0	0	0	0	 2 	 1 	 1 	 136 	0
91年 12月	0	 1 	0	 1 	 4 	0	 1 	 119 	0
92年	 10 	 6 	0	 9 	 85 	 4 	 26 	 1,548 	0
92年 1月	 4 	0	0	 1 	 17 	 2 	 4 	 127 	0
92年 2月	 6 	0	0	 3 	 5 	0	0	 101 	0
92年 3月	0	0	0	 1 	 12 	 2 	 2 	 94 	0
92年 4月	0	0	0	 1 	 7 	0	 2 	 108 	0
92年 5月	0	 2 	0	0	 3 	0	 3 	 102 	0
92年 6月	0	 3 	0	0	 6 	0	 2 	 146 	0
92年 7月	0	0	0	0	 9 	0	 2 	 140 	0
92年 8月	0	0	0	 2 	 9 	0	 6 	 182 	0
92年 9月	0	0	0	0	 4 	0	0	 175 	0
92年 10月	0	 1 	0	0	 2 	0	0	 178 	0
92年 11月	0	0	0	 1 	 5 	0	 1 	 120 	0
92年 12月	0	0	0	0	 6 	0	 4 	 75 	0
93年	 4 	 1 	0	 9 	 52 	0	 25 	 1,714 	0
93年 1月	 1 	0	0	 1 	 1 	0	0	 103 	0
93年 2月	0	0	0	 2 	 2 	0	0	 66 	0
93年 3月	 1 	0	0	0	 3 	0	 4 	 75 	0
93年 4月	0	0	0	 3 	 4 	0	 3 	 95 	0
93年 5月	 1 	0	0	0	 8 	0	0	 172 	0
93年 6月	 1 	0	0	0	 3 	0	 3 	 160 	0
93年 7月	0	0	0	 1 	 4 	0	 2 	 135 	0
93年 8月	0	0	0	0	 4 	0	 1 	 181 	0
93年 9月	0	0	0	0	 2 	0	0	 185 	0
93年 10月	0	0	0	0	 8 	0	 6 	 188 	0
93年 11月	0	 1 	0	0	 5 	0	 1 	 172 	0
93年 12月	0	0	0	 2 	 8 	0	 5 	 182 	0
94年	 1 	 3 	0	 6 	 72 	0	 36 	 2,110 	0
94年 1月	0	0	0	0	 4 	0	 2 	 198 	0
94年 2月	0	0	0	 1 	 2 	0	 3 	 143 	0
94年 3月	0	0	0	 3 	 6 	0	 2 	 201 	0
94年 4月	0	 1 	0	0	 5 	0	 8 	 154 	0
94年 5月	0	0	0	0	 13 	0	 7 	 173 	0
94年 6月	0	0	0	0	 2 	0	 3 	 177 	0
94年 7月	0	0	0	0	 10 	0	 2 	 185 	0
94年 8月	0	0	0	0	 10 	0	 2 	 178 	0
94年 9月	0	0	0	0	 3 	0	 4 	 147 	0
94年 10月	0	 1 	0	 2 	 6 	0	 1 	 185 	0
94年 11月	 1 	 1 	0	0	 3 	0	 2 	 180 	0
94年 12月	0	0	0	0	 8 	0	0	 189 	0
95年	 2 	0	0	 6 	 126 	0	 9 	 2,164 	0
95年 1月	0	0	0	0	 15 	0	0	 175 	0
95年 2月	0	0	0	 1 	 5 	0	 1 	 202 	0
95年 3月	0	0	0	0	 5 	0	0	 198 	0
95年 4月	0	0	0	 2 	 9 	0	 3 	 182 	0
95年 5月	0	0	0	0	 5 	0	0	 175 	0
95年 6月	0	0	0	0	 12 	0	 1 	 142 	0
95年 7月	 1 	0	0	 1 	 9 	0	0	 176 	0
95年 8月	0	0	0	0	 15 	0	0	 154 	0
95年 9月	0	0	0	0	 13 	0	 2 	 165 	0
95年 10月	0	0	0	 2 	 13 	0	0	 194 	0
95年 11月	 1 	0	0	0	 4 	0	0	 177 	0
95年 12月	0	0	0	0	 21 	0	 2 	 224 	0
96年	 2 	0	0	 14 	 173 	0	 20 	 3,294 	0
96年 1月	0	0	0	 1 	 14 	0	0	 313 	0
96年 2月	0	0	0	0	 10 	0	0	 249 	0
96年 3月	 1 	0	0	 4 	 15 	0	 4 	 239 	0
96年 4月	 1 	0	0	 1 	 12 	0	 4 	 234 	0
96年 5月	0	0	0	 3 	 10 	0	 2 	 249 	0
96年 6月	0	0	0	0	 15 	0	0	 194 	0
96年 7月	0	0	0	0	 11 	0	 2 	 227 	0
96年 8月	0	0	0	 1 	 14 	0	 2 	 255 	0
96年 9月	0	0	0	0	 8 	0	 1 	 421 	0
96年 10月	0	0	0	0	 36 	0	 2 	 320 	0
96年 11月	0	0	0	 1 	 10 	0	 2 	 293 	0
96年 12月	0	0	0	 3 	 18 	0	 1 	 300 	0
97年	 2 	0	0	 9 	 105 	0	 27 	 3,683 	0
97年 1月	0	0	0	0	 10 	0	 5 	 248 	0
97年 2月	0	0	0	0	 8 	0	0	 328 	0
97年 3月	0	0	0	 3 	 4 	0	 3 	 345 	0
97年 4月	0	0	0	 2 	 10 	0	 3 	 354 	0
97年 5月	0	0	0	 2 	 10 	0	 2 	 316 	0
97年 6月	0	0	0	0	 12 	0	 2 	 378 	0
97年 7月	0	0	0	0	 9 	0	0	 320 	0
97年 8月	 1 	0	0	 1 	 5 	0	 1 	 381 	0
97年 9月	0	0	0	0	 6 	0	 6 	 257 	0
97年 10月	 1 	0	0	0	 11 	0	 3 	 266 	0
97年 11月	0	0	0	0	 8 	0	 2 	 231 	0
97年 12月	0	0	0	 1 	 12 	0	0	 259 	0
98年	 1 	0	0	 7 	 148 	0	 11 	 1,504 	0
98年 1月	0	0	0	0	 6 	0	 1 	 293 	0
98年 2月	0	0	0	 2 	 7 	0	 2 	 285 	0
98年 3月	0	0	0	0	 16 	0	 1 	 293 	0
98年 4月	0	0	0	0	 8 	0	 2 	 282 	0
98年 5月	 1 	0	0	0	 5 	0	0	 85 	0
98年 6月	0	0	0	 1 	 12 	0	 2 	 19 	0
98年 7月	0	0	0	 2 	 16 	0	 2 	 43 	0
98年 8月	0	0	0	0	 12 	0	0	 27 	0
98年 9月	0	0	0	0	 14 	0	0	 23 	0
98年 10月	0	0	0	 2 	 18 	0	0	 49 	0
98年 11月	0	0	0	0	 17 	0	0	 66 	0
98年 12月	0	0	0	0	 17 	0	 1 	 39 	0
99年	 1 	 30 	0	 11 	 116 	0	 7 	 1,673 	0
99年 1月	0	0	0	 1 	 10 	0	 1 	 171 	0
99年 2月	0	0	0	 2 	 8 	0	 1 	 169 	0
99年 3月	0	0	0	0	 14 	0	0	 213 	0
99年 4月	0	 2 	0	0	 13 	0	0	 161 	0
99年 5月	 1 	 10 	0	 1 	 9 	0	0	 163 	0
99年 6月	0	 3 	0	0	 10 	0	 1 	 161 	0
99年 7月	0	 3 	0	 1 	 8 	0	 1 	 164 	0
99年 8月	0	 1 	0	 3 	 10 	0	0	 110 	0
99年 9月	0	 2 	0	 2 	 8 	0	 1 	 126 	0
99年 10月	0	 8 	0	0	 11 	0	0	 124 	0
99年 11月	0	 1 	0	0	 8 	0	0	 60 	0
99年 12月	0	0	0	 1 	 7 	0	 2 	 51 	0
100年	0	0	0	0	0	0	0	0	0
100年 1月	0	0	0	0	0	0	0	0	0
100年 2月	0	0	0	0	0	0	0	0	0
100年 3月	0	0	0	0	0	0	0	0	0
100年 4月	0	0	0	0	0	0	0	0	0
100年 5月	0	0	0	0	0	0	0	0	0
100年 6月	0	0	0	0	0	0	0	0	0
100年 7月	0	0	0	0	0	0	0	0	0
100年 8月	0	0	0	0	0	0	0	0	0
100年 9月	0	0	0	0	0	0	0	0	0
100年 10月	0	0	0	0	0	0	0	0	0
100年 11月	0	0	0	0	0	0	0	0	0
100年 12月	0	0	0	0	0	0	0	0	0
101年	0	0	0	0	0	0	0	0	0
101年 1月	0	0	0	0	0	0	0	0	0
101年 2月	0	0	0	0	0	0	0	0	0
101年 3月	0	0	0	0	0	0	0	0	0
101年 4月	0	0	0	0	0	0	0	0	0
101年 5月	0	0	0	0	0	0	0	0	0
101年 6月	0	0	0	0	0	0	0	0	0
101年 7月	0	0	0	0	0	0	0	0	0
101年 8月	0	0	0	0	0	0	0	0	0
101年 9月	0	0	0	0	0	0	0	0	0
101年 10月	0	0	0	0	0	0	0	0	0
101年 11月	0	0	0	0	0	0	0	0	0
101年 12月	0	0	0	0	0	0	0	0	0
102年	0	0	0	0	0	0	0	0	0
102年 1月	0	0	0	0	0	0	0	0	0
102年 2月	0	0	0	0	0	0	0	0	0
102年 3月	0	0	0	0	0	0	0	0	0
102年 4月	0	0	0	0	0	0	0	0	0
102年 5月	0	0	0	0	0	0	0	0	0
102年 6月	0	0	0	0	0	0	0	0	0
102年 7月	0	0	0	0	0	0	0	0	0
102年 8月	0	0	0	0	0	0	0	0	0
102年 9月	0	0	0	0	0	0	0	0	0
102年 10月	0	0	0	0	0	0	0	0	0
102年 11月	0	0	0	0	0	0	0	0	0
102年 12月	0	0	0	0	0	0	0	0	0
103年	0	0	0	0	0	0	0	0	0
103年 1月	0	0	0	0	0	0	0	0	0
103年 2月	0	0	0	0	0	0	0	0	0
103年 3月	0	0	0	0	0	0	0	0	0
103年 4月	0	0	0	0	0	0	0	0	0
103年 5月	0	0	0	0	0	0	0	0	0
103年 6月	0	0	0	0	0	0	0	0	0
103年 7月	0	0	0	0	0	0	0	0	0
103年 8月	0	0	0	0	0	0	0	0	0
103年 9月	0	0	0	0	0	0	0	0	0
103年 10月	0	0	0	0	0	0	0	0	0
103年 11月	0	0	0	0	0	0	0	0	0
103年 12月	0	0	0	0	0	0	0	0	0
104年	0	0	0	0	0	0	0	0	0
104年 1月	0	0	0	0	0	0	0	0	0
104年 2月	0	0	0	0	0	0	0	0	0
104年 3月	0	0	0	0	0	0	0	0	0
104年 4月	0	0	0	0	0	0	0	0	0
104年 5月	0	0	0	0	0	0	0	0	0
