時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
89年	 7 	 711 	 57 	 522 	 151 	 7 	 17 	 41 	 7 
89年 1月	 1 	 57 	 3 	 26 	 9 	 1 	0	 1 	 1 
89年 2月	0	 39 	 3 	 11 	 10 	0	0	 3 	0
89年 3月	0	 47 	 2 	 34 	 13 	 1 	 2 	 3 	0
89年 4月	0	 47 	 4 	 24 	 13 	0	 1 	 2 	 2 
89年 5月	 1 	 77 	 7 	 48 	 14 	 1 	 3 	 2 	 4 
89年 6月	0	 71 	 3 	 66 	 10 	0	 1 	 4 	0
89年 7月	 1 	 56 	 4 	 53 	 10 	 1 	 1 	 5 	0
89年 8月	 1 	 68 	 6 	 51 	 17 	 1 	 1 	 5 	0
89年 9月	 2 	 76 	 3 	 36 	 13 	0	 1 	 6 	0
89年 10月	0	 69 	 5 	 74 	 21 	 1 	 2 	 3 	0
89年 11月	0	 55 	 12 	 46 	 12 	 1 	 2 	 4 	0
89年 12月	 1 	 49 	 5 	 53 	 9 	0	 3 	 3 	0
90年	 16 	 669 	 46 	 643 	 139 	 8 	 27 	 53 	 2 
90年 1月	0	 50 	 1 	 23 	 11 	 2 	 1 	 1 	0
90年 2月	 2 	 54 	 1 	 45 	 8 	 2 	 2 	 3 	0
90年 3月	0	 60 	 2 	 54 	 14 	0	 5 	 3 	0
90年 4月	 1 	 63 	 6 	 38 	 11 	 1 	0	 1 	0
90年 5月	 1 	 74 	 3 	 38 	 18 	0	 1 	 8 	 1 
90年 6月	 1 	 60 	0	 43 	 16 	 1 	 5 	 3 	0
90年 7月	 1 	 36 	 6 	 87 	 8 	 1 	 2 	 6 	 1 
90年 8月	 4 	 45 	 7 	 107 	 18 	0	 4 	 5 	0
90年 9月	 2 	 55 	 4 	 18 	 10 	 1 	 2 	 4 	0
90年 10月	 2 	 42 	 3 	 82 	 7 	0	 2 	 5 	0
90年 11月	 1 	 63 	 4 	 60 	 9 	0	 2 	 8 	0
90年 12月	 1 	 67 	 9 	 48 	 9 	0	 1 	 6 	0
91年	 11 	 693 	 27 	 601 	 126 	 7 	 36 	 48 	 1 
91年 1月	 1 	 55 	 3 	 25 	 3 	 1 	0	 3 	0
91年 2月	0	 41 	 1 	 22 	 7 	0	 3 	 3 	0
91年 3月	 1 	 75 	 2 	 38 	 8 	0	 2 	 4 	0
91年 4月	 1 	 62 	 1 	 44 	 8 	 1 	0	0	0
91年 5月	 2 	 68 	 5 	 44 	 6 	 1 	 4 	 3 	0
91年 6月	0	 64 	 1 	 44 	 12 	 1 	 1 	 3 	0
91年 7月	 1 	 57 	 3 	 116 	 22 	0	 7 	 3 	0
91年 8月	0	 60 	 1 	 99 	 12 	 1 	 5 	 6 	 1 
91年 9月	0	 37 	0	 46 	 11 	 2 	 3 	 7 	0
91年 10月	 1 	 56 	 4 	 45 	 17 	0	 2 	 6 	0
91年 11月	 3 	 58 	 2 	 33 	 13 	0	 4 	 6 	0
91年 12月	 1 	 60 	 4 	 45 	 7 	0	 5 	 4 	0
92年	 29 	 743 	 56 	 757 	 142 	 9 	 38 	 60 	 3 
92年 1月	 5 	 58 	 5 	 27 	 12 	 2 	 3 	 7 	0
92年 2月	 2 	 38 	 1 	 34 	 12 	0	 3 	 2 	0
92年 3月	0	 61 	 5 	 44 	 13 	0	 12 	 9 	 1 
92年 4月	 1 	 52 	 4 	 90 	 12 	 4 	 1 	 7 	0
92年 5月	 2 	 56 	 3 	 47 	 21 	 1 	 3 	 4 	0
92年 6月	 3 	 53 	 4 	 45 	 14 	0	 5 	 2 	0
92年 7月	 3 	 61 	 5 	 99 	 11 	0	 1 	 6 	0
92年 8月	 5 	 53 	 5 	 90 	 15 	 1 	 3 	 3 	0
92年 9月	 2 	 70 	 4 	 53 	 12 	0	 3 	 7 	0
92年 10月	 3 	 68 	 9 	 89 	 10 	0	0	 3 	 1 
92年 11月	 1 	 63 	 4 	 81 	 5 	 1 	 3 	 4 	 1 
92年 12月	 2 	 110 	 7 	 58 	 5 	0	 1 	 6 	0
93年	 25 	 1,018 	 58 	 815 	 140 	 7 	 19 	 64 	 5 
93年 1月	 2 	 62 	 7 	 70 	 14 	0	 1 	 4 	0
93年 2月	 4 	 75 	 3 	 85 	 8 	0	 1 	 5 	 2 
