時間	毀棄損壞	妨害公務	妨害電腦使用	強盜	搶奪	內亂	重利	竊佔	偽造有價證券
89年	 130 	 33 	0	 225 	 164 	0	 408 	 76 	 30 
89年 1月	 7 	 2 	0	 22 	 13 	0	 33 	 6 	 3 
89年 2月	 6 	 4 	0	 19 	 18 	0	 18 	 2 	 6 
89年 3月	 8 	 1 	0	 11 	 11 	0	 39 	 2 	 1 
89年 4月	 9 	 1 	0	 16 	 5 	0	 20 	 6 	0
89年 5月	 17 	 2 	0	 26 	 14 	0	 62 	 5 	 2 
89年 6月	 15 	0	0	 19 	 21 	0	 43 	 7 	 4 
89年 7月	 21 	 8 	0	 20 	 19 	0	 14 	 12 	 4 
89年 8月	 8 	 6 	0	 17 	 15 	0	 25 	 13 	 2 
89年 9月	 8 	 4 	0	 18 	 14 	0	 40 	 4 	 3 
89年 10月	 8 	 3 	0	 25 	 9 	0	 27 	 6 	 2 
89年 11月	 8 	 1 	0	 16 	 16 	0	 64 	 7 	 1 
89年 12月	 15 	 1 	0	 16 	 9 	0	 23 	 6 	 2 
90年	 146 	 77 	0	 194 	 265 	0	 158 	 48 	 12 
90年 1月	 9 	 5 	0	 7 	 33 	0	 22 	 5 	 1 
90年 2月	 14 	 1 	0	 21 	 24 	0	 26 	 5 	 1 
90年 3月	 9 	 5 	0	 19 	 16 	0	 6 	 4 	0
90年 4月	 10 	 8 	0	 16 	 16 	0	 6 	 7 	0
90年 5月	 13 	 8 	0	 21 	 41 	0	 21 	 3 	0
90年 6月	 16 	 8 	0	 14 	 9 	0	 14 	 4 	 1 
90年 7月	 10 	 11 	0	 14 	 22 	0	 7 	 3 	0
90年 8月	 13 	 7 	0	 16 	 24 	0	 14 	 2 	 4 
90年 9月	 17 	 3 	0	 19 	 22 	0	 20 	 4 	0
90年 10月	 14 	 2 	0	 16 	 18 	0	 8 	 1 	 1 
90年 11月	 14 	 10 	0	 17 	 24 	0	 10 	 8 	 3 
90年 12月	 7 	 9 	0	 14 	 16 	0	 4 	 2 	 1 
91年	 148 	 52 	0	 202 	 325 	0	 161 	 69 	 11 
91年 1月	 18 	 1 	0	 8 	 9 	0	 2 	 7 	0
91年 2月	 5 	 8 	0	 33 	 41 	0	 3 	 12 	 2 
91年 3月	 10 	 8 	0	 23 	 14 	0	 5 	 7 	 2 
91年 4月	 12 	 4 	0	 22 	 49 	0	 23 	 5 	 2 
91年 5月	 10 	 5 	0	 13 	 17 	0	 15 	 4 	 1 
91年 6月	 8 	 4 	0	 10 	 24 	0	 55 	 1 	0
91年 7月	 18 	 7 	0	 16 	 24 	0	 13 	 6 	 1 
91年 8月	 11 	 4 	0	 22 	 18 	0	 13 	 4 	0
91年 9月	 14 	 5 	0	 15 	 20 	0	 4 	 6 	0
91年 10月	 16 	 3 	0	 20 	 32 	0	 2 	 5 	 1 
91年 11月	 18 	 1 	0	 12 	 36 	0	 3 	 5 	 1 
91年 12月	 8 	 2 	0	 8 	 41 	0	 23 	 7 	 1 
92年	 147 	 58 	0	 176 	 302 	0	 30 	 78 	 10 
92年 1月	 12 	 9 	0	 18 	 61 	0	 2 	 4 	0
92年 2月	 5 	 2 	0	 7 	 28 	0	 2 	 3 	0
92年 3月	 17 	 4 	0	 7 	 23 	0	 1 	 6 	 1 
92年 4月	 10 	 3 	0	 15 	 28 	0	 6 	 6 	 1 
92年 5月	 15 	 8 	0	 21 	 26 	0	 1 	 11 	0
92年 6月	 11 	 3 	0	 16 	 38 	0	 1 	 13 	0
92年 7月	 14 	 2 	0	 21 	 12 	0	 2 	 4 	 1 
92年 8月	 13 	 9 	0	 7 	 8 	0	 1 	 4 	 1 
92年 9月	 13 	 3 	0	 11 	 15 	0	0	 4 	 1 
92年 10月	 8 	 5 	0	 15 	 13 	0	 6 	 5 	 2 
92年 11月	 14 	 3 	0	 14 	 24 	0	 2 	 5 	 2 
92年 12月	 15 	 7 	0	 24 	 26 	0	 6 	 13 	 1 
93年	 178 	 55 	0	 174 	 318 	0	 72 	 65 	 15 
93年 1月	 7 	 4 	0	 18 	 48 	0	0	 3 	 1 
93年 2月	 10 	 4 	0	 18 	 15 	0	0	 8 	0
93年 3月	 18 	 4 	0	 11 	 21 	0	 19 	 6 	 4 
93年 4月	 15 	 4 	0	 20 	 21 	0	0	 5 	 2 
93年 5月	 16 	 7 	0	 14 	 19 	0	0	 5 	0
93年 6月	 14 	 8 	0	 16 	 17 	0	 1 	 6 	 1 
93年 7月	 23 	 5 	0	 15 	 36 	0	 7 	 4 	0
93年 8月	 5 	 4 	0	 10 	 35 	0	0	 5 	0
93年 9月	 17 	 5 	0	 8 	 10 	0	 4 	 4 	 1 
93年 10月	 19 	 4 	0	 12 	 21 	0	 5 	 4 	 1 
93年 11月	 15 	 3 	0	 16 	 34 	0	 36 	 5 	 3 
93年 12月	 19 	 3 	0	 16 	 41 	0	0	 10 	 2 
94年	 198 	 54 	 39 	 177 	 154 	0	 59 	 99 	 12 
94年 1月	 8 	 3 	 3 	 19 	 14 	0	 2 	0	 1 
94年 2月	 11 	 2 	 2 	 10 	 9 	0	 2 	 5 	0
94年 3月	 17 	 2 	 3 	 15 	 14 	0	 1 	 18 	 1 
94年 4月	 18 	 8 	 5 	 23 	 5 	0	 2 	 3 	0
94年 5月	 12 	0	 5 	 19 	 8 	0	 6 	 11 	 1 
94年 6月	 26 	 8 	 3 	 14 	 15 	0	 15 	 14 	 1 
94年 7月	 17 	 3 	 1 	 5 	 13 	0	 3 	 11 	0
94年 8月	 25 	 10 	 3 	 13 	 9 	0	 10 	 10 	 1 
94年 9月	 20 	 7 	 5 	 12 	 31 	0	 6 	 6 	0
94年 10月	 14 	 5 	 3 	 15 	 8 	0	 1 	 6 	0
94年 11月	 15 	 5 	 2 	 19 	 22 	0	 8 	 5 	 6 
94年 12月	 15 	 1 	 4 	 13 	 6 	0	 3 	 10 	 1 
95年	 250 	 98 	 81 	 143 	 203 	0	 137 	 97 	 18 
95年 1月	 13 	 6 	 4 	 14 	 15 	0	 2 	 12 	0
95年 2月	 19 	 6 	 4 	 26 	 15 	0	 23 	 6 	 2 
95年 3月	 28 	 12 	 7 	 20 	 41 	0	 6 	 14 	 1 
95年 4月	 13 	 11 	 5 	 13 	 21 	0	 5 	 6 	 3 
95年 5月	 18 	 6 	 4 	 9 	 9 	0	 12 	 8 	 1 
95年 6月	 21 	 8 	 10 	 12 	 14 	0	 14 	 8 	 2 
95年 7月	 20 	 11 	 11 	 13 	 12 	0	 17 	 6 	 1 
95年 8月	 20 	 5 	 8 	 5 	 7 	0	 15 	 6 	 3 
95年 9月	 23 	 9 	 5 	 11 	 12 	0	 14 	 8 	0
95年 10月	 19 	 12 	 11 	 9 	 25 	0	 2 	 9 	 2 
95年 11月	 34 	 6 	 8 	 6 	 22 	0	 12 	 6 	 1 
95年 12月	 22 	 6 	 4 	 5 	 10 	0	 15 	 8 	 2 
96年	 323 	 80 	 134 	 106 	 162 	0	 127 	 98 	 18 
96年 1月	 20 	 9 	 17 	 6 	 16 	0	 8 	 12 	 1 
96年 2月	 16 	 6 	 10 	 11 	 13 	0	 6 	 12 	 2 
96年 3月	 31 	 7 	 10 	 26 	 7 	0	 20 	 13 	 3 
96年 4月	 28 	 6 	 8 	 4 	 10 	0	 10 	 6 	0
96年 5月	 31 	 5 	 10 	 8 	 9 	0	 13 	 8 	 2 
96年 6月	 27 	 7 	 7 	 9 	 9 	0	 14 	 8 	 1 
96年 7月	 27 	 6 	 14 	 9 	 18 	0	 10 	 5 	 1 
96年 8月	 33 	 6 	 11 	 4 	 22 	0	 19 	 8 	 1 
96年 9月	 23 	 7 	 14 	 5 	 13 	0	 6 	 8 	 1 
96年 10月	 32 	 6 	 15 	 6 	 15 	0	 14 	 7 	 3 
96年 11月	 29 	 7 	 10 	 9 	 16 	0	 4 	 6 	0
96年 12月	 26 	 8 	 8 	 9 	 14 	0	 3 	 5 	 3 
97年	 363 	 96 	 129 	 104 	 157 	0	 208 	 104 	 23 
97年 1月	 50 	 7 	 7 	 9 	 19 	0	 10 	 13 	 3 
97年 2月	 16 	 6 	 5 	 8 	 17 	0	 32 	 3 	 1 
97年 3月	 19 	 4 	 14 	 9 	 2 	0	 5 	 7 	 1 
97年 4月	 26 	 5 	 10 	 4 	 9 	0	 4 	 4 	 2 
97年 5月	 22 	 10 	 12 	 11 	 16 	0	 33 	 4 	 4 
97年 6月	 42 	 10 	 11 	 8 	 6 	0	 12 	 11 	 1 
97年 7月	 30 	 7 	 14 	 7 	 20 	0	 18 	 7 	 3 
97年 8月	 26 	 6 	 11 	 8 	 26 	0	 11 	 6 	 3 
97年 9月	 32 	 10 	 6 	 13 	 14 	0	 24 	 8 	 3 
97年 10月	 29 	 5 	 11 	 8 	 13 	0	 28 	 15 	 1 
97年 11月	 37 	 15 	 14 	 2 	 10 	0	 14 	 15 	0
97年 12月	 34 	 11 	 14 	 17 	 5 	0	 17 	 11 	 1 
98年	 417 	 97 	 165 	 140 	 105 	0	 127 	 88 	 26 
98年 1月	 19 	 10 	 13 	 26 	 16 	0	 18 	 6 	 2 
98年 2月	 35 	 7 	 8 	 10 	 2 	0	 14 	 7 	 2 
98年 3月	 33 	 9 	 12 	 9 	 10 	0	 9 	 7 	 3 
98年 4月	 39 	 11 	 9 	 9 	 5 	0	 9 	 9 	 3 
98年 5月	 31 	 5 	 8 	 5 	 3 	0	 7 	 6 	 2 
98年 6月	 37 	 9 	 22 	 10 	 23 	0	 13 	 8 	 1 
98年 7月	 30 	 10 	 15 	 23 	 15 	0	 13 	 8 	 4 
98年 8月	 44 	 7 	 18 	 13 	 4 	0	 8 	 11 	 4 
98年 9月	 40 	 4 	 19 	0	 3 	0	 12 	 8 	 1 
98年 10月	 34 	 15 	 15 	 13 	 14 	0	 6 	 2 	 2 
