時間	妨害名譽	違反就業服務法	違反選罷法	妨害秘密	遺棄	違反貪污治罪條例	瀆職	懲治走私條例	妨害兵役
89年	 28 	 787 	0	 2 	 4 	0	 1 	 3 	0
89年 1月	 2 	 119 	0	0	0	0	0	 2 	0
89年 2月	 3 	 79 	0	0	0	0	0	0	0
89年 3月	 1 	 87 	0	0	0	0	0	0	0
89年 4月	 3 	 72 	0	0	0	0	0	0	0
89年 5月	 3 	 43 	0	0	0	0	0	0	0
89年 6月	 2 	 43 	0	0	0	0	0	 1 	0
89年 7月	 3 	 67 	0	0	 1 	0	0	0	0
89年 8月	 2 	 49 	0	 1 	 1 	0	0	0	0
89年 9月	 2 	 60 	0	0	0	0	 1 	0	0
89年 10月	 4 	 65 	0	0	 1 	0	0	0	0
89年 11月	 3 	 43 	0	0	0	0	0	0	0
89年 12月	0	 60 	0	 1 	 1 	0	0	0	0
90年	 47 	 450 	 1 	 4 	 2 	0	 2 	 3 	0
90年 1月	 2 	 54 	0	0	0	0	0	 1 	0
90年 2月	 3 	 48 	0	0	0	0	0	0	0
90年 3月	 2 	 31 	0	0	0	0	0	 1 	0
90年 4月	 2 	 40 	0	0	0	0	0	 1 	0
90年 5月	 6 	 46 	0	0	0	0	0	0	0
90年 6月	 5 	 36 	0	0	 1 	0	0	0	0
90年 7月	 1 	 49 	0	 1 	 1 	0	0	0	0
90年 8月	 3 	 36 	0	 1 	0	0	0	0	0
90年 9月	 6 	 25 	0	0	0	0	 1 	0	0
90年 10月	 5 	 17 	0	 1 	0	0	 1 	0	0
90年 11月	 10 	 29 	0	 1 	0	0	0	0	0
90年 12月	 2 	 39 	 1 	0	0	0	0	0	0
91年	 55 	 59 	 7 	 9 	 7 	 1 	 1 	0	0
91年 1月	 5 	 24 	0	 2 	 1 	 1 	0	0	0
91年 2月	 5 	 4 	0	0	 1 	0	 1 	0	0
91年 3月	 8 	 15 	0	 1 	0	0	0	0	0
91年 4月	 5 	 10 	0	 2 	0	0	0	0	0
91年 5月	 6 	 2 	0	0	 1 	0	0	0	0
91年 6月	 1 	0	 1 	 1 	0	0	0	0	0
91年 7月	 4 	 2 	0	0	 1 	0	0	0	0
91年 8月	 6 	0	0	0	 2 	0	0	0	0
91年 9月	 4 	 2 	0	0	 1 	0	0	0	0
91年 10月	 3 	0	0	0	0	0	0	0	0
91年 11月	 2 	0	0	0	0	0	0	0	0
91年 12月	 6 	0	 6 	 3 	0	0	0	0	0
92年	 103 	 9 	 3 	 12 	 15 	 1 	 1 	0	 3 
92年 1月	 12 	 2 	 3 	0	 1 	0	0	0	0
92年 2月	 4 	 1 	0	0	 1 	0	0	0	0
92年 3月	 13 	0	0	 1 	 2 	0	0	0	0
92年 4月	 5 	 2 	0	 1 	 1 	0	0	0	0
92年 5月	 5 	0	0	0	 2 	0	0	0	0
92年 6月	 10 	 1 	0	0	0	0	0	0	0
92年 7月	 11 	0	0	 1 	0	0	0	0	0
92年 8月	 8 	 2 	0	 2 	 2 	0	0	0	 1 
92年 9月	 12 	0	0	 2 	 3 	0	0	0	 1 
92年 10月	 5 	 1 	0	 1 	 1 	0	0	0	 1 
92年 11月	 11 	0	0	 1 	0	 1 	0	0	0
92年 12月	 7 	0	0	 3 	 2 	0	 1 	0	0
93年	 146 	 20 	 2 	 10 	 18 	0	 1 	0	 35 
93年 1月	 13 	 1 	0	 1 	0	0	0	0	 3 
93年 2月	 7 	 8 	0	 1 	 1 	0	0	0	 4 
93年 3月	 12 	0	 1 	0	0	0	0	0	 8 
93年 4月	 7 	0	0	 3 	 3 	0	0	0	 3 
93年 5月	 17 	 2 	0	0	0	0	0	0	 4 
93年 6月	 10 	 1 	0	 2 	 1 	0	0	0	 2 
93年 7月	 11 	 3 	0	 1 	 2 	0	0	0	 3 
93年 8月	 14 	 1 	0	 2 	 1 	0	0	0	 2 
93年 9月	 14 	0	0	0	 4 	0	0	0	 2 
93年 10月	 14 	 1 	0	0	 3 	0	0	0	 1 
93年 11月	 12 	 2 	0	0	 2 	0	0	0	0
93年 12月	 15 	 1 	 1 	0	 1 	0	 1 	0	 3 
94年	 168 	 2 	0	 13 	 20 	0	 3 	0	 25 
94年 1月	 6 	0	0	0	 1 	0	0	0	 2 
94年 2月	 5 	0	0	 1 	0	0	0	0	 2 
94年 3月	 7 	0	0	0	0	0	 1 	0	 3 
94年 4月	 8 	0	0	0	0	0	0	0	 4 
94年 5月	 11 	0	0	0	 2 	0	0	0	0
94年 6月	 17 	 1 	0	 3 	 3 	0	 1 	0	0
94年 7月	 17 	0	0	 1 	 3 	0	 1 	0	 1 
94年 8月	 27 	0	0	 2 	 2 	0	0	0	 1 
94年 9月	 12 	0	0	 1 	 2 	0	0	0	 1 
94年 10月	 19 	 1 	0	 2 	 2 	0	0	0	 4 
94年 11月	 23 	0	0	0	 2 	0	0	0	 4 
94年 12月	 16 	0	0	 3 	 3 	0	0	0	 3 
95年	 296 	 7 	 7 	 32 	 17 	 4 	 3 	 1 	 30 
95年 1月	 20 	 1 	0	 2 	 1 	0	0	0	 9 
95年 2月	 19 	 2 	0	0	0	 1 	 1 	0	 6 
95年 3月	 22 	 2 	0	 3 	 1 	0	 1 	0	 2 
95年 4月	 22 	0	0	 4 	0	0	0	0	0
95年 5月	 33 	0	0	 6 	 4 	 3 	0	0	0
95年 6月	 22 	0	0	 1 	 5 	0	0	0	0
95年 7月	 22 	0	0	 3 	0	0	 1 	0	0
95年 8月	 34 	0	0	 4 	 2 	0	0	0	 2 
95年 9月	 17 	0	0	 5 	0	0	0	0	 2 
95年 10月	 27 	0	0	0	 2 	0	0	0	 1 
95年 11月	 28 	 2 	 1 	 1 	 1 	0	0	0	 5 
95年 12月	 30 	0	 6 	 3 	 1 	0	0	 1 	 3 
96年	 461 	 3 	 11 	 31 	 31 	0	 2 	 3 	 34 
96年 1月	 35 	0	 6 	 2 	 1 	0	0	0	 2 
96年 2月	 22 	0	 2 	 1 	 2 	0	0	0	 3 
96年 3月	 36 	0	 1 	 2 	0	0	0	0	 7 
96年 4月	 34 	0	 1 	 5 	0	0	 1 	0	 6 
96年 5月	 42 	0	0	 2 	 7 	0	0	 1 	0
96年 6月	 46 	0	0	 1 	 2 	0	0	 1 	 5 
96年 7月	 41 	 2 	0	 2 	 4 	0	0	0	 3 
96年 8月	 35 	0	0	 5 	 5 	0	0	0	 1 
96年 9月	 40 	0	0	 3 	 3 	0	0	 1 	 2 
96年 10月	 53 	0	0	 3 	 1 	0	0	0	 2 
96年 11月	 39 	0	0	 1 	 3 	0	0	0	 1 
96年 12月	 38 	 1 	 1 	 4 	 3 	0	 1 	0	 2 
97年	 528 	0	 9 	 47 	 38 	 2 	 7 	0	 52 
97年 1月	 50 	0	 8 	 1 	 1 	0	 1 	0	 2 
97年 2月	 24 	0	0	 3 	 2 	0	0	0	 10 
97年 3月	 43 	0	0	 1 	 6 	0	0	0	 16 
97年 4月	 32 	0	0	 1 	 3 	0	0	0	 2 
97年 5月	 29 	0	 1 	 4 	 1 	 1 	0	0	0
97年 6月	 46 	0	0	 4 	 4 	 1 	 1 	0	 1 
97年 7月	 64 	0	0	 3 	 3 	0	0	0	0
97年 8月	 45 	0	0	 6 	 1 	0	0	0	 8 
97年 9月	 43 	0	0	 3 	 8 	0	 4 	0	 4 
97年 10月	 49 	0	0	 5 	 3 	0	 1 	0	 3 
97年 11月	 51 	0	0	 6 	 4 	0	0	0	 1 
97年 12月	 52 	0	0	 10 	 2 	0	0	0	 5 
98年	 755 	 3 	0	 53 	 45 	0	 5 	0	 37 
98年 1月	 33 	0	0	0	 3 	0	 1 	0	 3 
98年 2月	 61 	 1 	0	 2 	 4 	0	0	0	 3 
98年 3月	 58 	0	0	 3 	 3 	0	0	0	 4 
98年 4月	 52 	0	0	 3 	 9 	0	0	0	 6 
98年 5月	 47 	0	0	 4 	 3 	0	0	0	0
98年 6月	 67 	0	0	 7 	 1 	0	0	0	0
98年 7月	 74 	0	0	 4 	 2 	0	0	0	 1 
98年 8月	 69 	0	0	 4 	 6 	0	0	0	 4 
98年 9月	 78 	 1 	0	 8 	 3 	0	 1 	0	0
98年 10月	 74 	0	0	 6 	 5 	0	0	0	 6 
98年 11月	 76 	 1 	0	 7 	 2 	0	 1 	0	 7 
98年 12月	 66 	0	0	 5 	 4 	0	 2 	0	 3 
99年	 967 	 3 	 35 	 60 	 32 	 1 	 5 	0	 9 
99年 1月	 75 	0	0	 4 	 4 	0	 1 	0	0
99年 2月	 47 	0	0	 2 	0	0	0	0	 1 
99年 3月	 87 	0	0	 10 	 3 	0	0	0	0
99年 4月	 64 	0	0	 4 	 3 	0	 1 	0	0
99年 5月	 76 	 1 	0	 4 	 2 	0	0	0	0
99年 6月	 75 	 1 	0	 5 	 2 	0	 2 	0	0
99年 7月	 81 	0	0	 6 	 2 	0	0	0	 5 
99年 8月	 79 	0	0	 3 	 1 	0	0	0	0
99年 9月	 86 	0	0	 5 	 2 	0	0	0	0
99年 10月	 101 	 1 	 1 	 1 	 3 	0	 1 	0	 3 
99年 11月	 100 	0	 27 	 8 	 7 	 1 	0	0	0
99年 12月	 96 	0	 7 	 8 	 3 	0	0	0	0
100年	 1,008 	 1 	 6 	 82 	 24 	 1 	 5 	 1 	0
100年 1月	 91 	0	 1 	 3 	 1 	0	0	 1 	0
100年 2月	 63 	0	 1 	 3 	 4 	0	0	0	0
100年 3月	 71 	0	0	 7 	 2 	0	 2 	0	0
100年 4月	 73 	0	0	 4 	 1 	0	 1 	0	0
100年 5月	 109 	0	0	 11 	 2 	0	0	0	0
100年 6月	 91 	 1 	0	 8 	 2 	0	0	0	0
100年 7月	 67 	0	0	 6 	 5 	0	 1 	0	0
100年 8月	 105 	0	 1 	 8 	 2 	 1 	0	0	0
100年 9月	 85 	0	0	 9 	 2 	0	0	0	0
100年 10月	 99 	0	0	 11 	 2 	0	 1 	0	0
100年 11月	 71 	0	 3 	 5 	 1 	0	0	0	0
100年 12月	 83 	0	0	 7 	0	0	0	0	0
101年	 1,002 	 6 	 6 	 96 	 28 	 2 	 8 	0	0
101年 1月	 45 	0	 5 	 2 	 1 	0	0	0	0
101年 2月	 82 	0	 1 	 7 	 1 	0	 1 	0	0
101年 3月	 104 	 1 	0	 14 	 3 	0	0	0	0
101年 4月	 90 	0	0	 8 	 2 	0	0	0	0
101年 5月	 102 	0	0	 8 	 3 	 1 	0	0	0
101年 6月	 75 	0	0	 1 	 5 	0	0	0	0
101年 7月	 65 	0	0	 14 	 3 	0	 1 	0	0
101年 8月	 79 	0	0	 7 	 3 	0	0	0	0
101年 9月	 65 	0	0	 7 	 2 	0	 1 	0	0
101年 10月	 109 	 2 	0	 16 	0	 1 	 3 	0	0
101年 11月	 94 	 2 	0	 5 	 1 	0	0	0	0
101年 12月	 92 	 1 	0	 7 	 4 	0	 2 	0	0
102年	 1,192 	 3 	0	 80 	 40 	 1 	 10 	0	 1 
102年 1月	 82 	 1 	0	 5 	 4 	0	 2 	0	0
102年 2月	 82 	0	0	 4 	0	0	0	0	0
102年 3月	 104 	 1 	0	 12 	 3 	0	 1 	0	0
102年 4月	 98 	0	0	 4 	 3 	0	0	0	0
102年 5月	 91 	0	0	 10 	 3 	0	0	0	0
102年 6月	 89 	0	0	 4 	 3 	0	 1 	0	0
102年 7月	 130 	0	0	 6 	 4 	0	 1 	0	0
102年 8月	 95 	 1 	0	 9 	 7 	0	0	0	0
102年 9月	 99 	0	0	 9 	 6 	0	 3 	0	0
102年 10月	 113 	0	0	 8 	 2 	0	 1 	0	 1 
102年 11月	 99 	0	0	 4 	 1 	0	 1 	0	0
102年 12月	 110 	0	0	 5 	 4 	 1 	0	0	0
