時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 2,306 	 503 	 50 	 126 	 3 	 576 	 119 	 124 	 71 
89年 1月	 183 	 41 	 4 	 11 	0	 44 	 6 	 10 	 4 
89年 2月	 176 	 38 	 6 	 12 	0	 33 	 9 	 6 	 5 
89年 3月	 142 	 39 	 6 	 12 	0	 49 	 13 	 6 	 4 
89年 4月	 182 	 45 	 8 	 8 	0	 52 	 11 	 7 	 5 
89年 5月	 200 	 48 	 7 	 10 	0	 61 	 9 	 7 	 6 
89年 6月	 152 	 33 	 1 	 5 	0	 45 	 9 	 9 	 7 
89年 7月	 217 	 39 	 3 	 10 	 1 	 55 	 9 	 16 	 10 
89年 8月	 258 	 49 	 4 	 12 	0	 33 	 8 	 15 	 6 
89年 9月	 193 	 39 	 3 	 15 	0	 48 	 9 	 15 	 8 
89年 10月	 205 	 41 	 5 	 8 	 1 	 49 	 10 	 11 	 8 
89年 11月	 199 	 47 	 2 	 11 	0	 64 	 12 	 14 	 4 
89年 12月	 199 	 44 	 1 	 12 	 1 	 43 	 14 	 8 	 4 
90年	 2,944 	 751 	 53 	 105 	 1 	 690 	 130 	 152 	 65 
90年 1月	 313 	 53 	 6 	 13 	0	 37 	 10 	 14 	 6 
90年 2月	 213 	 46 	 7 	 15 	0	 67 	 10 	 9 	 7 
90年 3月	 172 	 57 	 5 	 12 	0	 51 	 7 	 15 	 5 
90年 4月	 201 	 70 	 6 	 8 	0	 54 	 5 	 9 	 6 
90年 5月	 213 	 56 	 3 	 14 	0	 60 	 17 	 11 	 11 
90年 6月	 200 	 78 	 5 	 9 	0	 56 	 9 	 9 	 3 
90年 7月	 317 	 69 	 3 	 6 	0	 70 	 5 	 5 	 10 
90年 8月	 339 	 62 	 1 	 6 	0	 58 	 8 	 16 	 3 
90年 9月	 265 	 52 	 2 	 6 	0	 66 	 15 	 20 	 1 
90年 10月	 243 	 38 	 5 	 4 	0	 68 	 21 	 12 	 3 
90年 11月	 250 	 94 	 8 	 6 	0	 49 	 12 	 15 	 6 
90年 12月	 218 	 76 	 2 	 6 	 1 	 54 	 11 	 17 	 4 
91年	 3,659 	 948 	 44 	 83 	 1 	 570 	 142 	 131 	 82 
91年 1月	 179 	 86 	 5 	 15 	 1 	 39 	 7 	 6 	 7 
91年 2月	 567 	 149 	 4 	 12 	0	 30 	 5 	 11 	 3 
91年 3月	 248 	 71 	 2 	 11 	0	 52 	 6 	 10 	 5 
91年 4月	 249 	 86 	 4 	 4 	0	 63 	 6 	 10 	 5 
91年 5月	 284 	 69 	 5 	 5 	0	 41 	 8 	 11 	 5 
91年 6月	 224 	 70 	 4 	 2 	0	 38 	 9 	 14 	 3 
91年 7月	 397 	 44 	 4 	 4 	0	 54 	 12 	 11 	 8 
91年 8月	 301 	 69 	 3 	 11 	0	 57 	 30 	 18 	 6 
91年 9月	 249 	 73 	 4 	 5 	0	 46 	 14 	 10 	 10 
91年 10月	 406 	 85 	 2 	 7 	0	 63 	 15 	 9 	 13 
91年 11月	 313 	 91 	 4 	 4 	0	 44 	 18 	 7 	 11 
91年 12月	 242 	 55 	 3 	 3 	0	 43 	 12 	 14 	 6 
92年	 3,334 	 756 	 36 	 52 	 2 	 440 	 203 	 89 	 59 
92年 1月	 366 	 83 	 2 	 7 	0	 40 	 11 	 3 	 8 
92年 2月	 282 	 57 	 1 	 5 	 1 	 32 	 13 	 2 	 3 
92年 3月	 272 	 40 	 11 	 5 	0	 38 	 7 	 7 	 7 
92年 4月	 360 	 92 	 5 	 7 	0	 44 	 16 	 8 	 4 
92年 5月	 319 	 82 	 3 	 8 	0	 26 	 15 	 7 	 6 
92年 6月	 377 	 67 	0	 8 	 1 	 50 	 29 	 12 	 11 
92年 7月	 250 	 66 	 3 	 3 	0	 47 	 30 	 4 	 4 
92年 8月	 244 	 54 	0	 1 	0	 41 	 12 	 14 	 5 
92年 9月	 211 	 67 	0	 4 	0	 40 	 20 	 5 	 2 
92年 10月	 251 	 56 	 6 	 3 	0	 27 	 15 	 7 	 1 
92年 11月	 230 	 42 	 2 	0	0	 25 	 13 	 12 	 3 
92年 12月	 172 	 50 	 3 	 1 	0	 30 	 22 	 8 	 5 
93年	 3,220 	 607 	 17 	 77 	 1 	 278 	 251 	 61 	 42 
93年 1月	 262 	 44 	 2 	 4 	0	 25 	 26 	 1 	 1 
93年 2月	 279 	 52 	 1 	 14 	0	 23 	 7 	 3 	0
93年 3月	 224 	 33 	 2 	 21 	0	 16 	 13 	 3 	 1 
93年 4月	 235 	 39 	 4 	 2 	0	 19 	 15 	 5 	 2 
93年 5月	 256 	 46 	0	 4 	 1 	 26 	 13 	 8 	 4 
93年 6月	 242 	 57 	 1 	 6 	0	 22 	 46 	 8 	 2 
93年 7月	 261 	 34 	0	 3 	0	 31 	 17 	 5 	 6 
93年 8月	 251 	 55 	0	 7 	0	 15 	 42 	 11 	 7 
93年 9月	 265 	 68 	0	 7 	0	 22 	 9 	 4 	 5 
93年 10月	 337 	 73 	 3 	 3 	0	 30 	 7 	 3 	 9 
93年 11月	 338 	 57 	 3 	 5 	0	 21 	 27 	 7 	0
93年 12月	 270 	 49 	 1 	 1 	0	 28 	 29 	 3 	 5 
94年	 3,838 	 799 	 25 	 57 	 3 	 345 	 758 	 94 	 26 
94年 1月	 383 	 83 	 1 	 8 	0	 19 	 19 	 3 	 3 
94年 2月	 273 	 41 	 4 	 5 	0	 25 	 21 	 5 	 3 
94年 3月	 433 	 83 	 4 	 3 	 1 	 25 	 104 	 8 	 1 
94年 4月	 470 	 57 	0	 5 	0	 21 	 46 	0	 1 
94年 5月	 372 	 58 	 1 	 8 	0	 20 	 126 	 6 	 1 
94年 6月	 262 	 47 	 4 	 1 	 1 	 31 	 37 	 11 	 3 
94年 7月	 345 	 88 	 1 	 3 	 1 	 26 	 81 	 12 	 3 
94年 8月	 359 	 90 	 4 	 7 	0	 33 	 107 	 7 	 4 
94年 9月	 241 	 61 	 2 	 1 	0	 30 	 50 	 13 	 2 
94年 10月	 271 	 86 	 1 	 3 	0	 36 	 37 	 6 	 2 
94年 11月	 244 	 62 	 2 	 7 	0	 36 	 63 	 12 	 1 
94年 12月	 185 	 43 	 1 	 6 	0	 43 	 67 	 11 	 2 
95年	 3,980 	 655 	 24 	 257 	0	 373 	 781 	 126 	 30 
95年 1月	 470 	 54 	 4 	 23 	0	 30 	 92 	 5 	 1 
95年 2月	 373 	 54 	 2 	 79 	0	 22 	 100 	 11 	 5 
95年 3月	 199 	 45 	 1 	 56 	0	 33 	 67 	 13 	 2 
95年 4月	 249 	 56 	0	 19 	0	 24 	 38 	 7 	 4 
95年 5月	 269 	 63 	 3 	 6 	0	 29 	 52 	 7 	 1 
95年 6月	 346 	 72 	 1 	 10 	0	 36 	 63 	 15 	 1 
95年 7月	 450 	 71 	 5 	 9 	0	 34 	 63 	 9 	 3 
95年 8月	 442 	 63 	 2 	 10 	0	 26 	 89 	 9 	 3 
95年 9月	 265 	 37 	 3 	 9 	0	 39 	 55 	 15 	 2 
95年 10月	 242 	 35 	0	 4 	0	 36 	 48 	 9 	 3 
95年 11月	 287 	 49 	 1 	 20 	0	 24 	 62 	 17 	 1 
95年 12月	 388 	 56 	 2 	 12 	0	 40 	 52 	 9 	 4 
96年	 3,234 	 478 	 14 	 207 	0	 303 	 834 	 120 	 31 
96年 1月	 240 	 42 	0	 23 	0	 19 	 44 	 10 	 1 
96年 2月	 374 	 51 	0	 34 	0	 25 	 68 	 6 	 3 
96年 3月	 273 	 35 	 1 	 24 	0	 30 	 64 	 4 	 6 
96年 4月	 226 	 48 	 1 	 17 	0	 24 	 59 	 7 	 1 
96年 5月	 296 	 54 	 2 	 12 	0	 27 	 73 	 10 	 1 
96年 6月	 284 	 37 	 2 	 11 	0	 25 	 49 	 12 	 1 
96年 7月	 268 	 51 	 2 	 20 	0	 27 	 80 	 9 	 1 
96年 8月	 228 	 45 	 1 	 20 	0	 18 	 45 	 5 	 3 
96年 9月	 264 	 39 	0	 23 	0	 24 	 77 	 14 	 6 
96年 10月	 309 	 31 	 1 	 7 	0	 29 	 84 	 8 	 3 
96年 11月	 245 	 20 	 3 	 9 	0	 26 	 84 	 22 	 4 
96年 12月	 227 	 25 	 1 	 7 	0	 29 	 107 	 13 	 1 
97年	 2,655 	 417 	 32 	 180 	 1 	 353 	 950 	 150 	 57 
97年 1月	 310 	 35 	 6 	 22 	 1 	 29 	 69 	 14 	 4 
97年 2月	 371 	 21 	 3 	 50 	0	 20 	 65 	 7 	 9 
97年 3月	 197 	 17 	0	 18 	0	 33 	 72 	 10 	 6 
97年 4月	 207 	 29 	 8 	 15 	0	 20 	 69 	 9 	 4 
97年 5月	 219 	 41 	 1 	 8 	0	 34 	 60 	 16 	 9 
97年 6月	 204 	 57 	 2 	 3 	0	 29 	 91 	 13 	 4 
97年 7月	 255 	 50 	 2 	 22 	0	 26 	 80 	 11 	 4 
97年 8月	 198 	 45 	 2 	 22 	0	 31 	 73 	 17 	 2 
97年 9月	 208 	 40 	 2 	 5 	0	 31 	 96 	 10 	 4 
97年 10月	 206 	 22 	 3 	 7 	0	 37 	 89 	 15 	 2 
97年 11月	 189 	 30 	 3 	 3 	0	 33 	 78 	 14 	 5 
97年 12月	 91 	 30 	0	 5 	0	 30 	 108 	 14 	 4 
98年	 2,901 	 374 	 20 	 137 	0	 409 	 1,159 	 144 	 50 
98年 1月	 333 	 35 	 2 	 16 	0	 26 	 132 	 6 	 2 
98年 2月	 279 	 20 	 1 	 35 	0	 26 	 89 	 11 	 7 
98年 3月	 158 	 25 	0	 9 	0	 35 	 81 	 13 	 3 
98年 4月	 166 	 32 	 2 	 8 	0	 32 	 87 	 11 	 2 
98年 5月	 190 	 42 	 1 	 12 	0	 32 	 68 	 9 	 2 
98年 6月	 275 	 46 	 5 	 6 	0	 31 	 85 	 8 	 5 
98年 7月	 297 	 32 	 2 	 15 	0	 45 	 98 	 15 	 8 
98年 8月	 280 	 33 	 1 	 12 	0	 51 	 121 	 13 	 8 
98年 9月	 356 	 25 	 1 	 5 	0	 33 	 111 	 20 	 2 
98年 10月	 217 	 28 	 1 	 11 	0	 41 	 117 	 12 	 4 
98年 11月	 204 	 23 	 2 	 3 	0	 27 	 81 	 13 	 4 
98年 12月	 146 	 33 	 2 	 5 	0	 30 	 89 	 13 	 3 
99年	 2,303 	 252 	 36 	 186 	0	 352 	 727 	 140 	 44 
99年 1月	 105 	 27 	 2 	 5 	0	 25 	 77 	 10 	 3 
99年 2月	 467 	 46 	 9 	 57 	0	 16 	 82 	 14 	 4 
99年 3月	 158 	 14 	 2 	 8 	0	 41 	 78 	 8 	 2 
99年 4月	 210 	 16 	 1 	 10 	0	 28 	 58 	 9 	 3 
99年 5月	 184 	 17 	 1 	 15 	0	 41 	 73 	 12 	 4 
99年 6月	 210 	 18 	 3 	 16 	0	 25 	 62 	 11 	 3 
99年 7月	 176 	 9 	0	 33 	0	 28 	 72 	 15 	 2 
99年 8月	 186 	 18 	 6 	 17 	0	 33 	 69 	 20 	 5 
99年 9月	 170 	 12 	 3 	 10 	0	 30 	 48 	 7 	 9 
99年 10月	 193 	 34 	 4 	 6 	0	 27 	 31 	 11 	 5 
99年 11月	 147 	 25 	 3 	 7 	0	 21 	 47 	 9 	 2 
99年 12月	 97 	 16 	 2 	 2 	0	 37 	 30 	 14 	 2 
100年	0	0	0	0	0	0	0	0	0
100年 1月	0	0	0	0	0	0	0	0	0
100年 2月	0	0	0	0	0	0	0	0	0
100年 3月	0	0	0	0	0	0	0	0	0
100年 4月	0	0	0	0	0	0	0	0	0
100年 5月	0	0	0	0	0	0	0	0	0
100年 6月	0	0	0	0	0	0	0	0	0
100年 7月	0	0	0	0	0	0	0	0	0
100年 8月	0	0	0	0	0	0	0	0	0
100年 9月	0	0	0	0	0	0	0	0	0
100年 10月	0	0	0	0	0	0	0	0	0
100年 11月	0	0	0	0	0	0	0	0	0
100年 12月	0	0	0	0	0	0	0	0	0
101年	0	0	0	0	0	0	0	0	0
101年 1月	0	0	0	0	0	0	0	0	0
101年 2月	0	0	0	0	0	0	0	0	0
101年 3月	0	0	0	0	0	0	0	0	0
101年 4月	0	0	0	0	0	0	0	0	0
101年 5月	0	0	0	0	0	0	0	0	0
101年 6月	0	0	0	0	0	0	0	0	0
101年 7月	0	0	0	0	0	0	0	0	0
101年 8月	0	0	0	0	0	0	0	0	0
101年 9月	0	0	0	0	0	0	0	0	0
101年 10月	0	0	0	0	0	0	0	0	0
101年 11月	0	0	0	0	0	0	0	0	0
101年 12月	0	0	0	0	0	0	0	0	0
102年	0	0	0	0	0	0	0	0	0
102年 1月	0	0	0	0	0	0	0	0	0
102年 2月	0	0	0	0	0	0	0	0	0
102年 3月	0	0	0	0	0	0	0	0	0
102年 4月	0	0	0	0	0	0	0	0	0
102年 5月	0	0	0	0	0	0	0	0	0
102年 6月	0	0	0	0	0	0	0	0	0
102年 7月	0	0	0	0	0	0	0	0	0
102年 8月	0	0	0	0	0	0	0	0	0
102年 9月	0	0	0	0	0	0	0	0	0
102年 10月	0	0	0	0	0	0	0	0	0
102年 11月	0	0	0	0	0	0	0	0	0
102年 12月	0	0	0	0	0	0	0	0	0
103年	0	0	0	0	0	0	0	0	0
103年 1月	0	0	0	0	0	0	0	0	0
103年 2月	0	0	0	0	0	0	0	0	0
103年 3月	0	0	0	0	0	0	0	0	0
103年 4月	0	0	0	0	0	0	0	0	0
103年 5月	0	0	0	0	0	0	0	0	0
103年 6月	0	0	0	0	0	0	0	0	0
103年 7月	0	0	0	0	0	0	0	0	0
103年 8月	0	0	0	0	0	0	0	0	0
103年 9月	0	0	0	0	0	0	0	0	0
103年 10月	0	0	0	0	0	0	0	0	0
103年 11月	0	0	0	0	0	0	0	0	0
103年 12月	0	0	0	0	0	0	0	0	0
104年	0	0	0	0	0	0	0	0	0
104年 1月	0	0	0	0	0	0	0	0	0
104年 2月	0	0	0	0	0	0	0	0	0
104年 3月	0	0	0	0	0	0	0	0	0
104年 4月	0	0	0	0	0	0	0	0	0
104年 5月	0	0	0	0	0	0	0	0	0
104年 6月	0	0	0	0	0	0	0	0	0
104年 7月	0	0	0	0	0	0	0	0	0
104年 8月	0	0	0	0	0	0	0	0	0
104年 9月	0	0	0	0	0	0	0	0	0
104年 10月	0	0	0	0	0	0	0	0	0
104年 11月	0	0	0	0	0	0	0	0	0
104年 12月	0	0	0	0	0	0	0	0	0
105年	0	0	0	0	0	0	0	0	0
105年 1月	0	0	0	0	0	0	0	0	0
105年 2月	0	0	0	0	0	0	0	0	0
105年 3月	0	0	0	0	0	0	0	0	0
105年 4月	0	0	0	0	0	0	0	0	0
105年 5月	0	0	0	0	0	0	0	0	0
105年 6月	0	0	0	0	0	0	0	0	0
105年 7月	0	0	0	0	0	0	0	0	0
105年 8月	0	0	0	0	0	0	0	0	0
105年 9月	0	0	0	0	0	0	0	0	0
105年 10月	0	0	0	0	0	0	0	0	0
105年 11月	0	0	0	0	0	0	0	0	0
105年 12月	0	0	0	0	0	0	0	0	0
