時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
89年	 136 	 2 	 54 	 109 	 390 	 1,113 	 2 	0	 19 
89年 1月	 11 	0	 2 	 10 	 18 	 142 	 1 	0	 4 
89年 2月	 2 	0	 4 	 2 	 54 	 183 	0	0	 3 
89年 3月	 10 	0	 2 	 6 	 19 	 63 	0	0	 1 
89年 4月	 4 	0	 3 	 6 	 24 	 95 	0	0	 1 
89年 5月	 2 	0	 6 	 7 	 23 	 89 	 1 	0	 1 
89年 6月	 5 	0	 2 	 11 	 31 	 72 	0	0	 7 
89年 7月	 6 	0	 2 	 5 	 44 	 97 	0	0	0
89年 8月	 5 	 1 	 3 	 6 	 35 	 73 	0	0	0
89年 9月	 6 	0	 8 	 8 	 36 	 74 	0	0	 1 
89年 10月	 63 	0	 11 	 25 	 38 	 63 	0	0	0
89年 11月	 5 	0	 9 	 11 	 38 	 90 	0	0	0
89年 12月	 17 	 1 	 2 	 12 	 30 	 72 	0	0	 1 
90年	 126 	 2 	 75 	 88 	 572 	 628 	 1 	0	 116 
90年 1月	 30 	 1 	 7 	 9 	 41 	 79 	0	0	 2 
90年 2月	 21 	0	 3 	 7 	 42 	 55 	 1 	0	 2 
90年 3月	0	0	 6 	 4 	 40 	 81 	0	0	 2 
90年 4月	 6 	 1 	 3 	 3 	 34 	 65 	0	0	 3 
90年 5月	 4 	0	 8 	 10 	 35 	 59 	0	0	 2 
90年 6月	 7 	0	 9 	 9 	 39 	 35 	0	0	 3 
90年 7月	 5 	0	 8 	 6 	 40 	 46 	0	0	 16 
90年 8月	 16 	0	 6 	 10 	 60 	 55 	0	0	 18 
90年 9月	 10 	0	 9 	 6 	 64 	 56 	0	0	 31 
90年 10月	 2 	0	 5 	 6 	 60 	 41 	0	0	 15 
90年 11月	 13 	0	 5 	 10 	 63 	 30 	0	0	 16 
90年 12月	 12 	0	 6 	 8 	 54 	 26 	0	0	 6 
91年	 236 	 1 	 98 	 94 	 550 	 167 	 2 	0	 81 
91年 1月	 2 	0	 1 	 3 	 32 	 14 	0	0	 4 
91年 2月	 30 	0	 11 	 11 	 61 	 27 	0	0	 19 
91年 3月	 32 	0	 5 	 7 	 38 	 22 	0	0	 9 
91年 4月	 27 	0	 5 	 9 	 63 	 17 	0	0	 9 
91年 5月	 3 	0	 5 	 4 	 35 	 10 	0	0	 3 
91年 6月	 6 	0	 9 	 4 	 37 	 13 	0	0	 4 
91年 7月	 14 	0	 13 	 8 	 37 	 9 	0	0	 8 
91年 8月	 32 	0	 9 	 13 	 50 	 12 	0	0	 6 
91年 9月	 19 	 1 	 17 	 3 	 66 	 17 	0	0	 3 
91年 10月	 49 	0	 8 	 7 	 51 	 15 	 1 	0	 6 
91年 11月	 6 	0	 8 	 9 	 36 	 4 	 1 	0	 4 
91年 12月	 16 	0	 7 	 16 	 44 	 7 	0	0	 6 
92年	 108 	 1 	 140 	 138 	 572 	 203 	 1 	0	 100 
92年 1月	 19 	0	 9 	 10 	 60 	 19 	0	0	 5 
92年 2月	 32 	0	 14 	 10 	 35 	 12 	0	0	 4 
92年 3月	 13 	0	 17 	 13 	 43 	 13 	0	0	 4 
92年 4月	 2 	0	 9 	 13 	 46 	 28 	0	0	 15 
92年 5月	0	0	 5 	 14 	 33 	 7 	0	0	 11 
92年 6月	 4 	0	 17 	 16 	 70 	 16 	 1 	0	 3 
92年 7月	 1 	 1 	 9 	 18 	 53 	 19 	0	0	 11 
92年 8月	 9 	0	 11 	 13 	 49 	 15 	0	0	 9 
92年 9月	0	0	 16 	 3 	 44 	 12 	0	0	 11 
92年 10月	 28 	0	 13 	 8 	 76 	 23 	0	0	 8 
92年 11月	0	0	 12 	 13 	 34 	 20 	0	0	 14 
92年 12月	0	0	 8 	 7 	 29 	 19 	0	0	 5 
93年	 90 	 2 	 59 	 83 	 847 	 257 	 2 	0	 138 
93年 1月	 28 	0	 12 	 5 	 44 	 16 	0	0	 8 
93年 2月	 2 	 1 	 7 	 10 	 42 	 15 	0	0	 10 
93年 3月	0	0	 9 	 5 	 71 	 17 	0	0	 7 
93年 4月	 7 	0	 1 	 13 	 63 	 16 	0	0	 15 
93年 5月	 35 	0	 4 	 7 	 70 	 15 	0	0	 11 
93年 6月	 1 	0	 6 	 11 	 70 	 12 	0	0	 9 
93年 7月	 2 	0	 1 	 6 	 79 	 21 	 1 	0	 14 
93年 8月	 4 	0	 4 	 3 	 67 	 20 	 1 	0	 9 
93年 9月	0	0	 3 	 10 	 70 	 20 	0	0	 14 
93年 10月	 2 	0	 3 	 7 	 98 	 27 	0	0	 12 
93年 11月	0	 1 	 5 	 2 	 88 	 41 	0	0	 15 
93年 12月	 9 	0	 4 	 4 	 85 	 37 	0	0	 14 
94年	 42 	0	 82 	 58 	 937 	 377 	 12 	0	 89 
94年 1月	 17 	0	 7 	 9 	 79 	 19 	0	0	 16 
94年 2月	 1 	0	 8 	 2 	 63 	 33 	0	0	 12 
94年 3月	0	0	 4 	 2 	 76 	 24 	0	0	 10 
94年 4月	 3 	0	 6 	 5 	 88 	 44 	0	0	 9 
94年 5月	 1 	0	 6 	 4 	 72 	 40 	 1 	0	 11 
94年 6月	 5 	0	 3 	 3 	 86 	 27 	 3 	0	 14 
94年 7月	 2 	0	 8 	 5 	 86 	 32 	 4 	0	 6 
94年 8月	 2 	0	 8 	 5 	 114 	 43 	 2 	0	 5 
94年 9月	 4 	0	 5 	 4 	 78 	 40 	0	0	 3 
94年 10月	 1 	0	 7 	 6 	 60 	 29 	 1 	0	0
94年 11月	 5 	0	 9 	 9 	 79 	 32 	 1 	0	 2 
94年 12月	 1 	0	 11 	 4 	 56 	 14 	0	0	 1 
95年	 62 	 2 	 96 	 109 	 1,263 	 292 	 5 	0	 4 
95年 1月	 4 	0	 10 	 5 	 89 	 33 	0	0	 2 
95年 2月	0	0	 4 	 3 	 68 	 15 	0	0	0
95年 3月	 2 	 1 	 7 	 8 	 120 	 26 	 1 	0	0
95年 4月	 3 	 1 	 4 	 4 	 111 	 33 	0	0	0
95年 5月	 2 	0	 6 	 6 	 74 	 15 	0	0	0
95年 6月	 4 	0	 8 	 6 	 83 	 27 	 1 	0	 2 
95年 7月	 5 	0	 8 	 7 	 133 	 29 	0	0	0
