時間	毀棄損壞	妨害公務	妨害電腦使用	強盜	搶奪	內亂	重利	竊佔	偽造有價證券
89年	 74 	 34 	0	 84 	 31 	0	 79 	 9 	0
89年 1月	 8 	 5 	0	 10 	 4 	0	 5 	 1 	0
89年 2月	 4 	 1 	0	 5 	 9 	0	 3 	0	0
89年 3月	 7 	 3 	0	 4 	0	0	 2 	0	0
89年 4月	 4 	 4 	0	 8 	 2 	0	 2 	 1 	0
89年 5月	 2 	 6 	0	 9 	 3 	0	 8 	0	0
89年 6月	 6 	 1 	0	 11 	 3 	0	 5 	 2 	0
89年 7月	 6 	 4 	0	 2 	 2 	0	 4 	0	0
89年 8月	 10 	 2 	0	 6 	 1 	0	 5 	 2 	0
89年 9月	 6 	 6 	0	 6 	 2 	0	 3 	 1 	0
89年 10月	 10 	 1 	0	 14 	 2 	0	 9 	 1 	0
89年 11月	 5 	0	0	 4 	0	0	 30 	0	0
89年 12月	 6 	 1 	0	 5 	 3 	0	 3 	 1 	0
90年	 92 	 30 	0	 118 	 67 	0	 33 	 17 	 6 
90年 1月	 8 	 3 	0	 17 	 4 	0	 8 	 1 	 1 
90年 2月	 9 	 1 	0	 8 	 5 	0	 2 	0	0
90年 3月	 6 	 2 	0	 6 	 5 	0	0	0	 1 
90年 4月	 9 	 3 	0	 5 	 1 	0	 4 	 4 	 2 
90年 5月	 5 	 2 	0	 20 	 4 	0	 1 	 3 	0
90年 6月	 7 	 1 	0	 7 	 13 	0	 4 	 1 	 1 
90年 7月	 8 	 4 	0	 8 	0	0	 1 	 1 	0
90年 8月	 6 	 2 	0	 8 	 18 	0	 4 	0	0
90年 9月	 8 	 4 	0	 9 	 4 	0	 1 	 2 	0
90年 10月	 11 	 2 	0	 11 	 4 	0	 1 	0	0
90年 11月	 6 	 3 	0	 14 	 6 	0	 3 	 3 	 1 
90年 12月	 9 	 3 	0	 5 	 3 	0	 4 	 2 	0
91年	 58 	 17 	0	 130 	 63 	0	 18 	 12 	 18 
91年 1月	 7 	 2 	0	 3 	 3 	0	 2 	0	 3 
91年 2月	 5 	 2 	0	 16 	 2 	0	 4 	0	 2 
91年 3月	 10 	0	0	 21 	 3 	0	 1 	 1 	 3 
91年 4月	 3 	 2 	0	 24 	 1 	0	0	 2 	 2 
91年 5月	 5 	 1 	0	 7 	 4 	0	0	 1 	0
91年 6月	 1 	 2 	0	 3 	 6 	0	0	0	 1 
91年 7月	 3 	 3 	0	 9 	 15 	0	 2 	 1 	 1 
91年 8月	 5 	0	0	 9 	 5 	0	0	 2 	0
91年 9月	 4 	0	0	 7 	 10 	0	 4 	0	0
91年 10月	 8 	 3 	0	 11 	 5 	0	 1 	0	 1 
91年 11月	 2 	 2 	0	 17 	 3 	0	 2 	 1 	 1 
91年 12月	 5 	0	0	 3 	 6 	0	 2 	 4 	 4 
92年	 58 	 14 	0	 150 	 76 	0	 33 	 9 	 10 
92年 1月	 4 	 1 	0	 13 	 30 	0	0	0	 2 
92年 2月	 2 	 1 	0	 2 	 5 	0	 1 	0	 2 
92年 3月	 7 	 1 	0	 3 	 8 	0	 4 	0	 2 
92年 4月	 6 	 2 	0	 13 	 3 	0	 1 	0	0
92年 5月	 6 	 2 	0	 14 	 8 	0	 1 	0	 4 
92年 6月	 5 	0	0	 18 	 8 	0	 2 	 1 	0
92年 7月	 5 	0	0	 21 	 4 	0	 4 	 5 	0
92年 8月	 12 	 1 	0	 24 	 1 	0	 3 	0	0
92年 9月	 2 	0	0	 12 	 2 	0	 4 	 1 	0
92年 10月	 5 	 1 	0	 19 	 4 	0	 1 	 1 	0
92年 11月	 2 	 3 	0	 6 	0	0	0	 1 	0
92年 12月	 2 	 2 	0	 5 	 3 	0	 12 	0	0
