時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
89年	 5 	0	0	 32 	0	 1 	0	 83 	 213 
89年 1月	 1 	0	0	 1 	0	0	0	 7 	 33 
89年 2月	0	0	0	 3 	0	0	0	 17 	 28 
89年 3月	0	0	0	 2 	0	0	0	 10 	 6 
89年 4月	 1 	0	0	 5 	0	0	0	 5 	 7 
89年 5月	0	0	0	 6 	0	 1 	0	 4 	 24 
89年 6月	0	0	0	 1 	0	0	0	 7 	 8 
89年 7月	0	0	0	 2 	0	0	0	 2 	 15 
89年 8月	0	0	0	 3 	0	0	0	 8 	 22 
89年 9月	 1 	0	0	 5 	0	0	0	 3 	 14 
89年 10月	0	0	0	 1 	0	0	0	 4 	 23 
89年 11月	 2 	0	0	 1 	0	0	0	 12 	 12 
89年 12月	0	0	0	 2 	0	0	0	 4 	 21 
90年	 18 	0	 1 	 60 	 1 	 1 	0	 63 	 226 
90年 1月	 1 	0	0	 5 	0	0	0	 6 	 22 
90年 2月	 3 	0	0	 4 	0	0	0	 10 	 10 
90年 3月	 2 	0	0	 6 	0	0	0	 3 	 10 
90年 4月	 3 	0	0	 5 	0	0	0	 4 	 20 
90年 5月	 1 	0	0	 3 	0	 1 	0	 3 	 17 
90年 6月	 4 	0	0	 4 	0	0	0	 2 	 17 
90年 7月	0	0	0	 4 	0	0	0	 4 	 25 
90年 8月	0	0	0	 8 	 1 	0	0	 4 	 36 
90年 9月	 2 	0	0	 9 	0	0	0	 9 	 26 
90年 10月	 2 	0	0	 5 	0	0	0	 4 	 20 
90年 11月	0	0	 1 	 3 	0	0	0	 4 	 15 
90年 12月	0	0	0	 4 	0	0	0	 10 	 8 
91年	 11 	0	0	 35 	 1 	 1 	0	 45 	 327 
91年 1月	 5 	0	0	 1 	0	0	0	 2 	 10 
91年 2月	 3 	0	0	 1 	0	0	0	 7 	 16 
91年 3月	0	0	0	 2 	0	0	0	 6 	 27 
91年 4月	0	0	0	 5 	0	0	0	 1 	 11 
91年 5月	 1 	0	0	 2 	0	0	0	 4 	 16 
91年 6月	 1 	0	0	 2 	0	0	0	 2 	 26 
91年 7月	0	0	0	0	 1 	0	0	 4 	 28 
91年 8月	 1 	0	0	 6 	0	0	0	 4 	 49 
91年 9月	0	0	0	 1 	0	0	0	 8 	 33 
91年 10月	0	0	0	 3 	0	0	0	 3 	 41 
91年 11月	0	0	0	 6 	0	 1 	0	 1 	 40 
91年 12月	0	0	0	 6 	0	0	0	 3 	 30 
92年	 14 	0	0	 36 	 1 	0	0	 69 	 569 
92年 1月	0	0	0	 2 	0	0	0	 7 	 65 
92年 2月	 1 	0	0	 3 	0	0	0	 6 	 48 
92年 3月	 2 	0	0	 5 	0	0	0	 3 	 37 
92年 4月	 2 	0	0	 4 	 1 	0	0	 6 	 47 
92年 5月	 1 	0	0	 3 	0	0	0	 12 	 37 
92年 6月	 4 	0	0	 8 	0	0	0	 4 	 69 
92年 7月	 2 	0	0	 2 	0	0	0	 6 	 47 
92年 8月	0	0	0	 1 	0	0	0	 5 	 53 
92年 9月	0	0	0	 2 	0	0	0	 4 	 41 
92年 10月	0	0	0	 3 	0	0	0	 7 	 45 
92年 11月	 1 	0	0	 3 	0	0	0	 4 	 34 
92年 12月	 1 	0	0	0	0	0	0	 5 	 46 
93年	 11 	0	0	 35 	0	 1 	0	 83 	 526 
93年 1月	 1 	0	0	 3 	0	0	0	 4 	 55 
93年 2月	 1 	0	0	 4 	0	0	0	 5 	 63 
93年 3月	 2 	0	0	 3 	0	0	0	 8 	 45 
93年 4月	0	0	0	 1 	0	0	0	 4 	 39 
93年 5月	 2 	0	0	 2 	0	0	0	 6 	 42 
93年 6月	0	0	0	 3 	0	0	0	 7 	 54 
93年 7月	 1 	0	0	 3 	0	0	0	 7 	 40 
93年 8月	 1 	0	0	 2 	0	0	0	 7 	 43 
93年 9月	 1 	0	0	 4 	0	0	0	 14 	 37 
93年 10月	0	0	0	 7 	0	0	0	 7 	 41 
93年 11月	 2 	0	0	0	0	 1 	0	 9 	 25 
93年 12月	0	0	0	 3 	0	0	0	 5 	 42 
94年	 10 	0	0	 26 	0	0	 1 	 86 	 515 
94年 1月	 1 	0	0	0	0	0	0	 6 	 42 
94年 2月	 1 	0	0	0	0	0	0	 7 	 34 
94年 3月	 3 	0	0	 1 	0	0	0	 13 	 47 
94年 4月	 1 	0	0	 1 	0	0	0	 9 	 22 
94年 5月	0	0	0	 2 	0	0	0	 8 	 45 
94年 6月	 1 	0	0	 3 	0	0	0	 3 	 34 
94年 7月	 1 	0	0	 3 	0	0	0	 12 	 34 
94年 8月	0	0	0	 2 	0	0	0	 6 	 96 
94年 9月	0	0	0	 2 	0	0	0	 7 	 34 
94年 10月	 1 	0	0	 3 	0	0	 1 	 3 	 40 
94年 11月	 1 	0	0	 3 	0	0	0	 7 	 45 
94年 12月	0	0	0	 6 	0	0	0	 5 	 42 
95年	 9 	0	 1 	 39 	 1 	0	0	 82 	 496 
95年 1月	0	0	0	 5 	0	0	0	 18 	 47 
95年 2月	0	0	0	 3 	0	0	0	 5 	 34 
95年 3月	 1 	0	0	 7 	0	0	0	 7 	 23 
95年 4月	 1 	0	0	0	 1 	0	0	 4 	 19 
95年 5月	 2 	0	0	 7 	0	0	0	 9 	 18 
95年 6月	 2 	0	0	 4 	0	0	0	 4 	 24 
95年 7月	 1 	0	0	 1 	0	0	0	 2 	 108 
95年 8月	0	0	0	 5 	0	0	0	 2 	 77 
95年 9月	 1 	0	0	 1 	0	0	0	 9 	 38 
95年 10月	0	0	0	0	0	0	0	 9 	 38 
95年 11月	 1 	0	0	0	0	0	0	 4 	 35 
95年 12月	0	0	 1 	 6 	0	0	0	 9 	 35 
96年	 6 	0	0	 19 	0	0	0	 45 	 511 
96年 1月	0	0	0	 1 	0	0	0	 2 	 34 
96年 2月	 1 	0	0	 1 	0	0	0	 3 	 34 
96年 3月	0	0	0	 2 	0	0	0	 3 	 23 
96年 4月	 1 	0	0	 1 	0	0	0	 7 	 22 
96年 5月	0	0	0	 2 	0	0	0	 4 	 24 
96年 6月	 1 	0	0	0	0	0	0	 1 	 17 
96年 7月	 1 	0	0	 2 	0	0	0	 4 	 73 
96年 8月	 2 	0	0	 2 	0	0	0	 9 	 176 
96年 9月	0	0	0	 4 	0	0	0	 2 	 30 
96年 10月	0	0	0	 3 	0	0	0	 8 	 34 
96年 11月	0	0	0	0	0	0	0	 2 	 23 
96年 12月	0	0	0	 1 	0	0	0	0	 21 
97年	 1 	0	 1 	 21 	 1 	0	0	 56 	 216 
97年 1月	0	0	0	 3 	0	0	0	 8 	 24 
97年 2月	0	0	0	 2 	0	0	0	 6 	 33 
97年 3月	0	0	0	0	0	0	0	 2 	 21 
97年 4月	0	0	0	 1 	0	0	0	 1 	 17 
97年 5月	0	0	0	 4 	0	0	0	 9 	 12 
97年 6月	0	0	 1 	0	 1 	0	0	 6 	 12 
97年 7月	 1 	0	0	 2 	0	0	0	 3 	 24 
97年 8月	0	0	0	 1 	0	0	0	 5 	 29 
97年 9月	0	0	0	 2 	0	0	0	 6 	 13 
97年 10月	0	0	0	 3 	0	0	0	 4 	 13 
97年 11月	0	0	0	 1 	0	0	0	 4 	 7 
97年 12月	0	0	0	 2 	0	0	0	 2 	 11 
98年	 12 	0	0	 26 	0	0	0	 40 	 192 
98年 1月	 5 	0	0	 1 	0	0	0	 4 	 16 
98年 2月	 4 	0	0	 3 	0	0	0	 3 	 13 
98年 3月	0	0	0	 2 	0	0	0	 4 	 20 
98年 4月	0	0	0	 2 	0	0	0	0	 11 
98年 5月	0	0	0	 1 	0	0	0	 6 	 18 
98年 6月	 1 	0	0	 3 	0	0	0	 2 	 8 
98年 7月	 1 	0	0	 1 	0	0	0	 2 	 38 
98年 8月	0	0	0	 2 	0	0	0	 5 	 23 
98年 9月	 1 	0	0	 4 	0	0	0	 6 	 8 
98年 10月	0	0	0	 3 	0	0	0	 4 	 9 
98年 11月	0	0	0	 3 	0	0	0	 2 	 11 
98年 12月	0	0	0	 1 	0	0	0	 2 	 17 
99年	0	0	0	 15 	0	0	0	 44 	 211 
99年 1月	0	0	0	 2 	0	0	0	 3 	 11 
99年 2月	0	0	0	0	0	0	0	 7 	 19 
99年 3月	0	0	0	0	0	0	0	0	 16 
99年 4月	0	0	0	0	0	0	0	 2 	 16 
99年 5月	0	0	0	0	0	0	0	 4 	 21 
99年 6月	0	0	0	 2 	0	0	0	 5 	 21 
99年 7月	0	0	0	 3 	0	0	0	 2 	 26 
99年 8月	0	0	0	 2 	0	0	0	 2 	 33 
99年 9月	0	0	0	 2 	0	0	0	 4 	 8 
99年 10月	0	0	0	 1 	0	0	0	 6 	 10 
99年 11月	0	0	0	0	0	0	0	 6 	 11 
99年 12月	0	0	0	 3 	0	0	0	 3 	 19 
100年	0	0	0	0	0	0	0	0	0
100年 1月	0	0	0	0	0	0	0	0	0
100年 2月	0	0	0	0	0	0	0	0	0
100年 3月	0	0	0	0	0	0	0	0	0
100年 4月	0	0	0	0	0	0	0	0	0
100年 5月	0	0	0	0	0	0	0	0	0
100年 6月	0	0	0	0	0	0	0	0	0
100年 7月	0	0	0	0	0	0	0	0	0
100年 8月	0	0	0	0	0	0	0	0	0
100年 9月	0	0	0	0	0	0	0	0	0
100年 10月	0	0	0	0	0	0	0	0	0
100年 11月	0	0	0	0	0	0	0	0	0
100年 12月	0	0	0	0	0	0	0	0	0
101年	0	0	0	0	0	0	0	0	0
101年 1月	0	0	0	0	0	0	0	0	0
101年 2月	0	0	0	0	0	0	0	0	0
101年 3月	0	0	0	0	0	0	0	0	0
101年 4月	0	0	0	0	0	0	0	0	0
101年 5月	0	0	0	0	0	0	0	0	0
101年 6月	0	0	0	0	0	0	0	0	0
101年 7月	0	0	0	0	0	0	0	0	0
101年 8月	0	0	0	0	0	0	0	0	0
101年 9月	0	0	0	0	0	0	0	0	0
101年 10月	0	0	0	0	0	0	0	0	0
101年 11月	0	0	0	0	0	0	0	0	0
101年 12月	0	0	0	0	0	0	0	0	0
102年	0	0	0	0	0	0	0	0	0
102年 1月	0	0	0	0	0	0	0	0	0
102年 2月	0	0	0	0	0	0	0	0	0
102年 3月	0	0	0	0	0	0	0	0	0
102年 4月	0	0	0	0	0	0	0	0	0
102年 5月	0	0	0	0	0	0	0	0	0
102年 6月	0	0	0	0	0	0	0	0	0
102年 7月	0	0	0	0	0	0	0	0	0
102年 8月	0	0	0	0	0	0	0	0	0
102年 9月	0	0	0	0	0	0	0	0	0
102年 10月	0	0	0	0	0	0	0	0	0
102年 11月	0	0	0	0	0	0	0	0	0
102年 12月	0	0	0	0	0	0	0	0	0
103年	0	0	0	0	0	0	0	0	0
103年 1月	0	0	0	0	0	0	0	0	0
103年 2月	0	0	0	0	0	0	0	0	0
103年 3月	0	0	0	0	0	0	0	0	0
103年 4月	0	0	0	0	0	0	0	0	0
103年 5月	0	0	0	0	0	0	0	0	0
103年 6月	0	0	0	0	0	0	0	0	0
103年 7月	0	0	0	0	0	0	0	0	0
103年 8月	0	0	0	0	0	0	0	0	0
103年 9月	0	0	0	0	0	0	0	0	0
103年 10月	0	0	0	0	0	0	0	0	0
103年 11月	0	0	0	0	0	0	0	0	0
103年 12月	0	0	0	0	0	0	0	0	0
104年	0	0	0	0	0	0	0	0	0
104年 1月	0	0	0	0	0	0	0	0	0
104年 2月	0	0	0	0	0	0	0	0	0
104年 3月	0	0	0	0	0	0	0	0	0
104年 4月	0	0	0	0	0	0	0	0	0
104年 5月	0	0	0	0	0	0	0	0	0
104年 6月	0	0	0	0	0	0	0	0	0
104年 7月	0	0	0	0	0	0	0	0	0
104年 8月	0	0	0	0	0	0	0	0	0
104年 9月	0	0	0	0	0	0	0	0	0
104年 10月	0	0	0	0	0	0	0	0	0
104年 11月	0	0	0	0	0	0	0	0	0
104年 12月	0	0	0	0	0	0	0	0	0
105年	0	0	0	0	0	0	0	0	0
105年 1月	0	0	0	0	0	0	0	0	0
105年 2月	0	0	0	0	0	0	0	0	0
105年 3月	0	0	0	0	0	0	0	0	0
105年 4月	0	0	0	0	0	0	0	0	0
105年 5月	0	0	0	0	0	0	0	0	0
105年 6月	0	0	0	0	0	0	0	0	0
105年 7月	0	0	0	0	0	0	0	0	0
105年 8月	0	0	0	0	0	0	0	0	0
105年 9月	0	0	0	0	0	0	0	0	0
105年 10月	0	0	0	0	0	0	0	0	0
105年 11月	0	0	0	0	0	0	0	0	0
105年 12月	0	0	0	0	0	0	0	0	0
