時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
89年	 9 	0	0	 3 	0	0	0	 58 	 81 
89年 1月	0	0	0	0	0	0	0	 3 	 4 
89年 2月	0	0	0	0	0	0	0	 8 	 24 
89年 3月	0	0	0	0	0	0	0	 6 	 3 
89年 4月	 1 	0	0	0	0	0	0	 3 	 7 
89年 5月	 4 	0	0	0	0	0	0	 1 	 4 
89年 6月	0	0	0	0	0	0	0	 6 	 2 
89年 7月	 1 	0	0	0	0	0	0	 11 	 1 
89年 8月	 1 	0	0	0	0	0	0	 6 	 2 
89年 9月	0	0	0	0	0	0	0	 1 	 6 
89年 10月	0	0	0	 1 	0	0	0	 5 	 18 
89年 11月	 1 	0	0	 2 	0	0	0	 7 	 6 
89年 12月	 1 	0	0	0	0	0	0	 1 	 4 
90年	 9 	0	0	 2 	0	0	0	 46 	 55 
90年 1月	 1 	0	0	0	0	0	0	 8 	 4 
90年 2月	0	0	0	0	0	0	0	 4 	 1 
90年 3月	0	0	0	0	0	0	0	 5 	 3 
90年 4月	 2 	0	0	0	0	0	0	 2 	 3 
90年 5月	 1 	0	0	0	0	0	0	 1 	 5 
90年 6月	0	0	0	0	0	0	0	 1 	0
90年 7月	0	0	0	0	0	0	0	 1 	 12 
90年 8月	 4 	0	0	 2 	0	0	0	 5 	 2 
90年 9月	0	0	0	0	0	0	0	 7 	 5 
90年 10月	 1 	0	0	0	0	0	0	 5 	 9 
90年 11月	0	0	0	0	0	0	0	 4 	 6 
90年 12月	0	0	0	0	0	0	0	 3 	 5 
91年	 3 	0	0	 2 	0	0	0	 23 	 62 
91年 1月	0	0	0	0	0	0	0	 1 	 3 
91年 2月	0	0	0	 1 	0	0	0	 5 	 3 
91年 3月	0	0	0	 1 	0	0	0	 4 	 6 
91年 4月	0	0	0	0	0	0	0	0	 4 
91年 5月	0	0	0	0	0	0	0	 1 	 1 
91年 6月	0	0	0	0	0	0	0	 1 	 5 
91年 7月	0	0	0	0	0	0	0	 1 	 13 
91年 8月	 1 	0	0	0	0	0	0	 4 	 3 
91年 9月	 2 	0	0	0	0	0	0	 2 	 5 
91年 10月	0	0	0	0	0	0	0	0	 4 
91年 11月	0	0	0	0	0	0	0	 1 	 2 
91年 12月	0	0	0	0	0	0	0	 3 	 13 
92年	 14 	0	0	 1 	0	0	0	 25 	 64 
92年 1月	0	0	0	0	0	0	0	 3 	 1 
92年 2月	0	0	0	0	0	0	0	0	 11 
92年 3月	0	0	0	0	0	0	0	 1 	 5 
92年 4月	0	0	0	 1 	0	0	0	 1 	 3 
92年 5月	 3 	0	0	0	0	0	0	 1 	 2 
92年 6月	0	0	0	0	0	0	0	0	 8 
92年 7月	 1 	0	0	0	0	0	0	 4 	 3 
92年 8月	 3 	0	0	0	0	0	0	 1 	 3 
92年 9月	 1 	0	0	0	0	0	0	 1 	 9 
92年 10月	 2 	0	0	0	0	0	0	 7 	 3 
92年 11月	 3 	0	0	0	0	0	0	 5 	 9 
92年 12月	 1 	0	0	0	0	0	0	 1 	 7 
93年	 3 	0	0	 1 	0	0	0	 75 	 82 
93年 1月	 1 	0	0	0	0	0	0	 2 	 8 
93年 2月	0	0	0	0	0	0	0	 2 	 15 
93年 3月	0	0	0	0	0	0	0	 2 	 3 
93年 4月	0	0	0	 1 	0	0	0	 3 	 10 
93年 5月	0	0	0	0	0	0	0	 1 	 2 
93年 6月	0	0	0	0	0	0	0	 2 	 4 
93年 7月	0	0	0	0	0	0	0	 10 	 3 
93年 8月	 2 	0	0	0	0	0	0	 9 	 4 
93年 9月	0	0	0	0	0	0	0	 29 	 10 
93年 10月	0	0	0	0	0	0	0	 12 	 7 
93年 11月	0	0	0	0	0	0	0	 1 	 10 
93年 12月	0	0	0	0	0	0	0	 2 	 6 
94年	 2 	0	0	0	0	0	 1 	 32 	 79 
94年 1月	0	0	0	0	0	0	0	 2 	 4 
94年 2月	0	0	0	0	0	0	0	 6 	 2 
94年 3月	 2 	0	0	0	0	0	 1 	 4 	 7 
94年 4月	0	0	0	0	0	0	0	 1 	 14 
94年 5月	0	0	0	0	0	0	0	 1 	 2 
94年 6月	0	0	0	0	0	0	0	0	 1 
94年 7月	0	0	0	0	0	0	0	 4 	 7 
94年 8月	0	0	0	0	0	0	0	 1 	 10 
94年 9月	0	0	0	0	0	0	0	 7 	 9 
94年 10月	0	0	0	0	0	0	0	 3 	 8 
94年 11月	0	0	0	0	0	0	0	 2 	 8 
94年 12月	0	0	0	0	0	0	0	 1 	 7 
95年	 17 	0	0	 3 	0	0	0	 36 	 32 
95年 1月	0	0	0	 1 	0	0	0	 4 	 2 
95年 2月	0	0	0	0	0	0	0	 2 	 3 
95年 3月	0	0	0	0	0	0	0	0	 1 
95年 4月	0	0	0	0	0	0	0	 3 	 4 
95年 5月	0	0	0	0	0	0	0	 2 	 1 
95年 6月	0	0	0	 1 	0	0	0	0	 4 
95年 7月	0	0	0	0	0	0	0	 7 	 3 
95年 8月	0	0	0	 1 	0	0	0	0	 1 
95年 9月	0	0	0	0	0	0	0	 6 	 4 
