時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 1,215 	 319 	 13 	 61 	 5 	 125 	 23 	 36 	 28 
89年 1月	 103 	 20 	 2 	 1 	0	 7 	0	 2 	 2 
89年 2月	 106 	 17 	 2 	 13 	0	 5 	 2 	 4 	 4 
89年 3月	 88 	 24 	0	 2 	0	 11 	 2 	 2 	 3 
89年 4月	 88 	 25 	 1 	 9 	 1 	 12 	 3 	 2 	 5 
89年 5月	 95 	 27 	 4 	 4 	0	 5 	 3 	0	 4 
89年 6月	 99 	 18 	0	 1 	 1 	 15 	0	 1 	 2 
89年 7月	 84 	 22 	 1 	 4 	 1 	 10 	 2 	 2 	0
89年 8月	 89 	 25 	0	 2 	 1 	 10 	0	 1 	0
89年 9月	 122 	 37 	0	 3 	0	 9 	 1 	 6 	 6 
89年 10月	 97 	 27 	 3 	 14 	 1 	 20 	 4 	 7 	0
89年 11月	 142 	 41 	0	 6 	0	 6 	 4 	 5 	0
89年 12月	 102 	 36 	0	 2 	0	 15 	 2 	 4 	 2 
90年	 1,473 	 278 	 17 	 38 	 2 	 177 	 29 	 34 	 14 
90年 1月	 187 	 40 	 6 	 2 	0	 7 	 3 	 1 	 2 
90年 2月	 120 	 22 	0	 2 	0	 12 	 2 	0	0
90年 3月	 100 	 19 	0	 1 	 1 	 8 	 2 	 5 	0
90年 4月	 92 	 16 	 3 	 1 	 1 	 17 	0	 4 	 1 
90年 5月	 129 	 16 	0	 8 	0	 19 	 3 	 4 	0
90年 6月	 112 	 9 	 1 	 6 	0	 12 	 3 	 2 	 2 
90年 7月	 161 	 32 	 2 	 6 	0	 13 	0	 4 	0
90年 8月	 132 	 28 	 1 	 2 	0	 13 	0	 4 	 2 
90年 9月	 109 	 29 	 1 	 1 	0	 21 	 3 	 1 	 2 
90年 10月	 128 	 27 	 1 	 6 	0	 17 	 3 	 2 	 2 
90年 11月	 96 	 24 	 1 	 3 	0	 21 	 6 	 5 	 2 
90年 12月	 107 	 16 	 1 	0	0	 17 	 4 	 2 	 1 
91年	 1,613 	 287 	 20 	 22 	0	 203 	 48 	 9 	 10 
91年 1月	 88 	 14 	0	0	0	 10 	 1 	0	0
91年 2月	 164 	 35 	 2 	 14 	0	 14 	 2 	0	 3 
91年 3月	 111 	 24 	 1 	 2 	0	 16 	 2 	 3 	0
91年 4月	 112 	 25 	0	 1 	0	 17 	 3 	0	0
91年 5月	 123 	 27 	 3 	0	0	 20 	 4 	 3 	 4 
91年 6月	 118 	 23 	 2 	 1 	0	 19 	 5 	0	0
91年 7月	 148 	 28 	 3 	 1 	0	 14 	 2 	0	 1 
91年 8月	 176 	 33 	 1 	 1 	0	 24 	 7 	0	0
91年 9月	 122 	 10 	0	 1 	0	 20 	 9 	0	 1 
91年 10月	 173 	 24 	 5 	0	0	 20 	 3 	 2 	 1 
91年 11月	 133 	 24 	 2 	0	0	 17 	 5 	0	0
91年 12月	 145 	 20 	 1 	 1 	0	 12 	 5 	 1 	0
92年	 1,626 	 307 	 5 	 40 	 4 	 94 	 49 	 18 	 19 
92年 1月	 129 	 28 	0	 4 	0	 16 	 10 	 3 	0
92年 2月	 102 	 15 	 1 	 16 	0	 5 	 1 	 1 	 4 
92年 3月	 193 	 22 	0	0	0	 4 	 3 	0	 3 
92年 4月	 162 	 24 	0	 5 	 1 	 11 	 6 	 3 	 2 
92年 5月	 145 	 42 	0	 3 	 2 	 8 	 3 	 3 	 1 
92年 6月	 126 	 26 	 1 	 2 	0	 8 	 4 	 2 	0
92年 7月	 110 	 20 	 1 	 1 	0	 8 	 5 	 1 	 2 
92年 8月	 126 	 25 	 1 	 1 	0	 9 	 3 	0	0
92年 9月	 116 	 26 	0	 1 	0	 5 	 5 	 2 	 2 
92年 10月	 140 	 25 	0	 1 	0	 7 	 3 	0	 2 
92年 11月	 133 	 29 	 1 	 2 	0	 5 	 4 	 2 	 1 
92年 12月	 144 	 25 	0	 4 	 1 	 8 	 2 	 1 	 2 
93年	 2,106 	 477 	 12 	 33 	0	 95 	 156 	 20 	 14 
93年 1月	 163 	 23 	0	 5 	0	 3 	 4 	 2 	 2 
93年 2月	 150 	 19 	0	 7 	0	 4 	 17 	 1 	 1 
93年 3月	 147 	 25 	 5 	 9 	0	 9 	 18 	 2 	 3 
93年 4月	 152 	 25 	0	 2 	0	 1 	 24 	 1 	 1 
93年 5月	 186 	 37 	0	 1 	0	 14 	 15 	 3 	 1 
93年 6月	 165 	 35 	0	0	0	 4 	 7 	0	0
93年 7月	 150 	 32 	0	 1 	0	 5 	 1 	 2 	 1 
93年 8月	 186 	 51 	0	 3 	0	 13 	 5 	 1 	0
93年 9月	 198 	 63 	 2 	0	0	 5 	 20 	 2 	0
93年 10月	 206 	 57 	 1 	 1 	0	 15 	 15 	 2 	 1 
93年 11月	 230 	 53 	 4 	 2 	0	 17 	 12 	 2 	 1 
93年 12月	 173 	 57 	0	 2 	0	 5 	 18 	 2 	 3 
94年	 2,668 	 396 	 16 	 30 	0	 81 	 227 	 21 	 13 
94年 1月	 219 	 41 	0	 6 	0	 6 	 7 	0	 1 
94年 2月	 154 	 41 	0	 6 	0	 4 	 9 	 2 	 1 
94年 3月	 268 	 43 	 4 	 1 	0	 10 	 20 	 2 	 2 
94年 4月	 235 	 50 	0	 2 	0	 9 	 35 	 2 	0
94年 5月	 254 	 48 	 1 	 3 	0	 6 	 21 	 4 	 1 
94年 6月	 252 	 29 	0	 5 	0	 7 	 15 	0	 1 
94年 7月	 246 	 33 	 1 	 1 	0	 7 	 22 	 2 	 2 
94年 8月	 259 	 22 	 2 	 3 	0	 13 	 22 	 1 	 1 
94年 9月	 230 	 22 	 1 	 1 	0	 4 	 18 	 2 	 2 
94年 10月	 196 	 22 	 3 	 1 	0	 6 	 19 	0	 1 
94年 11月	 182 	 21 	 1 	 1 	0	 6 	 18 	 2 	0
94年 12月	 173 	 24 	 3 	0	0	 3 	 21 	 4 	 1 
95年	 2,502 	 255 	 28 	 164 	0	 101 	 403 	 14 	 19 
95年 1月	 227 	 34 	 4 	 5 	0	 3 	 23 	 3 	0
95年 2月	 180 	 20 	 4 	 94 	0	 3 	 56 	0	 3 
95年 3月	 182 	 25 	 4 	 29 	0	 11 	 13 	0	 2 
95年 4月	 218 	 26 	 2 	 8 	0	 14 	 14 	 1 	0
95年 5月	 179 	 16 	 3 	 5 	0	 7 	 47 	 1 	 4 
95年 6月	 207 	 15 	0	 4 	0	 6 	 133 	 1 	 2 
95年 7月	 204 	 32 	 2 	 5 	0	 6 	 12 	 2 	 3 
95年 8月	 242 	 22 	 3 	 3 	0	 6 	 12 	0	 2 
95年 9月	 229 	 24 	 1 	 3 	0	 6 	 55 	 1 	 2 
95年 10月	 180 	 13 	0	 1 	0	 12 	 13 	 2 	0
95年 11月	 270 	 13 	 4 	 2 	0	 14 	 12 	 2 	0
95年 12月	 184 	 15 	 1 	 5 	0	 13 	 13 	 1 	 1 
96年	 2,162 	 219 	 20 	 95 	0	 221 	 442 	 64 	 17 
96年 1月	 198 	 17 	0	 19 	0	 14 	 32 	 5 	 1 
96年 2月	 270 	 9 	 2 	 21 	0	 9 	 24 	 4 	0
96年 3月	 207 	 10 	 1 	 21 	0	 11 	 57 	 2 	 2 
96年 4月	 155 	 11 	 3 	 1 	0	 12 	 41 	 3 	 1 
96年 5月	 165 	 20 	 2 	 7 	0	 20 	 51 	 5 	 2 
96年 6月	 169 	 17 	 2 	 2 	0	 23 	 13 	 3 	0
96年 7月	 152 	 17 	 1 	 4 	0	 24 	 40 	 3 	0
96年 8月	 142 	 30 	0	 1 	0	 18 	 25 	 12 	 3 
96年 9月	 169 	 22 	0	 7 	0	 27 	 27 	 11 	 4 
96年 10月	 164 	 20 	 4 	 6 	0	 24 	 19 	 4 	 3 
96年 11月	 186 	 18 	 2 	 6 	0	 15 	 48 	 8 	 1 
96年 12月	 185 	 28 	 3 	0	0	 24 	 65 	 4 	0
97年	 1,979 	 197 	 56 	 73 	 1 	 276 	 320 	 85 	 9 
97年 1月	 161 	 20 	 6 	 5 	0	 33 	 42 	 6 	 1 
97年 2月	 174 	 24 	 3 	 26 	0	 18 	 24 	 7 	0
97年 3月	 175 	 21 	 2 	 8 	0	 15 	 18 	 4 	 1 
97年 4月	 246 	 35 	 15 	 3 	0	 18 	 15 	 7 	 1 
97年 5月	 188 	 16 	 2 	 3 	0	 29 	 21 	 9 	0
97年 6月	 164 	 18 	 4 	 4 	0	 19 	 30 	 3 	 1 
97年 7月	 167 	 13 	 3 	 7 	0	 23 	 20 	 8 	 1 
97年 8月	 171 	 19 	 9 	 4 	 1 	 27 	 40 	 7 	 1 
97年 9月	 149 	 10 	 5 	 1 	0	 26 	 25 	 5 	0
97年 10月	 157 	 11 	0	 5 	0	 22 	 25 	 10 	0
97年 11月	 115 	 8 	 4 	 4 	0	 19 	 38 	 6 	 1 
97年 12月	 112 	 2 	 3 	 3 	0	 27 	 22 	 13 	 2 
98年	 1,537 	 94 	 29 	 62 	0	 368 	 397 	 97 	 15 
98年 1月	 175 	 8 	 5 	 11 	0	 9 	 37 	 2 	 1 
98年 2月	 157 	 5 	 8 	 25 	0	 30 	 48 	 4 	 1 
98年 3月	 109 	 8 	 4 	 5 	0	 32 	 26 	 11 	 3 
98年 4月	 123 	 6 	 1 	 2 	0	 34 	 31 	 15 	 1 
98年 5月	 101 	 12 	0	 4 	0	 22 	 28 	 5 	0
98年 6月	 131 	 8 	 6 	 3 	0	 29 	 48 	 11 	 3 
98年 7月	 133 	 5 	 1 	 1 	0	 40 	 31 	 4 	 2 
98年 8月	 140 	 13 	0	 1 	0	 41 	 25 	 3 	 1 
98年 9月	 130 	 9 	0	 4 	0	 35 	 30 	 13 	 1 
98年 10月	 135 	 9 	 2 	 3 	0	 32 	 32 	 17 	 1 
98年 11月	 108 	 7 	 1 	 1 	0	 38 	 29 	 5 	0
98年 12月	 95 	 4 	 1 	 2 	0	 26 	 32 	 7 	 1 
99年	 1,585 	 136 	 40 	 57 	 1 	 326 	 320 	 90 	 18 
99年 1月	 71 	 5 	0	 2 	0	 20 	 19 	 9 	0
99年 2月	 232 	 16 	 4 	 30 	0	 20 	 40 	 3 	 3 
99年 3月	 129 	 8 	 3 	 7 	0	 48 	 24 	 11 	 2 
99年 4月	 118 	 11 	 1 	 1 	0	 30 	 20 	 6 	 3 
