時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
89年	0	 48 	 18 	 41 	 40 	 5 	 19 	 5 	 1 
89年 1月	0	 3 	 1 	 2 	 2 	 1 	0	 1 	0
89年 2月	0	 2 	 1 	 1 	 4 	 1 	 2 	0	 1 
89年 3月	0	 2 	 1 	 5 	0	0	0	0	0
89年 4月	0	 3 	 2 	 1 	 4 	 1 	 2 	0	0
89年 5月	0	 3 	0	 2 	 4 	0	 2 	0	0
89年 6月	0	 2 	 3 	 4 	 5 	0	 3 	 1 	0
89年 7月	0	 2 	 3 	 4 	 2 	0	 1 	0	0
89年 8月	0	 9 	 2 	 6 	 5 	0	 1 	0	0
89年 9月	0	 8 	 2 	 6 	 3 	0	0	 1 	0
89年 10月	0	 5 	 1 	 4 	 5 	 2 	 6 	0	0
89年 11月	0	 2 	 1 	 2 	 4 	0	 2 	 1 	0
89年 12月	0	 7 	 1 	 4 	 2 	0	0	 1 	0
90年	 8 	 34 	 14 	 30 	 73 	 2 	 13 	 25 	0
90年 1月	0	 6 	0	 1 	 15 	0	0	 2 	0
90年 2月	0	 3 	 1 	0	 8 	0	 2 	 2 	0
90年 3月	0	 3 	 2 	 3 	 5 	0	 2 	 2 	0
90年 4月	0	0	 2 	 3 	 5 	0	0	 2 	0
90年 5月	0	 5 	0	 2 	 5 	0	0	 2 	0
90年 6月	 2 	 7 	 2 	 3 	 5 	0	0	 1 	0
90年 7月	0	 2 	 2 	 6 	 1 	0	0	 1 	0
90年 8月	 1 	 2 	 1 	 2 	 6 	 1 	 1 	 1 	0
90年 9月	 2 	 3 	0	 5 	 6 	 1 	0	 1 	0
90年 10月	 1 	 2 	 2 	 1 	 5 	0	 2 	 2 	0
90年 11月	 1 	 1 	 2 	 2 	 7 	0	 2 	 6 	0
90年 12月	 1 	0	0	 2 	 5 	0	 4 	 3 	0
91年	 2 	 38 	 14 	 29 	 57 	 4 	 18 	 25 	0
91年 1月	0	 2 	0	 3 	 2 	0	 2 	 2 	0
91年 2月	 1 	0	0	 1 	 8 	0	 2 	 5 	0
91年 3月	0	 2 	 1 	 5 	 2 	0	 2 	0	0
91年 4月	0	 4 	 4 	 3 	 6 	 1 	 1 	0	0
91年 5月	0	 6 	 1 	 1 	 6 	 1 	 1 	0	0
91年 6月	0	 4 	 1 	 1 	 6 	0	 1 	 4 	0
91年 7月	 1 	 4 	0	 5 	 6 	0	 1 	 5 	0
91年 8月	0	 5 	 3 	 4 	 8 	0	0	0	0
91年 9月	0	 2 	0	 1 	 2 	0	 3 	 1 	0
91年 10月	0	 4 	 2 	 1 	 5 	 2 	 1 	 2 	0
91年 11月	0	 3 	 2 	 3 	 2 	0	 1 	 2 	0
91年 12月	0	 2 	0	 1 	 4 	0	 3 	 4 	0
92年	 1 	 31 	 8 	 14 	 50 	 2 	 11 	 25 	0
92年 1月	 1 	 4 	0	0	 5 	0	 3 	 1 	0
92年 2月	0	 4 	 1 	0	 6 	 1 	0	 1 	0
92年 3月	0	0	 1 	 2 	 5 	0	 1 	 2 	0
92年 4月	0	 2 	0	0	 4 	 1 	 2 	 1 	0
92年 5月	0	 1 	 1 	 2 	 5 	0	 2 	 4 	0
92年 6月	0	 3 	 2 	 1 	 8 	0	 3 	 2 	0
92年 7月	0	 4 	0	 1 	 1 	0	0	0	0
92年 8月	0	 1 	 2 	 6 	 2 	0	0	 3 	0
92年 9月	0	 2 	 1 	0	 3 	0	0	 5 	0
92年 10月	0	 3 	0	0	 6 	0	0	0	0
92年 11月	0	 2 	0	 1 	 2 	0	0	 1 	0
92年 12月	0	 5 	0	 1 	 3 	0	0	 5 	0
93年	0	 50 	 2 	 44 	 38 	 1 	 19 	 32 	 1 
93年 1月	0	 4 	0	 1 	 6 	0	0	 2 	0
93年 2月	0	 5 	0	 1 	 3 	 1 	 1 	0	0
93年 3月	0	 6 	0	 1 	 3 	0	 2 	0	0
93年 4月	0	 8 	0	 4 	 3 	0	 1 	 2 	0
93年 5月	0	 8 	 1 	 1 	 1 	0	 1 	 3 	0
93年 6月	0	 7 	0	 2 	 1 	0	 1 	 1 	0
93年 7月	0	 1 	0	 5 	 4 	0	 8 	 3 	0
93年 8月	0	 4 	0	 6 	 2 	0	0	 1 	0
93年 9月	0	 1 	0	 4 	 4 	0	0	 4 	0
93年 10月	0	 3 	0	 4 	 5 	0	 3 	 6 	 1 
93年 11月	0	 2 	0	 5 	 4 	0	0	 5 	0
93年 12月	0	 1 	 1 	 10 	 2 	0	 2 	 5 	0
94年	 2 	 31 	 4 	 43 	 40 	 2 	 17 	 35 	0
94年 1月	0	 2 	0	 7 	 5 	0	 1 	0	0
94年 2月	0	 2 	 1 	 6 	 2 	 1 	 5 	 4 	0
94年 3月	0	 4 	0	 3 	 5 	0	 3 	 2 	0
94年 4月	 1 	 2 	 1 	 5 	 2 	0	 1 	 6 	0
94年 5月	0	 3 	0	 5 	 3 	0	0	 1 	0
94年 6月	0	 2 	0	 4 	 5 	0	0	 4 	0
94年 7月	0	 4 	0	 3 	 3 	0	 1 	 2 	0
94年 8月	 1 	 4 	 2 	 5 	 3 	0	0	 1 	0
94年 9月	0	 2 	0	 1 	 4 	 1 	 3 	 5 	0
94年 10月	0	 2 	0	 1 	 1 	0	 1 	 4 	0
94年 11月	0	 3 	0	 2 	 4 	0	 2 	 6 	0
94年 12月	0	 1 	0	 1 	 3 	0	0	0	0
95年	 1 	 16 	 13 	 25 	 49 	 2 	 13 	 30 	0
95年 1月	0	 1 	 1 	0	 5 	0	0	0	0
95年 2月	0	 1 	0	0	 5 	 1 	0	 1 	0
95年 3月	 1 	 2 	0	 1 	 6 	0	 2 	 4 	0
95年 4月	0	 2 	 1 	 1 	 2 	0	 1 	 5 	0
95年 5月	0	0	0	 4 	 4 	0	 1 	 1 	0
