時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
89年	 16 	0	 34 	 41 	 176 	 901 	0	0	 11 
89年 1月	0	0	 1 	 3 	 11 	 94 	0	0	 2 
89年 2月	0	0	 3 	 3 	 12 	 97 	0	0	 1 
89年 3月	0	0	 1 	 2 	 12 	 64 	0	0	 3 
89年 4月	0	0	 5 	 3 	 8 	 77 	0	0	0
89年 5月	0	0	 2 	 4 	 7 	 46 	0	0	0
89年 6月	 1 	0	 4 	 3 	 3 	 49 	0	0	 1 
89年 7月	0	0	 1 	 3 	 10 	 56 	0	0	 1 
89年 8月	0	0	 3 	 2 	 12 	 62 	0	0	0
89年 9月	0	0	0	 7 	 17 	 62 	0	0	 1 
89年 10月	 4 	0	 7 	 8 	 22 	 101 	0	0	 2 
89年 11月	 8 	0	 3 	 2 	 27 	 93 	0	0	0
89年 12月	 3 	0	 4 	 1 	 35 	 100 	0	0	0
90年	 31 	0	 30 	 21 	 191 	 513 	0	0	 96 
90年 1月	 13 	0	 3 	 2 	 9 	 35 	0	0	0
90年 2月	 2 	0	0	 1 	 13 	 54 	0	0	0
90年 3月	0	0	0	 1 	 18 	 71 	0	0	 1 
90年 4月	 2 	0	 1 	 3 	 20 	 43 	0	0	 1 
90年 5月	 3 	0	 2 	0	 15 	 69 	0	0	 1 
90年 6月	 1 	0	 3 	 1 	 19 	 42 	0	0	 1 
90年 7月	 1 	0	 2 	0	 8 	 57 	0	0	 3 
90年 8月	 5 	0	 5 	 3 	 24 	 50 	0	0	 17 
90年 9月	 2 	0	 4 	 4 	 16 	 39 	0	0	 13 
90年 10月	 1 	0	 2 	 3 	 9 	 14 	0	0	 14 
90年 11月	 1 	0	 3 	 2 	 15 	 23 	0	0	 30 
90年 12月	0	0	 5 	 1 	 25 	 16 	0	0	 15 
91年	 12 	 1 	 23 	 27 	 72 	 121 	0	0	 210 
91年 1月	0	0	 1 	 2 	 10 	 7 	0	0	0
91年 2月	0	0	0	 1 	 14 	 14 	0	0	 7 
91年 3月	 1 	0	 1 	 3 	 8 	 15 	0	0	 6 
91年 4月	0	0	 1 	 4 	 5 	 9 	0	0	 36 
91年 5月	0	0	 3 	 2 	 7 	 13 	0	0	 21 
91年 6月	 2 	0	 2 	0	 8 	 19 	0	0	 31 
91年 7月	 3 	0	 2 	 2 	 3 	 5 	0	0	 16 
91年 8月	 1 	0	 4 	 2 	 5 	 11 	0	0	 22 
91年 9月	 2 	 1 	 2 	 1 	 1 	 2 	0	0	 22 
91年 10月	 2 	0	 2 	0	 4 	 9 	0	0	 22 
91年 11月	 1 	0	 2 	 3 	 3 	 6 	0	0	 8 
91年 12月	0	0	 3 	 7 	 4 	 11 	0	0	 19 
92年	 4 	 3 	 29 	 25 	 76 	 94 	0	0	 242 
92年 1月	0	0	 3 	 4 	 9 	 12 	0	0	 33 
92年 2月	 2 	0	 4 	 2 	 2 	 8 	0	0	 20 
92年 3月	0	 2 	 5 	 4 	 4 	 6 	0	0	 17 
92年 4月	 1 	0	0	 1 	 8 	 10 	0	0	 33 
92年 5月	 1 	0	 2 	 1 	 9 	 9 	0	0	 14 
92年 6月	0	0	 3 	 1 	 5 	 4 	0	0	 14 
92年 7月	0	 1 	 3 	 5 	 3 	 5 	0	0	 20 
92年 8月	0	0	 1 	0	 5 	 1 	0	0	 19 
92年 9月	0	0	 1 	0	 8 	 11 	0	0	 19 
92年 10月	0	0	 1 	 2 	 8 	 11 	0	0	 24 
92年 11月	0	0	 4 	 3 	 7 	 6 	0	0	 16 
92年 12月	0	0	 2 	 2 	 8 	 11 	0	0	 13 
93年	 16 	 1 	 24 	 26 	 142 	 181 	0	0	 226 
93年 1月	0	0	 1 	 3 	 10 	 14 	0	0	 36 
93年 2月	 2 	0	0	 3 	 11 	 7 	0	0	 18 
93年 3月	 1 	0	 1 	 1 	 15 	 12 	0	0	 18 
93年 4月	 2 	0	 2 	 2 	 9 	 14 	0	0	 12 
93年 5月	 3 	0	 3 	 1 	 10 	 13 	0	0	 17 
93年 6月	0	0	 2 	0	 11 	 6 	0	0	 23 
93年 7月	0	0	 1 	 1 	 10 	 8 	0	0	 33 
93年 8月	 2 	0	 5 	 4 	 11 	 16 	0	0	 15 
93年 9月	 2 	0	 2 	 2 	 18 	 22 	0	0	 9 
93年 10月	 1 	0	 1 	 3 	 15 	 28 	0	0	 9 
93年 11月	 1 	0	 4 	 4 	 15 	 22 	0	0	 23 
93年 12月	 2 	 1 	 2 	 2 	 7 	 19 	0	0	 13 
94年	 6 	0	 17 	 22 	 238 	 475 	0	0	 96 
94年 1月	 2 	0	 1 	 1 	 23 	 60 	0	0	 28 
94年 2月	 1 	0	 1 	 1 	 16 	 37 	0	0	 6 
94年 3月	0	0	 3 	 2 	 25 	 59 	0	0	 11 
94年 4月	0	0	 2 	0	 31 	 53 	0	0	 5 
94年 5月	 1 	0	0	 2 	 23 	 38 	0	0	 7 
94年 6月	 1 	0	 2 	 3 	 9 	 28 	0	0	 5 
94年 7月	 1 	0	 1 	 1 	 42 	 53 	0	0	 23 
94年 8月	0	0	 2 	 2 	 25 	 57 	0	0	 1 
94年 9月	0	0	 2 	 4 	 9 	 30 	0	0	 6 
94年 10月	0	0	 1 	 1 	 14 	 23 	0	0	 1 
94年 11月	0	0	 1 	 3 	 13 	 24 	0	0	 1 
94年 12月	0	0	 1 	 2 	 8 	 13 	0	0	 2 
95年	 18 	0	 19 	 36 	 245 	 380 	0	0	 11 
95年 1月	0	0	 1 	 1 	 30 	 44 	0	0	 2 
95年 2月	0	0	0	 4 	 29 	 19 	0	0	0
95年 3月	0	0	 1 	0	 16 	 26 	0	0	 1 
95年 4月	 1 	0	 1 	 1 	 27 	 33 	0	0	 6 
95年 5月	 2 	0	0	 3 	 7 	 24 	0	0	0
95年 6月	 3 	0	 1 	 1 	 9 	 34 	0	0	0
95年 7月	 3 	0	 3 	 2 	 17 	 35 	0	0	0
95年 8月	 1 	0	 2 	 1 	 39 	 76 	0	0	0
95年 9月	0	0	 2 	 4 	 17 	 27 	0	0	 1 
95年 10月	 3 	0	 2 	 3 	 17 	 21 	0	0	0
95年 11月	 3 	0	 3 	 9 	 23 	 25 	0	0	0
95年 12月	 2 	0	 3 	 7 	 14 	 16 	0	0	 1 
96年	 33 	 1 	 63 	 88 	 315 	 440 	 6 	0	 2 
96年 1月	0	0	 4 	 7 	 47 	 45 	 1 	0	0
96年 2月	 3 	0	 1 	 5 	 59 	 81 	 2 	0	0
96年 3月	 6 	0	 1 	 7 	 22 	 38 	0	0	0
96年 4月	 5 	0	 3 	 6 	 17 	 23 	0	0	0
96年 5月	 1 	0	 2 	 3 	 20 	 36 	0	0	0
96年 6月	 3 	0	 1 	 11 	 26 	 36 	0	0	0
96年 7月	 5 	0	 3 	 8 	 34 	 50 	 1 	0	0
96年 8月	 4 	0	 19 	 8 	 19 	 42 	0	0	0
96年 9月	 1 	0	 9 	 7 	 18 	 27 	0	0	 2 
96年 10月	 3 	0	 6 	 9 	 29 	 32 	0	0	0
