時間	毀棄損壞	妨害公務	妨害電腦使用	強盜	搶奪	內亂	重利	竊佔	偽造有價證券
89年	 30 	 16 	0	 34 	 13 	0	 39 	 9 	0
89年 1月	 3 	 3 	0	 7 	0	0	 6 	0	0
89年 2月	 1 	0	0	 6 	0	0	 1 	0	0
89年 3月	 7 	0	0	 2 	 1 	0	 5 	 1 	0
89年 4月	 5 	 2 	0	 1 	0	0	 8 	 1 	0
89年 5月	 2 	 2 	0	 5 	 2 	0	 2 	0	0
89年 6月	0	0	0	 1 	 2 	0	 2 	 1 	0
89年 7月	0	0	0	 4 	 2 	0	 3 	 1 	0
89年 8月	 3 	 1 	0	 1 	0	0	 2 	 1 	0
89年 9月	 1 	 1 	0	 3 	 1 	0	 4 	 1 	0
89年 10月	 2 	 3 	0	 1 	0	0	 4 	 1 	0
89年 11月	 4 	 2 	0	 2 	0	0	 2 	 1 	0
89年 12月	 2 	 2 	0	 1 	 5 	0	0	 1 	0
90年	 27 	 15 	0	 35 	 22 	0	 25 	 10 	 1 
90年 1月	 3 	 4 	0	 5 	 3 	0	 4 	0	0
90年 2月	 1 	0	0	 4 	 1 	0	 1 	 2 	0
90年 3月	 1 	0	0	 2 	 1 	0	 2 	 1 	0
90年 4月	 4 	 1 	0	 2 	 1 	0	 4 	 2 	0
90年 5月	 2 	0	0	 2 	 4 	0	 1 	 1 	0
90年 6月	 4 	 1 	0	 4 	0	0	 4 	0	0
90年 7月	 3 	0	0	 2 	 1 	0	 3 	0	0
90年 8月	 1 	 3 	0	 3 	 3 	0	0	0	0
90年 9月	 2 	 2 	0	 1 	 6 	0	 3 	 1 	 1 
90年 10月	 2 	 3 	0	 2 	0	0	 1 	 1 	0
90年 11月	 1 	0	0	 5 	 1 	0	 1 	0	0
90年 12月	 3 	 1 	0	 3 	 1 	0	 1 	 2 	0
91年	 34 	 14 	0	 34 	 32 	0	 23 	 4 	0
91年 1月	 1 	0	0	 2 	 1 	0	 1 	0	0
91年 2月	 3 	 1 	0	 5 	 5 	0	0	0	0
91年 3月	 4 	0	0	 2 	0	0	 1 	 1 	0
91年 4月	 2 	 1 	0	0	 1 	0	 3 	 1 	0
91年 5月	 7 	 2 	0	 1 	 1 	0	 4 	0	0
91年 6月	 1 	 2 	0	 1 	 3 	0	 2 	0	0
91年 7月	 5 	 1 	0	 7 	0	0	0	0	0
91年 8月	 5 	 1 	0	 2 	 6 	0	 1 	0	0
91年 9月	 1 	 3 	0	 4 	 1 	0	0	0	0
91年 10月	 3 	 2 	0	 7 	 4 	0	 1 	0	0
91年 11月	 1 	 1 	0	 1 	 6 	0	 3 	0	0
91年 12月	 1 	0	0	 2 	 4 	0	 7 	 2 	0
92年	 16 	 6 	0	 22 	 19 	0	 25 	 8 	0
92年 1月	 2 	 1 	0	 9 	 5 	0	 2 	0	0
92年 2月	 1 	0	0	0	 3 	0	 1 	 2 	0
92年 3月	 2 	 1 	0	 1 	0	0	 3 	0	0
92年 4月	0	 1 	0	 2 	 3 	0	0	0	0
92年 5月	 1 	0	0	 2 	 1 	0	 7 	 2 	0
92年 6月	0	0	0	 1 	 2 	0	 1 	0	0
92年 7月	 4 	0	0	0	0	0	 5 	 1 	0
92年 8月	 3 	 1 	0	 2 	 2 	0	 1 	0	0
92年 9月	 1 	0	0	 3 	 1 	0	 1 	 2 	0
92年 10月	0	 1 	0	 1 	0	0	 3 	0	0
92年 11月	0	 1 	0	0	0	0	 1 	0	0
92年 12月	 2 	0	0	 1 	 2 	0	0	 1 	0
93年	 16 	 7 	0	 39 	 10 	0	 15 	 11 	 1 
