時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
89年	 1 	0	0	 9 	 24 	0	 7 	 250 	0
89年 1月	0	0	0	0	 3 	0	0	 22 	0
89年 2月	0	0	0	0	0	0	0	 20 	0
89年 3月	0	0	0	0	 3 	0	0	 20 	0
89年 4月	0	0	0	 9 	 2 	0	0	 5 	0
89年 5月	0	0	0	0	0	0	 3 	 11 	0
89年 6月	0	0	0	0	 2 	0	 2 	 22 	0
89年 7月	0	0	0	0	 4 	0	0	 18 	0
89年 8月	0	0	0	0	 2 	0	0	 18 	0
89年 9月	0	0	0	0	 3 	0	0	 21 	0
89年 10月	0	0	0	0	0	0	 1 	 36 	0
89年 11月	0	0	0	0	 3 	0	0	 31 	0
89年 12月	 1 	0	0	0	 2 	0	 1 	 26 	0
90年	0	0	0	 3 	 62 	 1 	 3 	 374 	0
90年 1月	0	0	0	0	 4 	0	0	 27 	0
90年 2月	0	0	0	0	 5 	0	0	 31 	0
90年 3月	0	0	0	0	 1 	0	0	 35 	0
90年 4月	0	0	0	 1 	0	 1 	0	 48 	0
90年 5月	0	0	0	 1 	 1 	0	0	 31 	0
90年 6月	0	0	0	 1 	 8 	0	0	 24 	0
90年 7月	0	0	0	0	 7 	0	 1 	 31 	0
90年 8月	0	0	0	0	 8 	0	0	 39 	0
90年 9月	0	0	0	0	0	0	0	 27 	0
90年 10月	0	0	0	0	 9 	0	0	 26 	0
90年 11月	0	0	0	0	 9 	0	 1 	 24 	0
90年 12月	0	0	0	0	 10 	0	 1 	 31 	0
91年	0	0	0	 1 	 57 	 1 	 3 	 267 	0
91年 1月	0	0	0	0	 6 	 1 	0	 12 	0
91年 2月	0	0	0	0	 17 	0	0	 27 	0
91年 3月	0	0	0	0	 10 	0	 2 	 27 	0
91年 4月	0	0	0	0	0	0	 1 	 25 	0
91年 5月	0	0	0	0	 4 	0	0	 32 	0
91年 6月	0	0	0	 1 	 1 	0	0	 31 	0
91年 7月	0	0	0	0	 1 	0	0	 17 	0
91年 8月	0	0	0	0	 7 	0	0	 17 	0
