時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 2,918 	 1,139 	 45 	 79 	0	 274 	 31 	 95 	 37 
89年 1月	 171 	 80 	 2 	 15 	0	 18 	 2 	 5 	 1 
89年 2月	 122 	 66 	 3 	 11 	0	 23 	0	 3 	 4 
89年 3月	 132 	 97 	 1 	 7 	0	 14 	 4 	 11 	 6 
89年 4月	 166 	 82 	 2 	 6 	0	 19 	 1 	 10 	 2 
89年 5月	 254 	 96 	 6 	 3 	0	 20 	 3 	 7 	 5 
89年 6月	 295 	 113 	 3 	 8 	0	 27 	 4 	 8 	 1 
89年 7月	 360 	 131 	 12 	 4 	0	 22 	 6 	 12 	 1 
89年 8月	 360 	 101 	 2 	 16 	0	 25 	 2 	 5 	0
89年 9月	 306 	 96 	 6 	 5 	0	 26 	 2 	 7 	 5 
89年 10月	 295 	 105 	 3 	0	0	 26 	 1 	 11 	 7 
89年 11月	 253 	 88 	 1 	 3 	0	 23 	 2 	 6 	 3 
89年 12月	 204 	 84 	 4 	 1 	0	 31 	 4 	 10 	 2 
90年	 3,084 	 1,253 	 19 	 55 	 1 	 329 	 33 	 72 	 31 
90年 1月	 331 	 83 	 2 	 10 	0	 24 	 1 	0	 3 
90年 2月	 220 	 84 	 2 	 3 	0	 15 	0	 7 	 2 
90年 3月	 213 	 104 	0	 8 	0	 20 	 3 	 6 	 3 
90年 4月	 214 	 145 	 2 	 6 	0	 23 	 2 	 8 	 3 
90年 5月	 293 	 180 	 6 	 7 	0	 28 	 7 	 6 	 3 
90年 6月	 299 	 112 	 6 	 6 	0	 22 	 1 	 10 	 2 
90年 7月	 334 	 97 	0	 1 	0	 36 	 1 	 9 	 1 
90年 8月	 305 	 90 	0	 2 	 1 	 37 	 2 	 5 	 4 
90年 9月	 222 	 86 	0	 4 	0	 22 	 3 	 4 	 6 
90年 10月	 294 	 87 	0	 6 	0	 39 	 6 	 5 	 1 
90年 11月	 227 	 94 	 1 	 2 	0	 48 	 7 	 5 	 2 
90年 12月	 132 	 91 	0	0	0	 15 	0	 7 	 1 
91年	 3,437 	 1,220 	 26 	 25 	 4 	 250 	 43 	 70 	 20 
91年 1月	 183 	 99 	 1 	0	0	 16 	 1 	 4 	0
91年 2月	 470 	 120 	 6 	 2 	0	 9 	0	 4 	 3 
91年 3月	 152 	 85 	 5 	 3 	0	 24 	 3 	 5 	 1 
91年 4月	 207 	 78 	 4 	0	0	 26 	 3 	 7 	 1 
91年 5月	 189 	 104 	 4 	 3 	0	 15 	 3 	 5 	 4 
91年 6月	 211 	 88 	 1 	 2 	0	 14 	 1 	 5 	0
91年 7月	 425 	 82 	 2 	 1 	 1 	 21 	 6 	 4 	 3 
91年 8月	 423 	 106 	 1 	0	0	 21 	 4 	 12 	 1 
91年 9月	 205 	 88 	0	 1 	 1 	 35 	 5 	 4 	 2 
91年 10月	 372 	 162 	0	 4 	 1 	 24 	 5 	 9 	 2 
91年 11月	 376 	 122 	 1 	 5 	0	 26 	 6 	 7 	 2 
91年 12月	 224 	 86 	 1 	 4 	 1 	 19 	 6 	 4 	 1 
92年	 3,411 	 1,554 	 19 	 14 	 9 	 195 	 148 	 61 	 14 
92年 1月	 385 	 141 	0	 3 	 2 	 18 	 9 	 5 	0
92年 2月	 295 	 129 	0	 4 	 1 	 16 	 6 	 3 	0
92年 3月	 179 	 135 	 1 	 1 	0	 16 	 6 	 4 	 1 
92年 4月	 260 	 162 	0	0	0	 15 	 2 	 1 	 3 
92年 5月	 281 	 145 	 1 	 1 	 3 	 11 	 3 	 5 	 2 
92年 6月	 314 	 156 	 3 	 2 	0	 16 	 5 	 2 	 2 
92年 7月	 270 	 136 	 1 	0	 1 	 25 	 20 	 6 	 2 
92年 8月	 298 	 91 	 1 	0	0	 16 	 1 	 4 	0
92年 9月	 305 	 93 	 1 	 2 	 1 	 11 	 4 	 7 	 2 
92年 10月	 311 	 137 	 1 	 1 	0	 25 	 28 	 8 	 1 
92年 11月	 262 	 116 	 8 	0	0	 14 	 33 	 9 	 1 
92年 12月	 251 	 113 	 2 	0	 1 	 12 	 31 	 7 	0
93年	 3,103 	 1,506 	 21 	 42 	 2 	 111 	 377 	 27 	 14 
93年 1月	 256 	 132 	 4 	 10 	0	 15 	 19 	 1 	0
93年 2月	 242 	 98 	 1 	 2 	0	 9 	 25 	0	0
93年 3月	 232 	 144 	 1 	 9 	 1 	 8 	 37 	 9 	 1 
93年 4月	 295 	 170 	 4 	 13 	0	 1 	 77 	 2 	 1 
93年 5月	 292 	 144 	0	 1 	 1 	 7 	 38 	 2 	 2 
93年 6月	 251 	 122 	 1 	 3 	0	 6 	 26 	 2 	 1 
93年 7月	 264 	 153 	 1 	0	0	 11 	 25 	 3 	 2 
93年 8月	 266 	 120 	 3 	 3 	0	 10 	 31 	 2 	 2 
93年 9月	 294 	 102 	 4 	 1 	0	 14 	 35 	 1 	 2 
93年 10月	 249 	 102 	0	0	0	 12 	 37 	0	 1 
93年 11月	 277 	 109 	 1 	0	0	 12 	 11 	 3 	 2 
93年 12月	 185 	 110 	 1 	0	0	 6 	 16 	 2 	0
94年	 3,287 	 1,150 	 20 	 8 	 2 	 108 	 454 	 26 	 23 
94年 1月	 248 	 119 	 1 	0	0	 3 	 10 	 1 	 2 
94年 2月	 144 	 79 	0	 3 	0	 5 	 3 	 3 	 2 
94年 3月	 386 	 131 	 4 	 1 	0	 7 	 46 	 2 	0
94年 4月	 334 	 101 	 2 	 1 	0	 9 	 13 	 3 	 3 
94年 5月	 253 	 81 	0	0	 2 	 12 	 66 	 3 	 4 
94年 6月	 264 	 88 	 2 	0	0	 10 	 83 	 2 	 3 
94年 7月	 358 	 89 	 3 	0	0	 8 	 30 	0	 3 
94年 8月	 504 	 91 	 3 	 1 	0	 10 	 52 	 3 	 2 
94年 9月	 204 	 103 	 1 	0	0	 6 	 36 	 2 	0
94年 10月	 219 	 111 	 2 	 1 	0	 18 	 22 	 1 	 1 
94年 11月	 231 	 75 	 1 	 1 	0	 15 	 68 	 1 	 1 
94年 12月	 142 	 82 	 1 	0	0	 5 	 25 	 5 	 2 
95年	 3,343 	 578 	 48 	 77 	 4 	 125 	 591 	 23 	 12 
95年 1月	 325 	 94 	 8 	 4 	0	 11 	 73 	 4 	 2 
95年 2月	 389 	 61 	 16 	 30 	 1 	 12 	 32 	0	0
95年 3月	 282 	 64 	 3 	 16 	0	 6 	 25 	0	0
95年 4月	 294 	 63 	 1 	 7 	0	 13 	 24 	 2 	 1 
