時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
89年	0	 110 	 22 	 14 	 42 	 5 	 5 	 13 	 1 
89年 1月	0	 12 	 2 	 2 	 7 	 2 	0	0	0
89年 2月	0	 7 	 1 	 1 	 5 	 2 	 1 	 1 	 1 
89年 3月	0	 12 	 1 	0	 4 	0	0	 2 	0
89年 4月	0	 6 	0	0	 1 	0	0	 1 	0
89年 5月	0	 5 	 2 	0	 2 	0	 1 	 1 	0
89年 6月	0	 12 	 1 	0	 2 	0	 1 	 1 	0
89年 7月	0	 10 	 5 	 3 	 2 	0	0	 1 	0
89年 8月	0	 9 	 2 	 5 	 6 	0	0	 2 	0
89年 9月	0	 7 	 3 	0	 1 	 1 	0	0	0
89年 10月	0	 8 	 2 	 1 	 4 	0	 1 	 2 	0
89年 11月	0	 8 	 2 	 1 	 2 	0	 1 	0	0
89年 12月	0	 14 	 1 	 1 	 6 	0	0	 2 	0
90年	0	 100 	 20 	 29 	 41 	 1 	 20 	 22 	0
90年 1月	0	 10 	 4 	0	 5 	0	 1 	0	0
90年 2月	0	 7 	 2 	 3 	 1 	0	 1 	0	0
90年 3月	0	 13 	 2 	0	 2 	0	 3 	 2 	0
90年 4月	0	 8 	 1 	0	 4 	 1 	0	 2 	0
90年 5月	0	 4 	0	0	 7 	0	 1 	 2 	0
90年 6月	0	 7 	 2 	 3 	 4 	0	0	 1 	0
90年 7月	0	 11 	 3 	 2 	 4 	0	 2 	 1 	0
90年 8月	0	 7 	 3 	 6 	0	0	 2 	 4 	0
90年 9月	0	 4 	 1 	 3 	 2 	0	 4 	0	0
90年 10月	0	 3 	 1 	 3 	 2 	0	 2 	 1 	0
90年 11月	0	 19 	 1 	 6 	 8 	0	 3 	 6 	0
90年 12月	0	 7 	0	 3 	 2 	0	 1 	 3 	0
91年	0	 93 	 13 	 14 	 52 	 4 	 11 	 15 	0
91年 1月	0	 6 	 4 	 1 	 1 	0	 1 	0	0
91年 2月	0	 8 	 2 	0	 4 	0	 1 	 2 	0
91年 3月	0	 8 	 1 	0	 1 	0	 1 	 5 	0
91年 4月	0	 4 	 1 	0	 1 	0	 2 	 1 	0
91年 5月	0	 7 	0	0	 1 	0	0	 1 	0
91年 6月	0	 8 	 2 	 2 	 3 	0	0	0	0
91年 7月	0	 8 	0	 4 	 4 	 1 	 1 	0	0
91年 8月	0	 9 	0	 3 	 9 	 2 	 3 	 1 	0
91年 9月	0	 7 	 1 	 2 	 4 	 1 	 1 	 1 	0
91年 10月	0	 11 	0	0	 8 	0	0	 2 	0
91年 11月	0	 10 	 1 	0	 6 	0	 1 	 2 	0
91年 12月	0	 7 	 1 	 2 	 10 	0	0	0	0
92年	0	 109 	 6 	 18 	 52 	0	 19 	 2 	 1 
92年 1月	0	 13 	0	 1 	 8 	0	 1 	0	0
92年 2月	0	 5 	 1 	 1 	 7 	0	 2 	0	0
92年 3月	0	 15 	0	 1 	 3 	0	 1 	0	0
92年 4月	0	 9 	 1 	 2 	 5 	0	0	0	0
92年 5月	0	 12 	 2 	0	 6 	0	 3 	0	0
92年 6月	0	 10 	0	 1 	 1 	0	 2 	0	0
92年 7月	0	 7 	0	 1 	 3 	0	 3 	 1 	0
92年 8月	0	 8 	 2 	 3 	 3 	0	 2 	0	0
92年 9月	0	 8 	0	 2 	 3 	0	 1 	0	0
92年 10月	0	 9 	0	 1 	 8 	0	 3 	 1 	0
92年 11月	0	 4 	0	 1 	 4 	0	 1 	0	 1 
92年 12月	0	 9 	0	 4 	 1 	0	0	0	0
93年	 3 	 26 	 2 	 9 	 74 	 10 	 16 	 12 	0
93年 1月	0	 2 	0	 2 	 5 	0	 2 	 2 	0
93年 2月	0	0	0	0	 8 	0	 2 	0	0
93年 3月	0	 4 	 1 	0	0	0	0	0	0
93年 4月	0	 1 	0	0	 1 	 3 	0	 1 	0
93年 5月	0	 1 	0	0	 4 	 6 	 1 	0	0
93年 6月	 2 	 1 	0	 2 	 3 	 1 	 1 	 1 	0
93年 7月	0	 1 	0	 2 	 7 	0	 1 	 1 	0
93年 8月	0	 2 	0	 3 	 5 	0	 4 	 2 	0
93年 9月	0	 3 	0	0	 9 	0	0	 1 	0
93年 10月	0	 5 	0	0	 14 	0	 3 	 2 	0
93年 11月	 1 	 6 	0	0	 8 	0	0	 1 	0
93年 12月	0	0	 1 	0	 10 	0	 2 	 1 	0
94年	 2 	 34 	 2 	 14 	 83 	0	 16 	 17 	 2 
94年 1月	0	0	0	 2 	 6 	0	0	0	0
94年 2月	0	0	0	0	 9 	0	 3 	 1 	0
94年 3月	 1 	 4 	0	0	 4 	0	 2 	0	0
94年 4月	0	 3 	0	 2 	 11 	0	 3 	 2 	 2 
94年 5月	0	 1 	0	0	 21 	0	 3 	0	0
94年 6月	 1 	 2 	 1 	0	 1 	0	0	 2 	0
94年 7月	0	 3 	0	0	 5 	0	 4 	 3 	0
94年 8月	0	 1 	 1 	 2 	 8 	0	0	 2 	0
94年 9月	0	 2 	0	 2 	 6 	0	0	0	0
94年 10月	0	 9 	0	 5 	 6 	0	0	 1 	0
94年 11月	0	 5 	0	 1 	 6 	0	0	 4 	0
94年 12月	0	 4 	0	0	0	0	 1 	 2 	0
95年	0	 33 	 8 	 18 	 60 	 2 	 4 	 4 	 1 
95年 1月	0	 4 	0	 1 	 4 	 1 	0	0	0
95年 2月	0	 4 	0	0	 5 	0	 1 	 1 	0
95年 3月	0	 2 	0	0	 3 	0	 1 	 1 	0
95年 4月	0	 2 	0	 2 	 8 	 1 	0	 1 	0
95年 5月	0	 5 	 2 	 4 	 7 	0	 1 	0	 1 
95年 6月	0	 4 	 1 	0	 4 	0	0	0	0
95年 7月	0	 1 	0	 4 	 7 	0	0	 1 	0
95年 8月	0	 1 	 1 	 4 	 8 	0	0	0	0
95年 9月	0	 2 	0	 1 	 6 	0	0	0	0
95年 10月	0	 3 	 1 	 1 	 3 	0	0	0	0
95年 11月	0	 2 	 3 	 1 	 4 	0	0	0	0
95年 12月	0	 3 	0	0	 1 	0	 1 	0	0
96年	0	 28 	 11 	 19 	 63 	0	 4 	 5 	0
96年 1月	0	 5 	 2 	0	 5 	0	0	0	0
96年 2月	0	0	 1 	0	 9 	0	0	0	0
96年 3月	0	 1 	 1 	 2 	 5 	0	0	0	0
96年 4月	0	 1 	0	 3 	 7 	0	0	 1 	0
96年 5月	0	 4 	 1 	 2 	 4 	0	0	 1 	0
96年 6月	0	 4 	 1 	0	 3 	0	 1 	0	0
96年 7月	0	 6 	0	 2 	 2 	0	 3 	 1 	0
96年 8月	0	 2 	0	 2 	 4 	0	0	0	0
96年 9月	0	0	 3 	 2 	 5 	0	0	0	0
96年 10月	0	 4 	 1 	 1 	 9 	0	0	0	0
96年 11月	0	0	0	 3 	 4 	0	0	0	0
96年 12月	0	 1 	 1 	 2 	 6 	0	0	 2 	0
97年	0	 49 	 5 	 43 	 73 	 2 	 6 	 9 	0
97年 1月	0	 7 	 1 	 1 	 4 	0	 2 	0	0
97年 2月	0	 1 	0	 1 	 6 	0	0	0	0
97年 3月	0	 5 	0	 2 	 4 	0	0	0	0
97年 4月	0	 3 	0	0	 6 	 2 	 1 	 3 	0
97年 5月	0	 3 	 2 	 6 	 10 	0	0	0	0
97年 6月	0	 6 	0	 7 	 11 	0	0	0	0
