時間	毀棄損壞	妨害公務	妨害電腦使用	強盜	搶奪	內亂	重利	竊佔	偽造有價證券
89年	 59 	 22 	0	 60 	 20 	0	 7 	 5 	 1 
89年 1月	 1 	 1 	0	 10 	0	0	 2 	0	0
89年 2月	 4 	 6 	0	 7 	 3 	0	0	 1 	0
89年 3月	 8 	 1 	0	 2 	 2 	0	0	0	 1 
89年 4月	 6 	 2 	0	 4 	 2 	0	0	0	0
89年 5月	 6 	0	0	 9 	0	0	0	0	0
89年 6月	 4 	 1 	0	 2 	 2 	0	 1 	0	0
89年 7月	 5 	 3 	0	 5 	 1 	0	 1 	0	0
89年 8月	 5 	 2 	0	 10 	 1 	0	 1 	0	0
89年 9月	 5 	 1 	0	 3 	 4 	0	0	0	0
89年 10月	 4 	 1 	0	 5 	0	0	 1 	 3 	0
89年 11月	 4 	 4 	0	 1 	0	0	 1 	 1 	0
89年 12月	 7 	0	0	 2 	 5 	0	0	0	0
90年	 54 	 29 	0	 69 	 36 	0	 6 	 7 	 2 
90年 1月	 3 	 4 	0	 6 	 4 	0	 1 	0	0
90年 2月	 1 	 3 	0	 4 	 3 	0	0	 2 	0
90年 3月	 3 	 1 	0	 10 	0	0	 1 	0	0
90年 4月	 2 	 3 	0	 4 	0	0	0	0	0
90年 5月	 3 	 2 	0	 3 	 2 	0	0	 1 	 1 
90年 6月	 5 	0	0	 4 	 1 	0	 1 	 1 	0
90年 7月	 10 	 4 	0	 3 	 8 	0	 1 	 2 	0
90年 8月	 5 	 1 	0	 6 	 4 	0	 1 	0	 1 
90年 9月	 8 	0	0	 4 	0	0	0	 1 	0
90年 10月	 3 	 6 	0	 10 	 2 	0	0	0	0
90年 11月	 5 	 2 	0	 5 	 7 	0	 1 	0	0
90年 12月	 6 	 3 	0	 10 	 5 	0	0	0	0
91年	 45 	 21 	0	 74 	 36 	0	 1 	 7 	 1 
91年 1月	 4 	 1 	0	 3 	 1 	0	0	0	0
91年 2月	 7 	 1 	0	 28 	 19 	0	 1 	 1 	0
91年 3月	 2 	 2 	0	 3 	 2 	0	0	 2 	0
91年 4月	 3 	 2 	0	 2 	 1 	0	0	0	0
91年 5月	 3 	 1 	0	 4 	0	0	0	0	0
91年 6月	 5 	 2 	0	 1 	 1 	0	0	0	0
91年 7月	 5 	 2 	0	 12 	 3 	0	0	 1 	0
91年 8月	 2 	 5 	0	 7 	 1 	0	0	 1 	0
91年 9月	 5 	 1 	0	0	0	0	0	0	0
91年 10月	 3 	 2 	0	 4 	 3 	0	0	 2 	 1 
91年 11月	 3 	 1 	0	 8 	 4 	0	0	0	0
91年 12月	 3 	 1 	0	 2 	 1 	0	0	0	0
92年	 35 	 14 	0	 37 	 52 	0	 8 	 6 	 2 
92年 1月	 2 	 1 	0	 4 	 6 	0	0	 1 	0
92年 2月	 5 	 1 	0	 4 	 6 	0	0	 1 	0
92年 3月	 6 	 2 	0	 6 	0	0	0	 1 	0
92年 4月	 2 	 2 	0	 7 	 5 	0	0	0	0
92年 5月	 1 	0	0	 2 	 4 	0	0	0	0
92年 6月	 4 	 3 	0	 1 	 14 	0	 1 	0	0
92年 7月	 6 	0	0	0	 1 	0	0	0	0
92年 8月	 3 	 1 	0	0	 7 	0	 1 	 1 	0
92年 9月	0	 2 	0	0	 4 	0	0	 1 	 1 
92年 10月	 2 	 1 	0	 4 	 4 	0	 2 	0	0
92年 11月	 2 	0	0	 8 	 1 	0	0	 1 	 1 
92年 12月	 2 	 1 	0	 1 	0	0	 4 	0	0
93年	 16 	 10 	0	 38 	 18 	0	 42 	 8 	 1 
93年 1月	 4 	 2 	0	 7 	 1 	0	 2 	0	0
93年 2月	0	 1 	0	 1 	 1 	0	0	 1 	0
93年 3月	 3 	0	0	 1 	 2 	0	0	 1 	0
93年 4月	 1 	 1 	0	 1 	0	0	0	0	0
93年 5月	0	 1 	0	 2 	 1 	0	0	0	0
93年 6月	 2 	 2 	0	 2 	 1 	0	 6 	 1 	0
93年 7月	0	 2 	0	 13 	 1 	0	 9 	 2 	0
93年 8月	 1 	0	0	 2 	0	0	0	 1 	0
93年 9月	 1 	0	0	 2 	 1 	0	 4 	 1 	0
93年 10月	 2 	0	0	 2 	 5 	0	 8 	0	0
93年 11月	 2 	0	0	 3 	 4 	0	 5 	0	 1 
93年 12月	0	 1 	0	 2 	 1 	0	 8 	 1 	0
94年	 19 	 8 	 17 	 47 	 30 	0	 16 	 5 	0
94年 1月	 1 	0	 4 	 1 	 3 	0	0	0	0
94年 2月	0	0	0	0	0	0	0	0	0
94年 3月	 2 	0	0	 1 	0	0	0	0	0
94年 4月	 2 	 2 	 2 	 3 	 2 	0	 1 	 1 	0
94年 5月	 1 	 1 	 1 	 7 	 4 	0	0	0	0
94年 6月	 1 	0	 3 	 3 	 2 	0	0	 1 	0
94年 7月	0	 1 	 1 	 4 	 3 	0	 2 	0	0
94年 8月	 1 	 1 	0	 11 	 10 	0	 1 	0	0
94年 9月	 1 	 1 	 3 	 3 	 5 	0	0	0	0
94年 10月	 5 	 2 	 1 	 3 	0	0	 8 	 2 	0
94年 11月	 3 	0	 2 	 7 	 1 	0	 2 	 1 	0
94年 12月	 2 	0	0	 4 	0	0	 2 	0	0
95年	 22 	 5 	 11 	 26 	 26 	0	 98 	 3 	0
95年 1月	 1 	0	 2 	0	 1 	0	0	0	0
95年 2月	 1 	 1 	 1 	 2 	 1 	0	0	 1 	0
95年 3月	 1 	0	 1 	 1 	 1 	0	 6 	 1 	0
95年 4月	 5 	0	 1 	 3 	 2 	0	 1 	0	0
95年 5月	 1 	 2 	 1 	 1 	 3 	0	 3 	0	0
95年 6月	 5 	 1 	 1 	 4 	 5 	0	0	0	0
95年 7月	 1 	0	0	 5 	0	0	 3 	0	0
95年 8月	 3 	0	0	 4 	 5 	0	 18 	0	0
95年 9月	0	0	 2 	 1 	 4 	0	 22 	0	0
95年 10月	0	0	 2 	 1 	0	0	 21 	0	0
95年 11月	 3 	0	0	 2 	 1 	0	 13 	0	0
95年 12月	 1 	 1 	0	 2 	 3 	0	 11 	 1 	0
96年	 34 	 5 	 1 	 15 	 13 	0	 25 	 6 	0
96年 1月	 3 	0	0	 3 	0	0	 5 	 1 	0
96年 2月	 3 	 1 	0	0	0	0	 5 	 1 	0
96年 3月	 2 	0	 1 	0	 2 	0	 2 	0	0
96年 4月	 4 	0	0	 1 	0	0	 1 	 2 	0
96年 5月	 2 	 2 	0	 3 	0	0	 1 	 1 	0
96年 6月	 2 	 1 	0	 1 	 3 	0	 1 	0	0
96年 7月	 1 	0	0	0	 2 	0	0	0	0
96年 8月	 3 	0	0	 3 	0	0	 2 	0	0
96年 9月	 1 	0	0	 2 	 1 	0	 1 	0	0
96年 10月	 5 	0	0	 2 	 2 	0	 1 	0	0
96年 11月	 3 	 1 	0	0	 2 	0	0	 1 	0
96年 12月	 5 	0	0	0	 1 	0	 6 	0	0
97年	 36 	 14 	 4 	 30 	 16 	0	 34 	 8 	 1 
97年 1月	 5 	0	0	 4 	 2 	0	 1 	 2 	0
97年 2月	 1 	 3 	 1 	 5 	 3 	0	0	0	0
97年 3月	 7 	 1 	 1 	 3 	 1 	0	 6 	 1 	0
97年 4月	 1 	 2 	0	 3 	0	0	 1 	0	0
97年 5月	 1 	 2 	 1 	 4 	 1 	0	 4 	0	0
97年 6月	 3 	 1 	0	 3 	0	0	0	0	0
97年 7月	 4 	 2 	0	 1 	 2 	0	 2 	0	0
97年 8月	 6 	 1 	0	 2 	 1 	0	 6 	0	0
97年 9月	 3 	0	0	 1 	 4 	0	 2 	 2 	0
97年 10月	 4 	 2 	0	 2 	 1 	0	 6 	 3 	 1 
97年 11月	 1 	0	 1 	 1 	 1 	0	0	0	0
97年 12月	0	0	0	 1 	0	0	 6 	0	0
98年	 8 	 4 	 12 	 26 	 11 	0	 21 	 4 	0
98年 1月	 5 	0	0	 2 	 1 	0	 3 	0	0
98年 2月	0	 1 	 1 	 2 	 1 	0	0	 1 	0
98年 3月	 1 	 2 	 1 	 5 	0	0	 1 	0	0
98年 4月	0	0	 6 	 3 	 2 	0	 3 	 1 	0
98年 5月	0	0	0	 5 	 1 	0	 1 	0	0
98年 6月	0	0	 2 	0	0	0	0	 1 	0
98年 7月	 1 	0	0	 1 	 1 	0	 1 	0	0
98年 8月	0	0	 1 	0	 3 	0	 2 	0	0
98年 9月	0	 1 	0	 2 	 1 	0	 1 	 1 	0
98年 10月	 1 	0	 1 	 1 	0	0	 8 	0	0
98年 11月	0	0	0	 1 	 1 	0	 1 	0	0
98年 12月	0	0	0	 4 	0	0	0	0	0
99年	 11 	 9 	 4 	 15 	 12 	0	 22 	 9 	0
99年 1月	0	0	0	 1 	0	0	0	 1 	0
99年 2月	 1 	 1 	0	 3 	 2 	0	0	0	0
99年 3月	 3 	0	 1 	 1 	0	0	 2 	0	0
99年 4月	0	0	 1 	0	0	0	 2 	 2 	0
99年 5月	0	 1 	 1 	 1 	 2 	0	0	0	0
99年 6月	 1 	0	0	 3 	 3 	0	 2 	 3 	0
99年 7月	0	 1 	0	 1 	0	0	 1 	0	0
99年 8月	0	0	0	 1 	 1 	0	 1 	 1 	0
99年 9月	 4 	 1 	 1 	 2 	 2 	0	 3 	 1 	0
99年 10月	 1 	 3 	0	 1 	0	0	 2 	0	0
99年 11月	0	 1 	0	0	 1 	0	 2 	 1 	0
99年 12月	 1 	 1 	0	 1 	 1 	0	 7 	0	0
100年	 26 	 17 	 11 	 13 	 10 	0	 33 	 6 	0
100年 1月	 3 	 3 	 3 	 3 	 1 	0	 3 	0	0
100年 2月	0	 1 	0	 1 	 1 	0	 1 	0	0
100年 3月	 5 	 3 	 1 	 1 	0	0	 4 	0	0
100年 4月	 3 	 1 	0	 4 	 1 	0	 1 	 1 	0
100年 5月	0	 1 	0	0	 1 	0	 1 	0	0
100年 6月	0	0	 1 	 1 	0	0	 1 	 1 	0
100年 7月	 4 	0	 2 	 1 	 1 	0	 3 	0	0
100年 8月	0	0	0	0	 4 	0	 5 	0	0
100年 9月	 1 	 2 	 1 	0	0	0	 6 	0	0
100年 10月	 2 	 3 	0	 2 	 1 	0	 4 	0	0
100年 11月	 1 	 1 	 3 	0	0	0	 3 	 2 	0
100年 12月	 7 	 2 	0	0	0	0	 1 	 2 	0
101年	 33 	 11 	 33 	 8 	 5 	0	 18 	 7 	 1 
101年 1月	 2 	 2 	0	 1 	0	0	 3 	0	0
101年 2月	 3 	0	 1 	 1 	 2 	0	0	0	0
101年 3月	0	0	 1 	 1 	0	0	 2 	 1 	0
101年 4月	0	0	 1 	0	 1 	0	0	0	 1 
101年 5月	0	0	 1 	0	 1 	0	 4 	 1 	0
101年 6月	 1 	0	 2 	0	0	0	0	 2 	0
101年 7月	 2 	0	 16 	 1 	0	0	 2 	0	0
101年 8月	 6 	 3 	 6 	 1 	0	0	0	 2 	0
101年 9月	 2 	 2 	 3 	0	0	0	 4 	0	0
101年 10月	 6 	 3 	 2 	 1 	 1 	0	 1 	0	0
101年 11月	 6 	0	0	 2 	0	0	 2 	0	0
101年 12月	 5 	 1 	0	0	0	0	0	 1 	0
102年	 54 	 15 	 7 	 12 	 10 	0	 19 	 6 	0
102年 1月	 8 	 3 	 1 	 2 	0	0	 5 	0	0
102年 2月	 7 	 3 	 2 	 1 	 2 	0	0	 1 	0
102年 3月	 5 	 2 	0	 1 	0	0	0	 2 	0
102年 4月	 4 	0	 1 	0	0	0	 2 	 1 	0
102年 5月	 4 	 1 	0	 2 	 1 	0	 3 	0	0
102年 6月	 3 	 1 	0	 1 	 4 	0	 2 	0	0
102年 7月	 6 	 2 	0	0	0	0	 1 	 1 	0
102年 8月	 4 	0	 1 	 3 	 1 	0	 1 	0	0
102年 9月	 3 	0	0	0	 1 	0	 2 	0	0
102年 10月	 5 	 2 	0	0	0	0	 2 	0	0
102年 11月	 3 	0	 2 	 1 	0	0	 1 	0	0
102年 12月	 2 	 1 	0	 1 	 1 	0	0	 1 	0
103年	 42 	 14 	 5 	 9 	 3 	0	 11 	 15 	0
103年 1月	 3 	 3 	0	 1 	 1 	0	 2 	 1 	0
103年 2月	 7 	 1 	 1 	0	0	0	 1 	0	0
103年 3月	 7 	 5 	 1 	 1 	0	0	0	 3 	0
103年 4月	 1 	 1 	 1 	0	0	0	 1 	0	0
103年 5月	 4 	0	0	0	0	0	 2 	 1 	0
103年 6月	 2 	0	0	 1 	 1 	0	 1 	 4 	0
103年 7月	 8 	 1 	 1 	 3 	0	0	 2 	 3 	0
103年 8月	 2 	0	0	 1 	0	0	0	0	0
103年 9月	 1 	 1 	0	 1 	 1 	0	0	0	0
103年 10月	 1 	 1 	 1 	 1 	0	0	0	 2 	0
103年 11月	 2 	 1 	0	0	0	0	 2 	 1 	0
103年 12月	 4 	0	0	0	0	0	0	0	0
104年	 35 	 12 	 7 	 14 	 3 	0	 12 	 17 	 1 
104年 1月	 4 	0	0	 4 	 1 	0	 1 	0	0
104年 2月	 1 	 3 	0	 3 	0	0	 1 	 2 	0
104年 3月	 3 	 1 	 1 	 1 	 1 	0	 1 	 1 	0
104年 4月	 6 	 2 	0	 1 	0	0	 2 	 2 	0
104年 5月	 2 	0	 1 	 1 	0	0	0	 3 	0
104年 6月	 6 	 1 	 1 	0	0	0	 1 	 2 	 1 
104年 7月	 2 	 1 	 1 	 1 	0	0	 2 	0	0
104年 8月	 4 	 1 	 1 	 1 	0	0	 1 	 2 	0
104年 9月	 3 	 2 	 1 	 1 	0	0	0	 2 	0
104年 10月	 3 	 1 	 1 	0	0	0	0	 1 	0
104年 11月	0	0	0	 1 	 1 	0	0	 1 	0
104年 12月	 1 	0	0	0	0	0	 3 	 1 	0
105年	 33 	 16 	 4 	 8 	 4 	0	 9 	 9 	 1 
105年 1月	 4 	0	0	0	0	0	 2 	0	0
105年 2月	 3 	0	0	0	0	0	 1 	 2 	0
105年 3月	 4 	 2 	 1 	 3 	 1 	0	 1 	 1 	0
105年 4月	 1 	 1 	0	 1 	0	0	0	 1 	0
105年 5月	 1 	 3 	0	0	 1 	0	 1 	0	0
105年 6月	 3 	 4 	 2 	0	 1 	0	0	 2 	0
105年 7月	 4 	 2 	 1 	 1 	0	0	 1 	0	0
105年 8月	 3 	0	0	 1 	0	0	0	 1 	0
105年 9月	0	 1 	0	0	 1 	0	 1 	 1 	0
105年 10月	 5 	 2 	0	0	0	0	 2 	 1 	0
105年 11月	 4 	 1 	0	 1 	0	0	0	0	 1 
105年 12月	 1 	0	0	 1 	0	0	0	0	0
