時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
89年	0	0	0	 3 	 43 	 2 	 1 	 350 	0
89年 1月	0	0	0	0	 2 	 1 	0	 23 	0
89年 2月	0	0	0	0	 1 	0	0	 15 	0
89年 3月	0	0	0	0	 1 	0	0	 15 	0
89年 4月	0	0	0	0	 2 	0	0	 23 	0
89年 5月	0	0	0	 1 	 2 	0	 1 	 26 	0
89年 6月	0	0	0	0	0	0	0	 28 	0
89年 7月	0	0	0	0	 7 	0	0	 25 	0
89年 8月	0	0	0	0	 8 	0	0	 44 	0
89年 9月	0	0	0	 1 	 5 	0	0	 30 	0
89年 10月	0	0	0	 1 	 6 	0	0	 39 	0
89年 11月	0	0	0	0	 5 	 1 	0	 37 	0
89年 12月	0	0	0	0	 4 	0	0	 45 	0
90年	 2 	0	0	 2 	 59 	0	 5 	 503 	0
90年 1月	0	0	0	0	 3 	0	0	 38 	0
90年 2月	0	0	0	 1 	 5 	0	0	 26 	0
90年 3月	0	0	0	0	 7 	0	0	 29 	0
90年 4月	0	0	0	0	 3 	0	0	 40 	0
90年 5月	0	0	0	0	 4 	0	0	 47 	0
90年 6月	0	0	0	0	 7 	0	0	 51 	0
90年 7月	0	0	0	 1 	 3 	0	 2 	 38 	0
90年 8月	0	0	0	0	 8 	0	0	 41 	0
90年 9月	0	0	0	0	0	0	 1 	 35 	0
90年 10月	0	0	0	0	 4 	0	0	 47 	0
90年 11月	 2 	0	0	0	 10 	0	 2 	 63 	0
90年 12月	0	0	0	0	 5 	0	0	 48 	0
91年	 1 	0	0	 3 	 40 	0	 2 	 541 	0
91年 1月	0	0	0	 1 	 7 	0	 1 	 41 	0
91年 2月	 1 	0	0	0	 4 	0	 1 	 69 	0
91年 3月	0	0	0	 1 	 5 	0	0	 46 	0
91年 4月	0	0	0	0	 1 	0	0	 32 	0
91年 5月	0	0	0	0	 7 	0	0	 44 	0
91年 6月	0	0	0	0	0	0	0	 48 	0
91年 7月	0	0	0	0	 1 	0	0	 42 	0
91年 8月	0	0	0	 1 	 1 	0	0	 31 	0
91年 9月	0	0	0	0	 1 	0	0	 52 	0
91年 10月	0	0	0	0	 3 	0	0	 57 	0
91年 11月	0	0	0	0	0	0	0	 43 	0
91年 12月	0	0	0	0	 10 	0	0	 36 	0
92年	 1 	0	0	0	 41 	0	 12 	 641 	0
92年 1月	0	0	0	0	 14 	0	0	 59 	0
92年 2月	0	0	0	0	 4 	0	0	 73 	0
92年 3月	0	0	0	0	 1 	0	0	 43 	0
92年 4月	0	0	0	0	 4 	0	0	 43 	0
92年 5月	0	0	0	0	 3 	0	 2 	 34 	0
92年 6月	0	0	0	0	 4 	0	 1 	 61 	0
92年 7月	0	0	0	0	0	0	 2 	 54 	0
92年 8月	0	0	0	0	 3 	0	0	 32 	0
92年 9月	 1 	0	0	0	0	0	 3 	 61 	0
92年 10月	0	0	0	0	 1 	0	 3 	 63 	0
92年 11月	0	0	0	0	 2 	0	 1 	 67 	0
92年 12月	0	0	0	0	 5 	0	0	 51 	0
93年	0	0	0	 1 	 29 	0	 8 	 600 	0
93年 1月	0	0	0	0	 5 	0	0	 88 	0
93年 2月	0	0	0	0	0	0	0	 88 	0
93年 3月	0	0	0	0	 2 	0	 1 	 45 	0
93年 4月	0	0	0	0	0	0	0	 50 	0
93年 5月	0	0	0	0	0	0	 1 	 37 	0
