時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
89年	 7 	0	0	 7 	 1 	0	0	 91 	 126 
89年 1月	0	0	0	 1 	0	0	0	 8 	 7 
89年 2月	0	0	0	0	0	0	0	 11 	 16 
89年 3月	0	0	0	 1 	0	0	0	 8 	 5 
89年 4月	0	0	0	 2 	0	0	0	 6 	 7 
89年 5月	 1 	0	0	0	0	0	0	 11 	 15 
89年 6月	 1 	0	0	0	 1 	0	0	 10 	 18 
89年 7月	 1 	0	0	 1 	0	0	0	 8 	 17 
89年 8月	 1 	0	0	 1 	0	0	0	 7 	 6 
89年 9月	0	0	0	0	0	0	0	 4 	 7 
89年 10月	0	0	0	 1 	0	0	0	 4 	 8 
89年 11月	 1 	0	0	0	0	0	0	 9 	 13 
89年 12月	 2 	0	0	0	0	0	0	 5 	 7 
90年	 32 	0	0	 20 	0	 1 	 1 	 72 	 131 
90年 1月	 2 	0	0	 1 	0	0	0	 12 	 4 
90年 2月	 1 	0	0	 1 	0	0	0	 5 	 7 
90年 3月	0	0	0	0	0	0	0	 2 	 4 
90年 4月	0	0	0	0	0	0	0	 6 	 8 
90年 5月	 9 	0	0	 1 	0	0	0	 5 	 11 
90年 6月	 7 	0	0	 2 	0	0	 1 	 4 	 8 
90年 7月	 6 	0	0	 3 	0	0	0	 9 	 11 
90年 8月	 4 	0	0	 2 	0	0	0	 10 	 26 
90年 9月	 2 	0	0	 2 	0	0	0	 4 	 11 
90年 10月	 1 	0	0	 3 	0	 1 	0	 7 	 14 
90年 11月	0	0	0	 2 	0	0	0	 5 	 18 
90年 12月	0	0	0	 3 	0	0	0	 3 	 9 
91年	 17 	0	0	 12 	0	 1 	0	 46 	 159 
91年 1月	0	0	0	 2 	0	0	0	0	 4 
91年 2月	0	0	0	 1 	0	0	0	 7 	 10 
91年 3月	0	0	0	0	0	0	0	0	 13 
91年 4月	0	0	0	 2 	0	0	0	 7 	 13 
91年 5月	 2 	0	0	 2 	0	 1 	0	 3 	 11 
91年 6月	 5 	0	0	0	0	0	0	 7 	 8 
91年 7月	 5 	0	0	 2 	0	0	0	 1 	 14 
91年 8月	0	0	0	0	0	0	0	 6 	 14 
91年 9月	 1 	0	0	 1 	0	0	0	 5 	 14 
91年 10月	 2 	0	0	0	0	0	0	 2 	 20 
91年 11月	 1 	0	0	 2 	0	0	0	 4 	 20 
91年 12月	 1 	0	0	0	0	0	0	 4 	 18 
92年	 15 	0	0	 7 	 1 	0	0	 73 	 192 
92年 1月	 1 	0	0	 1 	0	0	0	 7 	 20 
92年 2月	 1 	0	0	0	0	0	0	 8 	 16 
92年 3月	 5 	0	0	0	0	0	0	 3 	 19 
92年 4月	0	0	0	0	0	0	0	 2 	 13 
92年 5月	0	0	0	 1 	0	0	0	0	 15 
92年 6月	0	0	0	 1 	0	0	0	 2 	 14 
92年 7月	 2 	0	0	0	0	0	0	 1 	 21 
92年 8月	0	0	0	 1 	0	0	0	 4 	 12 
92年 9月	 2 	0	0	 1 	 1 	0	0	 4 	 14 
92年 10月	 1 	0	0	0	0	0	0	 22 	 24 
92年 11月	 1 	0	0	 1 	0	0	0	 15 	 18 
92年 12月	 2 	0	0	 1 	0	0	0	 5 	 6 
93年	 16 	0	0	0	0	0	0	 116 	 252 
93年 1月	0	0	0	0	0	0	0	 19 	 35 
93年 2月	 1 	0	0	0	0	0	0	 7 	 29 
93年 3月	 4 	0	0	0	0	0	0	 4 	 9 
93年 4月	0	0	0	0	0	0	0	 8 	 19 
93年 5月	 1 	0	0	0	0	0	0	 6 	 19 
93年 6月	 2 	0	0	0	0	0	0	 9 	 15 
93年 7月	 5 	0	0	0	0	0	0	 17 	 12 
93年 8月	0	0	0	0	0	0	0	 11 	 29 
93年 9月	0	0	0	0	0	0	0	 6 	 37 
93年 10月	0	0	0	0	0	0	0	 10 	 22 
93年 11月	 2 	0	0	0	0	0	0	 12 	 13 
93年 12月	 1 	0	0	0	0	0	0	 7 	 13 
94年	0	0	0	 4 	0	 2 	 1 	 61 	 221 
94年 1月	0	0	0	 1 	0	0	0	 9 	 17 
94年 2月	0	0	0	0	0	0	0	 2 	 17 
94年 3月	0	0	0	 3 	0	0	0	 2 	 15 
94年 4月	0	0	0	0	0	0	0	 5 	 20 
94年 5月	0	0	0	0	0	0	0	 5 	 12 
94年 6月	0	0	0	0	0	0	0	 12 	 16 
94年 7月	0	0	0	0	0	 1 	 1 	 7 	 23 
94年 8月	0	0	0	0	0	 1 	0	 6 	 24 
94年 9月	0	0	0	0	0	0	0	 3 	 13 
94年 10月	0	0	0	0	0	0	0	 3 	 26 
94年 11月	0	0	0	0	0	0	0	 2 	 24 
94年 12月	0	0	0	0	0	0	0	 5 	 14 
95年	 4 	0	0	 8 	0	 1 	 1 	 84 	 311 
95年 1月	 1 	0	0	0	0	0	0	 9 	 19 
95年 2月	0	0	0	 2 	0	0	0	 7 	 37 
95年 3月	 1 	0	0	 1 	0	0	0	 7 	 24 
95年 4月	 1 	0	0	 3 	0	0	0	 16 	 21 
95年 5月	0	0	0	0	0	0	0	 13 	 36 
95年 6月	0	0	0	0	0	0	 1 	 3 	 20 
95年 7月	 1 	0	0	0	0	0	0	 2 	 49 
95年 8月	0	0	0	0	0	 1 	0	 7 	 32 
95年 9月	0	0	0	0	0	0	0	 10 	 28 
95年 10月	0	0	0	0	0	0	0	 3 	 16 
95年 11月	0	0	0	 1 	0	0	0	 2 	 13 
95年 12月	0	0	0	 1 	0	0	0	 5 	 16 
96年	 2 	0	0	 2 	0	0	0	 44 	 195 
96年 1月	0	0	0	0	0	0	0	 4 	 17 
96年 2月	0	0	0	0	0	0	0	0	 15 
96年 3月	0	0	0	0	0	0	0	 6 	 20 
96年 4月	 1 	0	0	0	0	0	0	 1 	 14 
96年 5月	 1 	0	0	0	0	0	0	 3 	 16 
96年 6月	0	0	0	0	0	0	0	 5 	 13 
96年 7月	0	0	0	 1 	0	0	0	 6 	 35 
96年 8月	0	0	0	0	0	0	0	 6 	 34 
96年 9月	0	0	0	0	0	0	0	 3 	 9 
96年 10月	0	0	0	 1 	0	0	0	 5 	 4 
96年 11月	0	0	0	0	0	0	0	 2 	 7 
96年 12月	0	0	0	0	0	0	0	 3 	 11 
97年	0	0	0	 4 	0	 1 	0	 51 	 136 
97年 1月	0	0	0	0	0	0	0	 2 	 23 
97年 2月	0	0	0	0	0	0	0	 7 	 5 
97年 3月	0	0	0	0	0	0	0	 2 	 8 
97年 4月	0	0	0	0	0	 1 	0	 3 	 7 
97年 5月	0	0	0	0	0	0	0	 6 	 9 
97年 6月	0	0	0	 1 	0	0	0	 3 	 10 
97年 7月	0	0	0	 2 	0	0	0	 4 	 13 
97年 8月	0	0	0	 1 	0	0	0	 5 	 36 
97年 9月	0	0	0	0	0	0	0	 7 	 14 
97年 10月	0	0	0	0	0	0	0	 7 	 10 
97年 11月	0	0	0	0	0	0	0	 1 	0
97年 12月	0	0	0	0	0	0	0	 4 	 1 
98年	0	0	0	0	0	0	0	 37 	 54 
98年 1月	0	0	0	0	0	0	0	 5 	 7 
98年 2月	0	0	0	0	0	0	0	 8 	 8 
98年 3月	0	0	0	0	0	0	0	 1 	 7 
98年 4月	0	0	0	0	0	0	0	 3 	 6 
98年 5月	0	0	0	0	0	0	0	 3 	 1 
98年 6月	0	0	0	0	0	0	0	 3 	 4 
98年 7月	0	0	0	0	0	0	0	0	 1 
98年 8月	0	0	0	0	0	0	0	 4 	 7 
98年 9月	0	0	0	0	0	0	0	 4 	 4 
98年 10月	0	0	0	0	0	0	0	 1 	 1 
