時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 1,579 	 881 	 17 	 148 	0	 127 	 30 	 69 	 32 
89年 1月	 107 	 44 	 2 	 29 	0	 11 	 1 	 2 	 2 
89年 2月	 104 	 32 	0	 35 	0	 9 	 5 	 3 	 3 
89年 3月	 98 	 46 	 1 	 15 	0	 10 	 1 	 1 	 3 
89年 4月	 107 	 66 	 1 	 11 	0	 11 	 2 	 8 	 2 
89年 5月	 110 	 73 	 1 	 3 	0	 12 	 2 	 8 	 1 
89年 6月	 92 	 61 	 1 	 5 	0	 8 	 3 	 5 	 2 
89年 7月	 139 	 75 	 2 	 6 	0	 12 	 1 	 5 	 1 
89年 8月	 161 	 97 	0	 10 	0	 10 	 5 	 4 	 4 
89年 9月	 146 	 99 	 3 	 7 	0	 10 	 5 	 11 	 1 
89年 10月	 170 	 102 	0	 11 	0	 10 	 3 	 5 	 8 
89年 11月	 209 	 114 	 2 	 10 	0	 14 	 1 	 12 	 2 
89年 12月	 136 	 72 	 4 	 6 	0	 10 	 1 	 5 	 3 
90年	 1,899 	 872 	 16 	 86 	 1 	 162 	 44 	 55 	 27 
90年 1月	 225 	 77 	 2 	 18 	0	 9 	 2 	 1 	 2 
90年 2月	 124 	 48 	0	 7 	0	 8 	 2 	 3 	 2 
90年 3月	 140 	 56 	 2 	 11 	0	 9 	 5 	 8 	 2 
90年 4月	 145 	 57 	0	 12 	0	 12 	 3 	 6 	 2 
90年 5月	 137 	 74 	 2 	 7 	0	 20 	 2 	 4 	 4 
90年 6月	 136 	 94 	 5 	 2 	0	 15 	 5 	 4 	 3 
90年 7月	 160 	 94 	 1 	 4 	0	 10 	 3 	 1 	 1 
90年 8月	 169 	 76 	 1 	 7 	0	 13 	 7 	 3 	 2 
90年 9月	 146 	 82 	 1 	 4 	0	 14 	 1 	 8 	 3 
90年 10月	 182 	 81 	 1 	 7 	0	 20 	 1 	 9 	 4 
90年 11月	 175 	 71 	0	 5 	 1 	 15 	 9 	 3 	 1 
90年 12月	 160 	 62 	 1 	 2 	0	 17 	 4 	 5 	 1 
91年	 2,803 	 913 	 19 	 49 	 1 	 326 	 125 	 71 	 36 
91年 1月	 117 	 50 	0	 2 	0	 19 	 4 	 9 	 2 
91年 2月	 257 	 66 	 2 	 13 	0	 17 	 4 	 4 	0
