時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 10,288 	 972 	 102 	 231 	 9 	 609 	 161 	 91 	 95 
89年 1月	 901 	 65 	 5 	 23 	 1 	 58 	 13 	 7 	 14 
89年 2月	 874 	 58 	 8 	 43 	 1 	 39 	 11 	 9 	 5 
89年 3月	 921 	 93 	 5 	 35 	0	 38 	 14 	 7 	 6 
89年 4月	 887 	 73 	 3 	 9 	 2 	 42 	 12 	 7 	 5 
89年 5月	 861 	 125 	 14 	 17 	0	 48 	 12 	 11 	 20 
89年 6月	 794 	 46 	 10 	 13 	0	 42 	 13 	 9 	 10 
89年 7月	 800 	 74 	 9 	 15 	 1 	 53 	 11 	 6 	 6 
89年 8月	 895 	 108 	 7 	 16 	 1 	 54 	 14 	 3 	 3 
89年 9月	 932 	 84 	 13 	 15 	 1 	 70 	 13 	 10 	 6 
89年 10月	 951 	 68 	 8 	 15 	 1 	 69 	 13 	 12 	 6 
89年 11月	 761 	 91 	 9 	 15 	0	 48 	 15 	 7 	 5 
89年 12月	 711 	 87 	 11 	 15 	 1 	 48 	 20 	 3 	 9 
90年	 11,553 	 1,571 	 79 	 102 	 5 	 700 	 129 	 50 	 44 
90年 1月	 855 	 72 	 13 	 9 	0	 59 	 7 	 5 	 6 
90年 2月	 716 	 71 	 6 	 12 	0	 47 	 8 	 4 	 2 
90年 3月	 893 	 74 	 7 	 10 	 1 	 55 	 14 	 4 	 3 
90年 4月	 1,036 	 102 	 9 	 17 	 1 	 74 	 6 	 7 	 2 
90年 5月	 1,039 	 119 	 14 	 18 	0	 92 	 20 	 6 	 5 
90年 6月	 1,039 	 124 	 11 	 2 	0	 45 	 6 	 1 	 6 
90年 7月	 911 	 103 	 1 	 8 	0	 39 	 2 	 2 	 2 
90年 8月	 1,175 	 203 	 5 	 3 	0	 50 	 11 	 5 	 4 
90年 9月	 940 	 195 	 2 	 5 	0	 52 	 7 	 7 	 2 
90年 10月	 992 	 193 	 2 	 5 	0	 51 	 16 	 4 	 2 
90年 11月	 967 	 145 	 4 	 3 	 1 	 78 	 23 	 2 	 5 
90年 12月	 990 	 170 	 5 	 10 	 2 	 58 	 9 	 3 	 5 
