時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
89年	 3 	 240 	 59 	 122 	 73 	 4 	 18 	 25 	0
89年 1月	0	 26 	 3 	 9 	 9 	 1 	 1 	 2 	0
89年 2月	 1 	 13 	 7 	 15 	 7 	0	0	 1 	0
89年 3月	 1 	 20 	 5 	 8 	 4 	 2 	 1 	 1 	0
89年 4月	0	 18 	 4 	 7 	 6 	0	 2 	 2 	0
89年 5月	0	 21 	 5 	 6 	 4 	0	 2 	 3 	0
89年 6月	0	 22 	 5 	 5 	 3 	0	 1 	 1 	0
89年 7月	0	 18 	 7 	 10 	 7 	0	 1 	 4 	0
89年 8月	0	 27 	 2 	 12 	 9 	0	 1 	 3 	0
89年 9月	0	 20 	 5 	 19 	 7 	0	 2 	 1 	0
89年 10月	0	 24 	 9 	 19 	 6 	0	 1 	 2 	0
89年 11月	 1 	 12 	 6 	 5 	 7 	 1 	 1 	 4 	0
89年 12月	0	 19 	 1 	 7 	 4 	0	 5 	 1 	0
90年	 23 	 210 	 47 	 164 	 83 	 1 	 21 	 48 	0
90年 1月	 1 	 26 	 2 	 7 	 4 	 1 	 5 	 6 	0
90年 2月	 1 	 19 	 5 	 7 	 5 	0	 2 	 2 	0
90年 3月	 1 	 15 	 5 	 14 	 4 	0	 1 	 3 	0
90年 4月	 2 	 33 	 4 	 17 	 6 	0	 1 	 6 	0
90年 5月	0	 21 	 4 	 11 	 8 	0	 2 	 4 	0
90年 6月	0	 21 	 2 	 19 	 6 	0	0	 4 	0
90年 7月	 4 	 3 	 5 	 11 	 6 	0	 2 	 2 	0
90年 8月	 2 	 7 	 3 	 30 	 12 	0	0	 2 	0
90年 9月	 3 	 15 	 4 	 10 	 10 	0	 1 	 4 	0
90年 10月	0	 11 	 8 	 8 	 8 	0	 2 	 6 	0
90年 11月	 7 	 25 	 3 	 15 	 9 	0	 3 	 5 	0
90年 12月	 2 	 14 	 2 	 15 	 5 	0	 2 	 4 	0
91年	 31 	 206 	 31 	 174 	 101 	 8 	 22 	 36 	 5 
91年 1月	 2 	 14 	 1 	 11 	 3 	0	0	 1 	0
91年 2月	 2 	 13 	 3 	 5 	 8 	0	0	 4 	0
91年 3月	 3 	 15 	 1 	 8 	 2 	0	0	 3 	0
91年 4月	 3 	 34 	 5 	 13 	 15 	 1 	 3 	 4 	0
91年 5月	 1 	 22 	 5 	 11 	 10 	 4 	 1 	 4 	0
91年 6月	 4 	 15 	 2 	 14 	 7 	0	 2 	 2 	0
