時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
89年	 248 	 1 	 66 	 166 	 1,516 	 1,612 	 2 	0	 30 
89年 1月	 10 	 1 	 3 	 21 	 161 	 211 	0	0	 7 
89年 2月	 3 	0	 4 	 10 	 120 	 211 	 1 	0	 3 
89年 3月	 3 	0	 7 	 5 	 133 	 171 	0	0	 3 
89年 4月	 11 	0	 6 	 17 	 107 	 143 	0	0	 3 
89年 5月	 5 	0	 5 	 17 	 148 	 133 	0	0	 3 
89年 6月	 19 	0	 2 	 10 	 119 	 107 	0	0	 1 
89年 7月	 62 	0	 10 	 15 	 116 	 125 	0	0	 2 
89年 8月	 21 	0	 5 	 10 	 141 	 129 	0	0	 3 
89年 9月	 8 	0	 5 	 20 	 134 	 114 	 1 	0	0
89年 10月	 26 	0	 7 	 11 	 124 	 119 	0	0	 2 
89年 11月	 23 	0	 8 	 17 	 119 	 81 	0	0	 1 
89年 12月	 57 	0	 4 	 13 	 94 	 68 	0	0	 2 
90年	 80 	 2 	 71 	 86 	 1,085 	 513 	0	0	 128 
90年 1月	 30 	0	 5 	 11 	 100 	 79 	0	0	 4 
90年 2月	 8 	0	 2 	 5 	 76 	 63 	0	0	 4 
90年 3月	 5 	0	 3 	 5 	 76 	 26 	0	0	 2 
90年 4月	 5 	0	 4 	 11 	 79 	 56 	0	0	 2 
90年 5月	 11 	0	 10 	 10 	 74 	 40 	0	0	 1 
90年 6月	 5 	0	 3 	 2 	 70 	 29 	0	0	 4 
90年 7月	0	0	 5 	 4 	 40 	 22 	0	0	 16 
90年 8月	 2 	 1 	 2 	 6 	 85 	 35 	0	0	 21 
90年 9月	 5 	 1 	 5 	 12 	 153 	 52 	0	0	 24 
90年 10月	 6 	0	 14 	 3 	 97 	 35 	0	0	 28 
90年 11月	 2 	0	 9 	 16 	 107 	 33 	0	0	 12 
90年 12月	 1 	0	 9 	 1 	 128 	 43 	0	0	 10 
91年	 75 	 1 	 137 	 153 	 1,475 	 573 	 14 	0	 554 
91年 1月	 2 	0	 5 	 9 	 71 	 21 	0	0	 17 
91年 2月	 2 	0	 13 	 14 	 199 	 68 	 1 	0	 58 
91年 3月	 1 	0	 8 	 13 	 111 	 26 	0	0	 25 
91年 4月	 5 	 1 	 7 	 9 	 56 	 35 	0	0	 36 
91年 5月	 3 	0	 16 	 11 	 160 	 64 	 1 	0	 23 
91年 6月	 7 	0	 11 	 14 	 119 	 54 	 3 	0	 46 
91年 7月	 2 	0	 8 	 16 	 112 	 64 	 3 	0	 59 
91年 8月	 12 	0	 17 	 17 	 168 	 55 	 2 	0	 60 
91年 9月	 3 	0	 12 	 17 	 153 	 51 	 2 	0	 58 
91年 10月	 14 	0	 15 	 9 	 84 	 34 	 2 	0	 60 
91年 11月	 8 	0	 12 	 12 	 131 	 51 	0	0	 58 
91年 12月	 16 	0	 13 	 12 	 111 	 50 	0	0	 54 
92年	 115 	 2 	 137 	 137 	 1,194 	 535 	 14 	0	 976 
92年 1月	 10 	 2 	 8 	 9 	 112 	 48 	 1 	0	 74 
92年 2月	 25 	0	 13 	 16 	 73 	 41 	 1 	0	 34 
92年 3月	 11 	0	 15 	 13 	 142 	 89 	0	0	 110 
92年 4月	 7 	0	 11 	 20 	 134 	 42 	 1 	0	 118 
92年 5月	 6 	0	 15 	 9 	 124 	 35 	 1 	0	 68 
92年 6月	 4 	0	 13 	 8 	 130 	 43 	 1 	0	 86 
92年 7月	 5 	0	 8 	 11 	 89 	 48 	 1 	0	 100 
92年 8月	 5 	0	 8 	 14 	 81 	 38 	 1 	0	 79 
92年 9月	 6 	0	 12 	 4 	 84 	 60 	 1 	0	 73 
92年 10月	 24 	0	 13 	 11 	 75 	 22 	 1 	0	 72 
92年 11月	 8 	0	 18 	 11 	 96 	 41 	 5 	0	 93 
92年 12月	 4 	0	 3 	 11 	 54 	 28 	0	0	 69 
93年	 46 	 1 	 93 	 161 	 1,703 	 728 	 49 	0	 845 
93年 1月	 2 	0	 3 	 24 	 87 	 35 	 3 	0	 92 
93年 2月	 2 	0	 6 	 22 	 112 	 37 	 3 	0	 51 
93年 3月	 7 	0	 10 	 20 	 136 	 43 	 3 	0	 56 
93年 4月	 7 	 1 	 5 	 14 	 130 	 44 	 1 	0	 54 
93年 5月	 3 	0	 9 	 10 	 145 	 43 	 2 	0	 79 
93年 6月	 3 	0	 15 	 13 	 112 	 52 	 4 	0	 61 
93年 7月	 5 	0	 6 	 18 	 136 	 56 	 3 	0	 69 
