時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 13,660 	 1,844 	 130 	 392 	 17 	 1,391 	 244 	 237 	 145 
89年 1月	 1,167 	 154 	 5 	 45 	 2 	 104 	 19 	 13 	 24 
89年 2月	 1,083 	 125 	 8 	 60 	 1 	 82 	 17 	 19 	 13 
89年 3月	 1,163 	 140 	 9 	 52 	0	 105 	 22 	 14 	 9 
89年 4月	 1,165 	 135 	 3 	 20 	 3 	 94 	 14 	 15 	 9 
89年 5月	 1,139 	 199 	 16 	 38 	0	 117 	 19 	 20 	 27 
89年 6月	 1,042 	 109 	 12 	 19 	0	 104 	 16 	 19 	 13 
89年 7月	 1,075 	 137 	 14 	 29 	 2 	 129 	 21 	 18 	 8 
89年 8月	 1,210 	 182 	 12 	 28 	 3 	 135 	 33 	 11 	 5 
89年 9月	 1,243 	 189 	 16 	 34 	 2 	 153 	 18 	 23 	 10 
89年 10月	 1,279 	 136 	 13 	 24 	 1 	 151 	 16 	 38 	 9 
89年 11月	 1,104 	 172 	 11 	 21 	 2 	 120 	 23 	 26 	 6 
89年 12月	 990 	 166 	 11 	 22 	 1 	 97 	 26 	 21 	 12 
90年	 16,133 	 3,219 	 108 	 206 	 10 	 1,322 	 266 	 149 	 81 
90年 1月	 1,191 	 148 	 14 	 23 	 2 	 99 	 14 	 13 	 8 
90年 2月	 1,026 	 147 	 8 	 21 	 1 	 97 	 10 	 12 	 8 
90年 3月	 1,241 	 173 	 7 	 22 	 2 	 115 	 15 	 11 	 5 
90年 4月	 1,452 	 240 	 11 	 27 	 1 	 121 	 11 	 15 	 5 
90年 5月	 1,429 	 254 	 15 	 26 	 1 	 148 	 25 	 16 	 7 
90年 6月	 1,436 	 273 	 12 	 12 	0	 97 	 15 	 5 	 6 
90年 7月	 1,335 	 283 	 6 	 12 	0	 98 	 7 	 10 	 6 
90年 8月	 1,576 	 369 	 11 	 15 	0	 105 	 28 	 18 	 7 
90年 9月	 1,329 	 337 	 4 	 14 	0	 106 	 22 	 18 	 5 
90年 10月	 1,420 	 368 	 6 	 12 	0	 93 	 35 	 11 	 7 
90年 11月	 1,343 	 313 	 7 	 7 	 1 	 125 	 57 	 7 	 7 
90年 12月	 1,355 	 314 	 7 	 15 	 2 	 118 	 27 	 13 	 10 
91年	 19,374 	 4,273 	 99 	 248 	 13 	 1,198 	 513 	 176 	 132 
91年 1月	 1,337 	 380 	 4 	 11 	 1 	 97 	 38 	 13 	 7 
91年 2月	 1,986 	 374 	 17 	 25 	0	 79 	 27 	 12 	 12 
91年 3月	 1,346 	 285 	 5 	 23 	0	 118 	 54 	 20 	 12 
91年 4月	 1,582 	 372 	 11 	 20 	 2 	 103 	 44 	 23 	 12 
91年 5月	 1,711 	 283 	 10 	 18 	0	 105 	 52 	 20 	 10 
91年 6月	 1,502 	 263 	 3 	 23 	 2 	 97 	 37 	 14 	 5 
91年 7月	 1,863 	 321 	 15 	 21 	 2 	 90 	 33 	 17 	 14 
91年 8月	 1,704 	 343 	 11 	 21 	 1 	 108 	 25 	 7 	 8 
91年 9月	 1,265 	 406 	 8 	 29 	 1 	 101 	 63 	 8 	 7 
91年 10月	 2,089 	 447 	 3 	 17 	 1 	 105 	 55 	 16 	 18 
91年 11月	 1,625 	 423 	 7 	 17 	 1 	 86 	 33 	 14 	 17 
91年 12月	 1,364 	 376 	 5 	 23 	 2 	 109 	 52 	 12 	 10 
92年	 18,507 	 4,605 	 118 	 302 	 26 	 1,128 	 837 	 117 	 135 
92年 1月	 1,446 	 500 	 11 	 30 	 2 	 92 	 91 	 10 	 10 
92年 2月	 1,368 	 394 	 11 	 55 	0	 80 	 33 	 10 	 8 
92年 3月	 1,701 	 382 	 13 	 35 	0	 84 	 60 	 7 	 12 
92年 4月	 1,470 	 337 	 9 	 32 	 3 	 106 	 44 	 14 	 15 
92年 5月	 1,555 	 403 	 9 	 25 	 3 	 115 	 51 	 10 	 9 
92年 6月	 2,026 	 525 	 10 	 17 	 4 	 105 	 49 	 11 	 19 
92年 7月	 1,447 	 439 	 8 	 23 	 2 	 102 	 92 	 9 	 8 
92年 8月	 1,645 	 422 	 17 	 19 	0	 81 	 57 	 9 	 5 
92年 9月	 1,582 	 328 	 10 	 16 	 2 	 112 	 59 	 11 	 15 
92年 10月	 1,493 	 265 	 10 	 17 	0	 82 	 57 	 9 	 15 
92年 11月	 1,429 	 321 	 5 	 17 	 6 	 87 	 97 	 7 	 9 
92年 12月	 1,345 	 289 	 5 	 16 	 4 	 82 	 147 	 10 	 10 
93年	 18,075 	 3,637 	 90 	 236 	 8 	 979 	 1,737 	 115 	 137 
93年 1月	 1,414 	 317 	 6 	 14 	 2 	 69 	 171 	 6 	 10 
93年 2月	 1,524 	 357 	 10 	 26 	 1 	 58 	 137 	 8 	 14 
93年 3月	 1,429 	 394 	 7 	 45 	0	 83 	 186 	 10 	 8 
93年 4月	 1,975 	 379 	 8 	 20 	0	 80 	 224 	 12 	 7 
93年 5月	 1,579 	 307 	 3 	 14 	0	 84 	 166 	 6 	 18 
93年 6月	 1,363 	 248 	 6 	 16 	 1 	 93 	 120 	 6 	 14 
93年 7月	 1,419 	 261 	 5 	 16 	 1 	 75 	 106 	 14 	 11 
93年 8月	 1,425 	 260 	 3 	 11 	 2 	 77 	 87 	 10 	 9 
93年 9月	 1,412 	 282 	 7 	 14 	0	 95 	 120 	 9 	 14 
93年 10月	 1,586 	 285 	 5 	 17 	0	 100 	 127 	 11 	 15 
93年 11月	 1,509 	 284 	 7 	 25 	 1 	 92 	 133 	 9 	 11 
93年 12月	 1,440 	 263 	 23 	 18 	0	 73 	 160 	 14 	 6 
94年	 19,178 	 3,836 	 74 	 239 	 14 	 1,165 	 2,705 	 174 	 155 
94年 1月	 1,414 	 293 	 4 	 16 	0	 57 	 140 	 4 	 8 
94年 2月	 1,209 	 201 	 4 	 31 	 2 	 52 	 109 	 7 	 10 
94年 3月	 1,459 	 305 	 4 	 20 	0	 90 	 184 	 10 	 9 
94年 4月	 1,566 	 280 	 9 	 29 	0	 91 	 239 	 13 	 12 
94年 5月	 2,214 	 305 	 14 	 17 	 3 	 106 	 541 	 12 	 27 
94年 6月	 1,438 	 292 	 7 	 18 	 2 	 118 	 219 	 14 	 13 
94年 7月	 1,486 	 328 	 4 	 22 	 2 	 82 	 225 	 22 	 9 
94年 8月	 1,752 	 351 	 2 	 25 	0	 104 	 284 	 15 	 13 
94年 9月	 1,819 	 389 	 3 	 7 	 3 	 105 	 198 	 16 	 14 
94年 10月	 1,746 	 413 	 7 	 20 	 1 	 119 	 225 	 19 	 15 
94年 11月	 1,718 	 297 	 6 	 17 	0	 123 	 154 	 22 	 13 
94年 12月	 1,357 	 382 	 10 	 17 	 1 	 118 	 187 	 20 	 12 
95年	 16,168 	 2,816 	 117 	 415 	 6 	 1,250 	 3,226 	 266 	 161 
95年 1月	 1,589 	 323 	 3 	 16 	0	 65 	 388 	 17 	 12 
95年 2月	 1,381 	 356 	 9 	 63 	0	 66 	 364 	 10 	 11 
95年 3月	 1,184 	 266 	 14 	 126 	 1 	 121 	 167 	 23 	 16 
95年 4月	 1,280 	 281 	 11 	 47 	 2 	 93 	 188 	 27 	 12 
95年 5月	 1,225 	 209 	 8 	 27 	 1 	 118 	 325 	 30 	 9 
95年 6月	 1,118 	 191 	 8 	 20 	0	 125 	 220 	 31 	 23 
95年 7月	 1,201 	 158 	 8 	 24 	0	 109 	 211 	 21 	 18 
95年 8月	 1,525 	 215 	 16 	 34 	0	 107 	 342 	 25 	 11 
95年 9月	 1,806 	 171 	 6 	 12 	0	 112 	 442 	 20 	 16 
95年 10月	 1,301 	 201 	 23 	 11 	0	 124 	 155 	 23 	 10 
95年 11月	 1,368 	 276 	 5 	 20 	 2 	 123 	 156 	 26 	 14 
95年 12月	 1,190 	 169 	 6 	 15 	0	 87 	 268 	 13 	 9 
96年	 16,302 	 2,819 	 85 	 404 	 9 	 1,146 	 4,710 	 316 	 149 
96年 1月	 1,260 	 235 	 3 	 32 	0	 112 	 270 	 24 	 11 
96年 2月	 1,349 	 186 	 6 	 67 	0	 64 	 242 	 9 	 18 
96年 3月	 1,470 	 222 	 9 	 91 	 2 	 111 	 517 	 25 	 8 
96年 4月	 1,203 	 223 	 7 	 32 	 1 	 103 	 455 	 32 	 10 
96年 5月	 1,338 	 244 	 11 	 28 	0	 99 	 241 	 25 	 12 
96年 6月	 1,268 	 223 	 7 	 19 	0	 90 	 440 	 24 	 10 
96年 7月	 1,385 	 265 	 6 	 29 	 1 	 95 	 279 	 33 	 15 
96年 8月	 1,301 	 275 	 9 	 31 	0	 104 	 267 	 32 	 13 
96年 9月	 1,302 	 231 	 5 	 22 	 1 	 89 	 369 	 29 	 15 
96年 10月	 1,675 	 248 	 8 	 13 	 1 	 96 	 550 	 26 	 10 
96年 11月	 1,383 	 263 	 8 	 24 	 2 	 105 	 286 	 32 	 11 
96年 12月	 1,368 	 204 	 6 	 16 	 1 	 78 	 794 	 25 	 16 
97年	 15,317 	 2,534 	 73 	 376 	 1 	 1,217 	 4,192 	 321 	 145 
97年 1月	 1,388 	 278 	 6 	 28 	0	 79 	 323 	 20 	 17 
97年 2月	 1,411 	 214 	 9 	 95 	0	 64 	 203 	 21 	 19 
97年 3月	 1,280 	 270 	 4 	 63 	0	 97 	 265 	 36 	 13 
97年 4月	 1,314 	 281 	 3 	 31 	0	 102 	 383 	 29 	 11 
97年 5月	 1,383 	 270 	 8 	 30 	0	 88 	 351 	 26 	 10 
97年 6月	 1,448 	 212 	 11 	 23 	0	 98 	 663 	 26 	 9 
97年 7月	 1,615 	 299 	 5 	 16 	 1 	 113 	 328 	 23 	 6 
97年 8月	 1,275 	 164 	 14 	 25 	0	 104 	 363 	 26 	 18 
97年 9月	 1,127 	 162 	 4 	 15 	0	 122 	 308 	 37 	 12 
97年 10月	 1,097 	 145 	 5 	 15 	0	 116 	 339 	 25 	 13 
97年 11月	 1,017 	 114 	 2 	 13 	0	 109 	 294 	 19 	 9 
97年 12月	 962 	 125 	 2 	 22 	0	 125 	 372 	 33 	 8 
98年	 12,921 	 2,070 	 61 	 364 	 9 	 1,247 	 3,913 	 338 	 136 
98年 1月	 1,329 	 186 	 7 	 42 	0	 65 	 186 	 22 	 11 
98年 2月	 1,343 	 188 	 15 	 118 	 1 	 95 	 215 	 34 	 14 
98年 3月	 923 	 159 	 1 	 22 	 3 	 131 	 330 	 23 	 12 
98年 4月	 957 	 85 	0	 23 	 2 	 105 	 241 	 28 	 9 
98年 5月	 996 	 129 	 2 	 25 	0	 103 	 348 	 17 	 15 
98年 6月	 1,034 	 174 	 5 	 21 	0	 120 	 564 	 37 	 17 
98年 7月	 986 	 172 	 7 	 14 	0	 94 	 287 	 24 	 9 
98年 8月	 1,067 	 255 	 2 	 12 	0	 89 	 304 	 18 	 8 
98年 9月	 1,139 	 206 	 9 	 21 	 2 	 129 	 285 	 22 	 15 
98年 10月	 1,080 	 187 	 3 	 24 	0	 113 	 355 	 38 	 11 
98年 11月	 1,089 	 184 	 7 	 18 	0	 104 	 325 	 29 	 9 
98年 12月	 978 	 145 	 3 	 24 	 1 	 99 	 473 	 46 	 6 
99年	 13,463 	 1,749 	 100 	 429 	 4 	 1,433 	 2,383 	 431 	 116 
99年 1月	 730 	 83 	 3 	 24 	0	 88 	 179 	 28 	 5 
99年 2月	 2,292 	 189 	 11 	 185 	0	 65 	 187 	 27 	 11 
99年 3月	 1,089 	 143 	 6 	 54 	0	 140 	 206 	 37 	 16 
99年 4月	 971 	 132 	 14 	 16 	0	 106 	 229 	 32 	 5 
99年 5月	 1,150 	 131 	 1 	 23 	 1 	 133 	 213 	 38 	 6 
99年 6月	 1,086 	 124 	 7 	 19 	 1 	 140 	 225 	 45 	 11 
99年 7月	 1,084 	 111 	 10 	 22 	0	 116 	 183 	 44 	 9 
99年 8月	 1,055 	 153 	 5 	 30 	 1 	 130 	 244 	 35 	 15 
99年 9月	 1,120 	 166 	 12 	 18 	0	 117 	 191 	 41 	 9 
99年 10月	 1,134 	 197 	 11 	 17 	0	 146 	 237 	 41 	 13 
99年 11月	 1,120 	 181 	 14 	 13 	 1 	 132 	 175 	 32 	 13 
99年 12月	 632 	 139 	 6 	 8 	0	 120 	 114 	 31 	 3 
100年	 11,536 	 1,904 	 137 	 372 	 4 	 1,775 	 2,122 	 528 	 130 
100年 1月	 1,450 	 247 	 23 	 84 	0	 151 	 183 	 46 	 15 
