時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
89年	 11 	 736 	 118 	 149 	 202 	 9 	 44 	 49 	0
89年 1月	 1 	 60 	 5 	 10 	 18 	 1 	 1 	 4 	0
89年 2月	 1 	 46 	 12 	 16 	 20 	 1 	 4 	 2 	0
89年 3月	 2 	 59 	 11 	 10 	 17 	 3 	 2 	 2 	0
89年 4月	0	 60 	 9 	 11 	 8 	0	 6 	 3 	0
89年 5月	 1 	 53 	 14 	 7 	 19 	0	 4 	 7 	0
89年 6月	0	 70 	 8 	 7 	 10 	0	 3 	 2 	0
89年 7月	0	 65 	 9 	 14 	 17 	 1 	 3 	 5 	0
89年 8月	0	 81 	 10 	 17 	 21 	0	 4 	 6 	0
89年 9月	 1 	 62 	 11 	 21 	 21 	 1 	 3 	 1 	0
89年 10月	 2 	 54 	 13 	 22 	 19 	0	 2 	 6 	0
89年 11月	 3 	 63 	 11 	 5 	 23 	 2 	 4 	 8 	0
89年 12月	0	 63 	 5 	 9 	 9 	0	 8 	 3 	0
90年	 54 	 587 	 84 	 253 	 176 	 4 	 54 	 86 	0
90年 1月	 2 	 64 	 7 	 12 	 7 	 1 	 9 	 7 	0
90年 2月	 2 	 43 	 7 	 8 	 15 	 2 	 5 	 8 	0
90年 3月	 2 	 53 	 9 	 15 	 11 	 1 	 1 	 7 	0
90年 4月	 4 	 62 	 6 	 21 	 12 	0	 2 	 6 	0
90年 5月	 1 	 56 	 7 	 14 	 16 	0	 3 	 6 	0
90年 6月	0	 48 	 5 	 23 	 13 	0	 3 	 5 	0
90年 7月	 10 	 35 	 6 	 16 	 13 	0	 5 	 6 	0
90年 8月	 6 	 33 	 6 	 54 	 18 	0	 9 	 7 	0
90年 9月	 6 	 49 	 7 	 12 	 20 	0	 3 	 7 	0
90年 10月	 4 	 44 	 12 	 10 	 16 	0	 6 	 11 	0
90年 11月	 9 	 59 	 7 	 33 	 19 	0	 4 	 11 	0
90年 12月	 8 	 41 	 5 	 35 	 16 	0	 4 	 5 	0
91年	 98 	 520 	 61 	 275 	 214 	 17 	 71 	 61 	 7 
91年 1月	 8 	 40 	 2 	 18 	 9 	 1 	 4 	 2 	0
91年 2月	 16 	 35 	 5 	 10 	 21 	0	 3 	 6 	0
91年 3月	 7 	 45 	 6 	 11 	 10 	 3 	 5 	 6 	0
91年 4月	 9 	 58 	 9 	 20 	 21 	 1 	 5 	 5 	0
91年 5月	 5 	 52 	 6 	 24 	 23 	 4 	 13 	 7 	 2 
91年 6月	 11 	 40 	 5 	 16 	 19 	 1 	 4 	 3 	0
91年 7月	 5 	 45 	 2 	 47 	 23 	 1 	 4 	 7 	0
91年 8月	 5 	 34 	 3 	 65 	 19 	 1 	 8 	 9 	 5 
91年 9月	 6 	 41 	 3 	 19 	 21 	 1 	 6 	 5 	0
91年 10月	 14 	 34 	 4 	 13 	 23 	 3 	 7 	 4 	0
91年 11月	 6 	 46 	 11 	 18 	 17 	 1 	 7 	 5 	0
91年 12月	 6 	 50 	 5 	 14 	 8 	0	 5 	 2 	0
92年	 129 	 520 	 60 	 228 	 213 	 15 	 61 	 78 	0
92年 1月	 13 	 52 	 4 	 19 	 18 	 2 	 15 	 10 	0
92年 2月	 9 	 38 	 4 	 14 	 18 	 1 	 3 	 11 	0
92年 3月	 10 	 40 	 8 	 19 	 23 	 3 	 6 	 5 	0
92年 4月	 10 	 35 	 7 	 18 	 19 	 2 	 4 	 5 	0
